Time frequency,Classification of activities for time use,Reason,Level of activity limitation,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Croatia,3.2
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Hungary,15.9
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Ireland,8.6
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Italy,7.4
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Lithuania,12.6
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Luxembourg,9.3
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Latvia,12.3
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Montenegro,4.9
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Malta,4.7
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Netherlands,6.6
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Norway,4.5
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Poland,4.9
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Portugal,9.0
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Romania,10.0
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Serbia,8.8
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Sweden,3.8
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Slovenia,4.2
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Slovakia,4.1
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Total,Total,16 years or over,Percentage,Türkiye,10.9
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Albania,23.1
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Austria,0.0 n
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Belgium,8.5
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Bulgaria,8.9
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Switzerland,4.7 u
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Cyprus,5.1
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Czechia,4.1
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Germany,: u
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Denmark,5.4
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Estonia,4.3
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Greece,10.1
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Spain,13.4
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Finland,1.8
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,France,9.7
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Croatia,2.6
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Hungary,13.6
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Ireland,5.3
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Italy,6.7
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Lithuania,8.1
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Luxembourg,8.6
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Latvia,12.5
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Montenegro,5.0
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Malta,3.1
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Netherlands,5.1
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Norway,2.3
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Poland,5.2
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Portugal,9.7
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Romania,10.3
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Serbia,6.0
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Sweden,3.6
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Slovenia,4.8
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Slovakia,4.8
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Total,Total,16 years or over,Percentage,Türkiye,11.0
