Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,Percentage,Rheinland-Pfalz,33.8,34.1,35.2
Annual,Percentage,Koblenz,35.9,36.6,38.7
Annual,Percentage,Trier,22.5,23.8,22.5
Annual,Percentage,Rheinhessen-Pfalz,35.2,35.0,36.0
Annual,Percentage,Saarland,27.8,36.4,37.9
Annual,Percentage,Saarland,27.8,36.4,37.9
Annual,Percentage,Sachsen,25.8,26.8,29.1
Annual,Percentage,Dresden,22.8,25.2,25.6
Annual,Percentage,Chemnitz,24.9,28.1,32.0
Annual,Percentage,Leipzig,31.4,27.3,30.4
Annual,Percentage,Sachsen-Anhalt,29.3,32.6,32.5
Annual,Percentage,Sachsen-Anhalt,29.3,32.6,32.5
Annual,Percentage,Schleswig-Holstein,27.5,32.6,35.9
Annual,Percentage,Schleswig-Holstein,27.5,32.6,35.9
Annual,Percentage,Thüringen,37.2,42.5,42.3
Annual,Percentage,Thüringen,37.2,42.5,42.3
Annual,Percentage,Denmark,19.5,20.2,23.1
Annual,Percentage,Hovedstaden,18.9,16.3,21.6
Annual,Percentage,Sjælland,22.0,24.0,22.6
Annual,Percentage,Syddanmark,21.3,22.8,24.9
Annual,Percentage,Midtjylland,17.6,18.9,22.8
Annual,Percentage,Nordjylland,18.8,24.1,25.5
Annual,Percentage,Estonia,27.1,31.3,30.2
Annual,Percentage,Greece,46.3,43.6,44.3
Annual,Percentage,Attiki,40.3,38.4,40.5
Annual,Percentage,Attiki,40.3,38.4,40.5
Annual,Percentage,"Nisia Aigaiou, Kriti",45.8,41.5,48.6
Annual,Percentage,Voreio Aigaio,40.1,38.6,46.9
Annual,Percentage,Notio Aigaio,41.9,46.3,40.3
Annual,Percentage,Kriti,50.0,40.0,53.7
Annual,Percentage,Voreia Elláda,47.3,45.4,42.4
Annual,Percentage,"Anatoliki Makedonia, Thraki",51.0,43.0,52.5
Annual,Percentage,Kentriki Makedonia,46.5,47.3,40.8
Annual,Percentage,Dytiki Makedonia,44.4,45.4,39.4
Annual,Percentage,Ipeiros,48.3,38.6,35.7
Annual,Percentage,Kentriki Elláda,53.9,50.5,50.3
Annual,Percentage,Thessalia,56.1,45.9,40.8
Annual,Percentage,Ionia Nisia,37.1,48.5,59.0
Annual,Percentage,Dytiki Elláda,62.0,56.4,53.4
Annual,Percentage,Sterea Elláda,51.3,47.0,44.8
Annual,Percentage,Peloponnisos,49.2,53.3,60.4
Annual,Percentage,Spain,33.4,35.5,37.1
Annual,Percentage,Noroeste,25.1,27.4,28.3
Annual,Percentage,Galicia,24.7,29.4,29.2
Annual,Percentage,Principado de Asturias,25.9,24.0,27.5
Annual,Percentage,Cantabria,25.8,23.9,25.8
Annual,Percentage,Noreste,21.6,21.7,25.0
Annual,Percentage,País Vasco,18.4,18.7,20.6
Annual,Percentage,Comunidad Foral de Navarra,20.9,21.5,27.1
Annual,Percentage,La Rioja,22.5,19.6,27.4
Annual,Percentage,Aragón,26.9,27.2,30.5
Annual,Percentage,Comunidad de Madrid,30.6,31.3,34.1
Annual,Percentage,Comunidad de Madrid,30.6,31.3,34.1
Annual,Percentage,Centro (ES),31.4,33.6,33.3
Annual,Percentage,Castilla y León,24.1,27.2,26.3
Annual,Percentage,Castilla-La Mancha,35.6,36.7,37.4
Annual,Percentage,Extremadura,39.4,42.3,40.7
Annual,Percentage,Este,32.6,34.9,37.1
Annual,Percentage,Cataluña,32.9,34.8,36.1
Annual,Percentage,Comunitat Valenciana,32.4,34.6,38.8
Annual,Percentage,Illes Balears,30.9,36.4,36.5
Annual,Percentage,Sur,42.7,44.9,46.6
Annual,Percentage,Andalucía,42.5,44.8,46.5
Annual,Percentage,Región de Murcia,43.0,44.8,46.4
Annual,Percentage,Ciudad de Ceuta,54.9,47.0,56.0
Annual,Percentage,Ciudad de Melilla,48.5,45.3,47.0
Annual,Percentage,Canarias,49.8,57.2,53.3
Annual,Percentage,Canarias,49.8,57.2,53.3
Annual,Percentage,Finland,23.5,23.2,26.0
Annual,Percentage,Manner-Suomi,23.6,23.2,26.0
Annual,Percentage,"Länsi-Suomi, Åland",23.1,23.0,26.6
Annual,Percentage,Helsinki-Uusimaa,23.5,23.1,27.2
Annual,Percentage,Etelä-Suomi,24.7,23.9,26.4
Annual,Percentage,Pohjois- ja Itä-Suomi,22.8,22.9,23.3
Annual,Percentage,France,27.6,31.4 b,29.4
Annual,Percentage,Ile de France,:,33.5,26.7
Annual,Percentage,Ile de France,:,33.5,26.7
Annual,Percentage,Centre — Val de Loire,:,34.9,27.6
Annual,Percentage,Centre — Val de Loire,:,34.9,27.6
Annual,Percentage,Bourgogne-Franche-Comté,:,34.2,28.0
Annual,Percentage,Bourgogne,:,34.3,28.6
Annual,Percentage,Franche-Comté,:,34.0,27.1
Annual,Percentage,Normandie,:,36.0,29.0
Annual,Percentage,Basse-Normandie,:,34.3,28.0
Annual,Percentage,Haute-Normandie,:,37.4,29.7
Annual,Percentage,Hauts-de-France,:,39.7,35.7
Annual,Percentage,Nord-Pas de Calais,:,40.7,36.8
Annual,Percentage,Picardie,:,37.5,33.3
Annual,Percentage,Grand Est,:,35.5,31.3
Annual,Percentage,Alsace,:,33.4,27.5
Annual,Percentage,Champagne-Ardenne,:,38.4,32.3
Annual,Percentage,Lorraine,:,35.6,33.9
Annual,Percentage,Pays de la Loire,:,32.5,27.7
Annual,Percentage,Pays de la Loire,:,32.5,27.7
Annual,Percentage,Bretagne,:,31.4,25.8
Annual,Percentage,Bretagne,:,31.4,25.8
Annual,Percentage,Nouvelle-Aquitaine,:,33.0,28.4
Annual,Percentage,Aquitaine,:,32.6,28.4
Annual,Percentage,Limousin,:,34.4,30.9
Annual,Percentage,Poitou-Charentes,:,33.3,27.6
Annual,Percentage,Occitanie,:,34.7,30.1
Annual,Percentage,Languedoc-Roussillon,:,36.9,31.7
Annual,Percentage,Midi-Pyrénées,:,32.6,28.6
Annual,Percentage,Auvergne-Rhône-Alpes,:,32.5,27.2
Annual,Percentage,Auvergne,:,33.6,28.0
Annual,Percentage,Rhône-Alpes,:,32.2,27.0
Annual,Percentage,Provence-Alpes-Côte d’Azur,:,34.8,29.1
Annual,Percentage,Provence-Alpes-Côte d’Azur,:,34.8,29.1
Annual,Percentage,Corse,:,35.0,30.4
Annual,Percentage,Corse,:,35.0,30.4
Annual,Percentage,RUP FR — Régions Ultrapériphériques Françaises,:,50.0,47.2
Annual,Percentage,Guadeloupe,:,47.7,43.6
Annual,Percentage,Martinique,:,45.0,38.9
Annual,Percentage,Guyane,:,57.2,61.7
Annual,Percentage,La Réunion,:,50.8,47.6
Annual,Percentage,Croatia,46.5,44.8,41.4
Annual,Percentage,Panonska Hrvatska,48.3,49.1,49.1
Annual,Percentage,Jadranska Hrvatska,45.6,45.2,39.6
Annual,Percentage,Grad Zagreb,47.8,39.5,33.5
Annual,Percentage,Sjeverna Hrvatska,44.3,44.0,42.0
Annual,Percentage,Hungary,34.8,33.7,31.5
Annual,Percentage,Közép-Magyarország,33.0,28.7,26.0
Annual,Percentage,Budapest,29.2,23.8,17.5
Annual,Percentage,Pest,38.0,34.8,36.5
Annual,Percentage,Dunántúl,29.6,29.7,28.3
Annual,Percentage,Közép-Dunántúl,26.9,29.8,24.5
Annual,Percentage,Nyugat-Dunántúl,23.3,25.0,22.5
Annual,Percentage,Dél-Dunántúl,40.2,35.2,39.8
Annual,Percentage,Alföld és Észak,40.3,40.9,38.4
Annual,Percentage,Észak-Magyarország,40.7,43.8,40.0
Annual,Percentage,Észak-Alföld,44.4,44.3,40.3
Annual,Percentage,Dél-Alföld,35.3,34.1,34.7
Annual,Percentage,Ireland,29.1,33.1,34.4
Annual,Percentage,Northern and Western,29.1,32.5,33.7
Annual,Percentage,Southern,31.2,39.7,36.5
Annual,Percentage,Eastern and Midland,27.8,29.1,33.4
Annual,Percentage,Italy,32.7,32.9,28.8
Annual,Percentage,Nord-Ovest,28.7,29.0,23.9
Annual,Percentage,Piemonte,36.4,38.9,33.2
Annual,Percentage,Valle d’Aosta/Vallée d’Aoste,32.6,22.4,8.2
Annual,Percentage,Liguria,32.1,29.4,16.2
Annual,Percentage,Lombardia,24.8,24.7,21.3
Annual,Percentage,Sud,42.9,42.4,40.9
Annual,Percentage,Abruzzo,41.3,40.7,38.3
Annual,Percentage,Molise,35.1,38.9,36.2
Annual,Percentage,Campania,46.8,46.4,38.9
Annual,Percentage,Puglia,40.7,34.8,37.8
Annual,Percentage,Basilicata,27.3,32.8,23.6
Annual,Percentage,Calabria,42.6,51.5,61.2
Annual,Percentage,Isole,49.1,51.1,47.2
Annual,Percentage,Sicilia,48.2,48.3,45.3
Annual,Percentage,Sardegna,51.8,59.9,52.9
Annual,Percentage,Nord-Est,22.7,23.1,19.2
Annual,Percentage,Provincia Autonoma di Bolzano/Bozen,16.2,15.8,16.8
Annual,Percentage,Provincia Autonoma di Trento,18.4,31.2,20.1
Annual,Percentage,Veneto,25.9,26.7,25.5
Annual,Percentage,Friuli-Venezia Giulia,23.8,28.0,21.0
Annual,Percentage,Emilia-Romagna,20.1,17.8,12.1
Annual,Percentage,Centro (IT),27.4,27.0,21.0
Annual,Percentage,Toscana,20.0,23.1,16.8
Annual,Percentage,Umbria,23.6,22.9,20.0
Annual,Percentage,Marche,33.9,24.5,22.6
Annual,Percentage,Lazio,31.0,30.7,23.5
Annual,Percentage,Lithuania,36.4,39.3,40.5
Annual,Percentage,Sostinės regionas,28.4,32.5,33.6
Annual,Percentage,Vidurio ir vakarų Lietuvos regionas,39.6,42.2,43.5
Annual,Percentage,Luxembourg,21.3,18.8 b,24.1
Annual,Percentage,Latvia,41.9,44.1,44.8
Annual,Percentage,Montenegro,61.6,59.6,:
Annual,Percentage,Malta,15.7,15.4,15.9
Annual,Percentage,Netherlands,15.1,14.7,15.9
Annual,Percentage,Noord-Nederland,16.1,15.6,13.8
Annual,Percentage,Oost-Nederland,12.7,12.2,13.3
Annual,Percentage,West-Nederland,17.2,16.4,18.8
Annual,Percentage,Zuid-Nederland,12.5,12.9,12.9
Annual,Percentage,Norway,23.4,22.0,24.2
Annual,Percentage,Innlandet,22.9,24.5,26.7
Annual,Percentage,Trøndelag,22.2,20.6,23.1
Annual,Percentage,Nord-Norge,21.6,23.3,22.0
Annual,Percentage,Oslo og Viken,24.2,22.7,25.2
Annual,Percentage,Agder og Sør-Østlandet,23.5,22.7,25.0
Annual,Percentage,Vestlandet,23.3,19.8,22.8
Annual,Percentage,Poland,24.7,27.3,26.0
Annual,Percentage,Makroregion południowy,24.7,26.9,25.8
Annual,Percentage,Małopolskie,22.0,22.6,25.4
Annual,Percentage,Śląskie,26.7,30.1,26.1
Annual,Percentage,Makroregion północno-zachodni,28.8,29.8,27.6
Annual,Percentage,Wielkopolskie,27.3,29.6,24.3
Annual,Percentage,Zachodniopomorskie,31.8,30.6,32.1
Annual,Percentage,Lubuskie,29.1,29.3,31.9
Annual,Percentage,Makroregion południowo-zachodni,23.9,27.3,27.8
Annual,Percentage,Dolnośląskie,22.1,26.1,27.3
Annual,Percentage,Opolskie,29.3,31.0,29.0
Annual,Percentage,Makroregion północny,28.6,32.2,31.9
Annual,Percentage,Kujawsko-pomorskie,31.2,37.7,37.5
Annual,Percentage,Warmińsko-mazurskie,35.5,34.2,30.0
Annual,Percentage,Pomorskie,22.3,26.4,28.2
Annual,Percentage,Makroregion centralny,26.4,29.4,30.3
Annual,Percentage,Łódzkie,30.1,31.6,33.2
Annual,Percentage,Świętokrzyskie,19.2,24.8,24.4
Annual,Percentage,Makroregion wschodni,22.9,28.5,23.9
Annual,Percentage,Lubelskie,25.5,32.8,24.7
Annual,Percentage,Podkarpackie,22.2,28.7,24.3
Annual,Percentage,Podlaskie,19.8,20.5,21.7
Annual,Percentage,Makroregion województwo mazowieckie,16.6,17.6,16.9
Annual,Percentage,Warszawski stołeczny,15.4,16.2,13.9
Annual,Percentage,Mazowiecki regionalny,18.2,19.7,21.2
Annual,Percentage,Portugal,31.2,29.9,30.5
Annual,Percentage,Norte,32.0,27.4,29.6
Annual,Percentage,Algarve,35.0,33.0,29.4
Annual,Percentage,Centro (PT) (NUTS 2021),28.9,28.0,28.0
Annual,Percentage,Área Metropolitana de Lisboa (NUTS 2021),28.6,30.9,31.2
Annual,Percentage,Alentejo (NUTS 2021),31.8,31.9,28.6
Annual,Percentage,Região Autónoma dos Açores,43.2,43.0,46.0
Annual,Percentage,Região Autónoma da Madeira,48.7,46.7,49.3
Annual,Percentage,Romania,47.3,47.9,46.4
Annual,Percentage,Macroregiunea Unu,37.8,38.0,38.4
Annual,Percentage,Nord-Vest,37.5,36.2,38.6
Annual,Percentage,Centru,38.2,39.9,38.1
Annual,Percentage,Macroregiunea Doi,56.6,56.7,53.4
Annual,Percentage,Nord-Est,52.8,53.5,51.1
Annual,Percentage,Sud-Est,61.6,61.0,56.5
Annual,Percentage,Macroregiunea Trei,47.2,45.0,44.3
Annual,Percentage,Sud-Muntenia,55.2,52.3,53.3
Annual,Percentage,Bucureşti-Ilfov,37.3,36.3,33.0
Annual,Percentage,Macroregiunea Patru,46.0,52.0,49.4
Annual,Percentage,Sud-Vest Oltenia,44.6,51.8,50.5
Annual,Percentage,Vest,47.6,52.2,48.1
Annual,Percentage,Serbia,33.9,32.9,:
Annual,Percentage,Sweden,18.4,21.2,21.9
Annual,Percentage,Östra Sverige,19.2,21.8,22.4
Annual,Percentage,Stockholm,17.3,20.1,19.8
Annual,Percentage,Östra Mellansverige,21.7,24.1,25.8
Annual,Percentage,Södra Sverige,18.1,21.7,22.6
Annual,Percentage,Småland med öarna,18.6,22.7,21.3
Annual,Percentage,Sydsverige,18.9,23.1,27.4
Annual,Percentage,Västsverige,17.4,20.2,19.4
Annual,Percentage,Norra Sverige,17.1,18.5,19.0
Annual,Percentage,Norra Mellansverige,18.0,21.0,22.9
Annual,Percentage,Mellersta Norrland,19.3,20.0,17.4
Annual,Percentage,Övre Norrland,14.0,13.2,13.6
Annual,Percentage,Slovenia,24.6,24.6,22.7
Annual,Percentage,Vzhodna Slovenija,29.0,29.7,28.5
Annual,Percentage,Zahodna Slovenija,20.1,19.5,16.5
Annual,Percentage,Slovakia,27.0,27.0,29.3
Annual,Percentage,Bratislavský kraj,35.9,36.4,36.7
Annual,Percentage,Západné Slovensko,23.5,22.8,27.5
Annual,Percentage,Stredné Slovensko,25.1,26.0,28.5
Annual,Percentage,Východné Slovensko,28.6,28.3,28.5
Annual,Percentage,Türkiye,33.4,31.1,31.8
