Time frequency,International Standard Classification of Education (ISCED 2011),Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Sweden,34.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Slovenia,16.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Slovakia,34.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Kosovo*,5.4 u
Annual,Tertiary education (levels 5-8),Percentage,Austria,20.0
Annual,Tertiary education (levels 5-8),Percentage,Belgium,18.1
Annual,Tertiary education (levels 5-8),Percentage,Bulgaria,8.5
Annual,Tertiary education (levels 5-8),Percentage,Cyprus,33.9
Annual,Tertiary education (levels 5-8),Percentage,Czechia,9.6 u
Annual,Tertiary education (levels 5-8),Percentage,Germany,15.4
Annual,Tertiary education (levels 5-8),Percentage,Denmark,26.5
Annual,Tertiary education (levels 5-8),Percentage,Estonia,22.8
Annual,Tertiary education (levels 5-8),Percentage,Greece,29.3
Annual,Tertiary education (levels 5-8),Percentage,Spain,16.5
Annual,Tertiary education (levels 5-8),Percentage,European Union (aggregate changing according to the context),18.9 e
Annual,Tertiary education (levels 5-8),Percentage,Finland,34.0
Annual,Tertiary education (levels 5-8),Percentage,France,21.1
Annual,Tertiary education (levels 5-8),Percentage,Croatia,16.0
Annual,Tertiary education (levels 5-8),Percentage,Hungary,39.9
Annual,Tertiary education (levels 5-8),Percentage,Ireland,22.3
Annual,Tertiary education (levels 5-8),Percentage,Lithuania,13.6
Annual,Tertiary education (levels 5-8),Percentage,Luxembourg,29.7
Annual,Tertiary education (levels 5-8),Percentage,Latvia,14.3
Annual,Tertiary education (levels 5-8),Percentage,Montenegro,6.7 u
Annual,Tertiary education (levels 5-8),Percentage,Malta,15.9
Annual,Tertiary education (levels 5-8),Percentage,Netherlands,21.7
Annual,Tertiary education (levels 5-8),Percentage,Poland,10.8
Annual,Tertiary education (levels 5-8),Percentage,Portugal,10.6
Annual,Tertiary education (levels 5-8),Percentage,Romania,27.1
Annual,Tertiary education (levels 5-8),Percentage,Serbia,11.1
Annual,Tertiary education (levels 5-8),Percentage,Sweden,28.9
Annual,Tertiary education (levels 5-8),Percentage,Slovenia,15.0
Annual,Tertiary education (levels 5-8),Percentage,Slovakia,26.3
Annual,Tertiary education (levels 5-8),Percentage,Kosovo*,5.2 u
