Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,ICT manufacturing,Croatia,-15.48,-18.11,-38.91,235.75,3.1,12.45,-0.59,-1.26,-7.31,-73.78 b,23.65,16.7 b
Annual,ICT manufacturing,Hungary,-5.12,32.68,-9.64,-5.42,-6.67,1.11,-2.7,15.01,-10.37 b,7.6,-18.37,-14.53 b
Annual,ICT manufacturing,Ireland,:,:,:,:,:,:,:,:,:,:,:,: b@C
Annual,ICT manufacturing,Iceland,:,:,:,:,:,:,:,-13.29 p,-100.0,:,-70.98 p,:
Annual,ICT manufacturing,Italy,16.54,-0.97,-3.33,-13.61,-7.59,0.14,-6.64,6.71 b,2.13,4.96,: @C,: b@C
Annual,ICT manufacturing,Lithuania,:,-10.26,-17.4,-50.89,13.9,40.23,-5.68,38.64,-20.28 b,59.51,30.64,54.77 b
Annual,ICT manufacturing,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,: b@C
Annual,ICT manufacturing,Latvia,-13.09,51.09,-1.75,-2.0,25.25,61.01,3.51,-10.76,-6.1,1.45,8.84,36.52 b
Annual,ICT manufacturing,North Macedonia,:,:,-48.7,166.31,9.22,-1.8 p,: @C,:,:,:,:,:
Annual,ICT manufacturing,Malta,:,:,:,:,:,:,:,:,8.35,: @C,:,17.84 b
Annual,ICT manufacturing,Netherlands,:,:,:,:,: @C,:,:,:,:,:,:,: b@C
Annual,ICT manufacturing,Norway,0.6,-13.62,-13.49,-7.21,8.97,12.37,: @C,:,-1.58 b,0.58,28.21,-7.9 b
Annual,ICT manufacturing,Poland,12.58,-3.0,-21.86,9.18,-14.34,-1.44,-13.18,13.0,19.03 b,-4.26,3.55,-11.36 b
Annual,ICT manufacturing,Portugal,:,:,:,:,:,:,:,:,:,:,:,2.18 b
Annual,ICT manufacturing,Romania,-4.37,-2.79,-5.17,-13.38,10.81,3.32,6.02,-2.5,4.47 b,22.66,-2.7,: b@C
Annual,ICT manufacturing,Serbia,:,:,:,:,:,:,:,:,3.56,6.61,: @C,: b@C
Annual,ICT manufacturing,Sweden,:,:,:,:,:,: @C,:,:,:,3.84,19.98,: b@C
Annual,ICT manufacturing,Slovenia,:,-5.59,-11.09,-0.53,6.09,9.94,0.18,-3.57,9.84,-13.89,31.31,: b@C
Annual,ICT manufacturing,Slovakia,165.4,-47.33,41.67,-21.52,3.65,11.74,-36.65,19.07,-28.88,-22.77,39.52,30.52 b
Annual,ICT manufacturing,United Kingdom,:,: @C,:,:,:,-8.03,17.42 b,-5.02,4.33,:,:,:
Annual,ICT services,Austria,-0.09,2.58,-2.48,2.88,4.3,1.77,2.61,0.43,1.29 b,2.84,1.24,5.88 b
Annual,ICT services,Bosnia and Herzegovina,:,:,:,:,:,-3.57 e,-4.47 e,-7.66 b,-0.81,6.17,7.26,:
Annual,ICT services,Belgium,3.66,-4.95,0.05,-2.6,-6.09,0.39,-0.62,-0.99,6.01 b,6.22,3.19,-2.24 b
Annual,ICT services,Bulgaria,-1.91,-3.58,-2.34,3.2,3.58,2.48,7.04,6.26,6.09 b,11.44,11.56,1.57 b
Annual,ICT services,Switzerland,:,:,:,:,:,:,:,:,:,:,:,: be
Annual,ICT services,Cyprus,5.07,-1.58,5.01,22.42,12.47,-1.66,15.85,8.18,0.38,9.02,22.13,7.43 b
Annual,ICT services,Czechia,-2.35,-0.39,-1.34,-1.0,-1.5,0.6,0.33,3.34,4.37,4.79,6.44,1.06 b
Annual,ICT services,Germany,-8.31,4.72,0.86,1.59,1.77,0.41,-2.6,2.02,4.96 b,0.33,2.64,12.83 bp
Annual,ICT services,Denmark,-4.39,0.14,-3.33,2.07,-3.38,1.29,2.1,-2.78,5.03,-2.58,2.85,-7.23 b
Annual,ICT services,Estonia,-7.7,-1.64,-2.09,-2.75,6.09,1.5,4.02,5.17,4.52 b,11.43,: @C,: b@C
Annual,ICT services,Greece,-14.58,-1.68,-1.81,-4.2,4.99,9.14,-3.48,-8.19,23.96 b,-8.83,42.61,6.94 bp
Annual,ICT services,Spain,-2.17,-0.32,-0.52,-1.78,-3.69,-1.03,0.68,3.58,-0.62 b,4.25,8.58,-2.83 p
Annual,ICT services,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,:,: @C,: b@C
Annual,ICT services,Finland,0.05,-0.53,2.84,: @C,:,5.91,1.09,3.25 b,-0.19,4.1,4.15,1.24 b
Annual,ICT services,France,0.34,0.45,-1.54,-3.23,-0.28 b,1.36 b,2.44,10.05 b,-5.21,1.44,8.86,-4.69 bp
Annual,ICT services,Croatia,14.3,-12.15,-2.01,-1.07,-1.08,2.04,0.48,4.27,2.47,9.39 b,11.3,5.22 b
Annual,ICT services,Hungary,-0.08,-5.23,-0.46,4.99,-2.05,2.91,-1.12,2.37,4.32 b,1.18,4.72,0.38 b
Annual,ICT services,Ireland,:,:,:,:,:,:,:,:,:,:,:,: b@C
Annual,ICT services,Iceland,:,:,:,:,:,:,:,-0.73 p,-3.59,4.23 p,10.4 p,:
Annual,ICT services,Italy,2.74,-1.87,2.33,-5.74,-0.42,0.2,2.21,1.42 b,-1.27,1.45,5.86,-3.99 b
Annual,ICT services,Lithuania,-2.58,2.34,1.03,-0.89,6.22,15.21,0.98,0.12,4.46 b,9.93,7.88,7.16 b
Annual,ICT services,Luxembourg,6.99,4.43,-1.6,-0.78,12.21,-8.01,-9.4,0.13,4.83,2.27,-9.76,2.13 b
Annual,ICT services,Latvia,5.55,-5.75,2.29,8.78,-1.85,6.79,10.11,5.07,6.03,8.88,6.0,5.82 b
Annual,ICT services,North Macedonia,:,:,-0.12,-15.47,-8.66,0.07 p,: @C,:,:,:,:,:
Annual,ICT services,Malta,:,:,:,:,:,:,:,:,-5.92,-10.89,25.36,28.84 b
Annual,ICT services,Netherlands,:,:,1.93,1.98,-3.63,-0.75,6.28,-1.49,0.56,-0.41,6.81,-1.09 b
Annual,ICT services,Norway,-2.43,-6.26,1.91,-0.14,3.21,3.13,2.69,-1.53,-1.5 b,11.69,7.67,-13.04 b
Annual,ICT services,Poland,3.74,3.36,-1.97,-4.35,2.83,2.12,4.13,2.75,5.97 b,2.04,3.81,7.45 b
Annual,ICT services,Portugal,0.67,-5.1,-0.12,-5.04,-0.77,-0.12,1.91,1.37,1.7,8.51,17.77,6.45 b
Annual,ICT services,Romania,-2.33,-3.7,3.73,5.93,4.67,1.02,8.23,-1.66,4.17 b,-1.41,15.96,: b@C
Annual,ICT services,Serbia,:,:,:,:,:,:,:,1.57 p,1.91,9.19,16.98,14.05 b
Annual,ICT services,Sweden,:,:,:,0.68,2.03,18.61,-8.2,-11.22,16.87 b,9.12,9.15,-7.58 b
Annual,ICT services,Slovenia,9.78,-0.31,3.63,0.58,0.13,-0.41,-0.37,2.82,-3.61,5.65,6.27,: b@C
Annual,ICT services,Slovakia,4.03,12.35,-0.21,: @C,:,2.45,-0.78,5.56,0.04,8.04,5.66,-2.33 b
Annual,ICT services,United Kingdom,-2.07,3.28,0.49,2.66,1.72,2.89,0.53 b,1.89,3.1,:,:,:
Annual,Information and Communication Technology - total,Austria,-0.56,3.93,-3.01,2.54,: @C,:,2.53,0.9,2.66 b,2.31,-0.98,6.72 b
Annual,Information and Communication Technology - total,Bosnia and Herzegovina,:,:,:,:,:,-2.93 be,-4.42 be,: @C,:,:,:,:
Annual,Information and Communication Technology - total,Belgium,1.38,-8.37,0.01,-2.43,-5.24,-0.8,-0.15,-0.91,5.75 b,6.18,2.55 p,-1.75 b
Annual,Information and Communication Technology - total,Bulgaria,-0.75,-3.71,-2.17,3.63,4.08,2.82,6.88,6.62,6.09 b,9.11,11.37,1.31 b
Annual,Information and Communication Technology - total,Switzerland,:,:,:,:,:,:,:,:,:,:,:,35.93 be
Annual,Information and Communication Technology - total,Cyprus,:,:,:,:,:,:,:,:,:,:,:,: b@C
Annual,Information and Communication Technology - total,Czechia,-0.97,-1.16,0.06,-0.1,-1.55,-0.89,0.68,2.22,4.62,3.22,7.23,0.93 b
Annual,Information and Communication Technology - total,Germany,-5.94,3.36,-0.91,1.88,2.29,1.37,-2.35,1.26,5.1 b,-0.29 p,1.47 p,12.67 bp
Annual,Information and Communication Technology - total,Denmark,-4.22,-0.13,: @C,:,:,:,:,:,:,-2.15,2.83,-7.42 b
Annual,Information and Communication Technology - total,Estonia,-3.99,5.28,-6.73,-2.06,4.98,-1.78,3.25,4.64,5.14 b,10.12,15.21,-14.93 b
Annual,Information and Communication Technology - total,Greece,:,:,-1.1,-4.57,4.91,8.52,-2.77,-8.71,24.02 b,-9.14,42.47 p,6.87 bp
Annual,Information and Communication Technology - total,Spain,-2.0,-1.21,-0.65,-1.82,-3.5,: @C,:,:,:,: @C,:,: b@C
Annual,Information and Communication Technology - total,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,:,7.13,4.91 b
Annual,Information and Communication Technology - total,Finland,3.22,-16.35,-16.24,19.23 b,: @C,:,: @C,:,-10.49,1.15,17.91,: b@C
Annual,Information and Communication Technology - total,France,0.96,0.7,-1.28,: @C,:,1.45 b,2.83,8.37 b,-0.59,2.38 p,7.09 p,-8.41 bp
Annual,Information and Communication Technology - total,Croatia,12.47,-12.42,-3.6,5.4,-0.7,2.98,0.37,3.73,1.57,2.32 b,11.58,5.5 b
Annual,Information and Communication Technology - total,Hungary,-1.51,5.16,-3.64,1.62,-3.45,2.38,-1.57,5.97,-0.22 b,2.96,-1.98,-3.22 b
Annual,Information and Communication Technology - total,Ireland,:,:,:,:,:,:,:,:,:,:,:,: b@C
Annual,Information and Communication Technology - total,Iceland,:,:,:,:,:,:,:,-0.72 p,-3.62,4.3 p,10.36 p,:
Annual,Information and Communication Technology - total,Italy,:,:,1.82,-6.41,-0.99,0.2,1.56,1.78 b,-1.03,1.7,: @C,: b@C
Annual,Information and Communication Technology - total,Lithuania,:,1.5,-0.06,-3.32,6.41,15.88,0.76,1.27,3.44 b,11.49,8.9,10.08 b
Annual,Information and Communication Technology - total,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,: b@C
Annual,Information and Communication Technology - total,Latvia,4.55,-3.2,2.01,8.05,-0.18,10.93,9.37,3.4,4.93,8.27,6.22,8.21 b
Annual,Information and Communication Technology - total,North Macedonia,:,:,-1.02,-13.73,-8.13,0.01 p,4.14 p,: @C,:,:,:,:
Annual,Information and Communication Technology - total,Malta,22.15,23.07,-5.05,-22.37,5.33,-0.64,1.21,11.92,-4.44,: @C,:,27.9 b
Annual,Information and Communication Technology - total,Netherlands,:,:,:,:,: @C,:,:,:,:,:,:,: b@C
Annual,Information and Communication Technology - total,Norway,-2.31,-6.55,1.34,-0.36,3.38,3.41,: @C,:,-1.5 b,11.38,8.18,-23.99 b
Annual,Information and Communication Technology - total,Poland,4.72,2.6,-4.21,-3.11,1.05,1.81,2.66,3.48,6.99 b,1.49,3.79,5.9 b
Annual,Information and Communication Technology - total,Portugal,:,:,:,:,:,:,:,:,:,:,:,6.25 b
Annual,Information and Communication Technology - total,Romania,-2.5,-3.63,3.01,4.5,5.04,1.17,8.09,-1.71,4.18 b,0.15,14.48,5.11 b
Annual,Information and Communication Technology - total,Serbia,:,:,:,:,:,:,:,:,2.0,9.05,: @C,: b@C
Annual,Information and Communication Technology - total,Sweden,2.22,: @C,:,:,:,: @C,:,:,:,8.98,9.43,: b@C
Annual,Information and Communication Technology - total,Slovenia,:,-0.87,2.16,0.48,0.64,0.53,-0.31,2.18,-2.35,3.58,8.46,9.52 b
Annual,Information and Communication Technology - total,Slovakia,24.51,-3.79,5.99,: @C,:,4.13,-7.74,7.36,-4.24,4.66,8.41,1.13 b
Annual,Information and Communication Technology - total,United Kingdom,:,: @C,:,:,:,2.51,1.07 b,1.64,3.15,:,:,:
