Time frequency,Frequency,Type of violence,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Repeated,Physical (including threats) or sexual,Percentage,Greece,8.7
Annual,Repeated,Physical (including threats) or sexual,Percentage,Spain,6.4
Annual,Repeated,Physical (including threats) or sexual,Percentage,European Union (aggregate changing according to the context),8.1 e
Annual,Repeated,Physical (including threats) or sexual,Percentage,Finland,9.4
Annual,Repeated,Physical (including threats) or sexual,Percentage,France,8.7 u
Annual,Repeated,Physical (including threats) or sexual,Percentage,Croatia,5.8
Annual,Repeated,Physical (including threats) or sexual,Percentage,Hungary,12.8
Annual,Repeated,Physical (including threats) or sexual,Percentage,Ireland,13.3
Annual,Repeated,Physical (including threats) or sexual,Percentage,Lithuania,4.3
Annual,Repeated,Physical (including threats) or sexual,Percentage,Luxembourg,13.6
Annual,Repeated,Physical (including threats) or sexual,Percentage,Latvia,3.7
Annual,Repeated,Physical (including threats) or sexual,Percentage,Montenegro,: u
Annual,Repeated,Physical (including threats) or sexual,Percentage,Malta,7.5
Annual,Repeated,Physical (including threats) or sexual,Percentage,Netherlands,9.0
Annual,Repeated,Physical (including threats) or sexual,Percentage,Poland,: u
Annual,Repeated,Physical (including threats) or sexual,Percentage,Portugal,5.3
Annual,Repeated,Physical (including threats) or sexual,Percentage,Romania,7.9
Annual,Repeated,Physical (including threats) or sexual,Percentage,Serbia,4.8
Annual,Repeated,Physical (including threats) or sexual,Percentage,Sweden,14.1
Annual,Repeated,Physical (including threats) or sexual,Percentage,Slovenia,6.6
Annual,Repeated,Physical (including threats) or sexual,Percentage,Slovakia,: u
Annual,Repeated,Physical (including threats) or sexual,Percentage,Kosovo*,1.4 u
Annual,Repeated,Sexual,Percentage,Austria,3.6
Annual,Repeated,Sexual,Percentage,Belgium,2.2
Annual,Repeated,Sexual,Percentage,Bulgaria,: u
Annual,Repeated,Sexual,Percentage,Cyprus,3.3 u
Annual,Repeated,Sexual,Percentage,Czechia,1.6 u
Annual,Repeated,Sexual,Percentage,Germany,4.6
Annual,Repeated,Sexual,Percentage,Denmark,3.5 u
Annual,Repeated,Sexual,Percentage,Estonia,1.9
Annual,Repeated,Sexual,Percentage,Greece,2.3
Annual,Repeated,Sexual,Percentage,Spain,2.4
Annual,Repeated,Sexual,Percentage,European Union (aggregate changing according to the context),3.4 e
Annual,Repeated,Sexual,Percentage,Finland,3.7
Annual,Repeated,Sexual,Percentage,France,3.5
Annual,Repeated,Sexual,Percentage,Croatia,1.8
Annual,Repeated,Sexual,Percentage,Hungary,4.3
Annual,Repeated,Sexual,Percentage,Ireland,4.5 u
Annual,Repeated,Sexual,Percentage,Lithuania,0.7 u
Annual,Repeated,Sexual,Percentage,Luxembourg,5.9
Annual,Repeated,Sexual,Percentage,Latvia,0.7 u
Annual,Repeated,Sexual,Percentage,Montenegro,: u
Annual,Repeated,Sexual,Percentage,Malta,2.4
Annual,Repeated,Sexual,Percentage,Netherlands,3.4
Annual,Repeated,Sexual,Percentage,Poland,: u
Annual,Repeated,Sexual,Percentage,Portugal,1.0
Annual,Repeated,Sexual,Percentage,Romania,2.4 u
Annual,Repeated,Sexual,Percentage,Serbia,: u
Annual,Repeated,Sexual,Percentage,Sweden,9.4
Annual,Repeated,Sexual,Percentage,Slovenia,2.1 u
Annual,Repeated,Sexual,Percentage,Slovakia,: u
Annual,Repeated,Sexual,Percentage,Kosovo*,: u
Annual,Repeated,Threats,Percentage,Austria,2.7
Annual,Repeated,Threats,Percentage,Belgium,3.4
Annual,Repeated,Threats,Percentage,Bulgaria,0.8 u
Annual,Repeated,Threats,Percentage,Cyprus,4.1
Annual,Repeated,Threats,Percentage,Czechia,1.7 u
Annual,Repeated,Threats,Percentage,Germany,2.8
Annual,Repeated,Threats,Percentage,Denmark,3.8 u
Annual,Repeated,Threats,Percentage,Estonia,3.0
Annual,Repeated,Threats,Percentage,Greece,4.3
Annual,Repeated,Threats,Percentage,Spain,2.7 u
Annual,Repeated,Threats,Percentage,European Union (aggregate changing according to the context),3.2 e
Annual,Repeated,Threats,Percentage,Finland,3.3
Annual,Repeated,Threats,Percentage,France,4.0 u
Annual,Repeated,Threats,Percentage,Croatia,2.9
Annual,Repeated,Threats,Percentage,Hungary,8.1
Annual,Repeated,Threats,Percentage,Ireland,5.5
Annual,Repeated,Threats,Percentage,Lithuania,1.7
Annual,Repeated,Threats,Percentage,Luxembourg,6.0
Annual,Repeated,Threats,Percentage,Latvia,2.0
Annual,Repeated,Threats,Percentage,Montenegro,: u
Annual,Repeated,Threats,Percentage,Malta,3.1
Annual,Repeated,Threats,Percentage,Netherlands,2.9
Annual,Repeated,Threats,Percentage,Poland,: u
Annual,Repeated,Threats,Percentage,Portugal,2.9
Annual,Repeated,Threats,Percentage,Romania,2.5 u
Annual,Repeated,Threats,Percentage,Serbia,3.5
Annual,Repeated,Threats,Percentage,Sweden,4.1
Annual,Repeated,Threats,Percentage,Slovenia,3.7
Annual,Repeated,Threats,Percentage,Slovakia,: u
Annual,Repeated,Threats,Percentage,Kosovo*,: u
Annual,Once (one time),Physical,Percentage,Austria,8.3
Annual,Once (one time),Physical,Percentage,Belgium,4.9
Annual,Once (one time),Physical,Percentage,Bulgaria,1.9
Annual,Once (one time),Physical,Percentage,Cyprus,4.2 u
Annual,Once (one time),Physical,Percentage,Czechia,1.8 u
Annual,Once (one time),Physical,Percentage,Germany,3.3
Annual,Once (one time),Physical,Percentage,Denmark,8.6 u
Annual,Once (one time),Physical,Percentage,Estonia,5.3 u
Annual,Once (one time),Physical,Percentage,Greece,6.7
Annual,Once (one time),Physical,Percentage,Spain,4.3 u
Annual,Once (one time),Physical,Percentage,European Union (aggregate changing according to the context),5.7 e
Annual,Once (one time),Physical,Percentage,Finland,12.8
Annual,Once (one time),Physical,Percentage,France,7.4 u
Annual,Once (one time),Physical,Percentage,Croatia,5.8
Annual,Once (one time),Physical,Percentage,Hungary,4.4
Annual,Once (one time),Physical,Percentage,Ireland,8.1
Annual,Once (one time),Physical,Percentage,Lithuania,5.4
Annual,Once (one time),Physical,Percentage,Luxembourg,10.1
Annual,Once (one time),Physical,Percentage,Latvia,5.0
Annual,Once (one time),Physical,Percentage,Montenegro,3.8
Annual,Once (one time),Physical,Percentage,Malta,4.1
Annual,Once (one time),Physical,Percentage,Netherlands,12.2
Annual,Once (one time),Physical,Percentage,Poland,: u
Annual,Once (one time),Physical,Percentage,Portugal,5.1
Annual,Once (one time),Physical,Percentage,Romania,5.1
Annual,Once (one time),Physical,Percentage,Serbia,4.9
Annual,Once (one time),Physical,Percentage,Sweden,12.0
Annual,Once (one time),Physical,Percentage,Slovenia,5.5
Annual,Once (one time),Physical,Percentage,Slovakia,: u
Annual,Once (one time),Physical,Percentage,Kosovo*,3.2 u
Annual,Once (one time),Physical or sexual,Percentage,Austria,20.3
Annual,Once (one time),Physical or sexual,Percentage,Belgium,11.2
Annual,Once (one time),Physical or sexual,Percentage,Bulgaria,2.7
Annual,Once (one time),Physical or sexual,Percentage,Cyprus,5.0
Annual,Once (one time),Physical or sexual,Percentage,Czechia,3.6
Annual,Once (one time),Physical or sexual,Percentage,Germany,6.1
Annual,Once (one time),Physical or sexual,Percentage,Denmark,19.4 u
Annual,Once (one time),Physical or sexual,Percentage,Estonia,12.0
Annual,Once (one time),Physical or sexual,Percentage,Greece,15.6
Annual,Once (one time),Physical or sexual,Percentage,Spain,11.5
Annual,Once (one time),Physical or sexual,Percentage,European Union (aggregate changing according to the context),11.5 e
Annual,Once (one time),Physical or sexual,Percentage,Finland,32.8
Annual,Once (one time),Physical or sexual,Percentage,France,13.8
Annual,Once (one time),Physical or sexual,Percentage,Croatia,10.5
Annual,Once (one time),Physical or sexual,Percentage,Hungary,6.5
Annual,Once (one time),Physical or sexual,Percentage,Ireland,13.8
Annual,Once (one time),Physical or sexual,Percentage,Lithuania,8.3
Annual,Once (one time),Physical or sexual,Percentage,Luxembourg,19.6
Annual,Once (one time),Physical or sexual,Percentage,Latvia,8.3
Annual,Once (one time),Physical or sexual,Percentage,Montenegro,3.9
Annual,Once (one time),Physical or sexual,Percentage,Malta,7.2
Annual,Once (one time),Physical or sexual,Percentage,Netherlands,25.3
Annual,Once (one time),Physical or sexual,Percentage,Poland,: u
Annual,Once (one time),Physical or sexual,Percentage,Portugal,6.7
Annual,Once (one time),Physical or sexual,Percentage,Romania,5.9
Annual,Once (one time),Physical or sexual,Percentage,Serbia,5.7
Annual,Once (one time),Physical or sexual,Percentage,Sweden,26.6
Annual,Once (one time),Physical or sexual,Percentage,Slovenia,8.7
Annual,Once (one time),Physical or sexual,Percentage,Slovakia,: u
Annual,Once (one time),Physical or sexual,Percentage,Kosovo*,3.3 u
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Austria,20.2
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Belgium,11.7
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Bulgaria,3.3
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Cyprus,4.3
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Czechia,3.5
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Germany,5.6
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Denmark,18.7 u
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Estonia,11.7
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Greece,16.0
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Spain,13.1
Annual,Once (one time),Physical (including threats) or sexual,Percentage,European Union (aggregate changing according to the context),11.1 e
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Finland,32.6
Annual,Once (one time),Physical (including threats) or sexual,Percentage,France,11.3 u
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Croatia,12.8
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Hungary,5.9
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Ireland,13.1
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Lithuania,8.6
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Luxembourg,18.3
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Latvia,10.2
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Montenegro,5.1
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Malta,7.5
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Netherlands,24.7
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Poland,: u
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Portugal,7.0
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Romania,5.8
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Serbia,5.3
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Sweden,25.8
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Slovenia,9.4
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Slovakia,: u
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Kosovo*,3.1 u
Annual,Once (one time),Sexual,Percentage,Austria,16.0
Annual,Once (one time),Sexual,Percentage,Belgium,8.5
Annual,Once (one time),Sexual,Percentage,Bulgaria,1.0 u
Annual,Once (one time),Sexual,Percentage,Cyprus,3.0 u
Annual,Once (one time),Sexual,Percentage,Czechia,2.1 u
Annual,Once (one time),Sexual,Percentage,Germany,4.8
Annual,Once (one time),Sexual,Percentage,Denmark,14.8 u
Annual,Once (one time),Sexual,Percentage,Estonia,8.9
Annual,Once (one time),Sexual,Percentage,Greece,11.9
Annual,Once (one time),Sexual,Percentage,Spain,9.2
Annual,Once (one time),Sexual,Percentage,European Union (aggregate changing according to the context),8.5 e
Annual,Once (one time),Sexual,Percentage,Finland,26.4
Annual,Once (one time),Sexual,Percentage,France,9.7
Annual,Once (one time),Sexual,Percentage,Croatia,7.1
Annual,Once (one time),Sexual,Percentage,Hungary,3.9
Annual,Once (one time),Sexual,Percentage,Ireland,9.8
Annual,Once (one time),Sexual,Percentage,Lithuania,4.7
Annual,Once (one time),Sexual,Percentage,Luxembourg,15.8
Annual,Once (one time),Sexual,Percentage,Latvia,4.9
Annual,Once (one time),Sexual,Percentage,Montenegro,: u
Annual,Once (one time),Sexual,Percentage,Malta,4.1
Annual,Once (one time),Sexual,Percentage,Netherlands,19.8
Annual,Once (one time),Sexual,Percentage,Poland,: u
Annual,Once (one time),Sexual,Percentage,Portugal,2.7
Annual,Once (one time),Sexual,Percentage,Romania,1.8 u
Annual,Once (one time),Sexual,Percentage,Serbia,2.4
Annual,Once (one time),Sexual,Percentage,Sweden,23.5
Annual,Once (one time),Sexual,Percentage,Slovenia,4.6
Annual,Once (one time),Sexual,Percentage,Slovakia,: u
Annual,Once (one time),Sexual,Percentage,Kosovo*,: u
Annual,Once (one time),Threats,Percentage,Austria,4.6
Annual,Once (one time),Threats,Percentage,Belgium,2.9
Annual,Once (one time),Threats,Percentage,Bulgaria,1.8 u
Annual,Once (one time),Threats,Percentage,Cyprus,3.0 u
Annual,Once (one time),Threats,Percentage,Czechia,1.0 u
Annual,Once (one time),Threats,Percentage,Germany,1.9 u
Annual,Once (one time),Threats,Percentage,Denmark,5.4 u
Annual,Once (one time),Threats,Percentage,Estonia,4.7
Annual,Once (one time),Threats,Percentage,Greece,5.5
Annual,Once (one time),Threats,Percentage,Spain,4.1 u
Annual,Once (one time),Threats,Percentage,European Union (aggregate changing according to the context),3.8 e
Annual,Once (one time),Threats,Percentage,Finland,6.8
Annual,Once (one time),Threats,Percentage,France,4.1 u
Annual,Once (one time),Threats,Percentage,Croatia,5.0
Annual,Once (one time),Threats,Percentage,Hungary,4.2
Annual,Once (one time),Threats,Percentage,Ireland,7.7
Annual,Once (one time),Threats,Percentage,Lithuania,4.1
Annual,Once (one time),Threats,Percentage,Luxembourg,6.9
Annual,Once (one time),Threats,Percentage,Latvia,5.5
Annual,Once (one time),Threats,Percentage,Montenegro,4.3
Annual,Once (one time),Threats,Percentage,Malta,3.2
Annual,Once (one time),Threats,Percentage,Netherlands,5.6
Annual,Once (one time),Threats,Percentage,Poland,: u
Annual,Once (one time),Threats,Percentage,Portugal,5.1
Annual,Once (one time),Threats,Percentage,Romania,3.6
Annual,Once (one time),Threats,Percentage,Serbia,3.2
Annual,Once (one time),Threats,Percentage,Sweden,8.8
Annual,Once (one time),Threats,Percentage,Slovenia,4.2
Annual,Once (one time),Threats,Percentage,Slovakia,: u
Annual,Once (one time),Threats,Percentage,Kosovo*,1.6 u
