Time frequency,Statistical information,Risk of poverty threshold,Unit of measure,Geopolitical entity (reporting)\Time,2020.0
Annual,Median equivalised income,Below 60%,Percentage,Bulgaria,9.7
Annual,Median equivalised income,Below 60%,Percentage,Switzerland,44.8
Annual,Median equivalised income,Below 60%,Percentage,Cyprus,21.2
Annual,Median equivalised income,Below 60%,Percentage,Czechia,22.9
Annual,Median equivalised income,Below 60%,Percentage,Germany,: u
Annual,Median equivalised income,Below 60%,Percentage,Denmark,23.8
Annual,Median equivalised income,Below 60%,Percentage,Estonia,27.6
Annual,Median equivalised income,Below 60%,Percentage,Greece,4.8
Annual,Median equivalised income,Below 60%,Percentage,Spain,42.7
Annual,Median equivalised income,Below 60%,Percentage,European Union - 27 countries (from 2020),31.7 u
Annual,Median equivalised income,Below 60%,Percentage,Finland,18.8
Annual,Median equivalised income,Below 60%,Percentage,France,40.0
Annual,Median equivalised income,Below 60%,Percentage,Croatia,21.4
Annual,Median equivalised income,Below 60%,Percentage,Hungary,6.9
Annual,Median equivalised income,Below 60%,Percentage,Ireland,38.0
Annual,Median equivalised income,Below 60%,Percentage,Lithuania,5.5 u
Annual,Median equivalised income,Below 60%,Percentage,Luxembourg,73.3
Annual,Median equivalised income,Below 60%,Percentage,Latvia,19.9
Annual,Median equivalised income,Below 60%,Percentage,Montenegro,10.0
Annual,Median equivalised income,Below 60%,Percentage,North Macedonia,5.7
Annual,Median equivalised income,Below 60%,Percentage,Malta,28.4
Annual,Median equivalised income,Below 60%,Percentage,Netherlands,9.5
Annual,Median equivalised income,Below 60%,Percentage,Norway,18.5
Annual,Median equivalised income,Below 60%,Percentage,Poland,15.4
Annual,Median equivalised income,Below 60%,Percentage,Portugal,57.6
Annual,Median equivalised income,Below 60%,Percentage,Romania,5.9
Annual,Median equivalised income,Below 60%,Percentage,Serbia,6.9
Annual,Median equivalised income,Below 60%,Percentage,Sweden,15.4
Annual,Median equivalised income,Below 60%,Percentage,Slovenia,37.6
Annual,Median equivalised income,Below 60%,Percentage,Slovakia,14.6
Annual,Median equivalised income,Total,Percentage,Albania,5.5
Annual,Median equivalised income,Total,Percentage,Austria,59.4
Annual,Median equivalised income,Total,Percentage,Belgium,57.4
Annual,Median equivalised income,Total,Percentage,Bulgaria,8.1
Annual,Median equivalised income,Total,Percentage,Switzerland,48.9
Annual,Median equivalised income,Total,Percentage,Cyprus,26.8
Annual,Median equivalised income,Total,Percentage,Czechia,41.1
Annual,Median equivalised income,Total,Percentage,Germany,: u
Annual,Median equivalised income,Total,Percentage,Denmark,58.4
Annual,Median equivalised income,Total,Percentage,Estonia,53.7
Annual,Median equivalised income,Total,Percentage,Greece,7.7
Annual,Median equivalised income,Total,Percentage,Spain,49.0
Annual,Median equivalised income,Total,Percentage,European Union - 27 countries (from 2020),48.1 u
Annual,Median equivalised income,Total,Percentage,Finland,38.8
Annual,Median equivalised income,Total,Percentage,France,60.4
Annual,Median equivalised income,Total,Percentage,Croatia,29.7
Annual,Median equivalised income,Total,Percentage,Hungary,27.1
Annual,Median equivalised income,Total,Percentage,Ireland,59.4
Annual,Median equivalised income,Total,Percentage,Lithuania,33.1 u
Annual,Median equivalised income,Total,Percentage,Luxembourg,70.8
Annual,Median equivalised income,Total,Percentage,Latvia,35.6
Annual,Median equivalised income,Total,Percentage,Montenegro,10.3
Annual,Median equivalised income,Total,Percentage,North Macedonia,9.2
Annual,Median equivalised income,Total,Percentage,Malta,45.4
Annual,Median equivalised income,Total,Percentage,Netherlands,27.7
Annual,Median equivalised income,Total,Percentage,Norway,43.6
Annual,Median equivalised income,Total,Percentage,Poland,18.8
Annual,Median equivalised income,Total,Percentage,Portugal,66.1
Annual,Median equivalised income,Total,Percentage,Romania,29.9
Annual,Median equivalised income,Total,Percentage,Serbia,12.5
Annual,Median equivalised income,Total,Percentage,Sweden,42.3
Annual,Median equivalised income,Total,Percentage,Slovenia,55.4
Annual,Median equivalised income,Total,Percentage,Slovakia,31.2
