Time frequency,Duration,Country of destination,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,From 1 to 3 nights,All countries of the world,Number,Malta,85100.0,85515.0,87579.0,81801.0,103639.0,102975.0,102412.0,112571.0,90978.0,106130.0,114952.0,137603.0
Annual,From 1 to 3 nights,All countries of the world,Number,Netherlands,8053928.0,7618271.0,7716141.0,7460235.0,7804466.0,7802410.0,7831409.0,8052438.0,6478134.0,8608971.0,8285936.0,8605477.0
Annual,From 1 to 3 nights,All countries of the world,Number,Norway,:,3181800.0,3194378.0,3152995.0,3131483.0,3252539.0,3422258.0,3383600.0,3040055.0,2925383.0,3398315.0,3488488.0
Annual,From 1 to 3 nights,All countries of the world,Number,Poland,10810000.0,10100000.0,11585800.0,12379398.0,13408325.0,13763180.0,14377384.0,14903457.0,10092773.0,11980766.0,14628073.0,15192414.0
Annual,From 1 to 3 nights,All countries of the world,Number,Portugal,2223751.0,2602737.0,2474601.0,2624702.0,2730658.0,2660677.0,2875301.0,3159850.0,2181350.0,2384986.0,2874982.0,3172304.0
Annual,From 1 to 3 nights,All countries of the world,Number,Romania,2055174.0,2489783.0,2492287.0,2618004.0,2400261.0,2750546.0,2655574.0,2633108.0,1745073.0,2552901.0,2652390.0,2331143.0
Annual,From 1 to 3 nights,All countries of the world,Number,Serbia,:,:,:,:,:,: @C,:,:,:,:,:,:
Annual,From 1 to 3 nights,All countries of the world,Number,Sweden,:,:,3174420.0,3370545.0,3572375.0,5647239.0,5521076.0,5845266.0,4908037.0,5483782.0,4905658.0,5145407.0
Annual,From 1 to 3 nights,All countries of the world,Number,Slovenia,639494.0,559414 e,581164 e,538088.0,664749.0,625437.0,665230.0,636081.0,536977.0,686116.0,641374.0,730363.0
Annual,From 1 to 3 nights,All countries of the world,Number,Slovakia,634090.0,1245513 b,1203789.0,1358427.0,1516980.0,2097906.0,2396195.0,2534034.0,1440587.0,1600316.0,2057850.0,1943722.0
Annual,From 1 to 3 nights,All countries of the world,Number,United Kingdom,4583000.0,11769700.0,13463400.0,12131100.0,12241150.0,12314476 e,:,:,:,:,:,:
Annual,1 night or over,All countries of the world,Number,Albania,:,:,:,:,:,1216664.0,1277572.0,1256939.0,834161.0,1148010.0,1291736.0,:
Annual,1 night or over,All countries of the world,Number,Austria,5437926.0,5467644.0,5511799.0,5545035.0,5661092.0,5668361.0,5848362.0,5815892.0,4531138.0,4954469.0,5766902.0,5908492.0
Annual,1 night or over,All countries of the world,Number,Belgium,4534221.0,5708759.0,5255288.0,5480598.0,5825439.0,5838576 b,6065208.0,6080845.0,4177585.0,4930528.0,5700642.0,6504927.0
Annual,1 night or over,All countries of the world,Number,Bulgaria,1201165.0,1398293.0,1612329.0,1763434.0,1841067.0,2127469.0,2067347.0,2236481.0,1602784.0,1511512.0,1647644.0,1984965.0
Annual,1 night or over,All countries of the world,Number,Switzerland,5640555.0,5711495.0,5754804.0,5891862.0,6116881.0,6134362.0,6224641.0,6086959.0,5486876.0,5779245.0,6145779.0,:
Annual,1 night or over,All countries of the world,Number,Cyprus,544925 e,373406 e,444501 e,476250 e,491014 e,491783 e,507317 e,537308 e,372813 e,407556 e,446633 e,484365 e
Annual,1 night or over,All countries of the world,Number,Czechia,6724164.0,6580964.0,7495851.0,7190847.0,7214653.0,7284097.0,6995226.0,7017668.0,6122945.0,6273953.0,6590668.0,6418909.0
Annual,1 night or over,All countries of the world,Number,Germany,54801532.0,54860590.0,53295033.0,53820334.0,53761868.0,51707246.0,53945660.0,54875841.0,43064242.0,46994591.0,49762712.0,53565918.0
Annual,1 night or over,All countries of the world,Number,Denmark,3553989 e,3837602.0,3864593.0,3765894.0,3832039.0,3404878 e,3400682 e,2830185.0,1934209.0,:,1866262.0,:
Annual,1 night or over,All countries of the world,Number,Euro area – 20 countries (from 2023),183373310.0,181157161.0,177553852.0,184666020.0,186536728.0,185565954 u,192366730.0,194488555.0,157146052.0,168001203 u,185683376 u,196665061.0
Annual,1 night or over,All countries of the world,Number,Estonia,685717.0,699962.0,787749.0,729477.0,759058.0,746057.0,877354.0,800306.0,274680.0,375140.0,513141.0,584033.0
Annual,1 night or over,All countries of the world,Number,Greece,3482938.0,3050958.0,3578609.0,3380943.0,3249406.0,3592564.0,3915849.0,3747838.0,3101098.0,3471378.0,3932823.0,4009180.0
Annual,1 night or over,All countries of the world,Number,Spain,20813614.0,21114718.0,20869290.0,24449869 b,25614204.0,25665519.0,26500895.0,27694148.0,25623541.0,21721484.0,26427605.0,28252224.0
Annual,1 night or over,All countries of the world,Number,European Union - 27 countries (from 2020),224895127 e,224720320 e,222539976.0,230307787.0,232977325.0,232782845 u,240501082.0,243254556.0,192613324.0,208569848 u,229051126 u,241552963.0
Annual,1 night or over,All countries of the world,Number,Finland,4061736.0,4014698.0,4032299.0,4035811.0,4079587.0,4086639.0,4088482.0,3731885.0,3142165.0,3222334.0,3506823.0,3481479.0
Annual,1 night or over,All countries of the world,Number,France,38380851.0,38480199.0,38229887.0,38689286.0,38049563.0,38695712.0,39136047.0,39144173.0,37615291.0,40463555.0,41039109.0,44791026.0
Annual,1 night or over,All countries of the world,Number,Croatia,1909309.0,1710521.0,1781473.0,1559333 b,1597525.0,1564984.0,1687520.0,1875589.0,1297936.0,1354229.0,1647954.0,1630604.0
Annual,1 night or over,All countries of the world,Number,Hungary,4354928.0,4318166.0,4482218.0,4523655.0,4728742.0,4791341.0,4907937.0,4987305.0,3431030.0,3549432.0,4411759.0,4658677.0
Annual,1 night or over,All countries of the world,Number,Ireland,2545174.0,2534005.0,2662137.0,2688271.0,2794153.0,2833130.0,2894173.0,2884048.0,2396689.0,2924221.0,3032857.0,3365723.0
Annual,1 night or over,All countries of the world,Number,Italy,24998498.0,21648795.0,19726341 b,21806405.0,21802773.0,21540692.0,23338194.0,23323631.0,13434730.0,16509351.0,20836362.0,20519925.0
Annual,1 night or over,All countries of the world,Number,Lithuania,1329514.0,1426056.0,1454396.0,1453527.0,1412182.0,1399279.0,1368814.0,1358364.0,758775.0,845419.0,1239354.0,1324521.0
Annual,1 night or over,All countries of the world,Number,Luxembourg,341767.0,378419.0,376984.0,389075.0,389553.0,401800.0,409408.0,427474.0,369847.0,400388.0,442020.0,450651.0
Annual,1 night or over,All countries of the world,Number,Latvia,791292.0,889146.0,878919.0,915729.0,963281.0,930819.0,986805.0,918999.0,672536.0,710799.0,898181.0,941084.0
Annual,1 night or over,All countries of the world,Number,Montenegro,:,:,:,:,: @C,:,:,:,:,:,:,:
Annual,1 night or over,All countries of the world,Number,North Macedonia,:,:,:,:,:,:,501285.0,508048.0,276296.0,446934.0,:,:
Annual,1 night or over,All countries of the world,Number,Malta,175406.0,182068.0,191974.0,186655.0,227047.0,251186.0,267058.0,284028.0,153588.0,197721.0,280776.0,268873.0
Annual,1 night or over,All countries of the world,Number,Netherlands,11630639.0,11604547.0,11485661.0,11498436.0,11881447.0,12040006.0,12033412.0,12161490.0,9978621.0,11763476.0,12255497.0,12430124.0
Annual,1 night or over,All countries of the world,Number,Norway,:,3508979.0,3520879.0,3542764.0,3548172.0,3656232.0,3767905.0,3705266.0,3360752.0,3317667.0,3746643.0,3839764.0
Annual,1 night or over,All countries of the world,Number,Poland,15660000.0,17050000.0,17199994.0,17447589.0,18375208.0,19180052.0,20035352.0,20763303.0,14104073.0,17016191.0,19140389.0,20451891.0
Annual,1 night or over,All countries of the world,Number,Portugal,3299493.0,3364354.0,3429793.0,3698666.0,3767951.0,3712984.0,3910378.0,4241103.0,3195335.0,3683528.0,4004120.0,4338691.0
Annual,1 night or over,All countries of the world,Number,Romania,3874801.0,4230146.0,4201139.0,4357576.0,3961003.0,4380527.0,4401006.0,4617129.0,2872629.0,4231509.0,4462312.0,3976481.0
Annual,1 night or over,All countries of the world,Number,Serbia,:,:,:,:,:,: @C,:,:,:,:,:,:
Annual,1 night or over,All countries of the world,Number,Sweden,:,:,6130000.0,6592772.0,6487885.0,6048527.0,6326802.0,6313930.0,5399602.0,5891605.0,5248716.0,5428855.0
Annual,1 night or over,All countries of the world,Number,Slovenia,1120255.0,1081948 e,1105720 e,1101410.0,1170373.0,1152354.0,1222193.0,1171714.0,1008418.0,1047717.0,1159814.0,1120607.0
Annual,1 night or over,All countries of the world,Number,Slovakia,2488503.0,2566368 b,2455999.0,2760910.0,3039212.0,3246263.0,3363601.0,3413879.0,1977024.0,2023319.0,2790051.0,2692614.0
Annual,1 night or over,All countries of the world,Number,United Kingdom,34148000.0,33832000.0,34338000.0,34565500.0,34583500.0,34790014 e,:,:,:,:,:,:
Annual,4 nights or over,All countries of the world,Number,Albania,:,:,:,:,:,819258.0,780211.0,902080.0,483906.0,764905.0,849254.0,:
Annual,4 nights or over,All countries of the world,Number,Austria,4274899.0,4196358.0,4250086.0,4293217.0,4418247.0,4419440.0,4504617.0,4556555.0,2862058.0,3430036.0,4619319.0,4614748.0
Annual,4 nights or over,All countries of the world,Number,Belgium,3936747.0,5030113.0,4493768.0,4759873.0,5124488.0,4892543 b,5129882.0,5300749.0,3177665.0,3899711.0,4783022.0,5638615.0
Annual,4 nights or over,All countries of the world,Number,Bulgaria,708617 b,898328.0,1048103.0,1340724.0,1250157.0,1589043.0,1499268.0,1627174.0,1109499.0,1071506.0,1070201.0,1369210.0
Annual,4 nights or over,All countries of the world,Number,Switzerland,4906022.0,5021948.0,5157234.0,5215723.0,5506010.0,5578408.0,5602655.0,5473320.0,4856167.0,4916385.0,5484228.0,:
Annual,4 nights or over,All countries of the world,Number,Cyprus,316849 e,201147 e,335665 e,374251 e,377204 e,377691 e,406519 e,436940 e,243550 e,278930 e,350748 e,394607 e
Annual,4 nights or over,All countries of the world,Number,Czechia,5105154 e,5050417.0,5860238.0,5404775.0,5461837.0,5617867.0,5390147.0,5495580.0,4114848.0,4633216.0,5077050.0,5137336.0
Annual,4 nights or over,All countries of the world,Number,Germany,45450152.0,45500860.0,45176420.0,44854461.0,45666926.0,43914403.0,47231661.0,45450360.0,30984688.0,36897459.0,41319447.0,45817795.0
Annual,4 nights or over,All countries of the world,Number,Denmark,3349876.0,3431117.0,3459870.0,3431417.0,3543693.0,2934117 e,2373251 e,1983176.0,1141215.0,:,1258906.0,:
Annual,4 nights or over,All countries of the world,Number,Euro area – 20 countries (from 2023),148683753.0,147258876.0,146313741.0,152433160.0,153861889.0,150310577 u,158698569.0,158098110.0,118531326.0,131450557 u,150903469 u,161973228.0
Annual,4 nights or over,All countries of the world,Number,Estonia,416498 b,439550.0,478734.0,457647.0,485221.0,483428.0,613571.0,496294.0,226131.0,270719.0,432334.0,482450.0
Annual,4 nights or over,All countries of the world,Number,Greece,2720425.0,2609241.0,3041058.0,2780638.0,2668259.0,3030286.0,3310908.0,3197545.0,2659582.0,2954334.0,3370054.0,3465901.0
Annual,4 nights or over,All countries of the world,Number,Spain,14857373.0,15103549.0,14768231.0,18689044 b,19664167.0,19486797.0,20736532.0,21691301.0,19617326.0,15641112.0,19910242.0,22030599.0
Annual,4 nights or over,All countries of the world,Number,European Union - 27 countries (from 2020),179825321.0,179517832 e,177052541.0,183575721.0,185384876.0,183010124 u,191300540.0,191268485.0,140034798.0,157695673 u,180043733 u,190681395.0
Annual,4 nights or over,All countries of the world,Number,Finland,3003136 b,3043838.0,3009361.0,3153223.0,3074364.0,3091860.0,3150300.0,2914614.0,2108829.0,2306398.0,2666642.0,2609306.0
Annual,4 nights or over,All countries of the world,Number,France,33475541.0,33732725.0,33641401.0,33640981.0,32822497.0,30076449.0,30948248.0,30769585.0,30064745.0,32909058.0,32634267.0,35525981.0
Annual,4 nights or over,All countries of the world,Number,Croatia,1238527.0,1071901.0,1236591.0,1084727 b,1119576.0,1235242.0,1284699.0,1362663.0,962066.0,1059121.0,1289266.0,1303256.0
Annual,4 nights or over,All countries of the world,Number,Hungary,2972789 b,2883016.0,2932883.0,3066132.0,3145209.0,3070877.0,3220675.0,3228556.0,1638830.0,2074472.0,2655217.0,2912488.0
Annual,4 nights or over,All countries of the world,Number,Ireland,1892215.0,1811280.0,2024182.0,1987949.0,2112565.0,2141669.0,2244945.0,2265643.0,1319358.0,1820991.0,2359007.0,2749881.0
Annual,4 nights or over,All countries of the world,Number,Italy,20543435.0,17605427.0,17283859 b,19000316.0,18386564.0,18902078.0,20456971.0,20621950.0,11945186.0,14706091.0,19116895.0,18625882.0
Annual,4 nights or over,All countries of the world,Number,Lithuania,624272.0,682718.0,711835.0,701600.0,664420.0,667774.0,642761.0,656336.0,256459.0,276418.0,544644.0,603195.0
Annual,4 nights or over,All countries of the world,Number,Luxembourg,305243.0,349212.0,306831.0,350013.0,363632.0,371782.0,224624.0,230061.0,311769.0,358097.0,399588.0,404236.0
Annual,4 nights or over,All countries of the world,Number,Latvia,390030.0,469646.0,451906.0,497235.0,528144.0,514757.0,580366.0,480089.0,267224.0,303996.0,511243.0,578963.0
Annual,4 nights or over,All countries of the world,Number,Montenegro,:,:,:,:,: @C,:,:,:,:,:,:,:
Annual,4 nights or over,All countries of the world,Number,North Macedonia,:,:,:,:,:,:,289119.0,342398.0,115392.0,260100.0,:,:
Annual,4 nights or over,All countries of the world,Number,Malta,121013.0,130118.0,142470.0,141236.0,171142.0,198633.0,223382.0,230806.0,82269.0,114592.0,221267.0,182988.0
Annual,4 nights or over,All countries of the world,Number,Netherlands,10249101 b,10122479.0,9916805.0,10022710.0,10435079.0,10620033.0,10684342.0,10800457.0,7538996.0,9697781.0,10804570.0,11049920.0
Annual,4 nights or over,All countries of the world,Number,Norway,:,3152025.0,3219625.0,3153969.0,3223002.0,3287871.0,3369698.0,3303359.0,2567913.0,2635409.0,3205629.0,3367993.0
Annual,4 nights or over,All countries of the world,Number,Poland,10860000.0,11880000.0,11815917.0,11806067.0,12512686.0,12867405.0,13254508.0,13559997.0,8613707.0,11116695.0,12721781.0,14062602.0
Annual,4 nights or over,All countries of the world,Number,Portugal,1919079.0,2448343.0,2341800.0,2586208.0,2638713.0,2671181.0,2840235.0,3145090.0,2253434.0,2711235.0,2851823.0,3182802.0
Annual,4 nights or over,All countries of the world,Number,Romania,1819627.0,1795490.0,1744979.0,1770499.0,1593251.0,1675556.0,1796906.0,2034131.0,1148666.0,1709330.0,1834311.0,1674636.0
Annual,4 nights or over,All countries of the world,Number,Serbia,:,:,:,:,:,: @C,:,:,:,:,:,:
Annual,4 nights or over,All countries of the world,Number,Sweden,6325505.0,:,3876810.0,4322947.0,4016154.0,4944682.0,5067216.0,5241761.0,3736707.0,4404141.0,4522798.0,2224277.0
Annual,4 nights or over,All countries of the world,Number,Slovenia,915345.0,872572 e,912147 e,919567.0,941055.0,976535.0,1048596.0,961895.0,720801.0,723596.0,937204.0,891178.0
Annual,4 nights or over,All countries of the world,Number,Slovakia,2033873.0,1837799 b,1790591.0,2138264.0,2199626.0,2237996.0,2435410.0,2529177.0,929190.0,1090882.0,1781887.0,1820925.0
Annual,4 nights or over,All countries of the world,Number,United Kingdom,29554000.0,28285000.0,23182200.0,24150900.0,23526890.0,23667136 e,:,:,:,:,:,:
