Annual,Thousand,Italy,43474.0,40656.0,45258.0,44622.0,46977.0,50373.0,44559.0,40998.0,37645.0,36107.0,38604.0,37411.0,35175.0,38888.0,45040.0,45697.0,29296.0,30923.0,40682.0,43590.0
Annual,Thousand,Lithuania,146.0,166.0,190.0,212.0,212.0,205.0,251.0,281.0,286.0,280.0,280.0,286.0,303.0,297.0,323.0,343.0,308.0,312.0,338.0,368.0
Annual,Thousand,Latvia,0.0,0.0,0.0,311.0,403.0,553.0,647.0,713.0,732.0,771.0,677.0,457.0,510.0,953.0,1017.0,1032.0,435.0,205.0,290.0,287.0
Annual,Thousand,Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,20.0,18.0,0.0,5.0,11.0,0.0
Annual,Thousand,Malta,3512.0,3463.0,3555.0,3795.0,3942.0,3792.0,4031.0,4125.0,4093.0,4849.0,5180.0,5583.0,6221.0,6752.0,7266.0,7402.0,4181.0,5023.0,6805.0,7835.0
Annual,Thousand,Netherlands,2012.0,2116.0,2127.0,1871.0,1959.0,1741.0,1997.0,1770.0,1706.0,1738.0,1819.0,1910.0,1934.0,1928.0,1980.0,2010.0,1008.0,857.0,1976.0,1972.0
Annual,Thousand,Norway,5777.0,6460.0,6233.0,6272.0,6133.0,5633.0,5724.0,5769.0,5763.0,5702.0,5929.0,6064.0,6160.0,6242.0,6167.0,6365.0,1893.0,1723.0,5561.0,5465.0
Annual,Thousand,Poland,1866.0,1379.0,1596.0,1479.0,1568.0,1518.0,1913.0,1900.0,1840.0,1740.0,1841.0,1990.0,2123.0,2167.0,2230.0,2279.0,1662.0,1925.0,2007.0,1926.0
Annual,Thousand,Portugal,309.0,309.0,322.0,357.0,334.0,388.0,336.0,318.0,255.0,249.0,252.0,269.0,314.0,338.0,350.0,371.0,541.0,701.0,843.0,970.0
Annual,Thousand,Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Thousand,Sweden,31404.0,30612.0,30327.0,30551.0,30565.0,29132.0,29304.0,29149.0,28425.0,28596.0,27540.0,27741.0,27906.0,29635.0,29429.0,29146.0,13229.0,16965.0,24897.0,23098.0
Annual,Thousand,Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Thousand,Türkiye,:,:,:,:,1224.0,1121.0,1291.0,1444.0,1443.0,1576.0,1672.0,1692.0,1100.0,1259.0,1242.0,1612.0,307.0,286.0,1405.0,1925.0
Annual,Thousand,United Kingdom,29454.0,26928.0,26608.0,26982.0,25947.0,24712.0,25006.0,24205.0,22600.0,23381.0,24086.0,23832.0,22808.0,22354.0,22409.0,21250.0,:,:,:,:
