Time frequency,Enterprise,Statistical classification of economic activities in the European Community (NACE Rev. 2),Economical indicator for structural business statistics,Unit of measure,Geopolitical entity (reporting)\Time,2018.0
Annual,Enterprises that did not relocate activities,High and medium high-technology manufacturing,Enterprises - number,Number,Slovakia,427.0
Annual,Enterprises that did not relocate activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Austria,952 u
Annual,Enterprises that did not relocate activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Bulgaria,2748.0
Annual,Enterprises that did not relocate activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Germany,43517 u
Annual,Enterprises that did not relocate activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Denmark,2117.0
Annual,Enterprises that did not relocate activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Finland,2403.0
Annual,Enterprises that did not relocate activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Hungary,2211.0
Annual,Enterprises that did not relocate activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Italy,11298.0
Annual,Enterprises that did not relocate activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Lithuania,1562.0
Annual,Enterprises that did not relocate activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Latvia,1022.0
Annual,Enterprises that did not relocate activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Netherlands,6402.0
Annual,Enterprises that did not relocate activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Norway,2861.0
Annual,Enterprises that did not relocate activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Poland,9163.0
Annual,Enterprises that did not relocate activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Portugal,3290.0
Annual,Enterprises that did not relocate activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Romania,5566.0
Annual,Enterprises that did not relocate activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Sweden,3904.0
Annual,Enterprises that did not relocate activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Slovakia,1567.0
Annual,Enterprises that did not relocate activities,Knowledge-intensive market services,Enterprises - number,Number,Austria,169 u
Annual,Enterprises that did not relocate activities,Knowledge-intensive market services,Enterprises - number,Number,Denmark,381.0
Annual,Enterprises that did not relocate activities,Knowledge-intensive market services,Enterprises - number,Number,Finland,617.0
Annual,Enterprises that did not relocate activities,Knowledge-intensive market services,Enterprises - number,Number,Slovakia,277.0
Annual,Enterprises that did not relocate activities,Total - all NACE activities,Enterprises - number,Number,Austria,1371 u
Annual,Enterprises that did not relocate activities,Total - all NACE activities,Enterprises - number,Number,Bulgaria,4935.0
Annual,Enterprises that did not relocate activities,Total - all NACE activities,Enterprises - number,Number,Germany,66764 u
Annual,Enterprises that did not relocate activities,Total - all NACE activities,Enterprises - number,Number,Denmark,3000.0
Annual,Enterprises that did not relocate activities,Total - all NACE activities,Enterprises - number,Number,Finland,3479.0
Annual,Enterprises that did not relocate activities,Total - all NACE activities,Enterprises - number,Number,Hungary,4272.0
Annual,Enterprises that did not relocate activities,Total - all NACE activities,Enterprises - number,Number,Italy,21275.0
Annual,Enterprises that did not relocate activities,Total - all NACE activities,Enterprises - number,Number,Lithuania,2502.0
Annual,Enterprises that did not relocate activities,Total - all NACE activities,Enterprises - number,Number,Latvia,1575.0
Annual,Enterprises that did not relocate activities,Total - all NACE activities,Enterprises - number,Number,Netherlands,8510.0
Annual,Enterprises that did not relocate activities,Total - all NACE activities,Enterprises - number,Number,Norway,3659.0
Annual,Enterprises that did not relocate activities,Total - all NACE activities,Enterprises - number,Number,Poland,17791.0
Annual,Enterprises that did not relocate activities,Total - all NACE activities,Enterprises - number,Number,Portugal,5786.0
Annual,Enterprises that did not relocate activities,Total - all NACE activities,Enterprises - number,Number,Romania,9803.0
Annual,Enterprises that did not relocate activities,Total - all NACE activities,Enterprises - number,Number,Sweden,5482.0
Annual,Enterprises that did not relocate activities,Total - all NACE activities,Enterprises - number,Number,Slovakia,2916.0
Annual,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Austria,4 u
Annual,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Bulgaria,3.0
Annual,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Germany,57 u
Annual,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Denmark,36.0
Annual,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Finland,35.0
Annual,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Hungary,15.0
Annual,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Italy,150.0
Annual,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Lithuania,4.0
Annual,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Latvia,9.0
Annual,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Netherlands,40.0
Annual,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Norway,28.0
Annual,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Poland,172.0
Annual,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Portugal,162.0
Annual,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Romania,20.0
Annual,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Sweden,82.0
Annual,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Slovakia,105.0
Annual,Enterprises that relocated activities,High and medium high-technology manufacturing,Enterprises - number,Number,Austria,3 u
Annual,Enterprises that relocated activities,High and medium high-technology manufacturing,Enterprises - number,Number,Denmark,23.0
Annual,Enterprises that relocated activities,High and medium high-technology manufacturing,Enterprises - number,Number,Finland,18.0
Annual,Enterprises that relocated activities,High and medium high-technology manufacturing,Enterprises - number,Number,Slovakia,52.0
Annual,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Austria,7 u
Annual,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Bulgaria,11.0
Annual,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Germany,38 u
Annual,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Denmark,42.0
Annual,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Finland,31.0
Annual,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Hungary,15.0
Annual,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Italy,50.0
Annual,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Lithuania,5.0
Annual,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Latvia,16.0
Annual,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Netherlands,45.0
Annual,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Norway,28.0
Annual,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Poland,131.0
Annual,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Portugal,235.0
Annual,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Romania,18.0
Annual,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Sweden,38.0
Annual,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Slovakia,40.0
Annual,Enterprises that relocated activities,Knowledge-intensive market services,Enterprises - number,Number,Austria,3 u
Annual,Enterprises that relocated activities,Knowledge-intensive market services,Enterprises - number,Number,Denmark,8.0
Annual,Enterprises that relocated activities,Knowledge-intensive market services,Enterprises - number,Number,Finland,5.0
Annual,Enterprises that relocated activities,Knowledge-intensive market services,Enterprises - number,Number,Slovakia,11.0
Annual,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Austria,11 u
Annual,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Bulgaria,14.0
Annual,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Germany,95 u
Annual,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Denmark,78.0
Annual,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Finland,65.0
Annual,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Hungary,30.0
Annual,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Italy,201.0
Annual,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Lithuania,9.0
Annual,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Latvia,25.0
Annual,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Netherlands,85.0
Annual,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Norway,56.0
Annual,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Poland,303.0
Annual,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Portugal,397.0
Annual,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Romania,38.0
Annual,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Sweden,120.0
Annual,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Slovakia,145.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Austria,423 u
Annual,Total,Industry (except construction),Enterprises - number,Number,Bulgaria,2190.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Germany,23304 u
Annual,Total,Industry (except construction),Enterprises - number,Number,Denmark,919.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Finland,1110.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Hungary,2076.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Italy,10128.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Lithuania,944.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Latvia,562.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Netherlands,2148.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Norway,826.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Poland,8800.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Portugal,2658.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Romania,4257.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Sweden,1660.0
Annual,Total,Industry (except construction),Enterprises - number,Number,Slovakia,1454.0
Annual,Total,High and medium high-technology manufacturing,Enterprises - number,Number,Austria,143 u
Annual,Total,High and medium high-technology manufacturing,Enterprises - number,Number,Denmark,355.0
Annual,Total,High and medium high-technology manufacturing,Enterprises - number,Number,Finland,358.0
Annual,Total,High and medium high-technology manufacturing,Enterprises - number,Number,Slovakia,479.0
Annual,Total,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Austria,959 u
Annual,Total,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Bulgaria,2759.0
Annual,Total,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Germany,43555 u
Annual,Total,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Denmark,2159.0
Annual,Total,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Finland,2435.0
Annual,Total,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Hungary,2226.0
Annual,Total,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Italy,11348.0
Annual,Total,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Lithuania,1567.0
Annual,Total,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Latvia,1038.0
Annual,Total,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Netherlands,6447.0
Annual,Total,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Norway,2889.0
Annual,Total,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Poland,9294.0
Annual,Total,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Portugal,3525.0
Annual,Total,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Romania,5584.0
Annual,Total,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Sweden,3942.0
Annual,Total,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Slovakia,1607.0
Annual,Total,Knowledge-intensive market services,Enterprises - number,Number,Austria,172 u
Annual,Total,Knowledge-intensive market services,Enterprises - number,Number,Denmark,389.0
Annual,Total,Knowledge-intensive market services,Enterprises - number,Number,Finland,622.0
Annual,Total,Knowledge-intensive market services,Enterprises - number,Number,Slovakia,288.0
Annual,Total,Total - all NACE activities,Enterprises - number,Number,Austria,1382 u
Annual,Total,Total - all NACE activities,Enterprises - number,Number,Bulgaria,4949.0
Annual,Total,Total - all NACE activities,Enterprises - number,Number,Germany,66859 u
Annual,Total,Total - all NACE activities,Enterprises - number,Number,Denmark,3078.0
Annual,Total,Total - all NACE activities,Enterprises - number,Number,Finland,3545.0
Annual,Total,Total - all NACE activities,Enterprises - number,Number,Hungary,4302.0
Annual,Total,Total - all NACE activities,Enterprises - number,Number,Italy,21476.0
Annual,Total,Total - all NACE activities,Enterprises - number,Number,Lithuania,2511.0
Annual,Total,Total - all NACE activities,Enterprises - number,Number,Latvia,1600.0
Annual,Total,Total - all NACE activities,Enterprises - number,Number,Netherlands,8595.0
Annual,Total,Total - all NACE activities,Enterprises - number,Number,Norway,3715.0
Annual,Total,Total - all NACE activities,Enterprises - number,Number,Poland,18094.0
Annual,Total,Total - all NACE activities,Enterprises - number,Number,Portugal,6183.0
Annual,Total,Total - all NACE activities,Enterprises - number,Number,Romania,9841.0
Annual,Total,Total - all NACE activities,Enterprises - number,Number,Sweden,5602.0
Annual,Total,Total - all NACE activities,Enterprises - number,Number,Slovakia,3061.0
