Time frequency,Duration,Statistical information,Risk of poverty threshold,Unit of measure,Geopolitical entity (reporting)\Time,2020.0
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Czechia,22.2
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Germany,: u
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Denmark,17.0
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Estonia,24.3
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Greece,15.9
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Spain,14.2
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,European Union - 27 countries (from 2020),14.5 u
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Finland,21.9
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,France,11.0
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Croatia,17.5
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Hungary,9.6
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Ireland,14.3
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Lithuania,19.3
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Luxembourg,21.0
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Latvia,21.3
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Montenegro,20.0
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,North Macedonia,20.7
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Malta,19.1
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Netherlands,24.2
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Norway,25.1
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Poland,22.0
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Portugal,15.8
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Romania,8.0
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Serbia,11.9
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Sweden,14.2
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Slovenia,13.5
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Slovakia,12.5
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Albania,22.8
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Austria,28.1
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Belgium,21.0
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Bulgaria,14.3
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Switzerland,21.6
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Cyprus,22.3
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Czechia,32.3
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Germany,: u
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Denmark,23.0
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Estonia,28.9
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Greece,26.7
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Spain,17.2
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,European Union - 27 countries (from 2020),22.3 u
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Finland,23.2
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,France,19.2
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Croatia,25.8
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Hungary,19.5
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Ireland,21.3
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Lithuania,29.6
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Luxembourg,23.6
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Latvia,27.9
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Montenegro,30.2
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,North Macedonia,25.3
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Malta,23.6
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Netherlands,26.6
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Norway,26.5
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Poland,29.5
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Portugal,23.6
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Romania,17.9
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Serbia,19.7
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Sweden,22.0
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Slovenia,19.5
Annual,From 3 to 6 months,Median equivalised income,Total,Percentage,Slovakia,32.9
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Albania,16.1
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Austria,29.0
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Belgium,14.4
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Bulgaria,4.5
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Switzerland,20.3
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Cyprus,22.0
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Czechia,18.5
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Germany,: u
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Denmark,15.3
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Estonia,12.1
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Greece,13.9
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Spain,21.7
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,European Union - 27 countries (from 2020),17.4 u
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Finland,22.8
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,France,17.4
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Croatia,23.8
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Hungary,8.7
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Ireland,15.6
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Lithuania,14.4
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Luxembourg,21.5
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Latvia,13.2
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Montenegro,12.7
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,North Macedonia,20.4
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Malta,27.2
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Netherlands,21.5
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Norway,18.4
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Poland,13.4
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Portugal,15.7
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Romania,10.3
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Serbia,10.8
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Sweden,19.9
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Slovenia,13.5
Annual,From 6 to 12 months,Median equivalised income,Above 60%,Percentage,Slovakia,14.3
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Albania,15.1
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Austria,19.1
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Belgium,5.1
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Bulgaria,0.9
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Switzerland,12.0
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Cyprus,12.2
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Czechia,10.2
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Germany,: u
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Denmark,10.9
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Estonia,10.2
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Greece,6.7
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Spain,9.9
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,European Union - 27 countries (from 2020),8.4 u
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Finland,16.4
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,France,6.7
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Croatia,10.5
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Hungary,3.4
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Ireland,4.3
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Lithuania,4.3
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Luxembourg,6.2
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Latvia,8.7
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Montenegro,0.9
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,North Macedonia,11.2
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Malta,21.9
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Netherlands,15.6
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Norway,13.0
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Poland,8.1
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Portugal,7.5
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Romania,4.4
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Serbia,3.2
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Sweden,10.1
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Slovenia,6.9
Annual,From 6 to 12 months,Median equivalised income,Below 60%,Percentage,Slovakia,6.9
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Albania,15.9
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Austria,27.8
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Belgium,13.1
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Bulgaria,3.6
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Switzerland,19.1
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Cyprus,21.1
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Czechia,17.9
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Germany,: u
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Denmark,14.8
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Estonia,11.8
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Greece,13.2
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Spain,19.3
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,European Union - 27 countries (from 2020),16.1 u
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Finland,22.1
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,France,15.9
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Croatia,22.9
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Hungary,8.1
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Ireland,14.0
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Lithuania,12.9
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Luxembourg,19.2
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Latvia,12.5
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Montenegro,11.4
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,North Macedonia,19.0
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Malta,26.4
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Netherlands,20.9
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Norway,17.9
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Poland,12.8
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Portugal,14.4
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Romania,9.1
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Serbia,9.5
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Sweden,18.4
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Slovenia,12.8
Annual,From 6 to 12 months,Median equivalised income,Total,Percentage,Slovakia,13.6
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Albania,4.2
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Austria,21.5
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Belgium,28.4
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Bulgaria,1.8
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Switzerland,28.2
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Cyprus,20.3
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Czechia,10.9
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Germany,: u
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Denmark,20.6
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Estonia,8.4
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Greece,10.2
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Spain,21.3
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,European Union - 27 countries (from 2020),16.9 u
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Finland,23.0
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,France,19.0
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Croatia,16.9
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Hungary,6.5
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Ireland,12.2
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Lithuania,8.1
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Luxembourg,27.6
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Latvia,5.9
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Montenegro,5.6
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,North Macedonia,10.6
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Malta,24.8
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Netherlands,29.1
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Norway,28.8
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Poland,6.1
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Portugal,15.4
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Romania,4.3
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Serbia,5.0
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Sweden,28.8
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Slovenia,12.7
Annual,Over 12 months,Median equivalised income,Above 60%,Percentage,Slovakia,7.4
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Albania,0.8
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Austria,10.6
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Belgium,9.4
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Bulgaria,0.3
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Switzerland,23.0
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Cyprus,10.6
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Czechia,4.5
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Germany,: u
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Denmark,16.0
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Estonia,4.5
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Greece,4.3
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Spain,6.0
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,European Union - 27 countries (from 2020),6.4 u
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Finland,16.7
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,France,4.5
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Croatia,9.5
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Hungary,2.3
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Ireland,3.4
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Lithuania,4.2
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Luxembourg,7.6
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Latvia,3.0
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Montenegro,7.1
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,North Macedonia,3.9
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Malta,15.3
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Netherlands,21.1
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Norway,23.5
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Poland,3.0
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Portugal,6.7
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Romania,1.6
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Serbia,2.8
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Sweden,12.0
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Slovenia,6.2
Annual,Over 12 months,Median equivalised income,Below 60%,Percentage,Slovakia,2.3
Annual,Over 12 months,Median equivalised income,Total,Percentage,Albania,3.5
Annual,Over 12 months,Median equivalised income,Total,Percentage,Austria,20.2
Annual,Over 12 months,Median equivalised income,Total,Percentage,Belgium,25.7
Annual,Over 12 months,Median equivalised income,Total,Percentage,Bulgaria,1.5
Annual,Over 12 months,Median equivalised income,Total,Percentage,Switzerland,27.4
Annual,Over 12 months,Median equivalised income,Total,Percentage,Cyprus,19.4
Annual,Over 12 months,Median equivalised income,Total,Percentage,Czechia,10.4
Annual,Over 12 months,Median equivalised income,Total,Percentage,Germany,: u
Annual,Over 12 months,Median equivalised income,Total,Percentage,Denmark,20.0
Annual,Over 12 months,Median equivalised income,Total,Percentage,Estonia,7.7
Annual,Over 12 months,Median equivalised income,Total,Percentage,Greece,9.6
Annual,Over 12 months,Median equivalised income,Total,Percentage,Spain,18.1
Annual,Over 12 months,Median equivalised income,Total,Percentage,European Union - 27 countries (from 2020),15.4 u
Annual,Over 12 months,Median equivalised income,Total,Percentage,Finland,22.4
Annual,Over 12 months,Median equivalised income,Total,Percentage,France,16.9
Annual,Over 12 months,Median equivalised income,Total,Percentage,Croatia,16.4
Annual,Over 12 months,Median equivalised income,Total,Percentage,Hungary,6.0
Annual,Over 12 months,Median equivalised income,Total,Percentage,Ireland,11.0
Annual,Over 12 months,Median equivalised income,Total,Percentage,Lithuania,7.5
Annual,Over 12 months,Median equivalised income,Total,Percentage,Luxembourg,24.6
Annual,Over 12 months,Median equivalised income,Total,Percentage,Latvia,5.5
Annual,Over 12 months,Median equivalised income,Total,Percentage,Montenegro,5.8
Annual,Over 12 months,Median equivalised income,Total,Percentage,North Macedonia,9.6
Annual,Over 12 months,Median equivalised income,Total,Percentage,Malta,23.4
Annual,Over 12 months,Median equivalised income,Total,Percentage,Netherlands,28.3
Annual,Over 12 months,Median equivalised income,Total,Percentage,Norway,28.3
Annual,Over 12 months,Median equivalised income,Total,Percentage,Poland,5.7
Annual,Over 12 months,Median equivalised income,Total,Percentage,Portugal,14.0
Annual,Over 12 months,Median equivalised income,Total,Percentage,Romania,3.7
Annual,Over 12 months,Median equivalised income,Total,Percentage,Serbia,4.6
Annual,Over 12 months,Median equivalised income,Total,Percentage,Sweden,26.3
Annual,Over 12 months,Median equivalised income,Total,Percentage,Slovenia,12.1
Annual,Over 12 months,Median equivalised income,Total,Percentage,Slovakia,6.9
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Albania,55.2
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Austria,20.3
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Belgium,34.8
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Bulgaria,76.1
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Switzerland,29.2
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Cyprus,34.5
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Czechia,37.6
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Germany,: u
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Denmark,40.3
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Estonia,49.5
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Greece,47.8
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Spain,39.0
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,European Union - 27 countries (from 2020),42.0 u
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Finland,30.9
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,France,43.0
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Croatia,32.9
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Hungary,63.8
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Ireland,49.8
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Lithuania,46.0
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Luxembourg,26.8
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Latvia,51.6
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Montenegro,50.2
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,North Macedonia,42.8
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Malta,23.6
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Netherlands,22.5
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Norway,26.2
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Poland,50.0
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Portugal,43.8
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Romania,65.1
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Serbia,63.0
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Sweden,27.8
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Slovenia,53.6
Annual,Less than 3 months,Median equivalised income,Above 60%,Percentage,Slovakia,43.4
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Albania,67.8
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Austria,50.4
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Belgium,73.4
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Bulgaria,94.8
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Switzerland,47.3
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Cyprus,62.6
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Czechia,63.2
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Germany,: u
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Denmark,56.1
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Estonia,61.0
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Greece,73.1
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Spain,69.8
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,European Union - 27 countries (from 2020),70.7 u
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Finland,44.9
