Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage of gross domestic product (GDP),"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,:,16.9 e,15.6 e,15.2 e,14.0 e,14.1 e,14.2 e,14.7 e,14.6 e,14.6 p
Annual,Percentage of gross domestic product (GDP),Finland,13.7 e,18.2 e,16.8 e,19.6 e,26.1 e,26.3 e,21.7 e,24.3 e,19.1 e,17.7 e,18.9 e,16.1 e,16.6 e,16.0 e,16.2 e,17.4 p
Annual,Percentage of gross domestic product (GDP),France,23.2 e,26.7 e,20.7 e,20.1 e,21.1 e,20.1 e,18.1 e,18.9 e,17.3 e,16.0 e,15.2 e,15.3 e,15.1 e,16.2 e,15.8 e,16.0 p
Annual,Percentage of gross domestic product (GDP),Croatia,:,:,:,:,:,:,7.5 e,7.2 e,8.0 e,7.2 e,7.4 e,7.5 e,7.5 e,7.6 e,7.8 e,9.0 p
Annual,Percentage of gross domestic product (GDP),Hungary,:,15.5 e,13.4 e,12.3 e,13.5 e,11.5 e,10.7 e,10.9 e,11.2 e,9.9 e,9.7 e,9.4 e,9.5 e,10.8 e,10.9 e,11.4 p
Annual,Percentage of gross domestic product (GDP),Ireland,:,29.9 e,20.9 e,21.1 e,17.7 e,15.8 e,15.0 e,9.1 e,7.8 e,7.4 e,6.6 e,6.7 e,7.4 e,8.8 e,8.8 e,9.3 p
Annual,Percentage of gross domestic product (GDP),Italy,13.0 e,14.3 e,12.8 e,12.7 e,14.9 e,14.4 e,15.0 e,14.0 e,13.1 e,14.2 e,12.2 e,13.1 e,12.9 e,13.9 e,14.3 e,13.7 p
Annual,Percentage of gross domestic product (GDP),Lithuania,14.9 e,14.4 e,17.8 e,14.2 e,11.3 e,10.2 e,9.6 e,9.7 e,9.0 e,11.6 e,10.7 e,10.4 e,14.5 e,15.5 e,15.7 e,17.1 p
Annual,Percentage of gross domestic product (GDP),Luxembourg,:,25.8 e,18.5 e,16.8 e,17.7 e,15.1 e,13.9 e,13.4 e,13.4 e,13.4 e,13.2 e,14.6 e,15.0 e,14.3 e,15.2 e,15.2 p
Annual,Percentage of gross domestic product (GDP),Latvia,:,12.2 e,13.2 e,12.7 e,10.7 e,10.2 e,9.9 e,10.2 e,9.5 e,9.9 e,8.9 e,7.8 e,9.8 e,10.0 e,10.3 e,10.2 p
Annual,Percentage of gross domestic product (GDP),Malta,10.8 e,12.4 e,9.5 e,5.0 e,5.1 e,5.0 e,6.6 e,11.9 e,14.1 e,15.8 e,13.5 e,12.2 e,11.2 e,10.7 e,12.6 e,12.6 p
Annual,Percentage of gross domestic product (GDP),Netherlands,:,31.9 e,23.2 e,23.2 e,24.2 e,22.3 e,20.8 e,18.5 e,18.0 e,17.7 e,16.7 e,16.1 e,16.1 e,16.7 e,16.3 e,15.9 p
Annual,Percentage of gross domestic product (GDP),Poland,9.7 e,10.8 e,9.3 e,10.0 e,9.9 e,9.1 e,9.0 e,9.3 e,9.2 e,9.4 e,8.8 e,9.3 e,9.7 e,10.5 e,12.9 e,13.5 p
Annual,Percentage of gross domestic product (GDP),Portugal,15.7 e,18.1 e,16.1 e,16.2 e,19.6 e,15.5 e,14.8 e,13.7 e,12.4 e,12.9 e,10.6 e,11.0 e,10.8 e,11.4 e,12.0 e,12.3 p
Annual,Percentage of gross domestic product (GDP),Romania,12.5 e,10.9 e,11.0 e,10.1 e,10.0 e,9.7 e,9.7 e,10.5 e,9.8 e,9.8 e,9.6 e,9.3 e,9.1 e,9.1 e,10.2 e,11.2 p
Annual,Percentage of gross domestic product (GDP),Sweden,:,26.1 e,22.8 e,22.4 e,24.1 e,22.1 e,21.3 e,20.6 e,18.8 e,17.6 e,16.5 e,18.1 e,17.9 e,17.6 e,16.4 e,16.3 p
Annual,Percentage of gross domestic product (GDP),Slovenia,12.7 e,12.7 e,12.9 e,13.2 e,13.3 e,12.9 e,11.3 e,9.3 e,8.6 e,8.0 e,8.0 e,8.2 e,8.2 e,9.3 e,9.6 e,10.0 p
Annual,Percentage of gross domestic product (GDP),Slovakia,13.6 e,12.3 e,10.5 e,10.4 e,9.4 e,8.5 e,8.2 e,8.4 e,9.0 e,9.2 e,9.3 e,9.5 e,9.6 e,9.7 e,10.4 e,10.7 p
