Time frequency,Age class,Sex,Demographic indicator,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
Annual,Total,Females,Life expectancy at birth,Algeria,75.6,76.8,76.8,76.4,76.3,77.0,77.4,77.1,77.6,77.8,77.8,78.2,78.2,:,:
Annual,Total,Females,Life expectancy at birth,Egypt,:,69.1,69.6,70.0,70.5,70.9,71.4,71.8,72.2,72.5,72.9,73.3,74.3,74.7,75.1
Annual,Total,Females,Life expectancy at birth,Israel,82.2,82.6,82.4,83.0,83.3 bd,83.6,83.5,83.6,83.9,84.1,84.1,84.2,84.6,84.6,:
Annual,Total,Females,Life expectancy at birth,Jordan,72.5,74.4 p,74.4 p,:,:,:,76.7,76.7,76.7,74.2,74.2,74.2,:,74.2,:
Annual,Total,Females,Life expectancy at birth,Morocco,73.2 e,73.5 e,73.7 e,73.9 e,:,75.6,75.8,76.0,76.2,77.3,77.4,77.6,77.8,78.0,78.2
Annual,Total,Females,Life expectancy at birth,Palestine*,73.0 e,73.2 e,72.6 e,72.9 e,73.2 e,73.6 e,73.9 e,74.1 e,74.4,74.4,75.0,75.2,75.0,75.1,75.2
Annual,Total,Females,Life expectancy at birth,Tunisia,75.5,76.0,76.2 p,76.3 p,76.6,76.8,76.8,77.3,77.2,77.4,77.8 e,78.1 e,:,:,:
Annual,Total,Females,Total fertility rate,Algeria,3.0,2.0,:,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,:,:
Annual,Total,Females,Total fertility rate,Egypt,3.0,:,:,3.0,:,:,:,:,:,4.0,:,:,:,:,:
Annual,Total,Females,Total fertility rate,Israel,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,:,:
Annual,Total,Females,Total fertility rate,Jordan,3.0,4 p,4 p,4 p,4 p,4 p,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,:
Annual,Total,Females,Total fertility rate,Morocco,2 e,2 e,2 e,2 e,2.0,2.0,2.0,2.0,:,2.0,2.0,2.0,2.0,2.0,2.0
Annual,Total,Females,Total fertility rate,Palestine*,:,5.0,:,:,:,4.0,:,:,:,4.0,:,:,:,:,:
Annual,Total,Females,Total fertility rate,Tunisia,2.0,2.0,2 p,2 p,2.0,2.0,2.0,2.0,2.0,2 p,2 e,2 e,:,:,:
Annual,Total,Males,Mean age at first marriage,Algeria,:,33.5,:,33.0,:,:,:,32.3,:,:,:,:,:,:,:
Annual,Total,Males,Mean age at first marriage,Egypt,28.7,28.7,:,28.2,29.3,28.7,28.7,29.2,29.2,29.2,30.1,30.2,30.4,30.6,:
Annual,Total,Males,Mean age at first marriage,Israel,32.3,32.3,32.2,32.1,31.5,31.5,31.4,31.5,31.3,31.1,31.1,30.9,:,:,:
Annual,Total,Males,Mean age at first marriage,Jordan,29.7,29.5,29.5,:,:,:,29.9,29.9,29.8,30.2,31.3,31.3,:,30.7,:
Annual,Total,Males,Mean age at first marriage,Morocco,:,:,31.8 e,:,:,31.4,:,:,:,31.3,:,:,:,31.9,:
Annual,Total,Males,Mean age at first marriage,Palestine*,25.1,25.2,25.1,25.1,25.1,25.1,25.1,24.6,24.7,24.7,24.7,24.8,24.9,25.1,:
Annual,Total,Males,Mean age at first marriage,Tunisia,32.2,31.7,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Total,Males,Under 5 mortality rate (per 1000 live birth),Algeria,37.5,32.9,32.7,31.3,30.8,29.0,28.3,27.3,27.3,27.1,27.1,25.6,25.6,:,:
Annual,Total,Males,Under 5 mortality rate (per 1000 live birth),Egypt,27.7,26.9,24.1,21.6,17.6,19.3,20.4,21.1,20.2,:,:,:,:,21.3,:
Annual,Total,Males,Under 5 mortality rate (per 1000 live birth),Israel,5.9,5.9,5.2,5.4,4.9,4.6,4.5,4.6,4.2,4.2,4.1,4.1,4.1,3.8,:
Annual,Total,Males,Under 5 mortality rate (per 1000 live birth),Lebanon,:,:,:,:,11.0 e,:,:,:,:,:,:,:,:,:,:
Annual,Total,Males,Under 5 mortality rate (per 1000 live birth),Morocco,:,:,:,:,:,6.7,:,:,:,:,:,:,:,4.5,:
Annual,Total,Males,Under 5 mortality rate (per 1000 live birth),Palestine*,:,30.3 e,:,:,26.6 e,:,:,:,:,22.5,:,:,:,:,:
Annual,Total,Males,Infant mortality rate,Algeria,32.4,28.3,27.9,26.9,26.6,25.2,24.6,23.9,23.6,23.5,23.7,22.4,22.6,:,:
Annual,Total,Males,Infant mortality rate,Egypt,21.4,20.6,18.9,16.4,12.1,14.5,15.5,15.9,15.5,15.3,16.3,15.8,16.0,16.4,:
Annual,Total,Males,Infant mortality rate,Israel,4.6,4.4,4.1,4.4,4.1,3.9,3.8,3.8,3.3,3.3,3.3,3.4,3.3,3.1,:
Annual,Total,Males,Infant mortality rate,Jordan,17.5 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Total,Males,Infant mortality rate,Lebanon,:,:,:,:,10.0 e,:,:,:,:,:,:,:,:,:,:
Annual,Total,Males,Infant mortality rate,Morocco,:,:,:,:,:,32.7,33.8,:,:,:,:,:,:,18.3,:
Annual,Total,Males,Infant mortality rate,Palestine*,:,27.3 e,:,:,20.6 e,:,:,:,:,19.2,:,:,:,:,:
Annual,Total,Males,Infant mortality rate,Tunisia,21.5,:,:,:,19.3,18.1,17.9,18.0,17.7,17.9,16.7 e,15.2 e,:,:,:
Annual,Total,Males,Life expectancy at birth,Algeria,73.6,74.7,74.7,74.8,74.7,75.6,75.6,75.8,76.5,76.6,76.4,77.1,76.9,:,:
Annual,Total,Males,Life expectancy at birth,Egypt,:,66.5,66.9,67.3,67.8,68.2,68.6,69.0,69.4,69.7,70.1,70.5,71.9,72.3,72.7
Annual,Total,Males,Life expectancy at birth,Israel,78.3,78.7,78.7,79.0,79.6 bd,79.7,79.9,79.9,80.3,80.3,80.1,80.7,80.6,80.6,:
Annual,Total,Males,Life expectancy at birth,Jordan,70.8,71.6 p,71.6 p,:,:,:,72.7,72.7,72.7,72.8,72.8,72.8,:,72.8,:
Annual,Total,Males,Life expectancy at birth,Morocco,70.8 e,71.0 e,71.2 e,71.4 e,:,73.9,74.0,74.2,74.3,74.0,74.2,74.3,74.5,74.6,74.8
Annual,Total,Males,Life expectancy at birth,Palestine*,71.7 e,71.7 e,69.9 e,70.2 e,70.5 e,70.8 e,71.0 e,71.3 e,71.5,71.8,72.0,72.1,72.7,72.8,72.9
Annual,Total,Males,Life expectancy at birth,Tunisia,71.6,71.9,72.3 p,72.4 p,71.3,71.8,72.5,73.3,73.9,73.9,74.5 e,74.5 e,:,:,:
Annual,Total,Total,Under 5 mortality rate (per 1000 live birth),Algeria,35.3,31.4,30.8,29.8,29.0,27.5,26.8,26.1,26.1,25.6,25.7,24.0,24.0,:,:
Annual,Total,Total,Under 5 mortality rate (per 1000 live birth),Egypt,26.0,25.3,22.7,20.6,16.9,18.7,19.1,19.7,19.1,18.9,20.3,19.6,19.5,20.0,:
Annual,Total,Total,Under 5 mortality rate (per 1000 live birth),Israel,5.5,5.3,4.9,4.8,4.6,4.4,4.4,4.3,3.9,3.9,3.8,3.8,3.9,3.7,:
Annual,Total,Total,Under 5 mortality rate (per 1000 live birth),Jordan,:,:,:,:,:,:,21.0,21.0,21.0,19.0,19.0,19.0,:,19.0,:
Annual,Total,Total,Under 5 mortality rate (per 1000 live birth),Lebanon,:,:,:,:,10.0 e,:,:,:,:,:,:,:,:,:,:
Annual,Total,Total,Under 5 mortality rate (per 1000 live birth),Morocco,:,:,:,:,:,6.3,:,:,:,:,:,:,:,4.2,:
Annual,Total,Total,Under 5 mortality rate (per 1000 live birth),Palestine*,:,28.2 e,:,:,23.4 e,:,:,:,:,21.7,:,:,:,:,:
Annual,Total,Total,Crude birth rate,Algeria,21.4,22.1,23.0,23.6,24.1,24.7,24.8,26.1,25.1,25.9,26.0,26.1,25.4,:,:
Annual,Total,Total,Crude birth rate,Egypt,25.5,25.7,26.5,27.3,28.8,28.7,30.4,31.9,31.0,31.3,30.2,28.6,26.8,24.5,:
Annual,Total,Total,Crude birth rate,Israel,20.8,21.0,21.1,21.5,21.5,21.8,21.4,21.6,21.3,21.5,21.3,21.2,21.1,:,:
Annual,Total,Total,Crude birth rate,Jordan,29.1,29.1 p,29.1 p,30.1 p,30.1 p,30.1 p,27.6,27.6,28.6,:,22.6,22.6,:,23.3,:
Annual,Total,Total,Crude birth rate,Lebanon,:,:,21.5 e,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Total,Total,Crude birth rate,Morocco,20.0 e,19.8 e,19.5 e,19.2 e,18.8 e,18.7 e,18.5 e,18.3 e,18.1,17.8,17.6,17.4,17.2,16.9,16.7
Annual,Total,Total,Crude birth rate,Palestine*,37.3 e,36.7 e,32.5,32.6,32.7,32.8 e,32.8 e,32.7 e,32.6,32.3,31.9,30.9,30.7,30.5,30.2
Annual,Total,Total,Crude birth rate,Tunisia,17.1,16.8,17.4 p,17.7 p,18.9,19.3,19.3,20.2,20.5,20.5,19.9 e,19.4 e,:,:,:
Annual,Total,Total,Crude death rate,Algeria,4.5,4.3,4.4,4.4,4.5,4.4,4.4,4.5,4.4,4.4,4.6,4.4,:,:,:
Annual,Total,Total,Crude death rate,Egypt,6.4,6.3,6.1,6.1,6.2,6.1,6.1,6.4,6.0,6.1,6.5,6.1,5.7,5.8,:
Annual,Total,Total,Crude death rate,Israel,5.6,5.5,5.6,5.4,5.2,5.2,5.3,5.3,5.2,5.2,5.3,5.1,5.1,:,:
Annual,Total,Total,Crude death rate,Jordan,7.0,7.0 p,7.0 p,7.0 p,7.0 p,7.0 p,5.8,5.8,6.1,:,6.0,6.0,:,6.0,:
Annual,Total,Total,Crude death rate,Lebanon,:,:,5.6 e,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Total,Total,Crude death rate,Morocco,5.8 e,5.8 e,5.8 e,5.7 e,5.7 e,5.6 e,5.1 e,5.1 e,5.1,5.6,5.4,5.2,5.1,5.1,5.0
Annual,Total,Total,Crude death rate,Palestine*,4.0 e,3.9 e,4.4,4.4,4.3,4.1 e,4.0 e,3.9 e,3.8,3.7,3.6,3.5,3.8,3.8,3.7
Annual,Total,Total,Crude death rate,Tunisia,5.9,5.8,5.5 p,5.8 p,5.4,5.1,5.6,5.9,5.7,5.7,5.9 e,5.5 e,:,:,:
Annual,Total,Total,Crude rate of total population change,Algeria,17.0 i,17.8 i,20.3 i,19.1 i,13.1 i,20.3 i,20.4 i,21.4 i,21.1 i,42.4 i,0.4 i,21.2 i,:,:,:
Annual,Total,Total,Crude rate of total population change,Egypt,26.5 i,14.7 i,20.3 i,22.0 i,22.6 i,22.6 i,24.2 i,25.4 i,24.6 i,25.5 i,23.8 i,13.2 i,53.3 i,18.8 i,:
Annual,Total,Total,Crude rate of total population change,Israel,17.5 i,17.9 i,17.7 i,23.9 i,17.8 i,18.8 i,18.2 i,18.7 i,18.6 i,19.8 i,19.9 i,19.3 i,19.4 i,19.1 i,:
Annual,Total,Total,Crude rate of total population change,Jordan,28.4 i,29.1 i,29.6 i,30.2 i,30.8 i,31.5 i,43.1 i,60.2 i,88.4 i,81.6 i,82.2 i,24.7 i,25.7 i,:,:
Annual,Total,Total,Crude rate of total population change,Libya,:,19.1 i,19.0 i,18.8 i,18.5 i,18.2 i,38.9 i,20.6 i,:,:,:,:,7.5 i,1.6 i,:
Annual,Total,Total,Crude rate of total population change,Morocco,12.8 i,12.7 i,12.6 i,12.5 i,12.4 i,12.3 i,12.2 i,12.1 i,11.7 i,10.5 i,10.5 i,10.5 i,10.5 i,10.4 i,:
Annual,Total,Total,Crude rate of total population change,Palestine*,29.2 i,14.7 i,28.1 i,26.6 i,25.8 i,25.2 i,24.6 i,24.0 i,23.4 i,22.9 i,22.4 i,21.9 i,23.4 i,25.1 i,:
Annual,Total,Total,Crude rate of total population change,Tunisia,9.7 i,14.4 i,10.1 i,10.7 i,10.2 i,11.9 i,9.7 i,10.1 i,11.7 ip,12.6 ip,13.4 i,11.5 i,10.1 i,:,:
Annual,Total,Total,Infant mortality rate,Algeria,30.4,26.9,26.2,25.5,24.8,23.7,23.1,22.6,22.4,22.0,22.3,20.9,21.0,:,:
Annual,Total,Total,Infant mortality rate,Egypt,20.1,19.4,17.8,15.7,11.6,14.0,14.7,15.2,14.8,14.6,15.7,15.1,15.1,15.4,:
Annual,Total,Total,Infant mortality rate,Israel,4.4,4.0,3.9,3.8,3.8,3.7,3.5,3.6,3.1,3.1,3.2,3.1,3.1,3.0,:
Annual,Total,Total,Infant mortality rate,Jordan,20.0 e,19.0 p,19.0 p,:,:,:,17.0,17.0,17.0,17.0,17.0,17.0,:,17.0,:
Annual,Total,Total,Infant mortality rate,Lebanon,:,:,:,:,9.0 e,:,:,:,:,:,:,:,:,:,:
Annual,Total,Total,Infant mortality rate,Morocco,:,:,:,:,:,30.2,28.8,:,:,:,:,:,:,18.0,:
Annual,Total,Total,Infant mortality rate,Palestine*,:,25.3 e,:,:,18.9 e,:,:,:,:,18.2,:,:,:,:,:
Annual,Total,Total,Infant mortality rate,Tunisia,20.3,19.1,18.7 p,18.4 p,17.6,16.8,16.4,16.7,15.7,16.3,15.3 e,14.2 e,:,:,:
Annual,Total,Total,Life expectancy at birth,Algeria,74.6,75.7,75.7,75.6,75.5,76.3,76.5,76.4,77.0,77.2,77.1,77.6,77.6,:,:
Annual,Total,Total,Life expectancy at birth,Egypt,:,67.8,68.3,68.7,69.2,69.6,70.0,70.4,70.8,71.1,71.5,71.9,73.1,73.5,73.9
Annual,Total,Total,Life expectancy at birth,Israel,80.3,80.7,80.7,81.1,81.5 bd,81.7,81.8,81.8,82.2,82.3,82.2,82.5,82.7,82.7,:
Annual,Total,Total,Life expectancy at birth,Jordan,71.7,73.0 p,73.0 p,:,:,:,74.4,74.4,74.4,73.5,73.5,73.5,:,73.5,:
Annual,Total,Total,Life expectancy at birth,Morocco,72.0 e,72.2 e,72.4 e,72.6 e,:,74.8,74.9,75.1,75.3,75.6,75.8,75.9,76.1,76.3,76.4
Annual,Total,Total,Life expectancy at birth,Palestine*,72.4 e,72.5 e,71.2 e,71.5 e,71.8 e,72.2 e,72.4 e,72.7 e,72.9,73.2,73.0,73.5,73.8,73.9,74.0
Annual,Total,Total,Life expectancy at birth,Tunisia,73.5,73.9,74.2 p,74.3 p,74.1,74.2,74.4,74.7,74.8,74.9,75.1 e,75.4 e,:,:,:
