Time frequency,Activity and employment status,Income and living conditions indicator,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,46.7,47.3,48.6,47.4,48.9,49.2,46.9,44.7,45.6,47.0
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Estonia,60.1,60.0,61.9,61.3,55.1,46.7,52.1,55.6,54.8,54.7 b,54.8,54.8,50.2,52.1,52.5,45.9,43.3,39.3,44.7
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Greece,32.3,33.1,35.4,36.8,38.1,38.5,44.0,45.8,46.3,45.9,44.8,47.1,45.5,43.3,44.9,45.3,45.4,43.6,48.0
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Spain,34.8,37.8,39.8,37.1 b,38.4,40.3,40.5,43.5,44.7,48.0,46.5,49.2,46.4,50.7,46.7,46.3,45.1,45.6,46.2
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,European Union - 27 countries (from 2020),:,:,:,:,:,45.3 e,45.8 e,46.0 e,46.7 e,46.7 e,47.5 e,48.7 e,47.5 e,48.6 e,49.1 e,47.2 b,45.1,46.0,47.3
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Finland,35.7,41.7,41.1,42.8,51.4,45.3,43.5,45.5,37.5,46.8,39.6,37.2,35.6,38.9,39.7,44.2,36.5,47.1 b,49.4
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,France,29.3,31.6,34.1,39.7 b,37.0,33.5,36.7,36.0,35.6,31.1,37.1,38.4,38.0,37.0,36.7,40.9 b,39.3,41.1 b,43.0
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Croatia,:,:,:,:,:,45.1,42.3,43.2,43.2,43.2,42.8,43.6,45.6,47.6,45.3,45.3,46.6,42.6,45.2 b
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Hungary,48.8 b,52.9,46.3,48.9,47.3,44.8,47.1,49.6,53.2,54.0,54.4,48.5,51.0,53.6,55.9,45.3,45.2,49.0,44.6
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Ireland,47.2,49.5,42.7,28.3,28.1,27.9,32.4,34.9,37.0,37.6,40.5,40.7,41.7,47.8,32.4 b,35.4 b,25.3,32.5,35.4
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Iceland,26.1,13.8 u,20.6 u,25.1 u,29.3,25.5,21.8,20.0,29.6,25.1,22.6,27.1,28.4,22.1,25.3,:,:,:,:
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Italy,44.1,44.1,44.2,44.4,41.4,45.2,47.5,45.0,47.0,48.1,47.3,45.8,42.2,45.9,48.9,49.4,44.9,48.5,46.3
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Lithuania,62.8 b,61.4,57.5,52.1,53.8,56.1,53.0,54.4,61.0,62.6,62.3,60.5,61.5,62.3,54.4,56.4,50.4,51.0,59.5
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Luxembourg,48.7,49.2,46.3,52.2,45.3,43.3,42.3,51.9,53.0,50.0,42.7,46.9 b,48.5,43.5,47.7,52.7 b,42.4 b,39.4 b,39.9
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Latvia,58.3 b,63.9,55.2,50.9,57.4,47.9,50.0,51.9,55.9,53.3,55.0,55.7,56.5,59.5,57.7,51.7,46.8,56.6,53.9
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Montenegro,:,:,:,:,:,:,:,:,49.0,43.7,44.0,42.2,44.8,47.5,45.5,42.8,40.2,40.3,:
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,North Macedonia,:,:,:,:,:,:,:,46.5,43.7,40.5,39.7,41.1,38.7,41.9,41.7,45.1,:,:,:
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Malta,49.3 b,42.5,44.8,30.6,32.5,42.8,43.4,48.2,49.1,49.2,58.0,46.1,57.4,59.6,53.5,49.7,35.7,35.7,41.7
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Netherlands,27.5 b,27.1,26.7,36.3,41.7,31.8,33.5,33.3,34.2,36.3,35.5,44.1 b,45.7,46.2,53.6,54.8,61.4,66.4,56.5
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Norway,27.3,34.0,43.8,40.0,38.8,30.9,32.9,40.1,39.3,39.8,43.6,38.0,37.4,40.0,47.7,46.2,37.2 b,36.7,42.2 b
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Poland,45.7 b,46.3,43.3,38.8,42.1,45.4,43.6,42.5,43.7,43.0,45.7,47.1,42.7,37.0,38.0,40.7,43.6,47.1,44.8
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Portugal,28.4,31.1,32.2,34.6,37.0,36.4,36.0,38.3,40.3,40.5,42.0,42.0,44.8,45.7,47.5,40.6,46.5,43.4,46.7
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Romania,:,:,47.4 b,44.2,45.3,46.2,48.1,52.4,54.5,48.4,55.5,50.2,51.6,48.0,48.9,62.9,47.3,: u,68.6 u
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Serbia,:,:,:,:,:,:,:,:,48.4,46.8,50.1,49.6,50.7,49.0,47.5,46.7,48.6,49.2,:
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Sweden,26.7,24.1,25.5,39.4 b,42.3,39.8,42.4,43.0,44.8,42.2,39.3,50.8,50.3,57.8,62.2,57.3,54.9,47.5,55.4
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Slovenia,24.9 b,32.8,35.9,37.6,43.6,44.1,44.6,46.9,46.2,45.3,44.8,44.8,41.8,45.7,43.6,43.4,39.7,46.9,49.8
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Slovakia,39.0,40.8,45.1,43.2,48.6,41.1,42.6,44.6,43.8,48.7,45.5,47.6,49.2,51.0,56.7,56.1,52.7,53.6,52.9
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Türkiye,:,43.7 b,43.0,43.0,39.0,38.6,40.8,40.9,38.1,41.4,37.4,37.4,36.9,34.8,37.3,37.7,35.2,32.1,31.0
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,United Kingdom,54.4 b,57.8,58.9,54.4,50.9,47.4,47.2,51.3 b,43.9,57.9,47.9,46.1,52.6 b,48.6,:,:,:,:,:
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,40.6,:,:,:,:,:
