Time frequency,Risk of poverty threshold,Level of difficulty,Health problems,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Croatia,22.0
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Hungary,25.0
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Ireland,8.0
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Italy,17.9
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Lithuania,19.1
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Luxembourg,30.1
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Latvia,20.5
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Montenegro,11.8
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Malta,8.8
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Netherlands,19.5
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Norway,19.8
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Poland,23.6
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Portugal,20.5
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Romania,29.5
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Serbia,12.4
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Sweden,19.4
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Slovenia,26.3
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Slovakia,23.1
Annual,Total,Moderate or severe,Seeing,Total,Total,Percentage,Türkiye,20.1
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Austria,4.8
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Belgium,5.2
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Bulgaria,6.9
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Switzerland,2.5
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Cyprus,5.7
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Czechia,6.6
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Germany,: u
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Denmark,6.5
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Euro area – 20 countries (from 2023),6.6 e
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Estonia,7.6
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Greece,8.0
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Spain,6.9
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,European Union - 27 countries (from 2020),6.7 e
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Finland,6.6
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,France,5.0
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Croatia,6.0
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Hungary,5.0
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Ireland,4.3
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Italy,7.3
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Lithuania,8.6
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Luxembourg,3.0
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Latvia,9.0
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Montenegro,3.9
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Malta,3.2
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Netherlands,7.8
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Norway,2.4
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Poland,7.1
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Portugal,6.3
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Romania,8.9
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Serbia,5.5
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Sweden,5.3
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Slovenia,4.2
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Slovakia,8.1
Annual,Total,Moderate or severe,Self care,Total,Total,Percentage,Türkiye,3.8
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Austria,35.0
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Belgium,30.0
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Bulgaria,28.4
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Switzerland,37.7
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Cyprus,24.4
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Czechia,36.6
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Germany,: u
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Denmark,60.7
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Euro area – 20 countries (from 2023),36.7 e
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Estonia,42.5
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Greece,24.7
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Spain,44.9
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),37.0 e
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Finland,59.0
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,France,35.0
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Croatia,32.8
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Hungary,35.8
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Ireland,22.8
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Italy,28.0
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Lithuania,35.1
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Luxembourg,45.7
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Latvia,36.2
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Montenegro,20.0
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Malta,23.1
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Netherlands,53.0
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Norway,57.0
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Poland,35.6
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Portugal,38.1
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Romania,38.4
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Serbia,21.2
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Sweden,49.5
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Slovenia,48.2
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Slovakia,32.3
Annual,Total,Moderate or severe,Total,Total,Total,Percentage,Türkiye,35.7
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Austria,17.0
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Belgium,16.1
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Bulgaria,20.7
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Switzerland,15.8
