Time frequency,Legal status,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Convicted person,Females,Per hundred thousand inhabitants,Switzerland,0.14,0.02,0.05,0.02,0.02,0.02,0.0
Annual,Convicted person,Females,Per hundred thousand inhabitants,Czechia,0.2,0.06,0.26,0.15,0.17,0.19,0.21
Annual,Convicted person,Females,Per hundred thousand inhabitants,Germany,:,0.11,0.08,0.1,0.1,0.1,0.1
Annual,Convicted person,Females,Per hundred thousand inhabitants,Denmark,0.0,0.03,0.03,0.03,0.03,0.0,0.03
Annual,Convicted person,Females,Per hundred thousand inhabitants,Estonia,0.43,1.58,0.29,0.57,0.14,0.43,0.0
Annual,Convicted person,Females,Per hundred thousand inhabitants,Greece,:,:,:,:,:,0.0,:
Annual,Convicted person,Females,Per hundred thousand inhabitants,Spain,0.09,0.03,0.03,0.03,0.01,0.04,0.01
Annual,Convicted person,Females,Per hundred thousand inhabitants,Finland,0.0,0.04,0.0,:,0.0,0.04,0.04
Annual,Convicted person,Females,Per hundred thousand inhabitants,France,0.04,0.07,0.03,0.03,0.03,0.05,:
Annual,Convicted person,Females,Per hundred thousand inhabitants,Croatia,0.51,0.28,0.14,0.05,0.58,0.14,0.5
Annual,Convicted person,Females,Per hundred thousand inhabitants,Hungary,0.68,0.74,0.51,0.84,0.61,0.87,0.97
Annual,Convicted person,Females,Per hundred thousand inhabitants,Italy,0.13,0.17,0.17,:,:,:,:
Annual,Convicted person,Females,Per hundred thousand inhabitants,Lithuania,2.05,1.43,0.93,0.93,0.74,0.34,0.33
Annual,Convicted person,Females,Per hundred thousand inhabitants,Luxembourg,0.0,0.34,0.0,0.66,0.0,0.32,0.31
Annual,Convicted person,Females,Per hundred thousand inhabitants,Latvia,0.47,0.57,0.19,0.19,0.39,0.39,1.09
Annual,Convicted person,Females,Per hundred thousand inhabitants,Montenegro,0.0,0.32,0.0,0.0,0.0,0.0,0.32
Annual,Convicted person,Females,Per hundred thousand inhabitants,North Macedonia,:,:,:,:,:,0.19,0.0
Annual,Convicted person,Females,Per hundred thousand inhabitants,Malta,:,:,0.0,0.0,0.0,:,0.0
Annual,Convicted person,Females,Per hundred thousand inhabitants,Netherlands,0.0,0.01,0.0,0.01,0.01,0.0,0.0
Annual,Convicted person,Females,Per hundred thousand inhabitants,Poland,1.17,0.83,0.71,0.76,0.71,:,:
Annual,Convicted person,Females,Per hundred thousand inhabitants,Portugal,0.17,0.35,0.11,0.46,0.13,0.04,0.18
Annual,Convicted person,Females,Per hundred thousand inhabitants,Romania,0.31,0.35,0.35,0.38,0.23,0.28,0.28
Annual,Convicted person,Females,Per hundred thousand inhabitants,Serbia,0.61,0.06,0.31,0.42,0.9,0.48,0.2
Annual,Convicted person,Females,Per hundred thousand inhabitants,Sweden,0.06,0.1,0.06,0.06,0.14,0.06,0.12
Annual,Convicted person,Females,Per hundred thousand inhabitants,Slovenia,0.48,0.29,0.19,0.19,0.38,0.1,0.0
Annual,Convicted person,Females,Per hundred thousand inhabitants,Slovakia,:,0.65,0.57,0.39,0.82,0.9,0.47
Annual,Convicted person,Females,Per hundred thousand inhabitants,Türkiye,0.05,0.02,0.01,0.03,0.05,0.05,0.05
Annual,Convicted person,Females,Per hundred thousand inhabitants,Kosovo*,0.0,0.0,0.11,0.44,:,:,:
Annual,Convicted person,Males,Number,Albania,104.0,140.0,42.0,45.0,46.0,95.0,:
Annual,Convicted person,Males,Number,Austria,1.0,10.0,40.0,64.0,43.0,54.0,28.0
Annual,Convicted person,Males,Number,Bosnia and Herzegovina,45.0,38.0,27.0,44.0,27.0,62.0,101.0
Annual,Convicted person,Males,Number,Belgium,10.0,26.0,:,15.0,17.0,:,:
Annual,Convicted person,Males,Number,Bulgaria,110.0,106.0,132.0,98.0,74.0,79.0,54.0
Annual,Convicted person,Males,Number,Switzerland,22.0,16.0,12.0,9.0,10.0,10.0,15.0
Annual,Convicted person,Males,Number,Czechia,83.0,82.0,64.0,55.0,84.0,72.0,57.0
Annual,Convicted person,Males,Number,Germany,:,293.0,232.0,299.0,346.0,285.0,219.0
Annual,Convicted person,Males,Number,Denmark,6.0,15.0,13.0,15.0,5.0,2.0,3.0
Annual,Convicted person,Males,Number,Estonia,26.0,29.0,17.0,8.0,15.0,12.0,7.0
Annual,Convicted person,Males,Number,Greece,:,:,:,:,6.0,3.0,:
Annual,Convicted person,Males,Number,Spain,108.0,35.0,60.0,69.0,64.0,32.0,53.0
Annual,Convicted person,Males,Number,Finland,1.0,2.0,0.0,3.0,1.0,14.0,48.0
Annual,Convicted person,Males,Number,France,123.0,133.0,106.0,114.0,73.0,121.0,:
Annual,Convicted person,Males,Number,Croatia,39.0,26.0,41.0,66.0,38.0,20.0,46.0
Annual,Convicted person,Males,Number,Hungary,184.0,199.0,180.0,285.0,198.0,241.0,222.0
Annual,Convicted person,Males,Number,Italy,460.0,361.0,476.0,:,:,:,:
Annual,Convicted person,Males,Number,Lithuania,449.0,356.0,248.0,213.0,147.0,98.0,83.0
Annual,Convicted person,Males,Number,Luxembourg,6.0,3.0,2.0,3.0,1.0,0.0,3.0
Annual,Convicted person,Males,Number,Latvia,124.0,111.0,16.0,52.0,56.0,65.0,60.0
Annual,Convicted person,Males,Number,Montenegro,2.0,6.0,3.0,1.0,0.0,1.0,0.0
Annual,Convicted person,Males,Number,North Macedonia,:,:,:,:,:,5.0,8.0
Annual,Convicted person,Males,Number,Malta,:,:,5.0,9.0,8.0,:,6.0
Annual,Convicted person,Males,Number,Netherlands,9.0,10.0,9.0,8.0,1.0,7.0,7.0
Annual,Convicted person,Males,Number,Poland,1372.0,1172.0,1002.0,951.0,674.0,:,:
Annual,Convicted person,Males,Number,Portugal,46.0,91.0,72.0,105.0,72.0,22.0,77.0
Annual,Convicted person,Males,Number,Romania,210.0,236.0,175.0,141.0,109.0,135.0,86.0
Annual,Convicted person,Males,Number,Serbia,78.0,46.0,60.0,122.0,128.0,83.0,44.0
Annual,Convicted person,Males,Number,Sweden,3.0,15.0,20.0,17.0,11.0,32.0,44.0
Annual,Convicted person,Males,Number,Slovenia,21.0,50.0,13.0,13.0,22.0,9.0,17.0
Annual,Convicted person,Males,Number,Slovakia,:,50.0,43.0,30.0,72.0,55.0,48.0
Annual,Convicted person,Males,Number,Türkiye,382.0,261.0,327.0,328.0,385.0,536.0,616.0
Annual,Convicted person,Males,Number,Kosovo*,36.0,54.0,53.0,29.0,:,:,:
Annual,Convicted person,Males,Per hundred thousand inhabitants,Albania,7.13,9.63,2.92,3.15,3.24,6.74,:
Annual,Convicted person,Males,Per hundred thousand inhabitants,Austria,0.02,0.23,0.92,1.47,0.98,1.23,0.63
Annual,Convicted person,Males,Per hundred thousand inhabitants,Belgium,0.18,0.47,:,0.27,0.3,:,:
Annual,Convicted person,Males,Per hundred thousand inhabitants,Bulgaria,3.16,3.07,3.86,2.89,2.2,2.36,1.63
Annual,Convicted person,Males,Per hundred thousand inhabitants,Switzerland,0.53,0.38,0.29,0.21,0.23,0.23,0.35
Annual,Convicted person,Males,Per hundred thousand inhabitants,Czechia,1.6,1.58,1.23,1.05,1.59,1.39,1.1
Annual,Convicted person,Males,Per hundred thousand inhabitants,Germany,:,0.72,0.57,0.73,0.84,0.69,0.53
Annual,Convicted person,Males,Per hundred thousand inhabitants,Denmark,0.21,0.52,0.45,0.52,0.17,0.07,0.1
Annual,Convicted person,Males,Per hundred thousand inhabitants,Estonia,4.22,4.7,2.74,1.28,2.38,1.9,1.11
Annual,Convicted person,Males,Per hundred thousand inhabitants,Greece,:,:,:,:,0.12,0.06,:
Annual,Convicted person,Males,Per hundred thousand inhabitants,Spain,0.47,0.15,0.26,0.3,0.28,0.14,0.23
Annual,Convicted person,Males,Per hundred thousand inhabitants,Finland,0.04,0.07,0.0,0.11,0.04,0.51,1.75
Annual,Convicted person,Males,Per hundred thousand inhabitants,France,0.38,0.41,0.33,0.35,0.22,0.37,:
Annual,Convicted person,Males,Per hundred thousand inhabitants,Croatia,1.93,1.3,2.07,3.35,1.93,1.02,2.47
Annual,Convicted person,Males,Per hundred thousand inhabitants,Hungary,3.92,4.26,3.85,6.1,4.23,5.17,4.78
Annual,Convicted person,Males,Per hundred thousand inhabitants,Italy,1.56,1.23,1.62,:,:,:,:
Annual,Convicted person,Males,Per hundred thousand inhabitants,Lithuania,33.77,27.13,19.12,16.44,11.27,7.46,6.35
Annual,Convicted person,Males,Per hundred thousand inhabitants,Luxembourg,2.07,1.01,0.66,0.97,0.32,0.0,0.92
Annual,Convicted person,Males,Per hundred thousand inhabitants,Latvia,13.71,12.39,1.8,5.88,6.36,7.43,6.9
Annual,Convicted person,Males,Per hundred thousand inhabitants,Montenegro,0.65,1.95,0.97,0.32,0.0,0.33,0.0
Annual,Convicted person,Males,Per hundred thousand inhabitants,North Macedonia,:,:,:,:,:,0.48,0.88
Annual,Convicted person,Males,Per hundred thousand inhabitants,Malta,:,:,2.08,3.57,3.01,:,2.22
Annual,Convicted person,Males,Per hundred thousand inhabitants,Netherlands,0.11,0.12,0.11,0.09,0.01,0.08,0.08
Annual,Convicted person,Males,Per hundred thousand inhabitants,Poland,7.47,6.38,5.45,5.17,3.67,:,:
Annual,Convicted person,Males,Per hundred thousand inhabitants,Portugal,0.94,1.86,1.48,2.16,1.48,0.45,1.56
Annual,Convicted person,Males,Per hundred thousand inhabitants,Romania,2.18,2.46,1.83,1.48,1.15,1.44,0.93
Annual,Convicted person,Males,Per hundred thousand inhabitants,Serbia,2.26,1.34,1.76,3.6,3.79,2.48,1.33
Annual,Convicted person,Males,Per hundred thousand inhabitants,Sweden,0.06,0.3,0.39,0.33,0.21,0.61,0.84
Annual,Convicted person,Males,Per hundred thousand inhabitants,Slovenia,2.05,4.88,1.27,1.25,2.09,0.85,1.61
Annual,Convicted person,Males,Per hundred thousand inhabitants,Slovakia,:,1.89,1.62,1.13,2.7,2.06,1.81
Annual,Convicted person,Males,Per hundred thousand inhabitants,Türkiye,0.97,0.65,0.81,0.8,0.92,1.28,1.45
Annual,Convicted person,Males,Per hundred thousand inhabitants,Kosovo*,4.08,6.12,5.97,3.28,:,:,:
Annual,Convicted person,Total,Number,Albania,124.0,149.0,52.0,50.0,47.0,97.0,:
Annual,Convicted person,Total,Number,Austria,1.0,11.0,42.0,89.0,45.0,64.0,31.0
Annual,Convicted person,Total,Number,Bosnia and Herzegovina,53.0,51.0,27.0,50.0,29.0,66.0,111.0
Annual,Convicted person,Total,Number,Belgium,12.0,33.0,:,17.0,20.0,:,:
Annual,Convicted person,Total,Number,Bulgaria,119.0,111.0,136.0,108.0,81.0,83.0,58.0
Annual,Convicted person,Total,Number,Switzerland,28.0,17.0,14.0,10.0,11.0,11.0,15.0
Annual,Convicted person,Total,Number,Czechia,94.0,85.0,78.0,63.0,93.0,82.0,68.0
Annual,Convicted person,Total,Number,Germany,:,337.0,266.0,339.0,387.0,326.0,260.0
Annual,Convicted person,Total,Number,Denmark,6.0,16.0,14.0,16.0,6.0,2.0,4.0
Annual,Convicted person,Total,Number,Estonia,29.0,40.0,19.0,12.0,16.0,15.0,7.0
Annual,Convicted person,Total,Number,Greece,:,:,:,:,6.0,3.0,5.0
Annual,Convicted person,Total,Number,Spain,130.0,41.0,66.0,75.0,67.0,41.0,56.0
Annual,Convicted person,Total,Number,Finland,1.0,3.0,0.0,3.0,1.0,15.0,49.0
Annual,Convicted person,Total,Number,France,136.0,156.0,117.0,125.0,85.0,140.0,:
Annual,Convicted person,Total,Number,Croatia,50.0,32.0,44.0,67.0,50.0,23.0,56.0
Annual,Convicted person,Total,Number,Hungary,219.0,237.0,206.0,328.0,229.0,285.0,271.0
Annual,Convicted person,Total,Number,Italy,502.0,415.0,529.0,:,:,:,:
Annual,Convicted person,Total,Number,Lithuania,481.0,378.0,262.0,227.0,158.0,103.0,88.0
Annual,Convicted person,Total,Number,Luxembourg,6.0,4.0,2.0,5.0,1.0,1.0,4.0
Annual,Convicted person,Total,Number,Latvia,129.0,117.0,18.0,54.0,60.0,69.0,73.0
Annual,Convicted person,Total,Number,Montenegro,2.0,7.0,3.0,1.0,0.0,1.0,1.0
Annual,Convicted person,Total,Number,North Macedonia,:,:,:,:,:,7.0,8.0
Annual,Convicted person,Total,Number,Malta,:,:,5.0,9.0,8.0,:,6.0
Annual,Convicted person,Total,Number,Netherlands,9.0,11.0,9.0,9.0,2.0,7.0,7.0
Annual,Convicted person,Total,Number,Poland,1602.0,1335.0,1141.0,1099.0,813.0,:,:
Annual,Convicted person,Total,Number,Portugal,55.0,110.0,78.0,130.0,79.0,24.0,87.0
Annual,Convicted person,Total,Number,Romania,241.0,271.0,210.0,179.0,132.0,162.0,113.0
Annual,Convicted person,Total,Number,Serbia,100.0,48.0,71.0,137.0,160.0,100.0,51.0
Annual,Convicted person,Total,Number,Sweden,6.0,20.0,23.0,20.0,18.0,35.0,50.0
Annual,Convicted person,Total,Number,Slovenia,26.0,53.0,15.0,15.0,26.0,10.0,17.0
Annual,Convicted person,Total,Number,Slovakia,:,68.0,59.0,41.0,95.0,80.0,61.0
Annual,Convicted person,Total,Number,Türkiye,401.0,267.0,333.0,340.0,406.0,558.0,639.0
Annual,Convicted person,Total,Number,Kosovo*,36.0,54.0,54.0,33.0,:,:,:
Annual,Convicted person,Total,Per hundred thousand inhabitants,Albania,4.31,5.18,1.81,1.75,1.65,3.43,:
Annual,Convicted person,Total,Per hundred thousand inhabitants,Austria,0.01,0.13,0.48,1.0,0.51,0.72,0.35
Annual,Convicted person,Total,Per hundred thousand inhabitants,Belgium,0.11,0.29,:,0.15,0.17,:,:
Annual,Convicted person,Total,Per hundred thousand inhabitants,Bulgaria,1.66,1.56,1.93,1.54,1.17,1.2,0.85
Annual,Convicted person,Total,Per hundred thousand inhabitants,Switzerland,0.34,0.2,0.17,0.12,0.13,0.13,0.17
Annual,Convicted person,Total,Per hundred thousand inhabitants,Czechia,0.89,0.8,0.74,0.59,0.87,0.78,0.65
Annual,Convicted person,Total,Per hundred thousand inhabitants,Germany,:,0.41,0.32,0.41,0.47,0.39,0.31
Annual,Convicted person,Total,Per hundred thousand inhabitants,Denmark,0.11,0.28,0.24,0.28,0.1,0.03,0.07
Annual,Convicted person,Total,Per hundred thousand inhabitants,Estonia,2.2,3.04,1.44,0.91,1.2,1.13,0.53
Annual,Convicted person,Total,Per hundred thousand inhabitants,Greece,:,:,:,:,0.06,0.03,0.05
Annual,Convicted person,Total,Per hundred thousand inhabitants,Spain,0.28,0.09,0.14,0.16,0.14,0.09,0.12
Annual,Convicted person,Total,Per hundred thousand inhabitants,Finland,0.02,0.05,0.0,0.05,0.02,0.27,0.88
Annual,Convicted person,Total,Per hundred thousand inhabitants,France,0.2,0.23,0.17,0.19,0.13,0.21,:
Annual,Convicted person,Total,Per hundred thousand inhabitants,Croatia,1.19,0.77,1.07,1.64,1.23,0.57,1.45
Annual,Convicted person,Total,Per hundred thousand inhabitants,Hungary,2.23,2.42,2.11,3.36,2.34,2.93,2.8
Annual,Convicted person,Total,Per hundred thousand inhabitants,Italy,0.83,0.68,0.87,:,:,:,:
Annual,Convicted person,Total,Per hundred thousand inhabitants,Lithuania,16.65,13.27,9.33,8.12,5.65,3.68,3.14
Annual,Convicted person,Total,Per hundred thousand inhabitants,Luxembourg,1.04,0.68,0.33,0.81,0.16,0.16,0.62
Annual,Convicted person,Total,Per hundred thousand inhabitants,Latvia,6.55,6.0,0.93,2.81,3.15,3.64,3.89
Annual,Convicted person,Total,Per hundred thousand inhabitants,Montenegro,0.32,1.12,0.48,0.16,0.0,0.16,0.16
Annual,Convicted person,Total,Per hundred thousand inhabitants,North Macedonia,:,:,:,:,:,0.34,0.44
Annual,Convicted person,Total,Per hundred thousand inhabitants,Malta,:,:,1.05,1.82,1.55,:,1.15
Annual,Convicted person,Total,Per hundred thousand inhabitants,Netherlands,0.05,0.06,0.05,0.05,0.01,0.04,0.04
Annual,Convicted person,Total,Per hundred thousand inhabitants,Poland,4.22,3.52,3.0,2.89,2.14,:,:
Annual,Convicted person,Total,Per hundred thousand inhabitants,Portugal,0.53,1.07,0.76,1.27,0.77,0.23,0.84
Annual,Convicted person,Total,Per hundred thousand inhabitants,Romania,1.22,1.38,1.08,0.92,0.68,0.84,0.59
Annual,Convicted person,Total,Per hundred thousand inhabitants,Serbia,1.41,0.68,1.01,1.97,2.31,1.46,0.75
Annual,Convicted person,Total,Per hundred thousand inhabitants,Sweden,0.06,0.2,0.23,0.2,0.17,0.34,0.48
Annual,Convicted person,Total,Per hundred thousand inhabitants,Slovenia,1.26,2.57,0.73,0.72,1.24,0.47,0.81
Annual,Convicted person,Total,Per hundred thousand inhabitants,Slovakia,:,1.25,1.08,0.75,1.74,1.47,1.12
Annual,Convicted person,Total,Per hundred thousand inhabitants,Türkiye,0.51,0.33,0.41,0.41,0.49,0.67,0.75
Annual,Convicted person,Total,Per hundred thousand inhabitants,Kosovo*,2.03,3.03,3.0,1.84,:,:,:
Annual,Suspected person,Females,Number,Albania,38.0,33.0,40.0,27.0,12.0,13.0,14.0
Annual,Suspected person,Females,Number,Austria,4.0,3.0,11.0,17.0,5.0,13.0,114.0
Annual,Suspected person,Females,Number,Bosnia and Herzegovina,1.0,11.0,:,1.0,1.0,3.0,7.0
Annual,Suspected person,Females,Number,Belgium,3.0,11.0,6.0,5.0,3.0,10.0,2.0
Annual,Suspected person,Females,Number,Bulgaria,18.0,7.0,11.0,16.0,10.0,3.0,7.0
Annual,Suspected person,Females,Number,Switzerland,3.0,2.0,3.0,3.0,1.0,2.0,11.0
Annual,Suspected person,Females,Number,Cyprus,12.0,5.0,3.0,2.0,5.0,2.0,6.0
Annual,Suspected person,Females,Number,Czechia,11.0,9.0,63.0,11.0,19.0,12.0,10.0
Annual,Suspected person,Females,Number,Germany,:,647.0,638.0,727.0,705.0,750.0,954.0
Annual,Suspected person,Females,Number,Denmark,2.0,0.0,1.0,0.0,1.0,0.0,0.0
Annual,Suspected person,Females,Number,Greece,65.0,:,:,43.0,74.0,147.0,86.0
Annual,Suspected person,Females,Number,Spain,16.0,12.0,22.0,6.0,2.0,7.0,14.0
Annual,Suspected person,Females,Number,Finland,8.0,0.0,4.0,1.0,2.0,6.0,2.0
Annual,Suspected person,Females,Number,France,22.0,20.0,86.0,59.0,46.0,91.0,55.0
Annual,Suspected person,Females,Number,Croatia,2.0,12.0,2.0,2.0,2.0,5.0,93.0
Annual,Suspected person,Females,Number,Hungary,30.0,60.0,14.0,67.0,121.0,165.0,157.0
Annual,Suspected person,Females,Number,Italy,306.0,342.0,334.0,410.0,294.0,320.0,602.0
Annual,Suspected person,Females,Number,Lithuania,5.0,8.0,10.0,7.0,26.0,32.0,44.0
Annual,Suspected person,Females,Number,Luxembourg,1.0,0.0,0.0,1.0,2.0,0.0,0.0
Annual,Suspected person,Females,Number,Latvia,19.0,32.0,16.0,13.0,12.0,42.0,33.0
Annual,Suspected person,Females,Number,Montenegro,0.0,1.0,0.0,0.0,1.0,0.0,2.0
Annual,Suspected person,Females,Number,Malta,:,:,:,:,:,:,2.0
Annual,Suspected person,Females,Number,Poland,201.0,192.0,121.0,143.0,234.0,138.0,243.0
Annual,Suspected person,Females,Number,Portugal,4.0,0.0,0.0,1.0,1.0,3.0,9.0
Annual,Suspected person,Females,Number,Serbia,15.0,16.0,64.0,19.0,21.0,18.0,9.0
Annual,Suspected person,Females,Number,Sweden,48.0,27.0,9.0,27.0,20.0,21.0,26.0
Annual,Suspected person,Females,Number,Slovenia,16.0,6.0,16.0,14.0,16.0,10.0,50.0
Annual,Suspected person,Females,Number,Slovakia,19.0,23.0,9.0,19.0,29.0,26.0,11.0
Annual,Suspected person,Females,Number,Türkiye,15.0,16.0,:,:,:,:,:
Annual,Suspected person,Females,Number,Kosovo*,16.0,3.0,1.0,2.0,0.0,9.0,:
Annual,Suspected person,Females,Per hundred thousand inhabitants,Albania,2.68,2.32,2.79,1.88,0.84,0.92,1.0
Annual,Suspected person,Females,Per hundred thousand inhabitants,Austria,0.09,0.07,0.25,0.38,0.11,0.29,2.5
Annual,Suspected person,Females,Per hundred thousand inhabitants,Belgium,0.05,0.19,0.1,0.09,0.05,0.17,0.03
Annual,Suspected person,Females,Per hundred thousand inhabitants,Bulgaria,0.49,0.19,0.3,0.44,0.28,0.08,0.2
Annual,Suspected person,Females,Per hundred thousand inhabitants,Switzerland,0.07,0.05,0.07,0.07,0.02,0.05,0.25
Annual,Suspected person,Females,Per hundred thousand inhabitants,Cyprus,2.75,1.14,0.68,0.45,1.1,0.44,1.29
Annual,Suspected person,Females,Per hundred thousand inhabitants,Czechia,0.2,0.17,1.17,0.2,0.35,0.23,0.19
Annual,Suspected person,Females,Per hundred thousand inhabitants,Germany,:,1.55,1.52,1.73,1.67,1.78,2.26
Annual,Suspected person,Females,Per hundred thousand inhabitants,Denmark,0.07,0.0,0.03,0.0,0.03,0.0,0.0
Annual,Suspected person,Females,Per hundred thousand inhabitants,Greece,1.17,:,:,0.78,1.34,2.68,1.61
Annual,Suspected person,Females,Per hundred thousand inhabitants,Spain,0.07,0.05,0.09,0.03,0.01,0.03,0.06
Annual,Suspected person,Females,Per hundred thousand inhabitants,Finland,0.29,0.0,0.14,0.04,0.07,0.21,0.07
Annual,Suspected person,Females,Per hundred thousand inhabitants,France,0.06,0.06,0.25,0.17,0.13,0.26,0.16
Annual,Suspected person,Females,Per hundred thousand inhabitants,Croatia,0.09,0.56,0.09,0.1,0.1,0.24,4.65
Annual,Suspected person,Females,Per hundred thousand inhabitants,Hungary,0.58,1.17,0.27,1.31,2.38,3.26,3.11
Annual,Suspected person,Females,Per hundred thousand inhabitants,Italy,0.98,1.1,1.08,1.34,0.96,1.05,1.99
Annual,Suspected person,Females,Per hundred thousand inhabitants,Lithuania,0.32,0.52,0.66,0.47,1.75,2.16,2.93
Annual,Suspected person,Females,Per hundred thousand inhabitants,Luxembourg,0.35,0.0,0.0,0.33,0.64,0.0,0.0
Annual,Suspected person,Females,Per hundred thousand inhabitants,Latvia,1.78,3.03,1.53,1.26,1.17,4.13,3.28
Annual,Suspected person,Females,Per hundred thousand inhabitants,Montenegro,0.0,0.32,0.0,0.0,0.32,0.0,0.64
Annual,Suspected person,Females,Per hundred thousand inhabitants,Malta,:,:,:,:,:,:,0.8
Annual,Suspected person,Females,Per hundred thousand inhabitants,Poland,1.03,0.98,0.62,0.73,1.19,0.71,1.25
Annual,Suspected person,Females,Per hundred thousand inhabitants,Portugal,0.07,0.0,0.0,0.02,0.02,0.06,0.17
Annual,Suspected person,Females,Per hundred thousand inhabitants,Serbia,0.41,0.44,1.78,0.53,0.59,0.51,0.26
Annual,Suspected person,Females,Per hundred thousand inhabitants,Sweden,0.98,0.54,0.18,0.53,0.39,0.41,0.5
Annual,Suspected person,Females,Per hundred thousand inhabitants,Slovenia,1.54,0.58,1.54,1.34,1.53,0.95,4.76
Annual,Suspected person,Females,Per hundred thousand inhabitants,Slovakia,0.68,0.83,0.32,0.68,1.04,0.93,0.4
Annual,Suspected person,Females,Per hundred thousand inhabitants,Türkiye,0.04,0.04,:,:,:,:,:
Annual,Suspected person,Females,Per hundred thousand inhabitants,Kosovo*,1.8,0.33,0.11,0.22,0.0,0.99,:
Annual,Suspected person,Males,Number,Albania,320.0,334.0,338.0,403.0,192.0,334.0,572.0
Annual,Suspected person,Males,Number,Austria,19.0,34.0,44.0,115.0,48.0,66.0,226.0
Annual,Suspected person,Males,Number,Bosnia and Herzegovina,46.0,65.0,:,12.0,42.0,101.0,106.0
Annual,Suspected person,Males,Number,Belgium,45.0,31.0,45.0,56.0,31.0,42.0,28.0
Annual,Suspected person,Males,Number,Bulgaria,103.0,114.0,152.0,102.0,86.0,85.0,73.0
Annual,Suspected person,Males,Number,Switzerland,16.0,28.0,18.0,11.0,17.0,44.0,52.0
Annual,Suspected person,Males,Number,Cyprus,68.0,47.0,21.0,27.0,25.0,11.0,23.0
