Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Classifications of environmental activities: environmental protection activities (CEPA) and resource management activities (CReMA),National accounts indicator (ESA 2010),Type of expenditure,Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,22199.18,24025.73,24141.91,24726.75,26619.07,26779.13,28577.54,33179.72,36485.18
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",European Union - 27 countries (from 2020),153673.61 i,158173.53 i,165652 i,166864.92 i,174042.78 i,177681.59 i,193039.19 i,206312.42 i,215131.84 i,214042.42 i,230002 i,244905.93 i,249284.09 i,249247.54 i,244384.03 i,253774.83 i,263860.1 i,271141.98 i,278645.86 i,287213.52 i,293023.12 i,317347.85 i,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Finland,:,:,:,:,:,:,:,:,:,:,:,:,10746.27,10725.84,10836.94,11430.29,11915.72,12566.52,10996.41,11303.19,11433.09,12179.16,14020.5
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",France,:,:,:,:,:,:,:,:,32387.31,32982.66,36616.91,40800.66,42479.0,47983.22,54319.04,55679.1,55923.15,60291.63,63173.91,64490.06,59349.87,67231.18,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,712.96,722.39,724.9,729.18,724.28,732.17,718.64,799.04,757.87
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,985.62,837.16,853.23,741.05,754.48,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1504.87 e,1571.98 e,1820.04 e,2314.35 e,2660.07 e,2771.7 e,2750.86 e,3018.47 e,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,503.32,546.14,521.78,:,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,40324.77,41032.88,41220.72,41541.37,40083.28,59498.84,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Lithuania,:,:,:,:,:,:,:,:,:,:,487.96,513.86,607.94,645.44,684.44,743.92,797.35,872.11,889.92,1044.81,1149.01,1434.8,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Luxembourg,:,:,:,:,:,:,:,:,724.93,668.28,749.69,743.39,751.66,786.87,810.38,792.3,915.66,977.77,1119.58,1405.89,1446.83,1627.13,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,545.18,586.84,591.62,628.21,511.78,544.37,569.22,661.65,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,53.64,57.59,:,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Malta,:,:,:,:,:,:,:,:,:,:,:,:,84.48,87.93,94.75,101.83,101.81,101.96,109.66,129.07,136.05,137.13,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Netherlands,:,9347.2,9475.7,9634.22,9724.45,9818.25,10575.8,11006.02,11847.47,11563.61,12416.13,13198.48,12806.67,13253.49,14292.43,14781.61,15532.62,16609.63,16893.27,18036.53,18522.88,19160.03,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,12178.35,10737.82,13549.43,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9983.61,10339.38,10129.19,10762.14,10565.95,11841.37,12166.3,13051.89,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3990.43,3931.36,4115.46,4207.67,4282 b,4312.2,4305.72 b,5117.31,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Romania,:,:,:,:,:,:,:,:,5816.5,3270.75,3511.65,4367.52,3350.0,4714.51,3363.94,3790.65,3661.25,3671.41,4174.66,4183.84,4147.43,4592.6,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Serbia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,262.06,270.91,275.62,291.59,266.42,292.57,313.83,325.65,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Sweden,:,:,:,:,:,:,:,:,:,:,:,12463.14,12810.73,12503.76,: @C,14465.25,14902.95,15982.47,16279.94,17865.87,17640.72,19237.09,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Slovenia,:,:,:,:,:,:,:,:,:,:,545.85,546.72,611.13,595.29,661.66,588.7,652.06,643.94,689.83,699.28,723.45,686.81,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1053.93 e,1040.91 e,1359.02 e,1667.12 e,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,14936.75,15044.15,17934.56,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Austria,:,:,:,:,:,:,:,:,4.56,4.41,4.47,4.28,4.42,4.44,4.3,4.09,4.28,4.34,4.58,4.62,4.75,4.81,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.55,1.56,1.58,1.61,1.61,1.6,1.69,1.64 p,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,2.38,1.56,1.82,1.92,1.92,1.89,2.22 b,2.5,2.36,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2.28,2.3,2.47,2.43,2.43,2.57,2.56,2.65,2.82,3.05,3.37,3.57,3.73,3.82,3.68,3.74,3.63,3.57,3.31,3.15,3.29,3.28,3.16 p
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.94,1.93,1.82,1.84,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.57,2.45,2.38,2.31,2.29 b,2.31,2.76,2.96,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.82,1.81,1.85,1.92,1.95,1.96,2.23,2.33,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Denmark,:,:,:,:,:,:,:,:,:,:,:,:,2.81,3.15,2.79,2.99 b,3.17,3.25,3.26,3.44,3.27,3.41,3.41
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.94,4.43,4.87,4.72,4.55,4.38,4.92,4.63,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.68,1.73,1.7,1.66,1.76,2.0,2.29,2.2 p,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.13,2.22,2.17,2.16,2.26,2.24,2.7,2.93,3.06
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),European Union - 27 countries (from 2020),1.61 i,1.62 i,1.68 i,1.68 i,1.7 i,1.7 i,1.78 i,1.85 i,1.92 i,2 i,2.09 i,2.18 i,2.24 i,2.24 i,2.16 i,2.19 i,2.24 i,2.23 i,2.25 i,2.28 i,2.47 i,2.52 i,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Finland,:,:,:,:,:,:,:,:,:,:,:,:,5.64,5.67,5.76,6.06,6.14,6.27,5.43,5.51,5.72,5.92,6.71
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),France,:,:,:,:,:,:,:,:,1.61,1.69,1.84,1.99,2.06,2.32,2.59,2.63,2.61,2.74,2.82,2.82,2.82,2.99,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.59,1.56,1.51,1.47,1.41,1.38,1.48,1.46,1.3
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.83,0.66,0.65,0.59,0.56,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.84 e,0.71 e,0.82 e,0.97 e,1.02 e,1.01 e,0.94 e,0.89 e,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.62,3.89,3.99,:,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.53,2.53,2.52,2.53,2.68,3.66,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Lithuania,:,:,:,:,:,:,:,:,:,:,1.74,1.73,1.98,2.04,2.08,2.21,2.3,2.41,2.37,2.66,2.92,3.42,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Luxembourg,:,:,:,:,:,:,:,:,1.71,1.63,1.77,1.74,1.73,1.76,1.77,1.69,1.86,1.96,2.22,2.7,2.82,2.94,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.68,2.78,2.74,2.81,2.2,2.34,2.54,2.76,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.6,0.68,1.63,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Malta,:,:,:,:,:,:,:,:,:,:,:,:,1.19,1.16,1.16,1.13,1.09,0.99,0.99,1.08,1.25,1.12,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Netherlands,:,1.64,1.66,1.69,1.67,1.65,1.71,1.72,1.81,1.84,1.94,2.03,1.99,2.05,2.18,2.22,2.27,2.36,2.34,2.45,2.61,2.53,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.26,2.89,3.58,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.52,2.5,2.37,2.38,2.21,2.38,2.5,2.48,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.31,2.24,2.3,2.27,2.24 b,2.2,2.4 b,2.69,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Romania,:,:,:,:,:,:,:,:,4.12,2.46,2.74,3.23,2.42,3.39,2.33,2.54,2.43,2.27,2.44,2.36,2.43,2.55,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Serbia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.81,0.81,0.8,0.83,0.72,0.76,0.82,0.79,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Sweden,:,:,:,:,:,:,:,:,:,:,:,3.22,3.33,3.22,: @C,3.48,3.51,3.67,3.66,3.94,4.0,4.09,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Slovenia,:,:,:,:,:,:,:,:,:,:,1.5,1.49,1.7,1.66,1.79,1.56,1.67,1.58,1.62,1.59,1.72,1.51,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.24 e,1.2 e,1.62 e,1.9 e,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.6,1.57,1.68,:
