Time frequency,Unit of measure,Internet speed,Territorial typology,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Iceland,:,:,:,:,:,:,77.0,78.5,85.6,85.6,88.6
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Italy,:,:,:,:,:,:,30.0,33.7,44.2,53.5,59.6
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Lithuania,:,:,:,:,:,:,60.9,66.9,78.0,77.8,78.0
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Luxembourg,:,:,:,:,:,:,90.7,91.7,92.6,93.3,94.7
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Latvia,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Malta,:,:,:,:,:,:,100.0,100.0,100.0,100.0,100.0
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Netherlands,:,:,:,:,:,:,10.2,16.0,88.8,97.8,98.2
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Norway,:,:,:,:,:,:,50.2,52.9,86.5,92.5,95.1
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Poland,:,:,:,:,:,:,24.4,46.6,55.2,62.2,75.1
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Portugal,:,:,:,:,:,:,70.5,83.4,86.0,88.4,89.5
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Romania,:,:,:,:,:,:,65.9,72.8,85.2,91.8,95.0
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Sweden,:,:,:,:,:,:,77.1,80.5,82.5,81.6,88.5
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Slovenia,:,:,:,:,:,:,0.5,0.8,0.9,6.6,10.9
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Slovakia,:,:,:,:,:,:,19.2,21.4,28.0,40.3,60.9
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,United Kingdom,:,:,:,:,:,:,0.0,21.0,38.7,66.6,75.1
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Austria,:,:,:,:,:,:,:,:,17.5,21.6,39.9
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Belgium,:,:,:,:,:,:,:,:,9.0,14.6,25.0
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Switzerland,:,:,:,:,:,:,:,:,32.7,33.2,33.2
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Czechia,:,:,:,:,:,:,:,:,:,:,13.5
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Germany,:,:,:,:,:,:,:,:,:,:,12.4
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Denmark,:,:,:,:,:,:,:,:,73.9,78.0,84.6
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Estonia,:,:,:,:,:,:,:,:,:,55.8,60.8
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Greece,:,:,:,:,:,:,:,:,18.6,26.1,39.5
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Spain,:,:,:,:,:,:,:,:,:,83.3,90.2
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Finland,:,:,:,:,:,:,:,:,:,15.0,33.0
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,France,:,:,:,:,:,:,:,:,:,73.2,80.7
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Croatia,:,:,:,:,:,:,:,:,:,5.7,10.7
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Iceland,:,:,:,:,:,:,:,:,85.6,85.6,88.6
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Italy,:,:,:,:,:,:,:,:,44.2,53.5,59.6
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Lithuania,:,:,:,:,:,:,:,:,78.0,77.8,78.0
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Luxembourg,:,:,:,:,:,:,:,:,:,:,78.9
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Malta,:,:,:,:,:,:,:,:,0.0,0.0,0.0
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Netherlands,:,:,:,:,:,:,:,:,19.3,63.4,78.4
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Norway,:,:,:,:,:,:,:,:,73.6,81.9,87.2
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Poland,:,:,:,:,:,:,:,:,:,:,45.0
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Romania,:,:,:,:,:,:,:,:,0.0,0.0,0.0
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Sweden,:,:,:,:,:,:,:,:,0.0,81.6,88.5
Annual,Percentage of households,More than 1 gigabit per second (Gbps) - upload and download,Total,Slovenia,:,:,:,:,:,:,:,:,0.9,6.6,10.9
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Austria,43.2,40.8,42.3,49.5,56.2,57.5,65.2,72.2,82.8,85.8,87.5
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Belgium,91.9,92.6,93.1,93.9,94.2,95.5,96.5,96.5,97.2,96.9,96.9
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Bulgaria,2.0,15.1,15.7,18.6,30.7,49.0,68.0,80.9,89.4,91.9,93.6
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Switzerland,97.4,98.3,98.4,98.5,98.5,98.5,98.6,98.6,98.6,98.6,98.6
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Cyprus,43.7,44.1,44.6,44.8,45.0,62.9,71.0,78.9,82.9,86.9,92.5
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Czechia,38.6,39.4,43.3,44.5,55.9,58.2,75.0,86.4,89.2,90.2,91.1
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Germany,56.4,62.1,63.5,64.9,65.4,66.3,81.8,85.7,89.6,91.0,92.9
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Denmark,46.8,85.0,87.0,88.9,91.2,92.6,94.3,95.3,96.3,97.3,98.0
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Estonia,51.5,54.1,58.3,58.7,61.1,68.5,74.3,81.9,83.5,84.2,84.4
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Greece,0.4,0.4,0.4,0.4,0.4,0.4,41.6,48.9,54.6,63.8,60.7
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Spain,60.6,70.5,74.2,79.1,83.6,87.2,89.0,91.7,93.8,91.2,95.7
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,European Union - 27 countries (from 2020),39.9,45.1,47.2,50.4,54.2,58.3,70.8,76.1,82.0,85.3,89.0
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Finland,29.4,33.7,33.7,32.5,43.4,51.8,62.0,64.0,65.0,71.0,78.0
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,France,26.6,26.9,28.4,33.9,39.2,47.4,50.3,55.8,65.3,74.0,82.1
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Croatia,19.1,21.8,22.0,25.3,28.5,37.7,43.6,46.2,62.1,67.4,71.5
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Hungary,68.9,65.4,67.7,68.4,72.4,78.0,79.0,85.5,88.7,91.9,95.1
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Ireland,41.2,40.6,43.3,44.9,52.3,55.4,69.1,72.8,87.7,90.7,91.6
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Iceland,49.7,49.0,49.4,69.6,70.4,74.3,83.3,83.9,88.3,88.3,89.3
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Italy,12.2,14.8,16.4,18.8,21.7,23.9,61.0,67.0,77.6,82.8,87.1
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Lithuania,48.7,49.2,49.6,50.1,54.4,60.6,61.2,67.3,78.1,86.7,86.9
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Luxembourg,79.6,82.5,87.6,89.7,86.6,94.0,94.6,99.3,99.4,95.1,95.4
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Latvia,50.0,52.0,52.9,53.0,54.0,55.9,60.0,61.6,62.4,62.6,63.6
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Malta,100.0,99.4,99.4,99.4,99.9,99.9,100.0,100.0,100.0,100.0,100.0
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Netherlands,88.9,91.9,91.9,92.0,92.9,93.0,95.8,95.8,98.5,98.7,98.7
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Norway,23.0,28.0,73.0,77.6,79.8,82.0,85.7,88.5,89.2,93.6,96.6
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Poland,12.4,13.5,22.0,28.7,35.4,40.4,51.3,63.4,69.2,73.8,81.5
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Portugal,42.1,45.3,47.2,49.6,63.6,70.2,76.6,89.5,92.8,94.9,95.7
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Romania,18.4,60.2,61.8,63.4,64.9,73.8,77.7,82.8,88.6,94.5,95.7
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Sweden,59.1,57.5,57.5,68.6,73.3,78.4,82.2,85.1,86.7,86.8,89.0
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Slovenia,64.7,67.3,68.7,72.2,74.3,79.4,80.9,82.1,85.5,87.2,89.0
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,Slovakia,32.4,35.9,45.0,49.0,53.1,54.7,57.3,61.9,75.4,80.2,84.7
Annual,Percentage of households,More than 100 megabits per second (Mbps),Total,United Kingdom,47.7,47.7,47.9,46.0,47.0,48.0,57.0,59.0,63.2,69.8,77.1
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Austria,98.6,98.4,98.0,98.1,97.9,98.1,98.2,98.6,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Belgium,99.9,99.8,99.8,99.8,99.9,99.9,99.9,99.9,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Bulgaria,92.1,94.8,94.9,94.9,95.0,95.3,95.3,95.6,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Switzerland,99.8,99.8,99.8,99.8,99.8,99.7,99.8,99.9,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Cyprus,99.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Czechia,96.1,96.1,96.1,95.6,96.1,96.0,97.4,99.8,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Germany,99.4,99.8,99.9,97.0,97.1,97.5,98.5,99.0,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Denmark,98.6,99.0,99.0,98.9,99.2,99.2,99.3,99.4,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Estonia,84.7,86.0,86.8,86.8,84.9,85.0,85.1,89.3,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Greece,93.8,94.3,94.9,94.5,95.0,95.7,99.5,99.6,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Spain,96.3,95.1,95.1,95.5,95.7,96.1,95.6,95.5,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,European Union - 27 countries (from 2020),93.9,94.4,94.8,94.0,94.1,94.2,94.8,96.6,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Finland,96.2,96.5,96.5,96.5,96.5,94.4,93.0,93.0,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,France,97.0,97.0,97.1,97.4,97.5,97.3,99.7,99.7,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Croatia,95.4,95.8,96.1,96.4,98.7,99.8,99.9,99.9,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Hungary,93.9,93.9,94.8,94.8,94.8,94.0,95.8,95.5,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Ireland,95.9,95.9,95.9,95.9,96.2,96.3,96.9,94.2,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Iceland,92.8,96.4,96.4,97.7,98.0,97.3,96.6,96.8,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Italy,95.3,95.7,98.1,95.8,95.9,96.0,96.1,96.1,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Lithuania,79.1,79.9,80.3,81.0,82.0,84.9,85.3,84.6,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Luxembourg,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Latvia,77.0,75.0,72.0,70.5,70.0,70.0,71.0,71.5,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Malta,100.0,99.8,99.8,99.8,100.0,100.0,100.0,100.0,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Netherlands,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Norway,96.7,95.2,100.0,95.3,94.4,96.8,98.0,97.8,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Poland,66.9,67.2,67.8,68.3,68.3,68.8,69.3,88.6,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Portugal,93.7,93.4,92.9,92.7,91.4,91.7,91.6,92.1,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Romania,83.2,89.3,88.8,88.6,88.1,87.1,87.4,89.5,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Sweden,97.6,97.5,97.5,97.8,97.2,96.4,97.3,97.1,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Slovenia,97.8,97.7,97.6,97.5,97.7,98.0,98.8,98.9,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,Slovakia,76.1,86.5,86.3,87.6,87.3,88.3,92.8,97.4,:,:,:
Annual,Percentage of households,More than 2 megabits per second (Mbps),Total,United Kingdom,98.4,98.9,98.9,98.9,99.1,99.2,99.2,99.2,:,:,:
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Austria,55.6,60.3,65.2,67.3,71.3,72.4,78.8,86.6,93.3,94.8,94.2
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Belgium,95.1,95.7,96.2,96.9,97.0,98.3,98.3,98.5,99.1,97.8,97.8
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Bulgaria,61.9,66.5,68.4,71.3,74.5,75.0,79.8,87.6,92.1,93.9,95.1
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Switzerland,97.8,98.7,98.9,98.9,98.9,98.9,99.8,99.8,99.8,99.8,99.8
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Cyprus,68.7,69.3,69.8,78.1,78.1,84.0,100.0,100.0,100.0,100.0,100.0
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Czechia,50.6,60.4,72.7,73.9,88.6,89.8,91.9,96.9,98.1,98.3,98.2
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Germany,65.2,74.6,76.7,80.7,84.1,87.9,92.2,94.7,95.9,94.2,96.1
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Denmark,82.8,92.0,92.0,93.3,94.6,95.3,96.4,97.0,97.7,98.4,98.8
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Estonia,61.4,72.0,76.3,76.9,78.6,82.8,83.7,88.3,89.2,89.5,100.0
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Greece,13.5,30.8,33.2,44.9,48.6,61.3,79.7,86.8,96.6,96.0,97.5
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Spain,64.9,73.2,76.6,80.8,85.0,88.2,91.0,92.3,96.2,96.7,96.2
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,European Union - 27 countries (from 2020),52.2,59.4,63.3,69.3,74.1,77.3,81.1,85.0,89.7,90.8,93.3
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Finland,65.6,66.8,66.8,66.7,66.0,70.6,73.0,75.0,77.0,78.0,81.0
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,France,37.0,40.0,41.3,50.0,55.5,58.3,62.0,64.8,74.4,81.6,86.5
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Croatia,31.4,44.9,49.1,52.3,60.3,84.5,85.6,86.3,87.8,88.0,89.0
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Hungary,75.6,74.8,76.9,78.2,81.7,85.5,86.2,87.6,94.9,95.5,96.0
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Ireland,48.4,54.3,69.5,77.2,87.5,88.8,89.7,87.7,90.1,92.1,92.1
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Iceland,60.0,88.9,89.2,91.0,95.9,95.7,95.6,96.3,98.8,98.8,99.1
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Italy,15.9,27.2,43.6,63.0,75.7,76.7,77.5,82.0,90.6,92.3,94.2
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Lithuania,48.1,48.7,49.3,50.1,54.4,62.7,63.6,70.6,84.6,86.7,86.9
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Luxembourg,94.8,94.4,94.4,94.1,93.2,97.6,97.8,99.7,99.8,97.5,97.3
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Latvia,56.0,56.0,56.0,55.0,56.4,58.6,63.7,65.7,66.7,67.6,68.3
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Malta,100.0,99.5,99.5,99.4,99.9,99.9,100.0,100.0,100.0,100.0,100.0
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Netherlands,97.6,98.4,98.3,98.3,98.3,98.3,98.3,98.3,98.9,98.9,98.9
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Norway,71.9,75.0,78.6,82.4,83.8,86.0,89.3,91.0,91.7,98.5,99.8
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Poland,49.7,50.2,50.9,50.6,50.2,53.0,59.6,74.9,77.0,76.0,86.9
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Portugal,63.9,65.1,66.3,67.1,71.7,75.6,83.0,89.7,92.8,94.9,95.7
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Romania,34.5,64.8,65.9,66.9,67.9,75.6,82.0,87.0,93.7,96.1,95.8
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Sweden,72.1,72.6,72.6,74.2,77.9,81.9,85.1,87.5,88.9,89.1,90.8
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Slovenia,71.1,74.6,78.1,81.6,83.2,85.9,86.9,87.6,89.5,90.5,91.9
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,Slovakia,45.9,48.8,53.9,64.3,70.0,72.4,70.9,74.1,82.3,82.8,97.4
Annual,Percentage of households,More than 30 megabits per second (Mbps),Total,United Kingdom,79.1,85.7,87.9,89.0,91.8,93.0,94.8,94.8,95.0,95.8,97.2
