Time frequency,Income and living conditions indicator,Sex,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Iceland,25.9,19.4,20.2,22.7,16.7,18.8,17.0,23.6,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Italy,29.3,31.6,32.0,32.8,36.3,32.5,33.8,33.3,31.3,31.6,29.3,27.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Lithuania,26.6,27.5,28.3,29.4,32.0,34.0,33.5,31.7,25.9,24.5,26.5,30.9
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Luxembourg,15.7,17.5,17.0,19.2,20.5 b,23.5,25.1,24.1,18.0 b,20.0 b,17.3 b,17.3
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Latvia,32.1,32.0,29.0,33.7,30.8,31.0,33.9,34.4,32.9,29.1,29.3,32.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Montenegro,:,39.7,32.2,36.1,36.9,35.0,34.6,33.7,28.3,29.1,29.2,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,North Macedonia,43.2,41.0,37.0,33.9,31.7,36.6,37.5,32.2,36.2,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Malta,16.9,19.1,18.4,17.6,16.6,18.0,19.3,18.7,18.9,22.5,18.4,25.8
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Netherlands,18.9,19.4,18.7,18.7,19.3 b,20.9,20.9,19.1,19.2,21.2,22.7,18.8
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Norway,28.0,23.3,30.3,27.7,27.9,28.6,25.8,27.1,24.9,24.2 b,24.5,22.4 b
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Poland,24.0,24.0,24.4,24.1,25.6,25.8,26.5,24.6,23.0,23.0,23.9,23.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Portugal,26.9,31.3,32.7,32.2,29.3,30.2,26.4,24.6,26.8,29.0,22.5,27.4
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Romania,32.8,35.1,39.0,39.2,38.3,36.3,38.1,36.8,37.0,43.3,36.8,39.0
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Serbia,:,37.8,42.3,39.9,42.6,42.3,39.8,32.9,29.9,31.4,27.2,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Sweden,26.3,23.1,25.6,24.6,24.7,24.4,23.2,23.9,24.6,23.4,25.1,26.0
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Slovenia,19.5,21.2,22.8,21.5,22.0,21.3,19.2,19.9,18.5,18.7,20.1,20.4
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Slovakia,21.2,24.4,29.5,31.1,26.4,28.0,26.0,27.5,25.6,27.5,17.1,35.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Türkiye,28.3,26.4,26.3,25.8,25.0,24.1,24.1,26.3,26.4,26.4,24.1,24.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,United Kingdom,22.9 b,22.0,20.7,22.6,25.0,23.3 b,25.4,:,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Albania,:,:,:,:,:,20.7,24.2,20.9,20.2,18.8,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Austria,19.0,20.7,19.6,17.8,16.1,18.0,19.3,19.6,20.6,20.6,20.4,19.4
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Belgium,12.7,10.5,13.7,11.1,13.1,11.8,10.8,11.5 b,12.6,13.4,11.6,9.8
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Bulgaria,22.4,20.6,17.9,21.9,16.3 b,20.0,19.4,20.7,21.8,20.3,22.2,10.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Switzerland,24.8,24.3,22.6 b,22.5,25.9,27.4,24.1,26.9,25.5,25.3,26.1,26.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Cyprus,15.3,13.2,14.1,12.0,14.3,14.3,13.7,13.5,13.6,13.3,13.9,14.2
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Czechia,7.1,8.3,7.3,9.0,10.2,7.6,9.3,10.8,10.8,8.7,11.3,10.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Germany,18.8,18.4,19.9,18.4,18.6,18.7,18.4,18.8,21.2 b,21.7,19.4,18.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Denmark,8.6,10.4,8.3,5.4,5.7,7.3,7.5,8.1,9.2 b,8.5,10.1,8.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Euro area - 19 countries  (2015-2022),15.9,15.5,16.4,15.6,16.0,16.7,16.6,17.0,18.4,18.2,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,18.5,18.4,17.9
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Estonia,8.1,8.1,10.0 b,12.0,14.7,16.7,19.4,18.7,17.8,14.9,21.6,19.3
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Greece,14.8,13.7,17.3,17.3,18.7,19.7,18.4,17.7,14.6,17.8,18.3,16.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Spain,16.3,16.6,15.0,14.2,13.9,20.2,17.9,17.1,18.8,19.7,21.3,20.3
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,European Union - 27 countries (2007-2013),16.1,15.9,16.6,16.4,16.7,16.6,17.4,17.8 e,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,European Union - 27 countries (from 2020),15.9,15.7,16.3 e,15.9 e,16.1 e,16.8 e,16.9 e,17.4 e,18.3,18.2,18.1,17.6
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,European Union - 28 countries (2013-2020),16.3,16.0,16.7,16.5,16.8,16.7,17.5,17.9 e,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Finland,11.3,11.3,10.1,9.2,8.9,9.0,10.1,10.4,11.1,11.2,9.5,8.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,France,13.5,12.0,12.0,11.6,11.0,10.8,12.1,13.0,14.4 b,12.0,14.0 b,14.8
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Croatia,25.0,24.1,24.2,21.5,25.1,23.0,27.6,26.2,26.9,25.4,26.3,28.4 b
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Hungary,11.6,11.2,11.6,15.3,14.3,14.7,12.6,9.6,9.0,8.0,13.4,14.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Ireland,22.3,27.1,27.8,12.6,11.2,7.6,8.1,8.4 b,10.8 b,11.8,12.2,8.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Iceland,13.3 u,14.0 u,5.3 u,7.8 u,5.3 u,7.9,21.8 u,23.3,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Italy,15.3,14.8,14.5,15.1,16.5,16.6,16.5,18.3,19.5,18.9,20.5,21.4
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Lithuania,9.4,13.6,14.7,16.0,18.9,19.9,19.4,20.5,19.9,20.0,22.1,17.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Luxembourg,11.4,14.7,13.6,12.9,35.3 b,22.6,33.8,30.7,17.7 b,16.4 b,19.5 b,18.3
