Time frequency,Indicators on crime and criminal justice,Unit of measure,Sex,Geopolitical entity (reporting),Age class\Time,2012.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Slovenia,From 15 to 74 years,3.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Slovenia,From 18 to 29 years,6.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Slovenia,From 30 to 39 years,2.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Slovenia,From 40 to 49 years,3.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Slovenia,From 50 to 59 years,3.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Slovenia,60 years or over,1.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Slovakia,From 15 to 74 years,10.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Slovakia,From 18 to 29 years,12.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Slovakia,From 30 to 39 years,10.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Slovakia,From 40 to 49 years,12.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Slovakia,From 50 to 59 years,9.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Slovakia,60 years or over,6.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,United Kingdom,From 15 to 74 years,8.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,United Kingdom,From 18 to 29 years,17.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,United Kingdom,From 30 to 39 years,6.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,United Kingdom,From 40 to 49 years,8.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,United Kingdom,From 50 to 59 years,3.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,United Kingdom,60 years or over,6.0
