Time frequency,Currency,Balance of payments item,Sector (ESA 2010),Sector (ESA 2010),Stock or flow,Geopolitical entity (partner),Seasonal adjustment,Geopolitical entity (reporting)\Time,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Spain,7251.0,4041.0,3433.0,5870.0,1872.0,7422.0,7486.0,7715.0,6880.0,4812.0,6579.0,: @C
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),European Union - 27 countries (from 2020),35037.4,15778.6,35014.0,40917.4,44693.9,15058.8,62029.4,41158.1,34130.1,48375.0,35628.6,35704.6
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Finland,-148.0,263.0,37.0,-706.0,-3435.0,-150.0,1624.0,587.0,605.0,1177.0,-503.0,204.0
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),France,9666.0,-287.0,-3125.0,-1171.0,-1214.0,-11147.0,12083.0,2245.0,-4038.0,3534.0,-5673.0,-2530.0
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Croatia,-52.0,-758.0,-853.0,-1117.0,-1109.0,-649.0,824.0,1749.0,2766.0,625.0,: @C,: @C
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Hungary,-666.2,239.8,1386.1,1643.9,1178.5,898.6,74.3,-121.7,324.2,771.1,616.6,521.6
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Ireland,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Italy,3811.0,-1809.0,2440.0,569.0,1747.0,1185.0,4331.0,6947.0,2082.0,1908.0,5579.0,-440.0
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Lithuania,416.8,120.0,346.0,440.0,30.1,290.6,537.8,-69.3,239.0,534.3,628.0,141.1
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Luxembourg,-2412.0,973.0,-246.0,874.0,-1.0,608.0,1427.0,852.0,1242.0,79.0,1180.0,-68.0
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Latvia,339.0,146.0,-7.0,-118.0,-81.0,-63.0,-60.0,-226.0,-91.0,-25.0,42.0,220.0
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),North Macedonia,-118.0,-42.0,-81.9,-66.5,-50.5,-51.9,-2.0,83.3,132.6,47.2,: @C,: @C
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Malta,-35.7,-25.8,87.5,-11.8,147.1,91.0,338.2,153.4,356.9,-25.6,272.4,192.5
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Netherlands,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Poland,-777.0,1713.3,1989.1,-206.2,1325.9,281.3,1315.0,996.1,-2334.0,-658.3,2035.0,-99.5
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Portugal,-506.0,938.0,635.0,953.0,471.0,40.0,1188.0,1090.0,1586.0,1278.0,1171.0,416.0
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Romania,-731.3,-1132.9,-842.7,-1312.5,-2107.2,-2112.0,-2915.2,-3050.5,-2350.0,-2622.0,-3156.4,-2366.1
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Serbia,-695.0,146.0,-225.0,-341.0,-116.0,-405.0,-380.0,-681.0,-562.0,-769.0,-406.0,-457.0
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Sweden,1947.5,3520.2,3537.4,2808.0,6208.9,7600.1,486.8,3099.4,2425.3,2671.6,2681.9,2752.4
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Slovenia,-33.1,303.0,130.7,259.0,359.0,180.2,156.2,528.2,277.8,287.9,476.0,243.4
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Slovakia,-328.2,-139.2,72.4,-194.2,99.8,-11.0,652.1,-382.2,-257.9,-215.4,-437.3,-293.4
