Time frequency,Unit of measure,Country of citizenship,Sex,Age class,Geopolitical entity (reporting)\Time,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Ireland,2055.0,945.0,770.0,560.0,510.0,690.0,500.0,250.0,195.0,290.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Iceland,50.0,15.0,35.0,20.0,10.0,15.0,20.0,10.0,20.0,15.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Italy,6065.0,3545.0,1075.0,410.0,310.0,245.0,55.0,225.0,165.0,245.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Liechtenstein,25.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Lithuania,4295.0,755.0,305.0,200.0,300.0,215.0,215.0,165.0,245.0,370.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Luxembourg,255.0,30.0,20.0,20.0,0.0,20.0,0.0,10.0,10.0,25.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Latvia,1300.0,360.0,215.0,175.0,460.0,145.0,45.0,35.0,65.0,145.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Malta,65.0,20.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Netherlands,3550.0,1190.0,645.0,450.0,340.0,770.0,600.0,475.0,460.0,905.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Norway,1270.0,575.0,405.0,600.0,390.0,755.0,815.0,575.0,300.0,740.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Poland,55160.0,15860.0,8020.0,5150.0,0.0,10055.0,4075.0,3700.0,4525.0,12100.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Portugal,710.0,145.0,80.0,60.0,40.0,65.0,25.0,35.0,50.0,55.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Romania,2640.0,1435.0,1555.0,1315.0,435.0,375.0,290.0,235.0,270.0,315.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Sweden,1425.0,310.0,165.0,150.0,140.0,185.0,110.0,170.0,155.0,350.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Slovenia,375.0,80.0,40.0,25.0,15.0,35.0,25.0,20.0,30.0,55.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Slovakia,1940.0,715.0,395.0,375.0,330.0,500.0,260.0,260.0,285.0,390.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Austria,11140.0,2005.0,1135.0,895.0,545.0,710.0,725.0,640.0,615.0,800.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Belgium,5780.0,1640.0,1085.0,775.0,655.0,835.0,630.0,560.0,510.0,835.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Bulgaria,27140.0,3070.0,2490.0,830.0,850.0,890.0,700.0,710.0,1085.0,1320.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Switzerland,10865.0,1865.0,1570.0,1800.0,1050.0,1500.0,900.0,165.0,745.0,645.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Cyprus,1880.0,425.0,280.0,535.0,385.0,220.0,135.0,95.0,70.0,145.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Czechia,23205.0,8040.0,5005.0,4845.0,3630.0,3640.0,2725.0,2710.0,3920 d,4010.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Germany,91025.0,51775.0,29410.0,25510.0,20575.0,19225.0,16170.0,17730.0,11855.0,11895.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Denmark,7335.0,970.0,525.0,425.0,395.0,385.0,285.0,385.0,440.0,635.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Estonia,3985.0,1615.0,1115.0,525.0,340.0,460.0,305.0,245.0,300.0,350.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Greece,4435.0,510.0,270.0,150.0,130.0,190.0,85.0,85.0,120.0,140.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Spain,26305.0,3770.0,2585.0,2025.0,1300.0,1390.0,1260.0,1360.0,1875.0,1895.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Finland,6600.0,1720.0,1390.0,1185.0,700.0,670.0,610.0,455.0,520.0,575.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,France,0 d,0 d,0 d,0 d,0 d,0 d,0 d,0 d,0 d,0 d
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Croatia,2750.0,670.0,335.0,295.0,190.0,180.0,100.0,110.0,170.0,190.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Ireland,6895.0,2980.0,3330.0,1875.0,1595.0,1830.0,1475.0,605.0,430.0,465.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Iceland,195.0,65.0,100.0,75.0,35.0,55.0,45.0,45.0,35.0,20.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Italy,25540.0,14585.0,4600.0,1430.0,1100.0,790.0,150.0,720.0,485.0,665.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Liechtenstein,35.0,20.0,20.0,10.0,10.0,20.0,15.0,10.0,15.0,10.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Lithuania,14690.0,2255.0,1170.0,680.0,970.0,500.0,500.0,400.0,535.0,600.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Luxembourg,890.0,100.0,60.0,55.0,20.0,35.0,20.0,30.0,25.0,35.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Latvia,3930.0,1170.0,695.0,565.0,1315.0,265.0,150.0,135.0,275.0,300.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Malta,280.0,60.0,25.0,40.0,25.0,30.0,15.0,10.0,15.0,25.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Netherlands,11515.0,3075.0,1865.0,1200.0,820.0,1355.0,1215.0,1070.0,965.0,1325.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Norway,4050.0,1995.0,1600.0,1730.0,1245.0,2110.0,2355.0,1445.0,800.0,1205.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Poland,180480.0,32915.0,21745.0,12455.0,12765.0,11460.0,6885.0,6395.0,7950.0,8800.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Portugal,3450.0,760.0,420.0,325.0,220.0,240.0,190.0,150.0,215.0,195.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Romania,13750.0,6720.0,8245.0,6180.0,2155.0,1275.0,1125.0,1010.0,1175.0,1060.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Sweden,4770.0,970.0,630.0,485.0,425.0,385.0,300.0,450.0,370.0,630.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Slovenia,1475.0,240.0,105.0,100.0,50.0,65.0,80.0,65.0,75.0,115.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Slovakia,5060.0,1690.0,1205.0,1035.0,790.0,970.0,690.0,680.0,690.0,740.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Austria,14665.0,2810.0,1630.0,1175.0,775.0,1195.0,1120.0,905.0,910.0,1635.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Belgium,7400.0,2160.0,1375.0,1030.0,845.0,1165.0,820.0,785.0,720.0,1265.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Bulgaria,33570.0,3915.0,3160.0,1055.0,1255.0,1300.0,890.0,945.0,1695.0,1790.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Switzerland,14065.0,2395.0,1995.0,2215.0,1305.0,1910.0,1160.0,205.0,1000.0,975.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Cyprus,2470.0,560.0,345.0,650.0,460.0,290.0,205.0,115.0,85.0,195.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Czechia,31415.0,11560.0,7005.0,7805.0,6030.0,7125.0,4470.0,4745.0,6405 d,8295.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Germany,119570.0,67570.0,38115.0,34110.0,27210.0,25640.0,21725.0,23785.0,15905.0,16740.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Denmark,9085.0,1390.0,650.0,610.0,515.0,540.0,405.0,530.0,640.0,980.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Estonia,5220.0,2100.0,1375.0,705.0,450.0,640.0,410.0,335.0,390.0,535.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Greece,5460.0,630.0,335.0,185.0,180.0,250.0,110.0,115.0,185.0,205.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Spain,32955.0,4750.0,3130.0,2460.0,1555.0,1755.0,1515.0,1705.0,2240.0,2455.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Finland,8550.0,2320.0,1750.0,1530.0,1005.0,980.0,820.0,605.0,765.0,975.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,France,65 d,25 d,35 d,10 d,20 d,25 d,15 d,15 d,10 d,5 d
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Croatia,3435.0,830.0,410.0,355.0,240.0,235.0,135.0,135.0,225.0,260.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Ireland,8950.0,3925.0,4105.0,2435.0,2105.0,2515.0,1975.0,855.0,625.0,755.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Iceland,240.0,80.0,135.0,95.0,45.0,70.0,65.0,55.0,55.0,35.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Italy,31605.0,18130.0,5675.0,1840.0,1410.0,1035.0,200.0,945.0,655.0,910.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Liechtenstein,60.0,25.0,30.0,20.0,10.0,25.0,20.0,15.0,15.0,15.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Lithuania,18985.0,3005.0,1475.0,880.0,1270.0,715.0,715.0,565.0,780.0,970.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Luxembourg,1145.0,130.0,80.0,75.0,25.0,60.0,25.0,40.0,35.0,65.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Latvia,5230.0,1530.0,905.0,740.0,1770.0,410.0,195.0,175.0,340.0,445.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Malta,345.0,80.0,30.0,50.0,30.0,35.0,20.0,20.0,20.0,35.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Netherlands,15065.0,4265.0,2510.0,1645.0,1160.0,2125.0,1815.0,1545.0,1420.0,2230.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Norway,5320.0,2570.0,2005.0,2325.0,1635.0,2860.0,3170.0,2020.0,1100.0,1945.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Poland,235640.0,48775.0,29765.0,17605.0,12765.0,21515.0,10960.0,10095.0,12475.0,20905.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Portugal,4155.0,905.0,500.0,380.0,265.0,305.0,220.0,185.0,265.0,245.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Romania,16395.0,8150.0,9805.0,7495.0,2590.0,1655.0,1410.0,1245.0,1440.0,1380.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Sweden,6195.0,1280.0,795.0,635.0,565.0,570.0,410.0,620.0,520.0,980.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Slovenia,1850.0,320.0,145.0,125.0,65.0,100.0,105.0,90.0,105.0,170.0
Quarterly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Slovakia,7000.0,2405.0,1600.0,1410.0,1120.0,1465.0,950.0,935.0,975.0,1135.0
