Time frequency,Country/region of birth,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2023.0
Annual,Foreign country,Males,Percentage,Croatia,7.8 u
Annual,Foreign country,Males,Percentage,Hungary,1.0
Annual,Foreign country,Males,Percentage,Ireland,10.0 u
Annual,Foreign country,Males,Percentage,Italy,5.4
Annual,Foreign country,Males,Percentage,Lithuania,9.8 u
Annual,Foreign country,Males,Percentage,Luxembourg,7.3
Annual,Foreign country,Males,Percentage,Latvia,4.5
Annual,Foreign country,Males,Percentage,Malta,6.0
Annual,Foreign country,Males,Percentage,Netherlands,14.3
Annual,Foreign country,Males,Percentage,Norway,13.6
Annual,Foreign country,Males,Percentage,Poland,0.2 u
Annual,Foreign country,Males,Percentage,Portugal,9.2
Annual,Foreign country,Males,Percentage,Romania,: u
Annual,Foreign country,Males,Percentage,Sweden,17.3
Annual,Foreign country,Males,Percentage,Slovenia,6.6
Annual,Foreign country,Males,Percentage,Slovakia,1.8
Annual,Foreign country,Total,Percentage,Austria,11.5
Annual,Foreign country,Total,Percentage,Belgium,6.9
Annual,Foreign country,Total,Percentage,Bulgaria,4.5
Annual,Foreign country,Total,Percentage,Cyprus,3.7
Annual,Foreign country,Total,Percentage,Czechia,6.1
Annual,Foreign country,Total,Percentage,Germany,7.1
Annual,Foreign country,Total,Percentage,Denmark,10.3
Annual,Foreign country,Total,Percentage,Euro area – 20 countries (from 2023),10.1
Annual,Foreign country,Total,Percentage,Estonia,7.9
Annual,Foreign country,Total,Percentage,Greece,9.2
Annual,Foreign country,Total,Percentage,Spain,16.5
Annual,Foreign country,Total,Percentage,European Union - 27 countries (from 2020),10.1
Annual,Foreign country,Total,Percentage,Finland,13.7
Annual,Foreign country,Total,Percentage,France,15.7
Annual,Foreign country,Total,Percentage,Croatia,6.5 u
Annual,Foreign country,Total,Percentage,Hungary,1.0
Annual,Foreign country,Total,Percentage,Ireland,12.1 u
Annual,Foreign country,Total,Percentage,Italy,5.0
Annual,Foreign country,Total,Percentage,Lithuania,10.6 u
Annual,Foreign country,Total,Percentage,Luxembourg,6.8
Annual,Foreign country,Total,Percentage,Latvia,5.8
Annual,Foreign country,Total,Percentage,Malta,6.2
Annual,Foreign country,Total,Percentage,Netherlands,14.4
Annual,Foreign country,Total,Percentage,Norway,13.4
Annual,Foreign country,Total,Percentage,Poland,2.1 u
Annual,Foreign country,Total,Percentage,Portugal,9.1
Annual,Foreign country,Total,Percentage,Romania,: u
Annual,Foreign country,Total,Percentage,Sweden,13.5
Annual,Foreign country,Total,Percentage,Slovenia,7.0
Annual,Foreign country,Total,Percentage,Slovakia,3.1
Annual,Reporting country,Females,Percentage,Austria,3.5
Annual,Reporting country,Females,Percentage,Belgium,3.7
Annual,Reporting country,Females,Percentage,Bulgaria,1.4
Annual,Reporting country,Females,Percentage,Cyprus,13.4
Annual,Reporting country,Females,Percentage,Czechia,3.6
Annual,Reporting country,Females,Percentage,Germany,4.0
Annual,Reporting country,Females,Percentage,Denmark,9.4
Annual,Reporting country,Females,Percentage,Euro area – 20 countries (from 2023),4.5
Annual,Reporting country,Females,Percentage,Estonia,4.6
Annual,Reporting country,Females,Percentage,Greece,1.3
Annual,Reporting country,Females,Percentage,Spain,6.1
Annual,Reporting country,Females,Percentage,European Union - 27 countries (from 2020),4.1
Annual,Reporting country,Females,Percentage,Finland,10.2
Annual,Reporting country,Females,Percentage,France,7.9
Annual,Reporting country,Females,Percentage,Croatia,2.2 u
Annual,Reporting country,Females,Percentage,Hungary,0.8
Annual,Reporting country,Females,Percentage,Ireland,6.7 u
Annual,Reporting country,Females,Percentage,Italy,0.8
Annual,Reporting country,Females,Percentage,Lithuania,5.7 u
Annual,Reporting country,Females,Percentage,Luxembourg,5.4
Annual,Reporting country,Females,Percentage,Latvia,4.8
Annual,Reporting country,Females,Percentage,Malta,2.6
Annual,Reporting country,Females,Percentage,Netherlands,6.2
Annual,Reporting country,Females,Percentage,Norway,5.7
Annual,Reporting country,Females,Percentage,Poland,0.8 u
