Time frequency,Housing,Unit of measure,Geopolitical entity (reporting)\Time,2001.0
Annual,Total housing,Number,Austria,8032926.0
Annual,Total housing,Number,Belgium,10296350.0
Annual,Total housing,Number,Bulgaria,7902616.0
Annual,Total housing,Number,Switzerland,7288010.0
Annual,Total housing,Number,Cyprus,685280.0
Annual,Total housing,Number,Czechia,10230060.0
Annual,Total housing,Number,Germany,76888100.0
Annual,Total housing,Number,Estonia,1370052.0
Annual,Total housing,Number,Greece,10628113.0
Annual,Total housing,Number,Spain,40847371.0
Annual,Total housing,Number,Finland,5081354.0
Annual,Total housing,Number,France,58513700.0
Annual,Total housing,Number,Hungary,10193686.0
Annual,Total housing,Number,Ireland,3791316.0
Annual,Total housing,Number,Italy,56982706.0
Annual,Total housing,Number,Liechtenstein,32244.0
Annual,Total housing,Number,Lithuania,3459655.0
Annual,Total housing,Number,Latvia,2377383.0
Annual,Total housing,Number,Netherlands,15985538.0
Annual,Total housing,Number,Poland,38230080.0
Annual,Total housing,Number,Portugal,10356117.0
Annual,Total housing,Number,Romania,21458740.0
Annual,Total housing,Number,Slovenia,1969459.0
Annual,Total housing,Number,Slovakia,5379455.0
Annual,Total housing,Number,United Kingdom,58788251.0
Annual,Unknown,Number,Belgium,4264.0
Annual,Unknown,Number,Estonia,6659.0
Annual,Unknown,Number,Greece,279044.0
Annual,Unknown,Number,France,140252.0
Annual,Unknown,Number,Lithuania,56797.0
Annual,Unknown,Number,Portugal,839.0
