Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,Janvier-Mars 2004,Avril-Juin 2004,Jullet-Septembre 2004,Octobre-Décembre 2004,Janvier-Mars 2005,Avril-Juin 2005,Jullet-Septembre 2005,Octobre-Décembre 2005,Janvier-Mars 2006,Avril-Juin 2006,Jullet-Septembre 2006,Octobre-Décembre 2006,Janvier-Mars 2007,Avril-Juin 2007,Jullet-Septembre 2007,Octobre-Décembre 2007,Janvier-Mars 2008,Avril-Juin 2008,Jullet-Septembre 2008,Octobre-Décembre 2008,Janvier-Mars 2009,Avril-Juin 2009,Jullet-Septembre 2009,Octobre-Décembre 2009,Janvier-Mars 2010,Avril-Juin 2010,Jullet-Septembre 2010,Octobre-Décembre 2010,Janvier-Mars 2011,Avril-Juin 2011,Jullet-Septembre 2011,Octobre-Décembre 2011,Janvier-Mars 2012,Avril-Juin 2012,Jullet-Septembre 2012,Octobre-Décembre 2012,Janvier-Mars 2013,Avril-Juin 2013,Jullet-Septembre 2013,Octobre-Décembre 2013,Janvier-Mars 2014,Avril-Juin 2014,Jullet-Septembre 2014,Octobre-Décembre 2014,Janvier-Mars 2015,Avril-Juin 2015,Jullet-Septembre 2015,Octobre-Décembre 2015,Janvier-Mars 2016,Avril-Juin 2016,Jullet-Septembre 2016,Octobre-Décembre 2016,Janvier-Mars 2017,Avril-Juin 2017,Jullet-Septembre 2017,Octobre-Décembre 2017,Janvier-Mars 2018,Avril-Juin 2018,Jullet-Septembre 2018,Octobre-Décembre 2018,Janvier-Mars 2019,Avril-Juin 2019,Jullet-Septembre 2019,Octobre-Décembre 2019,Janvier-Mars 2020,Avril-Juin 2020,Jullet-Septembre 2020,Octobre-Décembre 2020,Janvier-Mars 2021,Avril-Juin 2021,Jullet-Septembre 2021,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Million tonne-kilometre (TKM),Spain,3127.0,3016.0,2702.0,3082.0,2661.0,2872.0,2639.0,2898.0,2943.0,2803.0,2552.0,2713.0,2777.0,2614.0,2517.0,2639.0,2707.0,2522.0,2476.0,2032.0,1783.0,1641.0,1674.0,1875.0,1921.0,2062.0,1875.0,1907.0,2138.0,2171.0,2055.0,1776.0,2022.0,2137.0,2014.0,1967.0,2202.0,2392.0,2060.0,2207.0,2461.0,2535.0,2518.0,2554.0,2495.0,2670.0,2604.0,2451.0,2446.0,2543.0,2397.0,2423.0,2629.0,2576.0,2500.0,2544.0,2554.0,2628.0,2589.0,2400.0,2670.0,2743.0,2595.0,2409.0,2418.0,1817.0,2108.0,2283.0,2357.0,2534.0,2460.0,2392.0,2526.0,2623.0,2409.0,2209.0,2409.0,2837.0,2116.0,2241.0,2297.0,2457.0,2241.0
Quarterly,Million tonne-kilometre (TKM),European Union - 27 countries (2007-2013),:,:,:,:,:,:,:,:,100254.0,104703.0,103468.0,107622.0,108312.0,110356.0,107677.0,107325.0,109182.0,110693.0,107277.0,97811.0,81959.0,83183.0,87926.0,93983.0,89328.0,95852.0,95877.0,96147.0,99198.0,103526.0,100057.0,100173.0,96683.0,100158.0,96844.0,96832.0,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Million tonne-kilometre (TKM),European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,95595.0,99834.0,98913.0,103093.0,103830.0,105780.0,103385.0,102984.0,104699.0,106115.0,102708.0,93677.0,77765.0,78951.0,83700.0,90104.0,85187.0,92010.0,91821.0,92272.0,94390.0,99012.0,95445.0,95571.0,91762.0,95252.0,92187.0,92182.0,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,:
Quarterly,Million tonne-kilometre (TKM),European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,:,100963.0,105488.0,104312.0,108589.0,109163.0,111261.0,108612.0,108209.0,109948.0,111530.0,108123.0,98675.0,82565.0,83806.0,88590.0,94730.0,89874.0,96526.0,96573.0,96849.0,99730.0,104148.0,100704.0,100809.0,97189.0,100740.0,97454.0,97467.0,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Million tonne-kilometre (TKM),Finland,2585.0,2510.0,2420.0,2590.0,2671.0,2127.0,2281.0,2625.0,2740.0,2758.0,2722.0,2839.0,2683.0,2583.0,2585.0,2582.0,2763.0,2816.0,2791.0,2407.0,1942.0,2023.0,2261.0,2647.0,2139.0,2536.0,2531.0,2543.0,2127.0,2437.0,2434.0,2398.0,2221.0,2382.0,2252.0,2420.0,2358.0,2256.0,2287.0,2569.0,2511.0,2414.0,2295.0,2377.0,2097.0,2048.0,2012.0,2310.0,2260.0,2327.0,2321.0,2538.0,2562.0,2361.0,2530.0,2866.0,2619.0,2821.0,2714.0,2877.0,2484.0,2620.0,2483.0,2501.0,2478.0,2578.0,2371.0,2691.0,2429.0,2737.0,2791.0,2850.0,2329.0,2071.0,2152.0,2293.0,2072.0,2056.0,1785.0,2018.0,1618.0,2172.0,2169.0
Quarterly,Million tonne-kilometre (TKM),France,11863.0,11855.0,10490.0,10913.0,10331.0,10642.0,9705.0,9545.0,10599.0,10377.0,9807.0,10395.0,10862.0,11206.0,10812.0,9732.0,11140.0,10575.0,9972.0,8749.0,7519.0,8020.0,8271.0,8319.0,7836.0,7920.0,7817.0,6393.0,8958.0,8595.0,8360.0,8289.0,8278.0,8315.0,8095.0,7864.0,8056.0,8350.0,7907.0,7918.0,8352.0,8046.0,8154.0,8044.0,9153.0,9297.0,8951.0,8927.0,9207.0,8353.0,8642.0,8512.0,9065.0,8891.0,8724.0,8801.0,9371.0,7601.0,8459.0,8419.0,9272.0,9080.0,8847.0,6710.0,7906.0,7044.0,8101.0,8245.0,8823.0,9287.0,8893.0,8766.0,9299.0,9530.0,8564.0,7888.0,6867.0,7573.0,7579.0,7381.0,8164.0,8463.0,8291.0
Quarterly,Million tonne-kilometre (TKM),Croatia,523.0,617.0,614.0,740.0,566.0,735.0,705.0,828.0,709.0,785.0,844.0,967.0,850.0,905.0,935.0,884.0,766.0,837.0,846.0,863.0,607.0,623.0,664.0,747.0,546.0,674.0,696.0,703.0,533.0,622.0,647.0,636.0,506.0,582.0,610.0,634.0,472.0,505.0,553.0,556.0,475.0,510.0,522.0,612.0,518.0,490.0,590.0,585.0,399.0,425.0,473.0,573.0,552.0,666.0,669.0,623.0,553.0,612.0,679.0,710.0,682.0,700.0,745.0,784.0,741.0,833.0,797.0,908.0,737.0,755.0,809.0,871.0,819.0,907.0,921.0,882.0,762.0,786.0,792.0,805.0,829.0,839.0,828.0
Quarterly,Million tonne-kilometre (TKM),Hungary,1546.0,2051.0,2187.0,2527.0,1596.0,2281.0,2142.0,2539.0,1943.0,2356.0,2280.0,2700.0,2225.0,2407.0,2332.0,2424.0,2019.0,2364.0,2348.0,2167.0,1411.0,1581.0,1744.0,1964.0,1628.0,1982.0,1967.0,2048.0,1626.0,1845.0,1912.0,2143.0,1716.0,1928.0,1728.0,1834.0,1557.0,1661.0,1638.0,1939.0,2390.0,2496.0,2453.0,2819.0,2327.0,2417.0,2563.0,2702.0,2271.0,2444.0,2752.0,3061.0,2798.0,2763.0,2704.0,2952.0,2494.0,2627.0,2621.0,2842.0,2793.0,2522.0,2529.0,2781.0,2830.0,2859.0,2712.0,3193.0,2756.0,2754.0,2829.0,3007.0,2679.0,2930.0,2870.0,2871.0,2590.0,2606.0,2518.0,2745.0,2754.0,2679.0,2306.0
Quarterly,Million tonne-kilometre (TKM),Ireland,78.0,114.0,85.0,122.0,73.0,94.0,52.0,84.0,53.0,71.0,43.0,29.0,35.0,37.0,32.0,26.0,25.0,34.0,21.0,22.0,16.0,19.0,18.0,27.0,24.0,23.0,24.0,22.0,27.0,27.0,27.0,24.0,26.0,25.0,22.0,18.0,22.0,26.0,26.0,24.0,24.0,27.0,25.0,23.0,22.0,26.0,25.0,23.0,24.0,33.0,25.0,19.0,27.0,32.0,24.0,18.0,23.0,32.0,19.0,15.0,20.0,24.0,14.0,13.0,18.0,22.0,19.0,15.0,19.0,21.0,16.0,14.0,19.0,27.0,20.0,15.0,21.0,28.0,16.0,12.0,15.0,22.0,16.0
Quarterly,Million tonne-kilometre (TKM),Italy,5283.0,5531.0,5055.0,5178.0,4771.0,5270.0,4924.0,5164.0,5246.0,5429.0,4897.0,5292.0,5576.0,5547.0,4982.0,5091.0,5223.0,5489.0,4800.0,4406.0,3645.0,3460.0,3090.0,3374.0,4050.0,4105.0,3599.0,3801.0,3798.0,3906.0,3442.0,3478.0,4151.0,4531.0,4080.0,4084.0,3712.0,3809.0,3686.0,3747.0,4673.0,4702.0,4411.0,4337.0,4439.0,4699.0,4233.0,4613.0,4905.0,5042.0,4594.0,4960.0,5697.0,5510.0,5179.0,5365.0,5680.0,5551.0,5089.0,5478.0,5328.0,5427.0,5061.0,5178.0,5347.0,4456.0,4849.0,5443.0,5159.0,6117.0,5625.0,5886.0,6268.0,6401.0,5649.0,5812.0,5855.0,5686.0,5319.0,5490.0,6536.0,6707.0,5509.0
Quarterly,Million tonne-kilometre (TKM),Lithuania,3083.0,2615.0,2835.0,3104.0,3007.0,2648.0,3244.0,3559.0,3288.0,3143.0,3159.0,3306.0,3372.0,3680.0,3611.0,3710.0,3994.0,3756.0,3602.0,3396.0,2759.0,2734.0,3081.0,3314.0,3397.0,3107.0,3232.0,3695.0,3765.0,3820.0,3850.0,3653.0,3324.0,3599.0,3734.0,3515.0,3470.0,3177.0,3245.0,3452.0,3415.0,3536.0,3601.0,3755.0,3357.0,3486.0,3608.0,3585.0,3356.0,3470.0,3446.0,3518.0,3446.0,3760.0,4009.0,4199.0,3939.0,4142.0,4247.0,4556.0,4069.0,3873.0,4167.0,4071.0,3554.0,3730.0,4269.0,4312.0,3489.0,3499.0,3726.0,3853.0,2464.0,1492.0,1723.0,1696.0,1448.0,1598.0,1671.0,1589.0,1368.0,1400.0,1630.0
Quarterly,Million tonne-kilometre (TKM),Luxembourg,141.0,142.0,135.0,141.0,89.0,97.0,100.0,106.0,107.0,109.0,107.0,118.0,79.0,76.0,64.0,68.0,71.0,85.0,77.0,48.0,42.0,45.0,54.0,59.0,74.0,89.0,14.0,14.0,11.0,9.0,10.0,56.0,59.0,64.0,61.0,57.0,53.0,60.0,54.0,50.0,51.0,58.0,52.0,53.0,50.0,54.0,53.0,50.0,49.0,52.0,49.0,51.0,55.0,52.0,54.0,52.0,60.0,57.0,52.0,54.0,54.0,47.0,45.0,45.0,47.0,39.0,38.0,38.0,41.0,47.0,42.0,46.0,43.0,50.0,36.0,38.0,39.0,47.0,39.0,49.0,39.0,43.0,32.0
Quarterly,Million tonne-kilometre (TKM),Latvia,4715.0,4907.0,4489.0,4507.0,5200.0,4979.0,4698.0,4901.0,4432.0,4417.0,4055.0,3927.0,4341.0,4656.0,4461.0,4855.0,5112.0,4658.0,4443.0,5368.0,4914.0,4973.0,4371.0,4467.0,4597.0,4274.0,3986.0,4323.0,5377.0,5396.0,4712.0,5925.0,6332.0,6004.0,4797.0,4735.0,5624.0,4757.0,4136.0,5016.0,6047.0,4696.0,3871.0,4827.0,5781.0,4599.0,4071.0,4456.0,4383.0,3529.0,3243.0,4717.0,4953.0,3458.0,2871.0,3731.0,4431.0,4238.0,4384.0,4806.0,4449.0,3786.0,3342.0,3442.0,2004.0,1786.0,1888.0,2300.0,2107.0,1386.0,1561.0,2315.0,2422.0,1842.0,1475.0,1671.0,1516.0,1118.0,1207.0,1349.0,1046.0,912.0,716.0
Quarterly,Million tonne-kilometre (TKM),Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,47.0,49.0,45.0,44.0,40.0,47.0,46.0,50.0,27.0,17.0,27.0,29.0,32.0,41.0,36.0,41.0,38.0,33.0,36.0,29.0,17.0,21.0,22.0,13.0,15.0,24.0,29.0,37.0,23.0,22.0,25.0,25.0,26.0,36.0,32.0,18.0,19.0,27.0,35.0,32.0,37.0,42.0,40.0,50.0,35.0,26.0,23.0,28.0,27.0,38.0,28.0,38.0,34.0,28.0,35.0,33.0,19.0,22.0,38.0,48.0,48.0,48.0,51.0,41.0,34.0,32.0,52.0,45.0,:,:,:
Quarterly,Million tonne-kilometre (TKM),North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,114.0,112.0,132.0,139.0,118.0,145.0,136.0,125.0,115.0,109.0,121.0,134.0,100.0,120.0,101.0,102.0,103.0,108.0,105.0,105.0,97.0,98.0,114.0,102.0,87.0,62.0,64.0,66.0,67.0,32.0,60.0,63.0,53.0,80.0,67.0,76.0,77.0,88.0,86.0,55.0,82.0,94.0,82.0,91.0,84.0,84.0,86.0,86.0,90.0,102.0,104.0,86.0,74.0,71.0,70.0,71.0,41.0,45.0,42.0,18.0,42.0,37.0,34.0
Quarterly,Million tonne-kilometre (TKM),Netherlands,: @C,: @C,: @C,1238.0,1235.0,1226.0,1267.0,1283.0,1345.0,1315.0,1331.0,1330.0,1489.0,1544.0,1516.0,1583.0,1807.0,1831.0,1768.0,1579.0,1500.0,1226.0,1287.0,1565.0,1404.0,1375.0,1196.0,1328.0,1414.0,1455.0,1293.0,1289.0,1502.0,1536.0,1556.0,1548.0,1561.0,1460.0,1521.0,1535.0,1604.0,1437.0,1509.0,1490.0,1637.0,1529.0,1615.0,1747.0,1694.0,1656.0,1572.0,1639.0,1849.0,1605.0,1639.0,1593.0,1859.0,1640.0,1740.0,1818.0,1883.0,1794.0,1774.0,1629.0,1794.0,1461.0,1589.0,1820.0,1774.0,1874.0,1790.0,1751.0,1787.0,1853.0,1793.0,1686.0,1798.0,1599.0,1586.0,1510.0,1564.0,1557.0,1489.0
Quarterly,Million tonne-kilometre (TKM),Norway,692.0,683.0,698.0,721.0,689.0,769.0,765.0,819.0,790.0,779.0,794.0,888.0,824.0,834.0,793.0,893.0,812.0,875.0,849.0,824.0,725.0,709.0,780.0,868.0,733.0,734.0,782.0,810.0,693.0,691.0,737.0,777.0,908.0,797.0,906.0,970.0,882.0,847.0,914.0,915.0,939.0,934.0,929.0,918.0,935.0,908.0,886.0,925.0,910.0,847.0,851.0,875.0,1007.0,1024.0,995.0,1049.0,960.0,1044.0,1016.0,1137.0,1027.0,1048.0,996.0,1032.0,1053.0,1023.0,1040.0,1101.0,1089.0,1105.0,1153.0,1186.0,1203.0,1244.0,1033.0,1160.0,1115.0,1029.0,1110.0,990.0,770.0,987.0,1029.0
Quarterly,Million tonne-kilometre (TKM),Poland,10777.0,11986.0,12725.0,12383.0,10033.0,10880.0,11276.0,11643.0,9499.0,11215.0,11878.0,11739.0,12347.0,13040.0,13448.0,12966.0,11807.0,12925.0,13098.0,10885.0,8435.0,9203.0,11487.0,11714.0,9632.0,11719.0,12629.0,12375.0,12072.0,13357.0,13153.0,12513.0,10660.0,11706.0,12127.0,12178.0,10180.0,12112.0,13237.0,13015.0,10861.0,11775.0,12497.0,12306.0,10430.0,11672.0,12192.0,12459.0,10692.0,11709.0,12226.0,12716.0,11890.0,13432.0,13988.0,14243.0,14038.0,14440.0,14773.0,14760.0,13764.0,13465.0,13407.0,13203.0,11974.0,11444.0,13052.0,13894.0,12359.0,13292.0,13906.0,14052.0,13888.0,15061.0,15048.0,15035.0,15714.0,14368.0,15086.0,14985.0,13526.0,14327.0,13913.0
Quarterly,Million tonne-kilometre (TKM),Portugal,661.0,673.0,663.0,677.0,590.0,596.0,624.0,612.0,620.0,615.0,597.0,598.0,621.0,688.0,626.0,652.0,662.0,678.0,670.0,541.0,496.0,495.0,514.0,491.0,460.0,481.0,545.0,535.0,543.0,523.0,506.0,455.0,542.0,493.0,545.0,452.0,394.0,458.0,613.0,543.0,578.0,566.0,655.0,634.0,651.0,666.0,685.0,659.0,638.0,692.0,628.0,664.0,639.0,670.0,701.0,733.0,635.0,733.0,747.0,743.0,713.0,644.0,672.0,672.0,655.0,597.0,638.0,654.0,646.0,710.0,704.0,669.0,687.0,737.0,662.0,667.0,694.0,720.0,679.0,637.0,672.0,696.0,754.0
Quarterly,Million tonne-kilometre (TKM),Romania,3703.0,4006.0,4210.0,4142.0,3696.0,3669.0,4060.0,3789.0,3410.0,3683.0,3669.0,3669.0,3525.0,3554.0,3631.0,3621.0,3700.0,3627.0,3666.0,3159.0,2330.0,2199.0,2660.0,2643.0,2479.0,2752.0,3109.0,3247.0,2842.0,3289.0,3446.0,4347.0,2918.0,3092.0,3479.0,3287.0,2830.0,2934.0,3447.0,3356.0,2645.0,2743.0,3308.0,3389.0,2754.0,2850.0,3194.0,2963.0,2622.0,3072.0,3125.0,3466.0,3413.0,3393.0,3521.0,3455.0,2958.0,3246.0,3376.0,3440.0,3173.0,3173.0,3533.0,3406.0,3099.0,2799.0,3105.0,3233.0,3875.0,3287.0,3164.0,3239.0,3006.0,3497.0,3406.0,3176.0,3136.0,3131.0,3198.0,3189.0,3073.0,2876.0,2708.0
