Time frequency,International Standard Classification of Education (ISCED 2011),Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Croatia,22.8,17.3,17.3,12.3,9.9,6.3,6.0,6.8,5.5,3.2
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Hungary,45.1,40.1,36.2,31.8,25.0,20.9,20.6,17.3,16.4,16.2
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Ireland,28.4,20.5,20.9,17.4,12.1,8.7 b,23.7 b,9.1,11.6,11.1
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Iceland,5.0,5.2,3.8,3.3,3.1,2.9,:,:,:,:
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Italy,23.2,20.5,17.0,12.5,9.6,5.9,10.3,8.7,7.3,5.7
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Lithuania,28.9,33.2,31.3,28.1,24.5,15.3,21.7,21.6,14.8,18.3
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Luxembourg,7.2,6.4,4.1 b,5.0,5.9,5.3,10.4 b,4.2 b,5.4 b,1.9
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Latvia,39.7,33.4,24.3,26.9,21.1,13.9,14.1,9.1,11.6,10.9
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Montenegro,46.3,42.3,43.6,45.4,40.6,35.2,39.7,34.9,34.0,:
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,North Macedonia,50.8,44.3,41.0,42.8,39.6,40.2,36.0,:,:,:
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Malta,25.7,17.1,8.3,8.4,9.9,8.6,7.7,8.0,11.2,15.2
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Netherlands,9.1,8.6,5.9 b,5.4,5.4,4.4,2.2,2.8,3.9,4.8
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Norway,2.8,4.5,:,6.0,4.2,3.2,5.3,5.0 b,4.7,6.2
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Poland,23.2,18.1,15.0,13.0,8.7,7.6,7.0,6.6,4.5,5.4
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Portugal,27.0,20.4,19.2,17.2,14.4,13.8,12.3,11.8,8.5,11.0
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Romania,63.7,53.9,53.7,46.4,42.7,41.0,44.0,39.5,42.3,29.5
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Serbia,43.3,38.7,:,33.9,26.0,20.1,19.8,21.8,19.3,:
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Sweden,3.2,4.1 b,3.8,2.4,1.9,3.1,3.8,3.9,5.6,6.8
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Slovenia,12.5,9.9,9.6,6.5,4.8,4.9,5.2,5.1,2.6,4.0
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Slovakia,24.0,18.3,17.7,18.1,14.6,15.7,13.6,12.7,14.2,24.5
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Türkiye,:,:,:,34.9,35.4,36.1,35.9,36.6,34.5,32.6
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,United Kingdom,30.0,21.6,21.6,12.6 b,15.0,:,:,:,:,:
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Kosovo*,:,:,:,:,53.1 u,:,:,:,:,:
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Albania,:,:,:,60.8,59.6,57.1,52.0,54.4,:,:
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Austria,7.6,6.5,7.5,7.1,5.1,5.1,4.5,3.9,3.4,7.4
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Belgium,13.4,11.7,14.8,10.5,9.8,9.0 b,10.3,9.2,9.3,10.1
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Bulgaria,46.2,47.8,46.2 b,42.2,31.4,30.6,31.5,28.4,27.9,28.4
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Switzerland,4.6,3.9,3.7,3.1,5.3,5.6,4.1,4.4,3.9,4.5
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Cyprus,28.5,25.2,21.2,17.8,16.1,14.0,10.8,10.9,13.1,10.6
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Czechia,12.0,9.5,8.8,6.4,5.0,4.5,4.5,4.2,4.0,6.7
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Germany,10.0,8.7,8.2,7.1,6.3,4.9,11.2 b,10.3,12.8,14.0
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Denmark,9.1,10.7,8.1,9.1,11.5,9.8,9.0,7.5,8.0,11.0
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Estonia,9.6,6.3,4.2,5.6,5.7,5.0,4.6,2.8,4.4,3.3
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Greece,41.2,41.2,41.1,39.6,34.0,31.4,31.7,30.4,31.0,29.4
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Spain,18.9,15.8,17.9,13.6,14.3,11.9,15.0,15.6,14.1,16.9
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,European Union - 27 countries (from 2020),18.9,16.4,15.6,13.4,12.1,10.7,12.5,11.7,11.9,12.7
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Finland,4.9,3.7,4.8,6.4,6.4,5.8,5.5,4.1,5.3,9.8
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,France,14.3,11.6,13.1,11.6,11.3,10.9,13.5 b,11.9,13.3 b,13.8
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Croatia,18.4,15.6,13.3,10.7,8.0,6.0,6.0,4.7,5.5,3.7
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Hungary,40.6,37.8,33.5,24.5,19.1,18.3,16.8,17.9,15.3,16.8
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Ireland,23.5,21.6,16.5,12.4,9.1,8.9 b,16.0 b,8.6,11.4,10.7
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Iceland,4.5,5.5,3.6,3.9,2.4,3.4,:,:,:,:
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Italy,21.0,20.6,16.9,13.3,12.9,11.1,11.2,10.8,7.4,7.9
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Lithuania,25.3,26.4,26.2,20.9,18.9,13.7,14.0,12.4,8.6,14.7
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Luxembourg,5.4,5.6,4.8 b,3.1,4.5,3.1,5.2 b,4.3 b,2.2 b,4.5
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Latvia,28.4,24.1,18.9,18.7,14.2,10.1,10.3,7.4,9.9,9.3
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Montenegro,45.5,40.6,40.3,41.4,36.8,29.5,32.6,33.0,26.2,:
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,North Macedonia,46.1,40.7,39.0,37.3,36.7,37.6,31.7,:,:,:
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Malta,21.7,14.9,8.7,6.5,7.4,9.0,8.2,9.6,6.5,8.2
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Netherlands,7.2,6.4,6.2 b,6.2,5.2,5.4,4.8,3.7,4.9,5.8
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Norway,3.2,4.6,:,6.5,4.4,4.5,4.5,4.5 b,4.4,5.7
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Poland,18.8,14.8,10.5,9.2,7.2,6.2,5.1,5.5,4.6,4.6
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Portugal,26.3,19.3,18.0,14.9,13.9,11.7,10.2,10.6,7.5,8.9
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Romania,56.2,48.3,47.8,44.4,38.6,33.1,35.8,32.6,34.8,27.7
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Serbia,40.6,34.2,:,30.1,22.9,19.9,18.4,19.9,17.6,:
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Sweden,3.6,2.3 b,2.6,3.1,3.3,3.9,3.3,3.1,5.5,6.0
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Slovenia,13.3,10.8,8.8,7.3,6.1,3.3,4.2,3.1,2.3,3.6
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Slovakia,17.5,15.2,14.2,12.0,11.7,11.0,8.9,9.2,9.9,14.7
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Türkiye,:,:,:,30.4,28.9,29.8,30.8,32.0,30.4,28.0
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,United Kingdom,19.8,17.9,16.1,12.2 b,11.4,:,:,:,:,:
Annual,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Kosovo*,:,:,:,:,36.0,:,:,:,:,:
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Albania,:,:,:,60.1,59.4,55.6,52.4,55.1,:,:
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Austria,6.2,7.5,5.9,6.1,4.1,5.0,4.2,3.3,3.5,8.3
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Belgium,12.7,11.0,14.1,9.4,9.5,7.6 b,9.5,9.7,9.3,10.3
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Bulgaria,44.6,47.3,48.2 b,45.6,33.0,29.8,33.5,31.9,30.4,30.6
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Switzerland,5.8,3.4,3.4,2.1,3.5,5.2,3.4,4.7,3.7,4.3
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Cyprus,29.4,25.4,22.2,17.6,16.8,16.5,13.8,12.7,12.9,9.1
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Czechia,12.1,8.9,9.4,6.8,5.0,3.5,4.2,5.1,4.6,5.3
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Germany,10.7,9.1,8.7,6.0,5.1,4.7,10.8 b,10.5,13.4,14.2
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Denmark,11.3,11.8,7.3,7.4,10.3,10.1,11.2,8.1,9.1,13.5
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Estonia,9.8,7.7,3.4,7.4,6.4,5.5,5.3,1.7,5.3,4.2
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Greece,44.2,41.3,43.3,41.3,36.2,32.1,32.7,32.1,33.2,32.2
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Spain,17.9,15.8,19.3,12.8,13.8,11.9,16.8,15.2,14.0,17.3
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,European Union - 27 countries (from 2020),18.8,16.7,15.7,12.6,11.9,10.8,12.7,11.8,11.9,13.4
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Finland,4.6,3.5,4.6,5.6,6.8,7.1,8.3,5.4,7.7,11.7
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,France,12.9,12.8,14.0,9.0,11.3,10.5,12.6 b,13.0,12.1 b,15.0
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Croatia,17.5,16.5,11.6,10.8,7.8,5.9,6.2,3.9,5.7,4.2
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Hungary,41.3,38.4,34.6,23.0,16.7,16.9,15.1,18.3,13.7,15.8
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Ireland,21.5,24.2,17.3,16.1,11.6,9.0 b,14.8 b,6.0,9.0,13.4
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Iceland,4.3,5.8,4.3,2.9,2.0,2.8,:,:,:,:
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Italy,21.1,19.4,15.2,13.2,12.9,11.3,11.4,9.4,7.0,8.5
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Lithuania,28.4,27.9,30.2,21.4,22.8,16.6,12.9,14.9,6.2,17.8
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Luxembourg,4.2,5.6,6.2 b,3.1,5.3,3.3,4.5 b,2.4 b,1.2 b,5.7
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Latvia,27.0,27.3,19.3,17.3,15.5,10.5,9.8,8.2,6.7,8.8
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Montenegro,46.2,42.4,42.0,41.6,36.1,28.4,30.0,33.2,24.0,:
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,North Macedonia,48.3,41.2,40.0,36.2,36.9,37.2,33.6,:,:,:
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Malta,23.2,14.1,8.7,6.6,7.4,10.1,6.8,11.4,5.8,6.4
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Netherlands,5.9,5.9,6.0 b,5.2,6.4,6.5,5.5,4.1,4.1,7.2
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Norway,3.5,4.4,:,6.8,3.8,6.0,4.1,4.3 b,4.8,4.7
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Poland,19.7,14.1,8.8,9.3,7.2,5.5,5.7,5.6,4.8,3.5
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Portugal,26.3,19.4,19.4,14.2,13.0,11.9,9.7,12.4,6.9,9.6
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Romania,56.2,49.9,48.3,46.7,38.4,33.3,35.3,30.1,32.4,26.6
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Serbia,42.2,35.1,:,29.7,21.8,20.5,17.2,19.6,18.4,:
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Sweden,3.8,2.3 b,2.9,3.6,3.9,5.7,3.1,2.7,6.5,6.7
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Slovenia,14.5,10.8,9.3,8.2,7.6,3.1,2.8,2.7,2.2,2.9
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Slovakia,18.1,16.3,14.5,10.3,12.4,9.3,8.7,10.4,12.0,13.3
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Türkiye,:,:,:,30.9,28.2,29.8,30.7,31.9,30.7,28.6
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,United Kingdom,18.2,15.4,12.1,13.6 b,12.6,:,:,:,:,:
Annual,All ISCED 2011 levels,From 20 to 24 years,Total,Percentage,Kosovo*,:,:,:,:,44.1,:,:,:,:,:
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Albania,:,:,:,59.2,57.4,55.3,47.9,50.5,:,:
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Austria,9.6,6.0,10.2,10.6,6.5,5.6,5.0,3.5,1.8,7.2
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Belgium,12.0,12.1,13.9,11.0,11.2,9.5 b,10.1,6.5,9.1,10.8
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Bulgaria,44.6,45.9,43.0 b,38.2,30.3,29.1,30.4,24.8,24.2,26.3
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Switzerland,3.4,3.4,4.4,3.9,5.9,3.1,5.5,3.9,4.4,4.8
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Cyprus,27.7,27.4,19.5,18.2,15.8,13.5,8.8,9.6,12.0,10.8
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Czechia,11.7,8.3,7.1,5.5,4.5,4.7,4.3,3.6,2.4,4.6
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Germany,11.7,10.2,9.5,8.7,6.0,5.1,11.3 b,10.3,12.2,14.2
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Denmark,9.6,12.8,8.6,11.9,12.6,9.0,7.8,8.0,7.3,10.5
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Estonia,8.7,4.1,3.1,3.6,4.7,4.1,3.6,3.0,3.9,2.9
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Greece,37.1,40.0,39.3,39.0,31.7,31.0,30.3,29.9,28.5,25.5
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Spain,18.3,14.9,16.3,13.8,14.1,11.4,12.8,17.2,15.2,16.8
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,European Union - 27 countries (from 2020),17.9,15.8,15.0,13.3,11.8,10.6,11.4,11.2,11.2,11.9
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Finland,4.6,3.8,5.2,6.5,6.0,5.0,3.2,2.8,3.6,8.2
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,France,13.0,9.1,11.9,12.3,11.6,10.6,12.9 b,9.8,12.7 b,11.2
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Croatia,16.2,13.6,12.0,9.5,6.9,5.9,5.8,4.2,5.4,3.6
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Hungary,36.6,35.7,30.7,21.2,16.7,17.3,15.5,17.9,16.2,18.3
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Ireland,20.5,20.1,13.4,7.3,5.0,8.8 b,13.7 b,10.7,13.5,7.7
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Iceland,4.4,5.5,2.7,5.1,2.3,4.4,:,:,:,:
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Italy,19.4,21.9,18.5,14.0,15.2,14.7,11.8,13.9,7.8,8.8
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Lithuania,19.1,20.0,18.8,15.7,11.9,10.2,10.6,4.8,6.8,9.7
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Luxembourg,5.3,5.1,3.7 b,2.1,3.0,2.0,4.5 b,5.6 b,1.3 b,4.9
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Latvia,23.1,16.5,15.7,15.0,9.1,7.4,7.1,4.9,10.5,7.4
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Montenegro,44.2,37.5,36.1,38.2,34.5,25.7,29.2,31.1,21.9,:
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,North Macedonia,40.8,37.9,36.9,35.0,34.8,36.3,27.4,:,:,:
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Malta,17.9,14.4,8.9,5.4,6.2,8.3,9.3,9.0,5.4,6.7
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Netherlands,7.1,5.2,6.7 b,7.8,4.0,5.1,5.9,4.0,6.3,5.1
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Norway,3.1,4.9,:,6.5,5.2,4.0,4.3,4.3 b,3.9,6.2
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Poland,15.5,13.5,9.3,6.8,6.2,5.8,3.5,4.7,4.6,4.8
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Portugal,25.8,18.5,15.8,13.6,14.3,9.6,8.9,7.9,7.3,6.4
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Romania,51.0,42.8,42.7,41.0,35.2,26.6,29.0,28.6,30.8,27.3
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Serbia,37.4,30.4,:,28.1,22.1,19.3,18.6,19.0,15.6,:
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Sweden,3.6,1.1 b,1.6,3.1,3.7,3.2,3.2,3.1,4.6,5.0
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Slovenia,12.8,11.2,7.8,6.9,5.5,2.4,4.7,2.2,2.1,4.0
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Slovakia,13.8,12.6,11.9,9.7,9.1,9.5,6.6,6.1,5.6,10.4
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Türkiye,:,:,:,26.2,24.4,24.7,26.9,28.6,27.1,24.1
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,United Kingdom,15.7,17.9,15.8,10.5 b,8.2,:,:,:,:,:
Annual,All ISCED 2011 levels,From 25 to 29 years,Total,Percentage,Kosovo*,:,:,:,:,29.0,:,:,:,:,:
