Time frequency,Plantation density,Unit of measure,Age class,Fruit species and groups of varieties,Geopolitical entity (reporting)\Time,2012.0,2017.0
Annual,Total,Hectare,Total,Olive trees,Thüringen,0.0,:
Annual,Total,Hectare,Total,Olive trees,Denmark,0.0,:
Annual,Total,Hectare,Total,Olive trees,Estonia,0.0,:
Annual,Total,Hectare,Total,Olive trees,Greece,705960.99,670679.36
Annual,Total,Hectare,Total,Olive trees,Voreia Ellada (NUTS 2010),63230.94,:
Annual,Total,Hectare,Total,Olive trees,Kentriki Ellada (NUTS 2010),403434.47,:
Annual,Total,Hectare,Total,Olive trees,Attiki,21894.0,23521.1
Annual,Total,Hectare,Total,Olive trees,"Nisia Aigaiou, Kriti",217401.58,203736.64
Annual,Total,Hectare,Total,Olive trees,Voreia Elláda,63230.94,61372.22
Annual,Total,Hectare,Total,Olive trees,Kentriki Elláda,403434.47,382049.4
Annual,Total,Hectare,Total,Olive trees,Spain,2478443.97,2505786.08
Annual,Total,Hectare,Total,Olive trees,Noroeste,3.47,16.57
Annual,Total,Hectare,Total,Olive trees,Noreste,63826.86,64514.26
Annual,Total,Hectare,Total,Olive trees,Comunidad de Madrid,24615.02,24855.27
Annual,Total,Hectare,Total,Olive trees,Centro (ES),652100.83,668207.48
Annual,Total,Hectare,Total,Olive trees,Este,177726.81,171035.73
Annual,Total,Hectare,Total,Olive trees,Sur,1560128.24,1577062.86
Annual,Total,Hectare,Total,Olive trees,Canarias,42.74,93.92
Annual,Total,Hectare,Total,Olive trees,European Union - 27 countries (from 2020),:,4592102.57
Annual,Total,Hectare,Total,Olive trees,European Union - 28 countries (2013-2020),4652682.27,4592102.57
Annual,Total,Hectare,Total,Olive trees,Finland,0.0,:
Annual,Total,Hectare,Total,Olive trees,Manner-Suomi,0.0,:
Annual,Total,Hectare,Total,Olive trees,Åland,0.0,:
Annual,Total,Hectare,Total,Olive trees,France,17052.0,15345.23
Annual,Total,Hectare,Total,Olive trees,Ile de France,0.0,28.18
Annual,Total,Hectare,Total,Olive trees,Bassin Parisien (NUTS 2013),0.0,14.33
Annual,Total,Hectare,Total,Olive trees,Nord-Pas-de-Calais (NUTS 2013),0.0,:
Annual,Total,Hectare,Total,Olive trees,Est (FR) (NUTS 2013),0.0,:
Annual,Total,Hectare,Total,Olive trees,Ouest (FR) (NUTS 2013),0.0,:
Annual,Total,Hectare,Total,Olive trees,Sud-Ouest (FR) (NUTS 2013),0.0,143.65
Annual,Total,Hectare,Total,Olive trees,Centre-Est (FR) (NUTS 2013),1200.0,1118.86
Annual,Total,Hectare,Total,Olive trees,Méditerranée (NUTS 2013),15852.0,14040.21
Annual,Total,Hectare,Total,Olive trees,Départements d'outre-mer (NUTS 2010),0.0,:
Annual,Total,Hectare,Total,Olive trees,Croatia,16553.9,17010.87
Annual,Total,Hectare,Total,Olive trees,Hungary,0.0,:
Annual,Total,Hectare,Total,Olive trees,Közép-Magyarország,0.0,:
Annual,Total,Hectare,Total,Olive trees,Dunántúl,0.0,:
Annual,Total,Hectare,Total,Olive trees,Alföld és Észak,0.0,:
Annual,Total,Hectare,Total,Olive trees,Ireland,0.0,:
Annual,Total,Hectare,Total,Olive trees,Italy,1110701.05,1070833.53
Annual,Total,Hectare,Total,Olive trees,Nord-Ovest,13282.74,11259.03
Annual,Total,Hectare,Total,Olive trees,Sud,715061.0,697124.55
Annual,Total,Hectare,Total,Olive trees,Isole,174409.92,171684.05
Annual,Total,Hectare,Total,Olive trees,Nord-Est,8678.34,8265.31
Annual,Total,Hectare,Total,Olive trees,Centro (IT),199269.05,182500.58
Annual,Total,Hectare,Total,Olive trees,Lithuania,0.0,:
Annual,Total,Hectare,Total,Olive trees,Luxembourg,0.0,:
Annual,Total,Hectare,Total,Olive trees,Latvia,0.0,:
Annual,Total,Hectare,Total,Olive trees,Malta,: m,:
Annual,Total,Hectare,Total,Olive trees,Netherlands,0.0,:
Annual,Total,Hectare,Total,Olive trees,Noord-Nederland,0.0,:
Annual,Total,Hectare,Total,Olive trees,Oost-Nederland,0.0,:
Annual,Total,Hectare,Total,Olive trees,West-Nederland,0.0,:
Annual,Total,Hectare,Total,Olive trees,Zuid-Nederland,0.0,:
Annual,Total,Hectare,Total,Olive trees,Poland,0.0,:
Annual,Total,Hectare,Total,Olive trees,Region Centralny (NUTS 2013),0.0,:
Annual,Total,Hectare,Total,Olive trees,Makroregion południowy,0.0,:
Annual,Total,Hectare,Total,Olive trees,Region Wschodni (NUTS 2013),0.0,:
Annual,Total,Hectare,Total,Olive trees,Makroregion północno-zachodni,0.0,:
Annual,Total,Hectare,Total,Olive trees,Makroregion południowo-zachodni,0.0,:
Annual,Total,Hectare,Total,Olive trees,Makroregion północny,0.0,:
Annual,Total,Hectare,Total,Olive trees,Portugal,312276.06,300415.17
Annual,Total,Hectare,Total,Olive trees,Continente,312276.07,300415.17
Annual,Total,Hectare,Total,Olive trees,Romania,0.0,:
Annual,Total,Hectare,Total,Olive trees,Macroregiunea Unu,0.0,:
Annual,Total,Hectare,Total,Olive trees,Macroregiunea Doi,0.0,:
Annual,Total,Hectare,Total,Olive trees,Macroregiunea Trei,0.0,:
Annual,Total,Hectare,Total,Olive trees,Macroregiunea Patru,0.0,:
Annual,Total,Hectare,Total,Olive trees,Sweden,0.0,:
Annual,Total,Hectare,Total,Olive trees,Östra Sverige,0.0,:
Annual,Total,Hectare,Total,Olive trees,Södra Sverige,0.0,:
Annual,Total,Hectare,Total,Olive trees,Norra Sverige,0.0,:
Annual,Total,Hectare,Total,Olive trees,Slovenia,892 e,1241.99
Annual,Total,Hectare,Total,Olive trees,Slovakia,0.0,:
Annual,Total,Hectare,Total,Olive trees,United Kingdom,0.0,:
Annual,Total,Hectare,Total,Olive trees,North East (UK) (NUTS 2021),0.0,:
Annual,Total,Hectare,Total,Olive trees,North West (UK) (NUTS 2021),0.0,:
Annual,Total,Hectare,Total,Olive trees,Yorkshire and The Humber (NUTS 2021),0.0,:
Annual,Total,Hectare,Total,Olive trees,East Midlands (UK) (NUTS 2021),0.0,:
Annual,Total,Hectare,Total,Olive trees,West Midlands (UK) (NUTS 2021),0.0,:
Annual,Total,Hectare,Total,Olive trees,East of England (NUTS 2021),0.0,:
Annual,Total,Hectare,Total,Olive trees,London (NUTS 2021),0.0,:
Annual,Total,Hectare,Total,Olive trees,South East (UK) (NUTS 2021),0.0,:
Annual,Total,Hectare,Total,Olive trees,South West (UK) (NUTS 2021),0.0,:
Annual,Total,Hectare,Total,Olive trees,Wales (NUTS 2021),0.0,:
Annual,Total,Hectare,Total,Olive trees,Scotland (NUTS 2021),0.0,:
Annual,Total,Hectare,Total,Olive trees,Northern Ireland (UK) (NUTS 2021),0.0,:
Annual,Total,Hectare,Total,Olives for oil,Cyprus,:,10582.54
Annual,Total,Hectare,Total,Olives for oil,Greece,:,583827.69
Annual,Total,Hectare,Total,Olives for oil,Attiki,:,22480.4
Annual,Total,Hectare,Total,Olives for oil,"Nisia Aigaiou, Kriti",:,202365.84
Annual,Total,Hectare,Total,Olives for oil,Voreia Elláda,:,42369.8
Annual,Total,Hectare,Total,Olives for oil,Kentriki Elláda,:,316611.64
Annual,Total,Hectare,Total,Olives for oil,Spain,:,2396507.1
Annual,Total,Hectare,Total,Olives for oil,Noroeste,:,16.57
Annual,Total,Hectare,Total,Olives for oil,Noreste,:,62919.2
Annual,Total,Hectare,Total,Olives for oil,Comunidad de Madrid,:,24855.27
Annual,Total,Hectare,Total,Olives for oil,Centro (ES),:,651549.92
Annual,Total,Hectare,Total,Olives for oil,Este,:,170667.69
Annual,Total,Hectare,Total,Olives for oil,Sur,:,1486429.28
Annual,Total,Hectare,Total,Olives for oil,Canarias,:,69.18
Annual,Total,Hectare,Total,Olives for oil,Croatia,:,16836.4
Annual,Total,Hectare,Total,Olives for oil,Italy,:,1063415.62
Annual,Total,Hectare,Total,Olives for oil,Nord-Ovest,:,11246.53
Annual,Total,Hectare,Total,Olives for oil,Sud,:,692871.57
Annual,Total,Hectare,Total,Olives for oil,Isole,:,170525.47
Annual,Total,Hectare,Total,Olives for oil,Nord-Est,:,8233.04
Annual,Total,Hectare,Total,Olives for oil,Centro (IT),:,180539.01
Annual,Total,Hectare,Total,Olives for oil,Slovenia,:,1241.99
Annual,Total,Hectare,Total,Table olives,Cyprus,:,207.81
Annual,Total,Hectare,Total,Table olives,Greece,:,86851.67
Annual,Total,Hectare,Total,Table olives,Attiki,:,1040.69
Annual,Total,Hectare,Total,Table olives,"Nisia Aigaiou, Kriti",:,1370.8
Annual,Total,Hectare,Total,Table olives,Voreia Elláda,:,19002.41
Annual,Total,Hectare,Total,Table olives,Kentriki Elláda,:,65437.76
Annual,Total,Hectare,Total,Table olives,Spain,:,109278.98
Annual,Total,Hectare,Total,Table olives,Noreste,:,1595.06
Annual,Total,Hectare,Total,Table olives,Centro (ES),:,16657.55
Annual,Total,Hectare,Total,Table olives,Este,:,368.04
Annual,Total,Hectare,Total,Table olives,Sur,:,90633.58
Annual,Total,Hectare,Total,Table olives,Canarias,:,24.74
Annual,Total,Hectare,Total,Table olives,France,:,15345.23
Annual,Total,Hectare,Total,Table olives,Ile de France,:,28.18
Annual,Total,Hectare,Total,Table olives,Bassin Parisien (NUTS 2013),:,14.33
Annual,Total,Hectare,Total,Table olives,Sud-Ouest (FR) (NUTS 2013),:,143.65
Annual,Total,Hectare,Total,Table olives,Centre-Est (FR) (NUTS 2013),:,1118.86
Annual,Total,Hectare,Total,Table olives,Méditerranée (NUTS 2013),:,14040.21
Annual,Total,Hectare,Total,Table olives,Croatia,:,174.47
Annual,Total,Hectare,Total,Table olives,Italy,:,7417.91
Annual,Total,Hectare,Total,Table olives,Nord-Ovest,:,12.51
Annual,Total,Hectare,Total,Table olives,Sud,:,4252.98
Annual,Total,Hectare,Total,Table olives,Isole,:,1158.58
Annual,Total,Hectare,Total,Table olives,Nord-Est,:,32.28
Annual,Total,Hectare,Total,Table olives,Centro (IT),:,1961.57
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Cyprus,6034.98,6620.91
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Greece,210567.05,322900.25
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Voreia Ellada (NUTS 2010),45526.27,:
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Kentriki Ellada (NUTS 2010),90772.76,:
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Attiki,3612.51,8576.86
Annual,Total,Hectare,From 12 to 49 years,Olive trees,"Nisia Aigaiou, Kriti",70655.51,108740.09
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Voreia Elláda,45526.27,37111.74
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Kentriki Elláda,90772.76,168471.56
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Spain,835643.84,868239.13
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Noreste,10374.45,17827.45
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Comunidad de Madrid,2163.57,3673.24
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Centro (ES),183770.45,191518.76
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Este,69530.22,70935.77
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Sur,569798.51,584283.91
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Canarias,6.64,:
Annual,Total,Hectare,From 12 to 49 years,Olive trees,European Union - 27 countries (from 2020),:,1645502.58
Annual,Total,Hectare,From 12 to 49 years,Olive trees,European Union - 28 countries (2013-2020),1466078.44,1645502.58
Annual,Total,Hectare,From 12 to 49 years,Olive trees,France,:,6842.85
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Ile de France,:,28.18
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Sud-Ouest (FR) (NUTS 2013),:,29.26
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Centre-Est (FR) (NUTS 2013),:,335.99
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Méditerranée (NUTS 2013),:,6449.41
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Croatia,3773.41,5259.1
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Italy,356157.62,386545.45
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Nord-Ovest,1064.14,1298.51
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Sud,215356.68,232621.79
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Isole,70284.33,76973.16
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Nord-Est,3850.47,4432.06
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Centro (IT),65602.0,71219.92
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Portugal,53901.54,48331.69
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Continente,:,48331.69
Annual,Total,Hectare,From 12 to 49 years,Olive trees,Slovenia,:,763.2
Annual,Total,Hectare,From 12 to 49 years,Olives for oil,Cyprus,:,6491.79
Annual,Total,Hectare,From 12 to 49 years,Olives for oil,Greece,:,275049.34
Annual,Total,Hectare,From 12 to 49 years,Olives for oil,Attiki,:,7880.77
Annual,Total,Hectare,From 12 to 49 years,Olives for oil,"Nisia Aigaiou, Kriti",:,107991.99
Annual,Total,Hectare,From 12 to 49 years,Olives for oil,Voreia Elláda,:,22082.34
Annual,Total,Hectare,From 12 to 49 years,Olives for oil,Kentriki Elláda,:,137094.24
Annual,Total,Hectare,From 12 to 49 years,Olives for oil,Spain,:,820856.68
Annual,Total,Hectare,From 12 to 49 years,Olives for oil,Noreste,:,17418.51
Annual,Total,Hectare,From 12 to 49 years,Olives for oil,Comunidad de Madrid,:,3673.24
Annual,Total,Hectare,From 12 to 49 years,Olives for oil,Centro (ES),:,186688.41
Annual,Total,Hectare,From 12 to 49 years,Olives for oil,Este,:,70764.82
Annual,Total,Hectare,From 12 to 49 years,Olives for oil,Sur,:,542311.7
Annual,Total,Hectare,From 12 to 49 years,Olives for oil,Croatia,:,5165.43
Annual,Total,Hectare,From 12 to 49 years,Olives for oil,Italy,:,382925.49
Annual,Total,Hectare,From 12 to 49 years,Olives for oil,Nord-Ovest,:,1286.01
Annual,Total,Hectare,From 12 to 49 years,Olives for oil,Sud,:,230386.6
Annual,Total,Hectare,From 12 to 49 years,Olives for oil,Isole,:,76347.36
Annual,Total,Hectare,From 12 to 49 years,Olives for oil,Nord-Est,:,4415.95
Annual,Total,Hectare,From 12 to 49 years,Olives for oil,Centro (IT),:,70489.57
Annual,Total,Hectare,From 12 to 49 years,Olives for oil,Slovenia,:,763.2
Annual,Total,Hectare,From 12 to 49 years,Table olives,Cyprus,:,129.12
Annual,Total,Hectare,From 12 to 49 years,Table olives,Greece,:,47850.9
Annual,Total,Hectare,From 12 to 49 years,Table olives,Attiki,:,696.09
Annual,Total,Hectare,From 12 to 49 years,Table olives,"Nisia Aigaiou, Kriti",:,748.1
Annual,Total,Hectare,From 12 to 49 years,Table olives,Voreia Elláda,:,15029.4
Annual,Total,Hectare,From 12 to 49 years,Table olives,Kentriki Elláda,:,31377.31
Annual,Total,Hectare,From 12 to 49 years,Table olives,Spain,:,47382.44
Annual,Total,Hectare,From 12 to 49 years,Table olives,Noreste,:,408.94
Annual,Total,Hectare,From 12 to 49 years,Table olives,Centro (ES),:,4830.35
Annual,Total,Hectare,From 12 to 49 years,Table olives,Este,:,170.95
Annual,Total,Hectare,From 12 to 49 years,Table olives,Sur,:,41972.21
Annual,Total,Hectare,From 12 to 49 years,Table olives,France,:,6842.85
Annual,Total,Hectare,From 12 to 49 years,Table olives,Ile de France,:,28.18
Annual,Total,Hectare,From 12 to 49 years,Table olives,Sud-Ouest (FR) (NUTS 2013),:,29.26
Annual,Total,Hectare,From 12 to 49 years,Table olives,Centre-Est (FR) (NUTS 2013),:,335.99
Annual,Total,Hectare,From 12 to 49 years,Table olives,Méditerranée (NUTS 2013),:,6449.41
Annual,Total,Hectare,From 12 to 49 years,Table olives,Croatia,:,93.67
Annual,Total,Hectare,From 12 to 49 years,Table olives,Italy,:,3619.96
Annual,Total,Hectare,From 12 to 49 years,Table olives,Nord-Ovest,:,12.51
Annual,Total,Hectare,From 12 to 49 years,Table olives,Sud,:,2235.19
Annual,Total,Hectare,From 12 to 49 years,Table olives,Isole,:,625.8
Annual,Total,Hectare,From 12 to 49 years,Table olives,Nord-Est,:,16.11
Annual,Total,Hectare,From 12 to 49 years,Table olives,Centro (IT),:,730.35
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Cyprus,2262.22,1615.42
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Greece,10808.35,26620.83
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Voreia Ellada (NUTS 2010),948.46,:
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Kentriki Ellada (NUTS 2010),6051.52,:
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Attiki,547.34,986.71
Annual,Total,Hectare,From 5 to 11 years,Olive trees,"Nisia Aigaiou, Kriti",3261.03,8631.62
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Voreia Elláda,948.46,2459.79
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Kentriki Elláda,6051.52,14542.72
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Spain,209131.0,181874.61
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Noroeste,:,3.79
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Noreste,10018.32,6211.01
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Comunidad de Madrid,543.59,357.09
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Centro (ES),54076.79,55783.87
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Este,14733.21,13101.25
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Sur,129753.19,106339.19
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Canarias,5.9,78.41
Annual,Total,Hectare,From 5 to 11 years,Olive trees,European Union - 27 countries (from 2020),:,281125.31
Annual,Total,Hectare,From 5 to 11 years,Olive trees,European Union - 28 countries (2013-2020),312994.81,281125.31
Annual,Total,Hectare,From 5 to 11 years,Olive trees,France,:,1932.68
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Sud-Ouest (FR) (NUTS 2013),:,99.17
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Centre-Est (FR) (NUTS 2013),:,130.97
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Méditerranée (NUTS 2013),:,1702.55
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Croatia,3012.24,3746.4
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Italy,40470.38,22891.31
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Nord-Ovest,293.87,286.9
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Sud,15950.91,9388.87
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Isole,10676.79,5505.47
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Nord-Est,1351.41,601.11
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Centro (IT),12197.4,7108.97
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Portugal,47310.62,42211.66
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Continente,:,42211.66
Annual,Total,Hectare,From 5 to 11 years,Olive trees,Slovenia,:,232.41
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Cyprus,:,1573.93
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Greece,:,22689.97
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Attiki,:,960.19
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,"Nisia Aigaiou, Kriti",:,8552.78
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Voreia Elláda,:,1787.7
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Kentriki Elláda,:,11389.3
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Spain,:,174767.06
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Noroeste,:,3.79
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Noreste,:,5962.39
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Comunidad de Madrid,:,357.09
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Centro (ES),:,55462.19
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Este,:,13053.52
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Sur,:,99874.41
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Canarias,:,53.67
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Croatia,:,3697.31
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Italy,:,22572.25
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Nord-Ovest,:,286.9
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Sud,:,9152.31
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Isole,:,5494.61
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Nord-Est,:,586.21
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Centro (IT),:,7052.22
Annual,Total,Hectare,From 5 to 11 years,Olives for oil,Slovenia,:,232.41
Annual,Total,Hectare,From 5 to 11 years,Table olives,Cyprus,:,41.5
Annual,Total,Hectare,From 5 to 11 years,Table olives,Greece,:,3930.86
Annual,Total,Hectare,From 5 to 11 years,Table olives,Attiki,:,26.52
Annual,Total,Hectare,From 5 to 11 years,Table olives,"Nisia Aigaiou, Kriti",:,78.84
Annual,Total,Hectare,From 5 to 11 years,Table olives,Voreia Elláda,:,672.09
Annual,Total,Hectare,From 5 to 11 years,Table olives,Kentriki Elláda,:,3153.41
Annual,Total,Hectare,From 5 to 11 years,Table olives,Spain,:,7107.55
Annual,Total,Hectare,From 5 to 11 years,Table olives,Noreste,:,248.63
Annual,Total,Hectare,From 5 to 11 years,Table olives,Centro (ES),:,321.68
Annual,Total,Hectare,From 5 to 11 years,Table olives,Este,:,47.73
Annual,Total,Hectare,From 5 to 11 years,Table olives,Sur,:,6464.78
Annual,Total,Hectare,From 5 to 11 years,Table olives,Canarias,:,24.74
Annual,Total,Hectare,From 5 to 11 years,Table olives,France,:,1932.68
Annual,Total,Hectare,From 5 to 11 years,Table olives,Sud-Ouest (FR) (NUTS 2013),:,99.17
Annual,Total,Hectare,From 5 to 11 years,Table olives,Centre-Est (FR) (NUTS 2013),:,130.97
Annual,Total,Hectare,From 5 to 11 years,Table olives,Méditerranée (NUTS 2013),:,1702.55
Annual,Total,Hectare,From 5 to 11 years,Table olives,Croatia,:,49.09
Annual,Total,Hectare,From 5 to 11 years,Table olives,Italy,:,319.06
Annual,Total,Hectare,From 5 to 11 years,Table olives,Sud,:,236.56
Annual,Total,Hectare,From 5 to 11 years,Table olives,Isole,:,10.86
Annual,Total,Hectare,From 5 to 11 years,Table olives,Nord-Est,:,14.9
Annual,Total,Hectare,From 5 to 11 years,Table olives,Centro (IT),:,56.74
Annual,Total,Hectare,50 years or over,Olive trees,Cyprus,1859.36,1948.64
Annual,Total,Hectare,50 years or over,Olive trees,Greece,477525.98,308122.97
Annual,Total,Hectare,50 years or over,Olive trees,Voreia Ellada (NUTS 2010),16123.9,:
Annual,Total,Hectare,50 years or over,Olive trees,Kentriki Ellada (NUTS 2010),302575.84,:
Annual,Total,Hectare,50 years or over,Olive trees,Attiki,17515.21,12404.63
Annual,Total,Hectare,50 years or over,Olive trees,"Nisia Aigaiou, Kriti",141311.03,82685.51
Annual,Total,Hectare,50 years or over,Olive trees,Voreia Elláda,16123.9,20571.23
Annual,Total,Hectare,50 years or over,Olive trees,Kentriki Elláda,302575.84,192461.6
Annual,Total,Hectare,50 years or over,Olive trees,Spain,1354840.7,1344861.64
Annual,Total,Hectare,50 years or over,Olive trees,Noreste,39931.1,38499.8
Annual,Total,Hectare,50 years or over,Olive trees,Comunidad de Madrid,21739.16,20378.65
Annual,Total,Hectare,50 years or over,Olive trees,Centro (ES),386583.81,389973.74
Annual,Total,Hectare,50 years or over,Olive trees,Este,87480.23,82748.8
Annual,Total,Hectare,50 years or over,Olive trees,Sur,819106.4,813260.64
Annual,Total,Hectare,50 years or over,Olive trees,European Union - 27 countries (from 2020),:,2489506.42
Annual,Total,Hectare,50 years or over,Olive trees,European Union - 28 countries (2013-2020),2724475.09,2489506.42
Annual,Total,Hectare,50 years or over,Olive trees,France,:,5864.44
Annual,Total,Hectare,50 years or over,Olive trees,Bassin Parisien (NUTS 2013),:,14.33
Annual,Total,Hectare,50 years or over,Olive trees,Centre-Est (FR) (NUTS 2013),:,608.58
Annual,Total,Hectare,50 years or over,Olive trees,Méditerranée (NUTS 2013),:,5241.53
Annual,Total,Hectare,50 years or over,Olive trees,Croatia,7422.25,7093.27
Annual,Total,Hectare,50 years or over,Olive trees,Italy,701161.33,652505.71
Annual,Total,Hectare,50 years or over,Olive trees,Nord-Ovest,11733.03,9618.49
Annual,Total,Hectare,50 years or over,Olive trees,Sud,480397.96,451044.86
Annual,Total,Hectare,50 years or over,Olive trees,Isole,90797.19,86581.26
Annual,Total,Hectare,50 years or over,Olive trees,Nord-Est,2716.58,2920.17
Annual,Total,Hectare,50 years or over,Olive trees,Centro (IT),115516.56,102340.92
Annual,Total,Hectare,50 years or over,Olive trees,Portugal,181665.47,169003.79
Annual,Total,Hectare,50 years or over,Olive trees,Continente,:,169003.79
Annual,Total,Hectare,50 years or over,Olive trees,Slovenia,:,105.96
Annual,Total,Hectare,50 years or over,Olives for oil,Cyprus,:,1922.23
Annual,Total,Hectare,50 years or over,Olives for oil,Greece,:,275320.53
Annual,Total,Hectare,50 years or over,Olives for oil,Attiki,:,12086.55
Annual,Total,Hectare,50 years or over,Olives for oil,"Nisia Aigaiou, Kriti",:,82141.64
Annual,Total,Hectare,50 years or over,Olives for oil,Voreia Elláda,:,17382.14
