Time frequency,Duration,Reason,Unit of measure,Country of citizenship,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Family reasons,Person,Total,Malta,334.0,3148.0,4831.0,5897.0,6826.0,7761 ep,8190.0,8895.0,8021.0,10685.0,11718.0,13176.0
Annual,Total,Family reasons,Person,Total,Netherlands,150408.0,142059 b,138390.0,139205.0,142828.0,153822.0,163289.0,178568.0,180375.0,191815.0,206437.0,219793.0
Annual,Total,Family reasons,Person,Total,Norway,41216.0,42528.0,39739.0,42060.0,45085.0,49410.0,46007.0,44859.0,43407.0,45483.0,42820.0,31498.0
Annual,Total,Family reasons,Person,Total,Poland,43007.0,30431.0,34781.0,33838.0,41916.0,41151.0,38015 d,43025.0,52156.0,65768.0,77249.0,82014.0
Annual,Total,Family reasons,Person,Total,Portugal,27380.0,37024.0,49191.0,58607.0,69998.0,75064.0,110025.0,135363.0,141943.0,149678.0,154931.0,170242.0
Annual,Total,Family reasons,Person,Total,Romania,23888.0,24020.0,26441.0,26591.0,26342.0,20179.0,20177.0,24127.0,24232.0,24333.0,25950.0,27784.0
Annual,Total,Family reasons,Person,Total,Sweden,183630.0,189123.0,204886.0,220778.0,228868.0,248687.0,271115.0,279697.0,270680.0,252113.0,225299.0,215537.0
Annual,Total,Family reasons,Person,Total,Slovenia,11346.0,13237.0,12808.0,13575.0,13554.0,14082.0,16408.0,19409.0,20527.0,22320.0,22387.0,21528.0
Annual,Total,Family reasons,Person,Total,Slovakia,8991.0,9056.0,10276.0,12302.0,14700.0,16198.0,17993.0,20691.0,23488.0,25904.0,28069.0,29992.0
Annual,Total,Family reasons,Person,Total,United Kingdom,501705.0,492478.0,503225.0,518268.0,519618.0,545778.0,616125.0,:,:,:,:,:
Annual,Total,Other reason,Person,Total,Austria,395161.0,348981.0,329813.0,347497.0,360987.0,366921.0,375373.0,389166.0,393531.0,396262.0,403997.0,406185.0
Annual,Total,Other reason,Person,Total,Belgium,100478.0,91421.0,86078.0,80795.0,74969.0,69331.0,64829.0,64225.0,63443.0,66250.0,67503.0,69819.0
Annual,Total,Other reason,Person,Total,Bulgaria,5650.0,7575.0,21817.0,20670.0,23308.0,27432.0,29124.0,38159.0,42297.0,49771.0,47179.0,55651.0
Annual,Total,Other reason,Person,Total,Switzerland,8311.0,8570.0,390786.0,394954.0,398078.0,400603.0,403637.0,401003.0,404418.0,431120.0,431634.0,435910.0
Annual,Total,Other reason,Person,Total,Cyprus,9766.0,10222.0,5469.0,2432.0,3290.0,5821.0,27742.0,31228.0,30764.0,33589.0,41445.0,39850.0
Annual,Total,Other reason,Person,Total,Czechia,90683.0,103410.0,108222.0,112284.0,117822.0,123119.0,124692.0,125333.0,127257.0,132102.0,138359.0,144244.0
Annual,Total,Other reason,Person,Total,Germany,1886840.0,1681905.0,1666002.0,1643807.0,1576411.0,1696928.0,1648827.0,1386645.0,1135950.0,249394.0,261530.0,275124.0
Annual,Total,Other reason,Person,Total,Denmark,:,:,:,:,:,:,:,:,:,30211.0,:,:
Annual,Total,Other reason,Person,Total,Estonia,191528.0,188163.0,183800.0,180071.0,176980.0,174378.0,172567.0,170375.0,167940.0,165350.0,162835.0,160703.0
Annual,Total,Other reason,Person,Total,Greece,136795.0,159778.0,218055.0,249999.0,271385.0,280888.0,287167.0,289294.0,274247.0,306335.0,242573.0,247096.0
Annual,Total,Other reason,Person,Total,Spain,1367298.0,1379202.0,1347920.0,1379702.0,1367872.0,1388331.0,1396661.0,1431854.0,1463007.0,1815763.0,1820313.0,1838080.0
Annual,Total,Other reason,Person,Total,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,6181209.0,:,:
Annual,Total,Other reason,Person,Total,Finland,13407 p,19964 p,30553.0,33732.0,35121.0,38543.0,42809.0,91662.0,33206.0,37639.0,35835.0,39083.0
Annual,Total,Other reason,Person,Total,France,1117797.0,1156023.0,1169484.0,1181651.0,1145490.0,1159279.0,1189890.0,1213811.0,1303934.0,1426834 p,1468380.0,1512424.0
Annual,Total,Other reason,Person,Total,Croatia,:,992.0,664.0,12500.0,12540.0,12406.0,11739.0,23111.0,23091.0,12176.0,12458.0,12965.0
Annual,Total,Other reason,Person,Total,Hungary,35236.0,39903.0,20350.0,22767.0,27201.0,73370 b,46175.0,64022.0,69561.0,78714.0,49369.0,56275.0
Annual,Total,Other reason,Person,Total,Ireland,39929.0,28708.0,24213.0,25365.0,25729.0,29987.0,34038.0,40419.0,43580.0,50335 u,60547 u,79130 u
Annual,Total,Other reason,Person,Total,Iceland,1825.0,1775.0,1665.0,1672.0,1646.0,1744.0,1695.0,1666.0,3227.0,3604.0,4156.0,5128.0
Annual,Total,Other reason,Person,Total,Italy,81597.0,80124.0,85959.0,94756.0,193443 b,221255.0,232295.0,190245.0,130929.0,136782.0,171305.0,246532.0
Annual,Total,Other reason,Person,Total,Liechtenstein,:,3497.0,3407.0,3554.0,3574.0,3620.0,3736.0,3701.0,3708.0,3737.0,3787.0,3843.0
Annual,Total,Other reason,Person,Total,Lithuania,18639.0,18312.0,18249.0,18135.0,17915.0,17862.0,17561.0,18008.0,18004.0,18899.0,21425.0,21118.0
Annual,Total,Other reason,Person,Total,Luxembourg,5583.0,7215.0,7650.0,8333.0,8478.0,8549.0,7497.0,6716.0,6165.0,8226.0,8279.0,8549.0
Annual,Total,Other reason,Person,Total,Latvia,335268.0,324021.0,312157.0,302661.0,292858.0,283328.0,273985.0,265661.0,256550.0,241824.0,232420.0,221179.0
Annual,Total,Other reason,Person,Total,Malta,3113.0,1822.0,2900.0,3379.0,3773.0,3772 ep,4280.0,5830.0,6185.0,10829.0,12534.0,15702.0
Annual,Total,Other reason,Person,Total,Netherlands,63045.0,208707 b,212193.0,224403.0,233243.0,246341.0,251868.0,269303.0,281075.0,319582.0,291770.0,295084.0
Annual,Total,Other reason,Person,Total,Norway,2608.0,1914.0,1249.0,1224.0,1367.0,1400.0,98211.0,110567.0,119314.0,105746.0,85895.0,72579.0
Annual,Total,Other reason,Person,Total,Poland,34155.0,129252.0,144710.0,164371.0,102559.0,117783.0,107916 d,124964.0,132973.0,207314.0,301909.0,297136.0
Annual,Total,Other reason,Person,Total,Portugal,262686.0,220060.0,193692.0,174515.0,160010.0,157183.0,145789.0,165930.0,186443.0,222229.0,213395.0,218241.0
Annual,Total,Other reason,Person,Total,Romania,12754.0,13270.0,11855.0,12196.0,12396.0,12975.0,14746.0,14982.0,15221.0,18124.0,18391.0,20437.0
Annual,Total,Other reason,Person,Total,Sweden,15174.0,14855.0,8934.0,44070.0,41537.0,38368.0,41245.0,41806.0,37624.0,35934.0,34968.0,35495.0
Annual,Total,Other reason,Person,Total,Slovenia,48625.0,66967.0,68481.0,72450.0,76860.0,81387.0,84743.0,88762.0,93149.0,99055.0,106981.0,121204.0
Annual,Total,Other reason,Person,Total,Slovakia,8061.0,6387.0,7656.0,8746.0,8754.0,9780.0,9757.0,10480.0,11665.0,11686.0,11465.0,11228.0
Annual,Total,Other reason,Person,Total,United Kingdom,115834.0,122371.0,121073.0,135773.0,107824.0,102017.0,110829.0,:,:,:,:,:
Annual,Total,Total,Person,Total,Austria,493171.0,450410.0,427923.0,453069.0,471054.0,476406.0,489053.0,510718.0,508205.0,509579.0,525849.0,535496.0
Annual,Total,Total,Person,Total,Belgium,339689.0,339067.0,351655.0,366790.0,403001.0,415998.0,433009.0,452249.0,457426.0,492888.0,504457.0,517711.0
Annual,Total,Total,Person,Total,Bulgaria,16745.0,18603.0,39669.0,45250.0,39562.0,54880.0,53132.0,64902.0,74496.0,89706.0,91525.0,109758.0
Annual,Total,Total,Person,Total,Switzerland,643143.0,620745.0,629893.0,640958.0,649431.0,656712.0,667453.0,677806.0,690405.0,749944.0,767064.0,786789.0
Annual,Total,Total,Person,Total,Cyprus,48669.0,56128.0,47075.0,47285.0,52029.0,56505.0,84189.0,94389.0,91059.0,93922.0,118864.0,132735.0
Annual,Total,Total,Person,Total,Czechia,261580.0,275075.0,280762.0,288426.0,309601.0,304269.0,334157.0,350291.0,381539.0,430687.0,445317.0,450024.0
Annual,Total,Total,Person,Total,Germany,3745606.0,3542944.0,3623807.0,3761958.0,4061552.0,4644288.0,4826749.0,4851579.0,4241270.0,5021637.0,5497026.0,5724832.0
Annual,Total,Total,Person,Total,Denmark,:,:,:,:,:,: m,:,:,:,211797.0,337653.0,353886.0
Annual,Total,Total,Person,Total,Estonia,201895.0,197865.0,194951.0,193064.0,191337.0,189385.0,188997.0,189346.0,188446.0,188762.0,190909.0,192250.0
Annual,Total,Total,Person,Total,Greece,485319.0,509769.0,540096.0,567669.0,584652.0,564608.0,573883.0,583070.0,672934.0,713522.0,589655.0,608567.0
Annual,Total,Total,Person,Total,Spain,2800001.0,2705144.0,2613672.0,2585462.0,2568251.0,2655074.0,2734620.0,2862652.0,2897898.0,3443580.0,3619762.0,3823572.0
Annual,Total,Total,Person,Total,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,22740574.0,24182745.0,25224272.0
Annual,Total,Total,Person,Total,Finland,61329 p,80386 p,91927.0,98125.0,99559.0,105007.0,111597.0,183918.0,115662.0,168612.0,195762.0,234076.0
Annual,Total,Total,Person,Total,France,2444426.0,2512279.0,2577189.0,2633041.0,2672813.0,2807593.0,2945573.0,3090419.0,3511855.0,3723760 p,3927206.0,4105100.0
Annual,Total,Total,Person,Total,Croatia,:,12259.0,11448.0,23982.0,26252.0,31024.0,43854.0,73776.0,77821.0,70337.0,88929.0,112428.0
Annual,Total,Total,Person,Total,Hungary,77223.0,66379.0,40085.0,45468.0,54814.0,117026 b,130800.0,197753.0,205973.0,225155.0,219880.0,218601.0
Annual,Total,Total,Person,Total,Ireland,120281.0,107435.0,105569.0,113914.0,110927.0,128066.0,142286.0,168297.0,155317.0,169687 u,234057 u,289432 u
Annual,Total,Total,Person,Total,Iceland,3642.0,3652.0,3527.0,3755.0,4187.0,4962.0,5657.0,6637.0,8740.0,9840.0,11700.0,13945.0
Annual,Total,Total,Person,Total,Italy,3774613.0,3885497.0,3943259.0,3914131.0,3712563.0,3712560.0,3716239.0,3615262.0,3373594.0,3561177.0,3838651.0,3730915.0
Annual,Total,Total,Person,Total,Liechtenstein,:,6166.0,6101.0,6264.0,6225.0,6248.0,6303.0,6420.0,6456.0,6508.0,6517.0,6548.0
Annual,Total,Total,Person,Total,Lithuania,29968.0,31694.0,35792.0,35680.0,38833.0,44525.0,52403.0,69348.0,83915.0,95724.0,127330.0,167132.0
Annual,Total,Total,Person,Total,Luxembourg,27910.0,29873.0,31836.0,34330.0,36779.0,40294.0,42744.0,46051.0,47120.0,51032.0,54572.0,58815.0
Annual,Total,Total,Person,Total,Latvia,352046.0,344275.0,336805.0,329539.0,320962.0,313212.0,306820.0,301352.0,289146.0,277217.0,267350.0,258850.0
Annual,Total,Total,Person,Total,Malta,6629.0,9934.0,15342.0,18678.0,20661.0,26695 ep,35526.0,48053.0,46377.0,61885.0,89000.0,112892.0
Annual,Total,Total,Person,Total,Netherlands,299941.0,431405 b,443595.0,482302.0,509413.0,550188.0,577879.0,613803.0,608289.0,760739.0,780198.0,822662.0
Annual,Total,Total,Person,Total,Norway,92282.0,95363.0,90560.0,93821.0,104390.0,109403.0,193247.0,199032.0,200711.0,196184.0,183526.0,136646.0
Annual,Total,Total,Person,Total,Poland,227021.0,316336.0,364652.0,501251.0,544841.0,617211.0,580858 d,649352.0,676301.0,954551.0,967066.0,1088590.0
Annual,Total,Total,Person,Total,Portugal,316532.0,300802.0,294753.0,283457.0,279469.0,284724.0,321385.0,405626.0,457269.0,529718.0,568146.0,642710.0
Annual,Total,Total,Person,Total,Romania,53648.0,55519.0,57517.0,61413.0,62882.0,54045.0,59862.0,79465.0,83864.0,92049.0,115558.0,143276.0
Annual,Total,Total,Person,Total,Sweden,333169.0,349395.0,388374.0,441394.0,503581.0,545975.0,582752.0,583126.0,547732.0,514458.0,472472.0,449475.0
Annual,Total,Total,Person,Total,Slovenia,81533.0,98612.0,94057.0,101618.0,109981.0,123176.0,145366.0,164266.0,167411.0,180709.0,194926.0,208115.0
Annual,Total,Total,Person,Total,Slovakia,24832.0,24864.0,28611.0,34113.0,39906.0,48119.0,62365.0,82156.0,90350.0,107684.0,120625.0,132372.0
Annual,Total,Total,Person,Total,United Kingdom,1630322.0,1547658.0,1509007.0,1544879.0,1504018.0,1533551.0,1577559.0,:,:,:,:,:
