Time frequency,Unit of measure,Consolidated/Non consolidated,National accounts indicator (ESA 2010),Financial position,Sector,Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Bulgaria,0.4,0.2,0.9,1.8,2.1,2.4,3.3,4.4,7.4,11.4,15.8,19.1,25.4,29.6,29.4,28.5,26.2,25.2,25.4,25.0,23.2,22.2,21.8,22.5,22.9,24.1,23.7,22.4,23.5
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Cyprus,62.3,65.3,68.3,69.4,75.8,76.5,73.7,72.8,67.8,72.3,89.4,90.7,97.0,102.8,112.2,116.9,120.2,125.8,128.4,130.7,126.7,116.9,105.5,96.2,86.3,88.6,79.2,69.1,64.0 p
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Czechia,10.0,7.6,7.6,6.8,7.3,7.6,7.9,10.5,11.3,13.7,16.3,18.9,23.0,25.6,28.3,28.4,29.5,30.4,31.1,30.0,29.9,30.8,31.0,31.3,31.0,33.2,33.8,31.8,30.5
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Germany,59.2,62.3,64.3,66.2,69.2,69.7,68.6,68.5,68.7,67.3,66.2,63.5,59.8,58.2,60.3,57.7,55.5,54.9,54.0,52.6,52.1,51.8,51.4,51.1,52.0,55.5,54.8 p,53.1 p,50.6 p
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Denmark,68.8,71.7,74.0,74.5,74.4,74.3,78.8,83.1,88.6,92.6,100.1,106.7,113.8,117.9,128.4,126.5,124.4,122.6,123.3,121.6,117.6,115.8,112.8,111.4,110.0,110.9,100.9,83.9,87.7
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Estonia,1.8,3.3,6.2,5.8,6.9,8.5,10.7,13.9,18.0,23.7,31.2,40.9,44.7,48.9,55.4,51.1,43.8,40.2,38.3,36.9,37.7,37.8,37.1,36.2,36.1,38.3,36.4,34.9,35.3
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Greece,5.7,6.6,8.3,9.3,10.9,13.6,17.3,21.3,24.7,29.6,36.8,41.6,47.0,50.8,52.8,62.0,65.1,66.8,66.6,64.3,62.5,60.7,57.7,58.1,55.1,58.7,54.7,44.9 p,40.7 p
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Spain,31.1,31.9,34.1,37.7,41.9,45.2,46.9,50.9,56.3,63.1,70.4,77.6,81.4,82.2,84.5,83.7,81.8,80.7,77.0,72.6,67.1,63.6,60.4,58.2,56.1,61.6,56.8,51.1 p,45.8 p
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Finland,34.9,32.5,29.2,28.6,30.0,30.3,30.9,33.1,36.5,39.7,43.8,47.0,48.2,49.9,56.2,57.7,57.9,60.0,60.6,61.8,62.7,63.6,63.9,64.8,65.3,68.8,67.8,65.3,63.2
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,France,33.8,33.9,34.1,33.2,34.1,34.3,34.7,35.6,37.0,38.7,41.5,44.0,46.5,48.7,52.4,53.4,54.5,55.0,55.2,55.6,56.0,57.3,58.6,60.0,61.5,67.3,65.6,65.1 p,61.9 p
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Croatia,3.9,5.0,8.5,11.0,11.7,13.2,16.6,21.7,25.2,27.7,30.9,34.6,37.5,39.5,40.3,42.1,41.5,41.3,40.4,40.3,38.5,35.5,34.5,34.4,34.9,38.5,34.9,31.7,30.0 p
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Hungary,6.6,5.2,4.8,4.3,5.0,6.4,8.2,11.7,17.0,19.9,23.4,26.1,29.9,36.5,37.7,39.6,37.6,31.9,28.4,25.8,21.3,20.2,18.7,17.7,18.4,20.6,20.9,18.6,16.9 p
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,95.8,97.2,81.5,58.4,54.3,53.6,47.6,41.0,34.0,29.6,27.2,28.6
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Italy,16.5,16.6,17.0,18.1,20.5,22.1,23.4,25.1,26.9,29.3,32.3,35.0,37.4,38.3,41.7,42.7,42.7,42.8,42.4,41.8,41.1,40.6,40.3,40.3,40.7,44.4,41.7,39.6,36.8
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Lithuania,1.2,1.0,1.1,1.4,1.8,1.6,1.8,3.0,4.8,8.9,13.7,20.4,26.4,28.3,32.4,29.9,25.9,23.7,22.4,21.5,22.2,22.8,22.3,22.3,22.8,23.9,23.3,21.7,21.2
