Time frequency,Economical indicator for structural business statistics,Place of residence,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,1999.0,2000.0
Annual,Turnover or gross premiums written - million euro,Total,Hardware consultancy,Finland,:,: @C
Annual,Turnover or gross premiums written - million euro,Total,Hardware consultancy,France,9685.0,:
Annual,Turnover or gross premiums written - million euro,Total,Hardware consultancy,Luxembourg,:,214.9
Annual,Turnover or gross premiums written - million euro,Total,Hardware consultancy,Portugal,:,84.6
Annual,Turnover or gross premiums written - million euro,Total,Hardware consultancy,Sweden,220.9,:
Annual,Turnover or gross premiums written - million euro,Total,Hardware consultancy,United Kingdom,:,1592.1
Annual,Turnover or gross premiums written - million euro,Total,Software consultancy and supply,Denmark,:,3968.9
Annual,Turnover or gross premiums written - million euro,Total,Software consultancy and supply,Spain,:,8775.1
Annual,Turnover or gross premiums written - million euro,Total,Software consultancy and supply,Finland,:,2194.1
Annual,Turnover or gross premiums written - million euro,Total,Software consultancy and supply,France,13548.0,:
Annual,Turnover or gross premiums written - million euro,Total,Software consultancy and supply,Luxembourg,:,391.2
Annual,Turnover or gross premiums written - million euro,Total,Software consultancy and supply,Portugal,:,743.8
Annual,Turnover or gross premiums written - million euro,Total,Software consultancy and supply,Sweden,8540.9,:
Annual,Turnover or gross premiums written - million euro,Total,Software consultancy and supply,United Kingdom,:,43290.0
Annual,Turnover or gross premiums written - million euro,Total,Data processing,Denmark,:,429.4
Annual,Turnover or gross premiums written - million euro,Total,Data processing,Spain,:,962.2
Annual,Turnover or gross premiums written - million euro,Total,Data processing,Finland,:,818.0
Annual,Turnover or gross premiums written - million euro,Total,Data processing,France,6147.6,:
Annual,Turnover or gross premiums written - million euro,Total,Data processing,Luxembourg,:,21.7
Annual,Turnover or gross premiums written - million euro,Total,Data processing,Portugal,:,239.2
Annual,Turnover or gross premiums written - million euro,Total,Data processing,Sweden,1177.4,:
Annual,Turnover or gross premiums written - million euro,Total,Data processing,United Kingdom,:,8421.8
Annual,Turnover or gross premiums written - million euro,Total,Database activities,Denmark,:,101.0
Annual,Turnover or gross premiums written - million euro,Total,Database activities,Finland,:,247.2
