Time frequency,Country of citizenship,Country of destination,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2018.0,2019.0,2021.0,2022.0,2023.0
Annual,Total,Total,Less than 18 years,Total,Person,Luxembourg,35.0,35.0,15.0,20.0,15.0
Annual,Total,Total,Less than 18 years,Total,Person,Latvia,:,145.0,35.0,130.0,140.0
Annual,Total,Total,Less than 18 years,Total,Person,Montenegro,:,:,0.0,0.0,:
Annual,Total,Total,Less than 18 years,Total,Person,Malta,10.0,5.0,5.0,0.0,5.0
Annual,Total,Total,Less than 18 years,Total,Person,Netherlands,:,0.0,100 d,80.0,130.0
Annual,Total,Total,Less than 18 years,Total,Person,Norway,:,:,140.0,90.0,135.0
Annual,Total,Total,Less than 18 years,Total,Person,Poland,:,365.0,90.0,125.0,155.0
Annual,Total,Total,Less than 18 years,Total,Person,Portugal,:,0.0,15.0,110.0,45.0
Annual,Total,Total,Less than 18 years,Total,Person,Romania,70.0,75.0,40.0,75.0,65.0
Annual,Total,Total,Less than 18 years,Total,Person,Sweden,1945.0,1610.0,1500.0,1480.0,1500.0
Annual,Total,Total,Less than 18 years,Total,Person,Slovenia,225.0,375.0,65.0,80.0,15.0
Annual,Total,Total,Less than 18 years,Total,Person,Slovakia,5.0,10.0,10.0,15.0,10.0
