Time frequency,Level of activity limitation,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,None,Percentage,Denmark,43.5
Annual,None,Percentage,Estonia,30.2
Annual,None,Percentage,Greece,35.0
Annual,None,Percentage,Spain,26.2
Annual,None,Percentage,European Union (aggregate changing according to the context),28.1 e
Annual,None,Percentage,Finland,52.1
Annual,None,Percentage,France,33.2
Annual,None,Percentage,Croatia,28.4
Annual,None,Percentage,Hungary,48.8
Annual,None,Percentage,Ireland,38.2
Annual,None,Percentage,Lithuania,24.3
Annual,None,Percentage,Luxembourg,42.5
Annual,None,Percentage,Latvia,23.2
Annual,None,Percentage,Montenegro,11.8
Annual,None,Percentage,Malta,23.0
Annual,None,Percentage,Netherlands,39.8
Annual,None,Percentage,Poland,15.8
Annual,None,Percentage,Portugal,17.4
Annual,None,Percentage,Romania,39.0
Annual,None,Percentage,Serbia,16.3
Annual,None,Percentage,Sweden,48.7
Annual,None,Percentage,Slovenia,21.6
Annual,None,Percentage,Slovakia,32.2
Annual,None,Percentage,Kosovo*,9.0
Annual,Severe,Percentage,Austria,40.2
Annual,Severe,Percentage,Belgium,47.1
Annual,Severe,Percentage,Bulgaria,48.4
Annual,Severe,Percentage,Cyprus,47.6 u
Annual,Severe,Percentage,Czechia,32.1 u
Annual,Severe,Percentage,Germany,53.2 u
Annual,Severe,Percentage,Denmark,69.9
Annual,Severe,Percentage,Estonia,45.1
Annual,Severe,Percentage,Greece,45.1
Annual,Severe,Percentage,Spain,49.8
Annual,Severe,Percentage,European Union (aggregate changing according to the context),46.1 e
Annual,Severe,Percentage,Finland,80.4
Annual,Severe,Percentage,France,41.8
Annual,Severe,Percentage,Croatia,18.6 u
Annual,Severe,Percentage,Hungary,: u
Annual,Severe,Percentage,Ireland,: u
Annual,Severe,Percentage,Lithuania,34.4 u
Annual,Severe,Percentage,Luxembourg,62.4 u
Annual,Severe,Percentage,Latvia,39.9
Annual,Severe,Percentage,Montenegro,: u
Annual,Severe,Percentage,Malta,45.1 u
Annual,Severe,Percentage,Netherlands,56.8
Annual,Severe,Percentage,Poland,23.0 u
Annual,Severe,Percentage,Portugal,28.0
Annual,Severe,Percentage,Romania,52.0 u
Annual,Severe,Percentage,Serbia,26.2 u
Annual,Severe,Percentage,Sweden,69.4
Annual,Severe,Percentage,Slovenia,: u
Annual,Severe,Percentage,Slovakia,56.6
Annual,Severe,Percentage,Kosovo*,: u
Annual,Some or severe,Percentage,Austria,41.9
Annual,Some or severe,Percentage,Belgium,45.9
Annual,Some or severe,Percentage,Bulgaria,23.8
Annual,Some or severe,Percentage,Cyprus,41.7
Annual,Some or severe,Percentage,Czechia,22.2
Annual,Some or severe,Percentage,Germany,39.7
Annual,Some or severe,Percentage,Denmark,59.3
Annual,Some or severe,Percentage,Estonia,41.4
Annual,Some or severe,Percentage,Greece,44.9
Annual,Some or severe,Percentage,Spain,39.7
Annual,Some or severe,Percentage,European Union (aggregate changing according to the context),41.3 e
Annual,Some or severe,Percentage,Finland,67.7
Annual,Some or severe,Percentage,France,40.1
Annual,Some or severe,Percentage,Croatia,14.8
Annual,Some or severe,Percentage,Hungary,50.7
Annual,Some or severe,Percentage,Ireland,54.0
Annual,Some or severe,Percentage,Lithuania,34.6
Annual,Some or severe,Percentage,Luxembourg,58.3
Annual,Some or severe,Percentage,Latvia,32.9
Annual,Some or severe,Percentage,Montenegro,11.1 u
Annual,Some or severe,Percentage,Malta,33.5
Annual,Some or severe,Percentage,Netherlands,49.2
Annual,Some or severe,Percentage,Poland,23.6
Annual,Some or severe,Percentage,Portugal,25.7
Annual,Some or severe,Percentage,Romania,54.0
Annual,Some or severe,Percentage,Serbia,26.0
Annual,Some or severe,Percentage,Sweden,63.0
Annual,Some or severe,Percentage,Slovenia,28.8 u
Annual,Some or severe,Percentage,Slovakia,50.2
Annual,Some or severe,Percentage,Kosovo*,24.3
Annual,Some,Percentage,Austria,42.2
Annual,Some,Percentage,Belgium,45.3
Annual,Some,Percentage,Bulgaria,14.3
Annual,Some,Percentage,Cyprus,38.3
Annual,Some,Percentage,Czechia,18.3
Annual,Some,Percentage,Germany,37.0
Annual,Some,Percentage,Denmark,58.0
Annual,Some,Percentage,Estonia,39.9
Annual,Some,Percentage,Greece,44.8
Annual,Some,Percentage,Spain,37.5
Annual,Some,Percentage,European Union (aggregate changing according to the context),40.2 e
Annual,Some,Percentage,Finland,65.6
Annual,Some,Percentage,France,39.5
Annual,Some,Percentage,Croatia,13.9
Annual,Some,Percentage,Hungary,52.7
Annual,Some,Percentage,Ireland,53.2
Annual,Some,Percentage,Lithuania,34.7
Annual,Some,Percentage,Luxembourg,57.4
Annual,Some,Percentage,Latvia,31.3
Annual,Some,Percentage,Montenegro,12.5 u
Annual,Some,Percentage,Malta,31.1
Annual,Some,Percentage,Netherlands,48.1
Annual,Some,Percentage,Poland,23.8
Annual,Some,Percentage,Portugal,25.4
Annual,Some,Percentage,Romania,54.6
Annual,Some,Percentage,Serbia,25.9
Annual,Some,Percentage,Sweden,61.7
Annual,Some,Percentage,Slovenia,31.3 u
Annual,Some,Percentage,Slovakia,48.2
Annual,Some,Percentage,Kosovo*,27.8 u
Annual,Total,Percentage,Austria,35.7
Annual,Total,Percentage,Belgium,29.1
Annual,Total,Percentage,Bulgaria,11.9
Annual,Total,Percentage,Cyprus,36.1
Annual,Total,Percentage,Czechia,19.7
Annual,Total,Percentage,Germany,25.6
Annual,Total,Percentage,Denmark,47.5
Annual,Total,Percentage,Estonia,33.1
Annual,Total,Percentage,Greece,36.5
Annual,Total,Percentage,Spain,28.2
Annual,Total,Percentage,European Union (aggregate changing according to the context),30.5 e
Annual,Total,Percentage,Finland,57.1
Annual,Total,Percentage,France,34.5
Annual,Total,Percentage,Croatia,25.3
Annual,Total,Percentage,Hungary,49.1
Annual,Total,Percentage,Ireland,40.7
Annual,Total,Percentage,Lithuania,25.2
Annual,Total,Percentage,Luxembourg,45.4
Annual,Total,Percentage,Latvia,25.1
Annual,Total,Percentage,Montenegro,11.7
Annual,Total,Percentage,Malta,24.4
Annual,Total,Percentage,Netherlands,41.2
Annual,Total,Percentage,Poland,16.7
Annual,Total,Percentage,Portugal,19.7
Annual,Total,Percentage,Romania,42.2
Annual,Total,Percentage,Serbia,17.5
Annual,Total,Percentage,Sweden,52.5
Annual,Total,Percentage,Slovenia,22.5
Annual,Total,Percentage,Slovakia,37.9
Annual,Total,Percentage,Kosovo*,10.3
