Time frequency,Tenure status,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Percentage,Belgium,:,21.6,22.2,22.0,20.5,20.0 b,20.3 b,18.8,18.7,18.6
Annual,Total,Percentage,Bulgaria,:,43.3,41.0 b,38.0,33.0,33.2,33.5,31.7,32.2,30.0
Annual,Total,Percentage,Switzerland,16.8,18.2,17.9,18.3,17.8,19.3,18.5,17.6,18.8,19.5
Annual,Total,Percentage,Cyprus,:,22.8,22.6,21.4,19.1,18.6,17.6,17.3,16.7,16.7
Annual,Total,Percentage,Czechia,:,13.0,12.4,12.1,11.8,12.1,11.5,10.7,11.8,12.0
Annual,Total,Percentage,Germany,:,20.0,19.8,18.8,18.5,17.3,20.4 b,21.0,21.0,21.2
Annual,Total,Percentage,Denmark,:,18.6,17.5,17.8,17.5,17.3,16.8 b,17.3,17.1,17.9
Annual,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,23.0,22.8,21.7,21.4,20.8,21.5 b,21.9,:,:
Annual,Total,Percentage,Euro area - 18 countries (2014),:,22.9,22.7,21.7,21.3,20.7,21.5 b,:,:,:
Annual,Total,Percentage,Euro area - 19 countries  (2015-2022),:,23.0,22.8,21.7,21.4,20.8,21.5 b,21.9,:,:
Annual,Total,Percentage,Euro area – 20 countries (from 2023),23.9,23.0,22.8,21.8,21.4,20.7,21.5 b,21.9,21.8,21.6
Annual,Total,Percentage,Estonia,:,23.6,23.1,23.2,23.6,23.7,22.8,22.2,25.2,24.2
Annual,Total,Percentage,Greece,:,32.4,32.6,32.2,30.3,29.0,27.4,28.3,26.3,26.1
Annual,Total,Percentage,Spain,:,28.7,28.8,27.5,27.3,26.2,27.0,27.8,26.0,26.5
Annual,Total,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,21.1,:,:,:,:
Annual,Total,Percentage,European Union - 27 countries (2007-2013),:,:,:,:,:,21.3 e,:,:,:,:
Annual,Total,Percentage,European Union - 27 countries (from 2020),:,24.0,23.7,22.4,21.7,21.1,21.5 b,21.7,21.6,21.3
