Time frequency,Unit of measure,Statistical classification of economic activities in the European Community (NACE Rev. 2),Country of residence,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Italy,347591973.0,342716139.0,342326085.0,352375880.0,363237692.0,377623533.0,382406746.0,386727672.0,201943782.0,280313302.0,376326082.0,392366921.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Liechtenstein,124033.0,121134.0,117803.0,97989.0,114199.0,129785.0,140527.0,153268.0,123521.0,157673.0,:,200179.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Lithuania,5544282.0,5865588.0,6184267.0,6293869.0,6654057.0,6974789.0,7645973.0,8441363.0,4851671.0,5369531.0,7666859.0,7919852.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Luxembourg,2304594.0,2433742.0,2630379.0,3287336.0,3391621.0,2641951.0,3319599.0,3301486.0,1641062.0,2158608.0,3115026.0,3279237.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Latvia,3400352.0,3527936.0,3852243.0,3771454.0,4162003.0,4619315.0,4955132.0,5111835.0,2736908.0,2319076.0,3715670.0,4119492.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Montenegro,9000886.0,:,:,10837494.0,10989910.0,3621911 b,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,North Macedonia,1400914.0,1430850.0,1439920.0,1543897.0,1581612.0,1831792.0,2046512.0,2121935.0,855745.0,1272868.0,1704896.0,1946494.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Malta,7273456.0,7898115 e,8094304 e,8327194 e,8341345 e,8911463 e,9337102 e,8966395 e,2820369 e,4483484 e,7709027 e,9154428 e
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Netherlands,79769866.0,91517699.0,94748703.0,98058300.0,100382433.0,104724495.0,108829892.0,115436602.0,86329079.0,99708055.0,126387753.0,133485591.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Norway,28910449.0,28177868.0,29335699.0,30067571.0,31240874.0,:,:,:,23299164.0,26769161.0,34751405.0,34942739.0
