Time frequency,Country of citizenship,Age definition,Age class,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Total,Age in completed years,Total,Number,Total,Spain,409034.0,446606.0,532303.0,400430.0,343875.0,327325.0,368860.0,309526.0,296248.0,248561.0,696866 b,531889.0
Annual,Total,Age in completed years,Total,Number,Total,European Union - 27 countries (from 2020),:,:,2448647 bep,2444152 bep,2445707 bep,2635537 ep,2576348 ep,2393130 ep,2556040 ep,1995154 ep,2687717 bep,2645362 ep
Annual,Total,Age in completed years,Total,Number,Total,Finland,12660.0,13845.0,13893.0,15486.0,16305.0,18082.0,16973.0,19141.0,17263.0,15084.0,13459.0,15635.0
Annual,Total,Age in completed years,Total,Number,Total,France,291594.0,255922.0,239813.0,308103.0,324517.0,313622.0,215470.0,188740.0,259143.0,61006.0,154736 p,249355 p
Annual,Total,Age in completed years,Total,Number,Total,Georgia,:,:,:,:,:,:,:,:,:,:,:,125269.0
Annual,Total,Age in completed years,Total,Number,Total,Croatia,12699.0,12877.0,15262.0,20858.0,29651.0,36436.0,47352.0,39515.0,40148.0,34046.0,40424.0,46287.0
Annual,Total,Age in completed years,Total,Number,Total,Hungary,15100.0,22880.0,34691.0,42213.0,43225.0,39889.0,39829.0,48178.0,49795.0,67364.0,67999.0,58408.0
Annual,Total,Age in completed years,Total,Number,Total,Ireland,83049 b,81797.0,76560.0,71107.0,67160.0,55507.0,58788.0,50258.0,51410.0,51313.0,53673.0,61133.0
Annual,Total,Age in completed years,Total,Number,Total,Iceland,4812.0,4758.0,4372.0,4052.0,4046.0,4159.0,3641.0,4372.0,4590.0,6009.0,4661.0,5091.0
Annual,Total,Age in completed years,Total,Number,Total,Italy,82461.0,106216.0,125735.0,136328.0,146955.0,157065.0,155110.0,156960.0,179505.0,159884.0,158312.0,150189.0
Annual,Total,Age in completed years,Total,Number,Total,Liechtenstein,467.0,439.0,497.0,476.0,468.0,522.0,426.0,484.0,446.0,432.0,516.0,480.0
Annual,Total,Age in completed years,Total,Number,Total,Lithuania,53863.0,46807.0,45049.0,43874.0,50445.0,56299.0,53951.0,38638.0,35441.0,25245.0,25205.0,15270.0
Annual,Total,Age in completed years,Total,Number,Total,Luxembourg,9264.0,10442.0,10750.0,11283.0,12644.0,13442.0,13831.0,13985.0,15593.0,14870.0,15959.0,17227.0
Annual,Total,Age in completed years,Total,Number,Total,Latvia,30311.0,25163.0,22561.0,19017.0,20119.0,20574.0,17724.0,15814.0,14583.0,11990.0,12975.0,16680.0
Annual,Total,Age in completed years,Total,Number,Total,Moldova,:,:,:,122955.0,127277.0,153405.0,158259.0,158788.0,153289.0,72372.0,113769.0,241448.0
Annual,Total,Age in completed years,Total,Number,Total,Montenegro,:,:,:,:,:,:,:,:,:,28.0,:,54.0
Annual,Total,Age in completed years,Total,Number,Total,North Macedonia,1290.0,1415.0,1041.0,839.0,1016.0,630.0,424.0,377.0,798.0,1082.0,1412.0,2374.0
Annual,Total,Age in completed years,Total,Number,Total,Malta,3806.0,5946.0,6550.0,6200.0,8255.0,9510.0,8036.0,10019.0,8079.0,13804.0,13146.0,13166.0
Annual,Total,Age in completed years,Total,Number,Total,Netherlands,104201.0,110431.0,112625.0,112900.0,112330.0,111477.0,108231.0,109635.0,107906.0,102502.0,110342.0,109616.0
Annual,Total,Age in completed years,Total,Number,Total,Norway,20349.0,22693.0,26523.0,29308.0,29173.0,34694.0,31963.0,27158.0,23207.0,21447.0,34297.0,32536.0
Annual,Total,Age in completed years,Total,Number,Total,Poland,265798.0,275603.0,276446.0,268299 p,258837 p,236441 ep,218492 ep,189794 ep,180594 ep,161666 ep,201595.0,228006.0
Annual,Total,Age in completed years,Total,Number,Total,Portugal,43998.0,51958.0,53786.0,49572.0,40377.0,38273 e,31753 e,31600.0,28219.0,25886.0,25079.0,30954.0
Annual,Total,Age in completed years,Total,Number,Total,Romania,195551.0,170186.0,161755.0,172871.0,194718.0,207578.0,242193 e,231661 e,233736 e,186818 e,216861.0,202311 e
Annual,Total,Age in completed years,Total,Number,Total,Sweden,51179.0,51747.0,50715.0,51237.0,55830.0,45878.0,45620.0,46981.0,47718.0,48937.0,48284.0,50592.0
Annual,Total,Age in completed years,Total,Number,Total,Slovenia,12024.0,14378.0,13384.0,14336.0,14913.0,15572.0,17555.0,13527.0,15106.0,17745.0,21144.0,20956.0
Annual,Total,Age in completed years,Total,Number,Total,Slovakia,1863.0,2003.0,2770.0,3644.0,3870.0,3801.0,3466.0,3298.0,3384.0,2428.0,3395.0,4468.0
Annual,Total,Age in completed years,Total,Number,Total,Türkiye,:,:,:,:,:,:,:,:,:,:,:,466914.0
Annual,Total,Age in completed years,Total,Number,Total,Ukraine,:,:,:,:,:,:,:,:,:,19121.0,22587.0,:
Annual,Total,Age in completed years,Total,Number,Total,United Kingdom,350703.0,321217.0,316934.0,319086.0,299183.0,340440.0,359665.0,344347 p,368385.0,:,:,:
Annual,Total,Age reached during the year,Total,Number,Total,Austria,51197.0,51812.0,54071.0,53491.0,56689.0,64428.0,66144.0,67212.0,68280.0,62581.0,67299.0,74271.0
Annual,Total,Age reached during the year,Total,Number,Total,Belgium,84148 b,93600.0,102657.0,94573.0,89794.0,92471.0,89690.0,88935.0,102936.0,76562.0,87272.0,84627.0
Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,:,16615 bp,19678 p,28727 p,29470 p,30570 p,31586 p,33225 p,39941 p,6649 p,26755.0,13175.0
Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,96494 b,103881.0,106196.0,111103.0,116631.0,120653.0,124997.0,130225.0,126221.0,109376.0,116769.0,122123.0
Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,4895.0,18105.0,25227.0,24038.0,17183.0,14892.0,15105.0,15340.0,17373.0,21368.0,18410.0,17958.0
Annual,Total,Age reached during the year,Total,Number,Total,Czechia,55910 b,46106.0,25894 b,28468.0,25684.0,38864.0,27316.0,26742.0,77798.0,35854.0,18630.0,31764.0
Annual,Total,Age reached during the year,Total,Number,Total,Germany,249045.0,240001.0,259328.0,311230 e,315882 e,514560 e,511185 e,470500 e,491500 e,398905 e,453812 e,448534 e
Annual,Total,Age reached during the year,Total,Number,Total,Denmark,41593.0,43663.0,43310.0,44426.0,44625.0,52654.0,56403.0,60381.0,66520.0,53822.0,44008.0,62927.0
Annual,Total,Age reached during the year,Total,Number,Total,Estonia,6214.0,6321.0,6740.0,4637.0,13003 b,13792.0,12358.0,10476.0,12801.0,12427.0,12481.0,9657.0
Annual,Total,Age reached during the year,Total,Number,Total,Greece,92404.0,124694.0,117094.0,106804 b,109351.0,106535.0,103327.0,103049.0,95020.0,77837.0,79596.0,80307.0
Annual,Total,Age reached during the year,Total,Number,Total,Spain,409034.0,446606.0,532303.0,400430.0,343875.0,327325.0,368860.0,309526.0,296248.0,248561.0,696866 b,531889.0
Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),:,:,2448647 bep,2444152 bep,2445707 bep,2635537 ep,2576348 ep,2393130 ep,2556040 ep,1995154 ep,2687717 bep,2645362 ep
Annual,Total,Age reached during the year,Total,Number,Total,Finland,12660.0,13845.0,13893.0,15486.0,16305.0,18082.0,16973.0,19141.0,17263.0,15084.0,13459.0,15635.0
Annual,Total,Age reached during the year,Total,Number,Total,France,291594.0,255922.0,239813.0,308103.0,324517.0,313622.0,215470.0,188740.0,259143.0,61006.0,154736 p,249355 p
Annual,Total,Age reached during the year,Total,Number,Total,Georgia,:,:,:,:,:,:,:,:,:,:,:,125269.0
Annual,Total,Age reached during the year,Total,Number,Total,Croatia,12699.0,12877.0,15262.0,20858.0,29651.0,36436.0,47352.0,39515.0,40148.0,34046.0,40424.0,46287.0
Annual,Total,Age reached during the year,Total,Number,Total,Hungary,15100.0,22880.0,34691.0,42213.0,43225.0,39889.0,39829.0,48178.0,49795.0,67364.0,67999.0,58408.0
Annual,Total,Age reached during the year,Total,Number,Total,Ireland,83049 b,81797.0,76560.0,71107.0,67160.0,55507.0,58788.0,50258.0,51410.0,51313.0,53673.0,61133.0
Annual,Total,Age reached during the year,Total,Number,Total,Iceland,4812.0,4758.0,4372.0,4052.0,4046.0,4159.0,3641.0,4372.0,4590.0,6009.0,4661.0,5091.0
Annual,Total,Age reached during the year,Total,Number,Total,Italy,82461.0,106216.0,125735.0,136328.0,146955.0,157065.0,155110.0,156960.0,179505.0,159884.0,158312.0,150189.0
Annual,Total,Age reached during the year,Total,Number,Total,Liechtenstein,467.0,439.0,497.0,476.0,468.0,522.0,426.0,484.0,446.0,432.0,516.0,480.0
Annual,Total,Age reached during the year,Total,Number,Total,Lithuania,53863.0,46807.0,45049.0,43874.0,50445.0,56299.0,53951.0,38638.0,35441.0,25245.0,25205.0,15270.0
Annual,Total,Age reached during the year,Total,Number,Total,Luxembourg,9264.0,10442.0,10750.0,11283.0,12644.0,13442.0,13831.0,13985.0,15593.0,14870.0,15959.0,17227.0
Annual,Total,Age reached during the year,Total,Number,Total,Latvia,30311.0,25163.0,22561.0,19017.0,20119.0,20574.0,17724.0,15814.0,14583.0,11990.0,12975.0,16680.0
Annual,Total,Age reached during the year,Total,Number,Total,Moldova,:,:,:,122955.0,127277.0,153405.0,158259.0,158788.0,153289.0,72372.0,113769.0,241448.0
Annual,Total,Age reached during the year,Total,Number,Total,Montenegro,:,:,:,:,:,:,:,:,:,28.0,:,54.0
Annual,Total,Age reached during the year,Total,Number,Total,North Macedonia,1290.0,1415.0,1041.0,839.0,1016.0,630.0,424.0,377.0,798.0,1082.0,1412.0,2374.0
Annual,Total,Age reached during the year,Total,Number,Total,Malta,3806.0,5946.0,6550.0,6200.0,8255.0,9510.0,8036.0,10019.0,8079.0,13804.0,13146.0,13166.0
Annual,Total,Age reached during the year,Total,Number,Total,Netherlands,104201.0,110431.0,112625.0,112900.0,112330.0,111477.0,108231.0,109635.0,107906.0,102502.0,110342.0,109616.0
Annual,Total,Age reached during the year,Total,Number,Total,Norway,20349.0,22693.0,26523.0,29308.0,29173.0,34694.0,31963.0,27158.0,23207.0,21447.0,34297.0,32536.0
Annual,Total,Age reached during the year,Total,Number,Total,Poland,265798.0,275603.0,276446.0,268299 p,258837 p,236441 ep,218492 ep,189794 ep,180594 ep,161666 ep,201595.0,228006.0
Annual,Total,Age reached during the year,Total,Number,Total,Portugal,43998.0,51958.0,53786.0,49572.0,40377.0,38273 e,31753 e,31600.0,28219.0,25886.0,25079.0,30954.0
Annual,Total,Age reached during the year,Total,Number,Total,Romania,195551.0,170186.0,161755.0,172871.0,194718.0,207578.0,242193 e,231661 e,233736 e,186818 e,216861.0,202311 e
Annual,Total,Age reached during the year,Total,Number,Total,Sweden,51179.0,51747.0,50715.0,51237.0,55830.0,45878.0,45620.0,46981.0,47718.0,48937.0,48284.0,50592.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovenia,12024.0,14378.0,13384.0,14336.0,14913.0,15572.0,17555.0,13527.0,15106.0,17745.0,21144.0,20956.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovakia,1863.0,2003.0,2770.0,3644.0,3870.0,3801.0,3466.0,3298.0,3384.0,2428.0,3395.0,4468.0
Annual,Total,Age reached during the year,Total,Number,Total,Türkiye,:,:,:,:,:,:,:,:,:,:,:,466914.0
Annual,Total,Age reached during the year,Total,Number,Total,Ukraine,:,:,:,:,:,:,:,:,:,19121.0,22587.0,:
Annual,Total,Age reached during the year,Total,Number,Total,United Kingdom,350703.0,321217.0,316934.0,319086.0,299183.0,340440.0,359665.0,344347 p,368385.0,:,:,:
