Time frequency,Unit of measure,n_person,geo\TIME_PERIOD,1991.0,2001.0
Annual,Person,TOTAL,CY,:,223790.0
Annual,Person,TOTAL,CZ,:,4063552.0
Annual,Person,TOTAL,DE,35246000.0,37029773.0
Annual,Person,TOTAL,DK,2274283.0,2399111.0
Annual,Person,TOTAL,EE,:,541677.0
Annual,Person,TOTAL,ES,11852075.0,7947239.0
Annual,Person,TOTAL,FI,2036732.0,2419692.0
Annual,Person,TOTAL,FR,21952304.0,23841718.0
Annual,Person,TOTAL,HU,:,3824935.0
Annual,Person,TOTAL,IE,1029074.0,1263772.0
Annual,Person,TOTAL,IS,:,32244.0
Annual,Person,TOTAL,IT,19909003.0,21766931.0
Annual,Person,TOTAL,LI,10556.0,4485945.0
Annual,Person,TOTAL,LT,:,1356826.0
Annual,Person,TOTAL,LU,144686.0,172815.0
Annual,Person,TOTAL,LV,:,866420.0
Annual,Person,TOTAL,NL,6161000.0,6855046.0
Annual,Person,TOTAL,NO,1751362.0,6992811.0
Annual,Person,TOTAL,PL,:,12604247.0
Annual,Person,TOTAL,PT,3145734.0,3536388.0
Annual,Person,TOTAL,RO,:,7365102.0
Annual,Person,TOTAL,SE,3830035.0,0.0
Annual,Person,TOTAL,SI,:,722079.0
Annual,Person,TOTAL,SK,:,1707983.0
Annual,Person,TOTAL,UK,22422344.0,24059356.0
