Time frequency,Unit of measure,Statistical information,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0
Annual,Year,Average,From 50 to 69 years,Males,European Union - 27 countries (from 2020),59.6
Annual,Year,Average,From 50 to 69 years,Males,European Union - 28 countries (2013-2020),59.4
Annual,Year,Average,From 50 to 69 years,Males,Finland,61.4
Annual,Year,Average,From 50 to 69 years,Males,France,58.6
Annual,Year,Average,From 50 to 69 years,Males,Croatia,59.9
Annual,Year,Average,From 50 to 69 years,Males,Hungary,59.8
Annual,Year,Average,From 50 to 69 years,Males,Ireland,60.9
Annual,Year,Average,From 50 to 69 years,Males,Iceland,64.9
Annual,Year,Average,From 50 to 69 years,Males,Italy,57.8
Annual,Year,Average,From 50 to 69 years,Males,Lithuania,60.6
Annual,Year,Average,From 50 to 69 years,Males,Luxembourg,58.7
Annual,Year,Average,From 50 to 69 years,Males,Latvia,60.5
Annual,Year,Average,From 50 to 69 years,Males,Malta,59.2
Annual,Year,Average,From 50 to 69 years,Males,Netherlands,62.7
Annual,Year,Average,From 50 to 69 years,Males,Norway,64.6
Annual,Year,Average,From 50 to 69 years,Males,Poland,58.5
Annual,Year,Average,From 50 to 69 years,Males,Portugal,59.6
Annual,Year,Average,From 50 to 69 years,Males,Romania,58.0
Annual,Year,Average,From 50 to 69 years,Males,Sweden,63.6
Annual,Year,Average,From 50 to 69 years,Males,Slovenia,58.3
Annual,Year,Average,From 50 to 69 years,Males,Slovakia,59.8
Annual,Year,Average,From 50 to 69 years,Males,United Kingdom,58.0
Annual,Year,Average,From 50 to 69 years,Total,Austria,58.5
Annual,Year,Average,From 50 to 69 years,Total,Belgium,60.8
Annual,Year,Average,From 50 to 69 years,Total,Bulgaria,57.5
Annual,Year,Average,From 50 to 69 years,Total,Switzerland,62.5
Annual,Year,Average,From 50 to 69 years,Total,Cyprus,61.5
Annual,Year,Average,From 50 to 69 years,Total,Czechia,58.9
Annual,Year,Average,From 50 to 69 years,Total,Germany,61.1
Annual,Year,Average,From 50 to 69 years,Total,Denmark,62.0
Annual,Year,Average,From 50 to 69 years,Total,Euro area - 19 countries  (2015-2022),59.6
Annual,Year,Average,From 50 to 69 years,Total,Estonia,59.5
Annual,Year,Average,From 50 to 69 years,Total,Greece,57.8
Annual,Year,Average,From 50 to 69 years,Total,Spain,61.8
Annual,Year,Average,From 50 to 69 years,Total,European Union - 27 countries (from 2020),59.2
Annual,Year,Average,From 50 to 69 years,Total,European Union - 28 countries (2013-2020),59.1
Annual,Year,Average,From 50 to 69 years,Total,Finland,61.4
Annual,Year,Average,From 50 to 69 years,Total,France,58.9
Annual,Year,Average,From 50 to 69 years,Total,Croatia,57.6
Annual,Year,Average,From 50 to 69 years,Total,Hungary,58.5
Annual,Year,Average,From 50 to 69 years,Total,Ireland,60.9
Annual,Year,Average,From 50 to 69 years,Total,Iceland,64.7
Annual,Year,Average,From 50 to 69 years,Total,Italy,58.0
Annual,Year,Average,From 50 to 69 years,Total,Lithuania,59.5
Annual,Year,Average,From 50 to 69 years,Total,Luxembourg,58.9
Annual,Year,Average,From 50 to 69 years,Total,Latvia,59.5
Annual,Year,Average,From 50 to 69 years,Total,Malta,59.1
Annual,Year,Average,From 50 to 69 years,Total,Netherlands,62.7
Annual,Year,Average,From 50 to 69 years,Total,Norway,64.9
Annual,Year,Average,From 50 to 69 years,Total,Poland,57.0
Annual,Year,Average,From 50 to 69 years,Total,Portugal,59.9
Annual,Year,Average,From 50 to 69 years,Total,Romania,56.9
Annual,Year,Average,From 50 to 69 years,Total,Sweden,63.6
Annual,Year,Average,From 50 to 69 years,Total,Slovenia,56.6
Annual,Year,Average,From 50 to 69 years,Total,Slovakia,57.4
Annual,Year,Average,From 50 to 69 years,Total,United Kingdom,58.3
Annual,Year,Median,From 50 to 69 years,Females,Austria,58.0
Annual,Year,Median,From 50 to 69 years,Females,Belgium,60.0
Annual,Year,Median,From 50 to 69 years,Females,Bulgaria,57.0
Annual,Year,Median,From 50 to 69 years,Females,Switzerland,64.0
Annual,Year,Median,From 50 to 69 years,Females,Cyprus,63.0
Annual,Year,Median,From 50 to 69 years,Females,Czechia,58.0
Annual,Year,Median,From 50 to 69 years,Females,Germany,60.0
Annual,Year,Median,From 50 to 69 years,Females,Denmark,61.0
Annual,Year,Median,From 50 to 69 years,Females,Euro area - 19 countries  (2015-2022),60.0
Annual,Year,Median,From 50 to 69 years,Females,Estonia,59.0
Annual,Year,Median,From 50 to 69 years,Females,Greece,58.0
Annual,Year,Median,From 50 to 69 years,Females,Spain,64.0
Annual,Year,Median,From 50 to 69 years,Females,European Union - 27 countries (from 2020),58.0
Annual,Year,Median,From 50 to 69 years,Females,European Union - 28 countries (2013-2020),59.0
Annual,Year,Median,From 50 to 69 years,Females,Finland,63.0
Annual,Year,Median,From 50 to 69 years,Females,France,60.0
Annual,Year,Median,From 50 to 69 years,Females,Croatia,55.0
Annual,Year,Median,From 50 to 69 years,Females,Hungary,57.0
Annual,Year,Median,From 50 to 69 years,Females,Ireland,62.0
Annual,Year,Median,From 50 to 69 years,Females,Iceland,65.0
Annual,Year,Median,From 50 to 69 years,Females,Italy,60.0
Annual,Year,Median,From 50 to 69 years,Females,Lithuania,60.0
Annual,Year,Median,From 50 to 69 years,Females,Luxembourg,60.0
Annual,Year,Median,From 50 to 69 years,Females,Latvia,60.0
Annual,Year,Median,From 50 to 69 years,Females,Malta,60.0
Annual,Year,Median,From 50 to 69 years,Females,Netherlands,62.0
Annual,Year,Median,From 50 to 69 years,Females,Norway,67.0
Annual,Year,Median,From 50 to 69 years,Females,Poland,55.0
Annual,Year,Median,From 50 to 69 years,Females,Portugal,61.0
Annual,Year,Median,From 50 to 69 years,Females,Romania,57.0
Annual,Year,Median,From 50 to 69 years,Females,Sweden,63.0
Annual,Year,Median,From 50 to 69 years,Females,Slovenia,55.0
Annual,Year,Median,From 50 to 69 years,Females,Slovakia,56.0
Annual,Year,Median,From 50 to 69 years,Females,United Kingdom,60.0
Annual,Year,Median,From 50 to 69 years,Males,Austria,60.0
Annual,Year,Median,From 50 to 69 years,Males,Belgium,60.0
Annual,Year,Median,From 50 to 69 years,Males,Bulgaria,60.0
Annual,Year,Median,From 50 to 69 years,Males,Switzerland,65.0
Annual,Year,Median,From 50 to 69 years,Males,Cyprus,63.0
Annual,Year,Median,From 50 to 69 years,Males,Czechia,61.0
Annual,Year,Median,From 50 to 69 years,Males,Germany,62.0
Annual,Year,Median,From 50 to 69 years,Males,Denmark,62.0
Annual,Year,Median,From 50 to 69 years,Males,Euro area - 19 countries  (2015-2022),60.0
Annual,Year,Median,From 50 to 69 years,Males,Estonia,63.0
Annual,Year,Median,From 50 to 69 years,Males,Greece,59.0
Annual,Year,Median,From 50 to 69 years,Males,Spain,63.0
Annual,Year,Median,From 50 to 69 years,Males,European Union - 27 countries (from 2020),60.0
Annual,Year,Median,From 50 to 69 years,Males,European Union - 28 countries (2013-2020),60.0
Annual,Year,Median,From 50 to 69 years,Males,Finland,63.0
Annual,Year,Median,From 50 to 69 years,Males,France,60.0
Annual,Year,Median,From 50 to 69 years,Males,Croatia,60.0
Annual,Year,Median,From 50 to 69 years,Males,Hungary,60.0
Annual,Year,Median,From 50 to 69 years,Males,Ireland,63.0
Annual,Year,Median,From 50 to 69 years,Males,Iceland,65.0
Annual,Year,Median,From 50 to 69 years,Males,Italy,58.0
Annual,Year,Median,From 50 to 69 years,Males,Lithuania,62.0
Annual,Year,Median,From 50 to 69 years,Males,Luxembourg,58.0
Annual,Year,Median,From 50 to 69 years,Males,Latvia,62.0
Annual,Year,Median,From 50 to 69 years,Males,Malta,61.0
Annual,Year,Median,From 50 to 69 years,Males,Netherlands,63.0
Annual,Year,Median,From 50 to 69 years,Males,Norway,65.0
Annual,Year,Median,From 50 to 69 years,Males,Poland,60.0
Annual,Year,Median,From 50 to 69 years,Males,Portugal,60.0
Annual,Year,Median,From 50 to 69 years,Males,Romania,59.0
Annual,Year,Median,From 50 to 69 years,Males,Sweden,63.0
Annual,Year,Median,From 50 to 69 years,Males,Slovenia,58.0
Annual,Year,Median,From 50 to 69 years,Males,Slovakia,60.0
Annual,Year,Median,From 50 to 69 years,Males,United Kingdom,60.0
Annual,Year,Median,From 50 to 69 years,Total,Austria,60.0
Annual,Year,Median,From 50 to 69 years,Total,Belgium,60.0
Annual,Year,Median,From 50 to 69 years,Total,Bulgaria,58.0
Annual,Year,Median,From 50 to 69 years,Total,Switzerland,64.0
Annual,Year,Median,From 50 to 69 years,Total,Cyprus,63.0
Annual,Year,Median,From 50 to 69 years,Total,Czechia,59.0
Annual,Year,Median,From 50 to 69 years,Total,Germany,61.0
Annual,Year,Median,From 50 to 69 years,Total,Denmark,62.0
Annual,Year,Median,From 50 to 69 years,Total,Euro area - 19 countries  (2015-2022),60.0
Annual,Year,Median,From 50 to 69 years,Total,Estonia,60.0
Annual,Year,Median,From 50 to 69 years,Total,Greece,58.0
Annual,Year,Median,From 50 to 69 years,Total,Spain,63.0
Annual,Year,Median,From 50 to 69 years,Total,European Union - 27 countries (from 2020),60.0
Annual,Year,Median,From 50 to 69 years,Total,European Union - 28 countries (2013-2020),60.0
Annual,Year,Median,From 50 to 69 years,Total,Finland,63.0
Annual,Year,Median,From 50 to 69 years,Total,France,60.0
Annual,Year,Median,From 50 to 69 years,Total,Croatia,58.0
Annual,Year,Median,From 50 to 69 years,Total,Hungary,59.0
Annual,Year,Median,From 50 to 69 years,Total,Ireland,63.0
Annual,Year,Median,From 50 to 69 years,Total,Iceland,65.0
Annual,Year,Median,From 50 to 69 years,Total,Italy,58.0
Annual,Year,Median,From 50 to 69 years,Total,Lithuania,60.0
Annual,Year,Median,From 50 to 69 years,Total,Luxembourg,59.0
Annual,Year,Median,From 50 to 69 years,Total,Latvia,60.0
Annual,Year,Median,From 50 to 69 years,Total,Malta,61.0
Annual,Year,Median,From 50 to 69 years,Total,Netherlands,63.0
Annual,Year,Median,From 50 to 69 years,Total,Norway,67.0
Annual,Year,Median,From 50 to 69 years,Total,Poland,56.0
Annual,Year,Median,From 50 to 69 years,Total,Portugal,60.0
Annual,Year,Median,From 50 to 69 years,Total,Romania,57.0
Annual,Year,Median,From 50 to 69 years,Total,Sweden,63.0
Annual,Year,Median,From 50 to 69 years,Total,Slovenia,57.0
Annual,Year,Median,From 50 to 69 years,Total,Slovakia,57.0
Annual,Year,Median,From 50 to 69 years,Total,United Kingdom,60.0
