Time frequency,Unit of measure,Income and living conditions indicator,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Estonia,20.1,29.9,39.7,43.3,47.4,47.8,52.3,49.9,47.2,47.9,57.1,52.5
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Greece,18.3,16.2,16.1,15.2,13.8,13.5,12.6,13.4,14.8,15.6,17.6,20.5
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Spain,14.8,13.2,12.5,13.2,13.2,15.9,16.3,14.4,20.6,19.6,20.6,20.3
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,European Union - 27 countries (2007-2013),16.1,15.5,15.6,15.8,16.5,16.9,18.0,:,:,:,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,European Union - 27 countries (from 2020),16.0 e,15.2,15.1,15.7,16.3,16.8,17.4,18.2,19.4 b,19.1,19.7,18.9
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,European Union - 28 countries (2013-2020),16.2,15.6,15.7,15.9,16.7,17.0,18.1,:,:,:,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Finland,23.3,19.6,19.7,17.5,15.5,15.7,16.7,17.3,15.9,14.3,18.5,16.9
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,France,10.5,10.4,9.6,8.8,9.4,8.9,8.9,10.1,10.4 b,12.3,14.0 b,13.5
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Croatia,29.1,26.6,24.6,28.7,29.5,31.7,31.3,33.6,34.6,37.0,36.5,38.8 b
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Hungary,6.8,5.4,4.9,4.8,7.3,9.7,11.3,13.1,14.7,17.1,14.6,18.5
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Ireland,13.0,10.9,13.2,14.2,17.7,16.6,24.6,11.6 b,17.5 b,20.7,27.3,18.3
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Iceland,4.5,4.0,7.4,7.1,8.3,10.0,3.9,4.9,:,:,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Italy,18.4,17.1,16.6,17.0,17.2,17.4,16.9,18.7,19.0,17.5,20.5,18.6
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Lithuania,21.2,23.9,24.3,29.7,33.2,39.5,43.6,38.8,42.3,42.0,46.9,43.2
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Luxembourg,8.0,6.7,6.8,9.1,10.3 b,13.2,12.6,11.8,8.0 b,8.5 b,13.6 b,11.5
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Latvia,16.4,21.0,33.2,40.4,42.9,45.1,49.8,51.0,44.3,49.8,45.6,44.8
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Montenegro,:,16.7,14.4,16.6,16.5,15.8,15.5,14.6,15.1,15.1,15.0,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,North Macedonia,22.1,16.8,14.1,15.6,14.9,15.4,14.3,14.1,13.1,:,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Malta,15.9,14.2,16.9,21.6,25.2,26.4,27.5,29.3,27.8,30.1,32.8,30.2
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Netherlands,5.4,6.1,6.8,6.1,9.3 b,10.2,10.8,12.1,11.8,17.2,18.8,12.9
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Norway,13.7,15.1,14.7,14.1,14.0,12.2,11.0,11.9,12.9,10.1 b,10.3,8.8 b
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Poland,16.8,14.6,13.8,13.9,15.2,15.8,18.3,20.6,21.8,20.9,18.0,18.9
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Portugal,18.4,15.2,16.9,19.0,19.9,18.3,19.7,18.9,19.5,22.5,18.7,19.3
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Romania,18.2,18.2,19.7,23.5,23.7,24.5,27.5,30.4,29.1,25.6,22.5,18.5
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Serbia,:,22.3,22.5,23.0,23.5,24.7,24.3,23.2,24.1,24.7,24.6,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Sweden,20.9,20.5,17.9,20.6,21.7,20.0,19.2,18.7,19.7,16.9,18.8,16.5
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Slovenia,25.0,25.5,21.6,22.2,22.5,20.9,22.3,23.0,23.9,20.6,22.2,22.5
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Slovakia,9.0,7.6,7.5,7.0,6.5,8.3,7.1,10.5,10.9,12.6,9.5,11.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,Türkiye,22.0,19.3,19.6,19.6,18.1,18.5,17.5,16.2,18.6,13.0,14.8,17.4
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Females,United Kingdom,17.7,18.3,20.0,17.8,19.4,18.9 b,22.7,:,:,:,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Albania,:,:,:,:,:,13.0,12.5,12.9,13.0,13.1,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Austria,11.5,12.5,11.4,10.7,10.0,9.1,9.2,9.6,10.5,10.9,11.5,13.2
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Belgium,19.2,17.0,15.5,14.5,15.1,14.5,15.4,14.6 b,17.4,13.4,17.1,15.1
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Bulgaria,19.3,21.0,18.0,22.1,15.9 b,22.5,20.5,27.2,29.7,26.6,23.7,17.7
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Switzerland,24.9,25.6,21.7,24.0,22.2,23.1,21.0,24.3,21.8,21.0,23.1,23.8
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Cyprus,24.2,16.2,17.6,13.6,15.8,18.3,19.2,22.5,20.3,17.0,19.1,22.3
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Czechia,2.7,2.7,4.3,3.5,3.6,4.8,6.7,9.4,8.3,5.2,8.3,8.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Germany,13.3,12.7,14.0,14.5,14.9,14.9,16.5,16.0,18.0 b,17.5,15.9,15.7
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Denmark,11.1,8.1,9.1,8.0,7.2,8.9,9.2,8.1,9.6 b,10.0,12.5,9.9
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Euro area - 19 countries  (2015-2022),12.4,11.3,11.0,11.4,12.1,12.3,13.2,13.3,14.1 b,13.9,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Euro area – 20 countries (from 2023),:,:,11.1,11.5,12.2,12.4,13.3,13.4,14.2 b,14.0,14.6,14.5
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Estonia,11.2,13.3,18.5,21.0,26.1,28.4,34.9,31.9,30.5,27.0,43.6,36.2
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Greece,15.9,13.7,13.3,11.9,10.6,11.1,10.4,10.9,10.9,11.0,13.6,13.9
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Spain,14.7,12.1,10.0,11.1,12.7,13.5,14.7,14.5,16.4,14.8,16.3,15.8
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,European Union - 27 countries (2007-2013),12.2,11.3,11.1,11.6,11.9,12.4,13.5,:,:,:,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,European Union - 27 countries (from 2020),11.9 e,10.9,10.7,11.2,11.6,12.1,13.0,13.4,14.2 b,13.8,14.2,13.9
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,European Union - 28 countries (2013-2020),12.2,11.4,11.2,11.7,12.0,12.5,13.6,:,:,:,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Finland,11.9,11.4,11.0,9.1,8.1,7.9,8.7,10.8,11.3,10.7,10.9,9.3
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,France,8.0,7.4,7.2,7.0,6.7,6.6,7.5,9.1,8.2 b,9.2,10.5 b,10.9
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Croatia,20.3,18.6,20.8,22.8,21.9,24.1,23.5,24.9,25.8,25.9,26.6,29.3 b
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Hungary,5.4,3.3,3.8,4.1,5.9,7.9,7.4,7.8,15.3,12.8,11.5,10.1
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Ireland,12.6,10.3,10.3,12.6,15.5,12.9,15.1,9.3 b,12.6 b,14.9,20.3,15.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Iceland,4.6,3.9,6.3,4.5,3.7,6.7,5.8,3.8,:,:,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Italy,13.1,12.3,11.0,11.8,12.8,13.3,13.1,13.0,13.9,13.3,14.4,14.7
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Lithuania,13.8,10.9,11.9,15.7,16.7,21.4,25.8,17.7,23.9,24.3,26.3,23.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Luxembourg,3.6,5.6,5.7,6.6,6.9 b,10.1,7.2,6.8,6.6 b,9.7 b,8.6 b,9.5
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Latvia,8.5,10.4,15.9,22.6,28.4,29.1,37.5,41.8,34.4,34.6,30.2,30.4
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Montenegro,:,14.2,11.3,12.6,15.4,14.7,15.1,15.9,15.9,12.1,13.4,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,North Macedonia,22.5,16.1,14.9,13.2,14.1,17.1,15.0,15.6,13.8,:,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Malta,19.0,15.9,17.2,21.0,22.5,23.1,22.9,25.9,24.7,25.9,26.8,27.7
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Netherlands,5.5,4.8,4.9,5.0,8.5 b,9.8,10.9,11.4,11.3,15.5,15.2,12.4
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Norway,3.8,3.4,3.9,3.0,3.3,3.5,4.0,3.7,3.5,3.7 b,4.7,5.6 b
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Poland,9.4,8.5,8.4,9.2,9.1,10.7,11.2,12.6,12.7,12.3,10.8,13.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Portugal,16.1,13.7,12.6,14.2,16.0,15.2,14.9,15.1,14.8,16.8,14.7,14.1
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Romania,8.7,9.1,9.7,13.3,12.2,13.2,15.9,17.3,17.6,16.7,14.9,11.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Serbia,:,15.5,17.7,17.7,16.5,16.9,16.9,18.3,19.2,20.2,20.0,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Sweden,9.8,8.5,8.5,10.4,11.1,10.8,9.3,11.2,10.2,8.3,12.5,11.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Slovenia,11.7,13.2,10.8,10.2,10.8,10.4,12.9,12.9,13.6,12.7,14.6,15.1
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Slovakia,5.9,3.3,4.1,3.4,4.3,4.9,5.2,6.1,7.3,6.8,6.1,7.6
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,Türkiye,18.6,17.2,18.9,17.6,14.8,14.1,14.0,13.2,16.1,10.4,12.2,15.2
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Males,United Kingdom,14.9,14.6,14.9,15.0,14.4,14.7 b,17.7,:,:,:,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Albania,:,:,:,:,:,13.4,14.0,13.9,13.8,14.0,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Austria,15.1,15.4,14.2,13.2,13.2,12.9,13.9,13.9,14.1,14.8,14.9,17.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Belgium,19.4,18.4,16.1,15.2,15.3,15.8,16.6,15.7 b,18.7,14.8,17.9,15.8
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Bulgaria,28.2,27.9,22.6,31.7,24.3 b,32.0,29.2,34.6,38.3,34.6,35.6,22.2
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Switzerland,29.9,29.5,25.7,26.5,25.2,25.9,23.1,27.1,24.8,24.6,26.3,26.6
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Cyprus,29.3,20.1,22.4,17.3,19.5,21.6,21.4,24.6,21.9,19.5,20.8,23.6
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Czechia,6.0,5.8,7.0,7.4,8.1,10.7,14.2,16.6,14.7,10.5,16.0,14.3
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Germany,15.0,14.9,16.3,16.5,17.6,17.0,18.2,18.0,20.0 b,19.4,18.3,18.4
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Denmark,12.8,10.1,9.8,9.1,8.5,8.8,8.9,9.0,10.9 b,11.6,13.2,11.1
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Euro area - 19 countries  (2015-2022),14.1,13.3,13.3,13.5,14.2,14.3,14.9,15.2,16.3 b,16.3,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Euro area – 20 countries (from 2023),:,:,13.3,13.6,14.3,14.5,15.1,15.4,16.5 b,16.5,17.3,17.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Estonia,17.2,24.4,32.6,35.8,40.2,41.2,46.3,43.7,41.4,40.6,52.3,46.8
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Greece,17.2,15.1,14.9,13.7,12.4,12.4,11.6,12.2,13.0,13.5,15.8,17.6
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Spain,14.8,12.7,11.4,12.3,13.0,14.8,15.6,14.5,18.8,17.5,18.7,18.3
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,European Union - 27 countries (2007-2013),14.4,13.6,13.6,14.0,14.5,14.9,16.0,:,:,:,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,European Union - 27 countries (from 2020),14.2 e,13.3,13.2,13.7,14.3,14.7,15.5,16.1,17.1 b,16.8,17.3,16.7
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,European Union - 28 countries (2013-2020),14.5,13.7,13.7,14.1,14.6,15.0,16.1,:,:,:,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Finland,18.4,16.1,16.0,13.8,12.3,12.3,13.2,14.4,13.9,12.7,15.1,13.6
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,France,9.4,9.1,8.6,8.0,8.2,7.9,8.3,9.7,9.5 b,10.9,12.5 b,12.4
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Croatia,25.6,23.4,23.1,26.3,26.5,28.6,28.1,30.1,31.0,32.4,32.4,34.8 b
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Hungary,6.3,4.6,4.5,4.6,6.8,9.1,9.8,11.1,15.0,15.4,13.4,15.2
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Ireland,12.8,10.6,11.8,13.5,16.6,14.8,20.2,10.5 b,15.2 b,17.9,24.1,16.7
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Iceland,4.5,4.0,6.9,5.8,6.1,8.4,4.8,4.4,:,:,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Italy,16.1,15.0,14.2,14.7,15.3,15.6,15.3,16.2,16.8,15.6,17.8,16.9
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Lithuania,18.7,19.4,20.1,25.0,27.7,33.4,37.7,31.6,36.0,35.9,39.5,36.1
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Luxembourg,6.1,6.2,6.3,7.9,8.7 b,11.7,9.9,9.3,7.3 b,9.1 b,11.0 b,10.5
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Latvia,13.9,17.6,27.6,34.6,38.1,39.9,45.7,47.9,40.9,44.6,40.5,40.1
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Montenegro,:,15.6,13.1,14.9,16.1,15.4,15.3,15.1,15.5,13.8,14.3,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,North Macedonia,22.3,16.5,14.5,14.5,14.5,16.1,14.6,14.8,13.4,:,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Malta,17.3,14.9,17.0,21.3,23.9,24.9,25.4,27.7,26.3,28.1,30.0,29.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Netherlands,5.5,5.5,5.9,5.6,9.0 b,10.0,10.8,11.8,11.6,16.4,17.1,12.6
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Norway,9.2,9.7,9.8,8.9,9.0,8.3,7.8,8.1,8.5,7.1 b,7.7,7.3 b
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Poland,14.0,12.3,11.7,12.1,12.8,13.8,15.5,17.4,18.2,17.5,15.2,16.5
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Portugal,17.4,14.6,15.1,17.0,18.3,17.0,17.7,17.3,17.5,20.1,17.0,17.1
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Romania,14.4,14.5,15.7,19.4,19.1,20.0,22.8,25.1,24.5,22.0,19.5,15.4
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Serbia,:,19.4,20.4,20.8,20.5,21.3,21.1,21.1,22.0,22.7,22.6,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Sweden,15.9,15.0,13.6,15.9,16.8,15.8,14.6,15.2,15.3,12.9,15.9,13.9
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Slovenia,19.6,20.5,17.1,17.2,17.6,16.4,18.3,18.6,19.4,17.1,18.9,19.2
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Slovakia,7.8,6.0,6.2,5.6,5.7,6.9,6.4,8.7,9.5,10.3,8.1,9.6
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,Türkiye,20.5,18.4,19.3,18.7,16.7,16.6,16.0,14.9,17.5,11.9,13.6,16.4
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),65 years or over,Total,United Kingdom,16.4,16.6,17.7,16.5,17.1,16.9 b,20.4,:,:,:,:,:
