Time frequency,Interest rate,Geopolitical entity (reporting)\Time,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,EMU convergence criterion bond yields,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9.51,8.6,7.97,7.18,7.7,8.52,8.16,7.91,6.5,7.15,7.23,6.32,5.6,4.73,4.66,5.52,4.86,4.7,3.32,2.84,2.41,3.3,4.46,4.61,4.23,3.17,2.92,1.82,1.85,1.34,0.37,0.25,0.54,0.56,-0.12,-0.41,-0.36,1.73,2.97,2.76
Annual,EMU convergence criterion bond yields,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7.57,5.41,4.9,4.86,3.88,4.13,5.28,6.43,12.36,10.34,5.91,4.57,3.34,2.51,0.96,0.53,0.83,0.9,0.34,-0.06,0.0,2.27,3.83,3.29
Annual,EMU convergence criterion bond yields,Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.19,5.82,5.04,4.69,4.56,4.32,4.72,4.81,4.54,4.19,4.49,4.13,3.36,2.61,1.49,0.89,1.28,1.39,0.67,0.48,0.5,2.41,3.71,3.37
Annual,EMU convergence criterion bond yields,Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.19,6.41,6.42,7.21,8.92,8.74,8.1,6.36,6.86,6.9,6.15,5.58,4.63,4.63,5.4,4.96,4.89,4.12,4.1,3.37,3.78,4.29,4.23,3.69,2.99,2.99,1.93,1.96,1.45,0.69,0.29,0.52,0.58,-0.07,-0.38,-0.33,1.38,2.79,2.62
Annual,EMU convergence criterion bond yields,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,10.68,7.36,5.78,6.9,5.22,5.23,5.48,6.07,6.12,5.78,5.96,5.0,4.03,3.52,2.7,3.04,3.42,3.2,2.35,1.5,1.95,6.05,5.8,5.53
Annual,EMU convergence criterion bond yields,Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,15.76,15.12,14.15,14.94,15.4,14.54,13.83,9.77,10.48,11.47,8.56,6.36,4.88,4.78,5.59,5.16,5.01,4.18,4.14,3.44,3.91,4.42,4.52,4.21,5.4,10.24,10.55,6.29,3.75,2.42,3.17,3.05,1.84,0.76,0.41,0.3,2.17,3.24,2.96
Annual,EMU convergence criterion bond yields,Romania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.99,7.23,7.13,7.7,9.69,7.34,7.29,6.68,5.41,4.49,3.47,3.32,3.96,4.69,4.54,3.89,3.62,7.48,6.71,6.32
Annual,EMU convergence criterion bond yields,Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11.69,11.35,11.18,13.15,10.7,10.03,8.57,9.7,10.24,8.03,6.62,4.99,4.98,5.37,5.11,5.3,4.64,4.43,3.38,3.7,4.17,3.89,3.25,2.89,2.61,1.59,2.12,1.72,0.72,0.54,0.65,0.65,0.04,-0.04,0.27,1.53,2.51,2.2
Annual,EMU convergence criterion bond yields,Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.71,6.4,4.68,3.81,3.85,4.53,4.61,4.38,3.83,4.97,5.81,5.81,3.27,1.71,1.15,0.96,0.93,0.28,0.08,0.07,1.89,3.4,3.11
Annual,EMU convergence criterion bond yields,Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.04,6.93,4.99,5.03,3.52,4.41,4.49,4.72,4.71,3.87,4.45,4.55,3.19,2.07,0.89,0.54,0.92,0.89,0.25,-0.04,-0.08,2.07,3.65,3.47
Annual,EMU convergence criterion bond yields,United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11.13,10.97,10.13,9.57,9.67,10.19,11.8,10.11,9.06,7.55,8.15,8.32,7.94,7.13,5.6,5.01,5.33,5.01,4.91,4.58,4.93,4.46,4.37,5.06,4.5,3.36,3.36,2.87,1.74,2.03,2.14,1.79,1.22,1.18,1.41,0.88,0.32,0.74,2.38,4.01,4.12
