Time frequency,Plantation density,Unit of measure,Age class,Fruit species and groups of varieties,Geopolitical entity (reporting)\Time,2012.0,2017.0
Annual,Less than 1 000 trees per hectare,Hectare,From 10 to 19 years,Red table grape vines,France,10.92,:
Annual,Less than 1 000 trees per hectare,Hectare,From 10 to 19 years,Normal red table grape vines,France,10.92,:
Annual,Less than 1 000 trees per hectare,Hectare,From 3 to 9 years,Table grape vines,Bulgaria,:,: @C
Annual,Less than 1 000 trees per hectare,Hectare,From 3 to 9 years,Table grape vines,Spain,733.02,1925.2
Annual,Less than 1 000 trees per hectare,Hectare,From 3 to 9 years,Table grape vines,European Union - 27 countries (from 2020),:,: @C
Annual,Less than 1 000 trees per hectare,Hectare,From 3 to 9 years,Table grape vines,European Union - 28 countries (2013-2020),1871.68,: @C
Annual,Less than 1 000 trees per hectare,Hectare,From 3 to 9 years,Table grape vines,Italy,1068.99,422.48
Annual,Less than 1 000 trees per hectare,Hectare,From 3 to 9 years,Table grape vines,Romania,69.67,62.9
Annual,Less than 1 000 trees per hectare,Hectare,20 years or over,Table grape vines,Bulgaria,:,: @C
Annual,Less than 1 000 trees per hectare,Hectare,20 years or over,Table grape vines,Spain,86.6,470.55
Annual,Less than 1 000 trees per hectare,Hectare,20 years or over,Table grape vines,European Union - 27 countries (from 2020),:,: @C
Annual,Less than 1 000 trees per hectare,Hectare,20 years or over,Table grape vines,European Union - 28 countries (2013-2020),1871.76,: @C
Annual,Less than 1 000 trees per hectare,Hectare,20 years or over,Table grape vines,France,0.83,:
Annual,Less than 1 000 trees per hectare,Hectare,20 years or over,Table grape vines,Italy,500.63,946.19
Annual,Less than 1 000 trees per hectare,Hectare,20 years or over,Table grape vines,Romania,1283.71,29.69
Annual,Less than 1 000 trees per hectare,Hectare,20 years or over,Red table grape vines,France,0.83,:
Annual,Less than 1 000 trees per hectare,Hectare,20 years or over,Normal red table grape vines,France,0.83,:
Annual,Less than 1 000 trees per hectare,Hectare,Less than 3 years,Table grape vines,Bulgaria,:,: @C
Annual,Less than 1 000 trees per hectare,Hectare,Less than 3 years,Table grape vines,Spain,301.0,1036.3
Annual,Less than 1 000 trees per hectare,Hectare,Less than 3 years,Table grape vines,European Union - 27 countries (from 2020),:,: @C
Annual,Less than 1 000 trees per hectare,Hectare,Less than 3 years,Table grape vines,European Union - 28 countries (2013-2020),470.09,: @C
Annual,Less than 1 000 trees per hectare,Hectare,Less than 3 years,Table grape vines,France,2.98,:
Annual,Less than 1 000 trees per hectare,Hectare,Less than 3 years,Table grape vines,Italy,133.39,244.56
Annual,Less than 1 000 trees per hectare,Hectare,Less than 3 years,Table grape vines,Romania,32.72,:
Annual,Less than 1 000 trees per hectare,Hectare,Less than 3 years,White table grape vines,France,2.98,:
Annual,Less than 1 000 trees per hectare,Hectare,Less than 3 years,Normal white table grape vines,France,1.0,:
Annual,Less than 1 000 trees per hectare,Hectare,Less than 3 years,Seedless white table grape vines,France,1.98,:
Annual,Total,Hectare,Total,Table grape vines,Bulgaria,0.0,2738.02
Annual,Total,Hectare,Total,Table grape vines,Czechia,0.0,:
Annual,Total,Hectare,Total,Table grape vines,Germany,0.0,:
Annual,Total,Hectare,Total,Table grape vines,Denmark,0.0,:
Annual,Total,Hectare,Total,Table grape vines,Estonia,0.0,:
Annual,Total,Hectare,Total,Table grape vines,Spain,11391.23,12547.64
Annual,Total,Hectare,Total,Table grape vines,European Union - 27 countries (from 2020),:,60351.4
Annual,Total,Hectare,Total,Table grape vines,European Union - 28 countries (2013-2020),57142.73,60351.4
Annual,Total,Hectare,Total,Table grape vines,Finland,0.0,:
Annual,Total,Hectare,Total,Table grape vines,France,4869.17,:
Annual,Total,Hectare,Total,Table grape vines,Ireland,0.0,:
Annual,Total,Hectare,Total,Table grape vines,Italy,35663.25,39714.54
Annual,Total,Hectare,Total,Table grape vines,Lithuania,0.0,:
Annual,Total,Hectare,Total,Table grape vines,Luxembourg,0.0,:
Annual,Total,Hectare,Total,Table grape vines,Latvia,0.0,:
Annual,Total,Hectare,Total,Table grape vines,Romania,5219.08,5351.19
Annual,Total,Hectare,Total,Table grape vines,Sweden,0.0,:
Annual,Total,Hectare,Total,Table grape vines,United Kingdom,0.0,:
Annual,Total,Hectare,Total,Red table grape vines,Czechia,0.0,:
Annual,Total,Hectare,Total,Red table grape vines,Germany,0.0,:
Annual,Total,Hectare,Total,Red table grape vines,Denmark,0.0,:
Annual,Total,Hectare,Total,Red table grape vines,Estonia,0.0,:
Annual,Total,Hectare,Total,Red table grape vines,Finland,0.0,:
Annual,Total,Hectare,Total,Red table grape vines,France,3492.24,:
Annual,Total,Hectare,Total,Red table grape vines,Ireland,0.0,:
Annual,Total,Hectare,Total,Red table grape vines,Lithuania,0.0,:
Annual,Total,Hectare,Total,Red table grape vines,Luxembourg,0.0,:
Annual,Total,Hectare,Total,Red table grape vines,Latvia,0.0,:
Annual,Total,Hectare,Total,Red table grape vines,Sweden,0.0,:
Annual,Total,Hectare,Total,Red table grape vines,United Kingdom,0.0,:
Annual,Total,Hectare,Total,Normal red table grape vines,France,3480.15,:
Annual,Total,Hectare,Total,Seedless red table grape vines,France,12.09,:
Annual,Total,Hectare,Total,White table grape vines,Czechia,0.0,:
Annual,Total,Hectare,Total,White table grape vines,Germany,0.0,:
Annual,Total,Hectare,Total,White table grape vines,Denmark,0.0,:
Annual,Total,Hectare,Total,White table grape vines,Estonia,0.0,:
Annual,Total,Hectare,Total,White table grape vines,Finland,0.0,:
Annual,Total,Hectare,Total,White table grape vines,France,1372.92,:
Annual,Total,Hectare,Total,White table grape vines,Ireland,0.0,:
Annual,Total,Hectare,Total,White table grape vines,Lithuania,0.0,:
Annual,Total,Hectare,Total,White table grape vines,Luxembourg,0.0,:
