Time frequency,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2003.0
Annual,From 35 to 44 years,Males,Number,Portugal,91.0
Annual,From 35 to 44 years,Males,Number,Sweden,54.0
Annual,From 35 to 44 years,Males,Number,Slovenia,44.0
Annual,From 35 to 44 years,Males,Number,Slovakia,33.0
Annual,From 35 to 44 years,Males,Number,United Kingdom,35.0
Annual,From 35 to 44 years,Total,Number,Austria,86.0
Annual,From 35 to 44 years,Total,Number,Belgium,68.0
Annual,From 35 to 44 years,Total,Number,Bulgaria,74.0
Annual,From 35 to 44 years,Total,Number,Switzerland,52.0
Annual,From 35 to 44 years,Total,Number,Cyprus,47.0
Annual,From 35 to 44 years,Total,Number,Czechia,49.0
Annual,From 35 to 44 years,Total,Number,Germany,74.0
Annual,From 35 to 44 years,Total,Number,Denmark,60.0
Annual,From 35 to 44 years,Total,Number,Estonia,46.0
Annual,From 35 to 44 years,Total,Number,Greece,76.0
Annual,From 35 to 44 years,Total,Number,Spain,90.0
Annual,From 35 to 44 years,Total,Number,European Union - 25 countries (2004-2006),64.0
Annual,From 35 to 44 years,Total,Number,Finland,50.0
Annual,From 35 to 44 years,Total,Number,France,77.0
Annual,From 35 to 44 years,Total,Number,Hungary,132.0
Annual,From 35 to 44 years,Total,Number,Ireland,38.0
Annual,From 35 to 44 years,Total,Number,Italy,58.0
Annual,From 35 to 44 years,Total,Number,Lithuania,49.0
Annual,From 35 to 44 years,Total,Number,Luxembourg,44.0
Annual,From 35 to 44 years,Total,Number,Latvia,43.0
Annual,From 35 to 44 years,Total,Number,Malta,87.0
Annual,From 35 to 44 years,Total,Number,Netherlands,77.0
Annual,From 35 to 44 years,Total,Number,Norway,32.0
Annual,From 35 to 44 years,Total,Number,Poland,41.0
Annual,From 35 to 44 years,Total,Number,Portugal,97.0
Annual,From 35 to 44 years,Total,Number,Sweden,53.0
Annual,From 35 to 44 years,Total,Number,Slovenia,44.0
Annual,From 35 to 44 years,Total,Number,Slovakia,36.0
Annual,From 35 to 44 years,Total,Number,United Kingdom,35.0
Annual,From 45 to 54 years,Females,Number,Austria,78.0
Annual,From 45 to 54 years,Females,Number,Belgium,56.0
Annual,From 45 to 54 years,Females,Number,Bulgaria,64.9 u
Annual,From 45 to 54 years,Females,Number,Switzerland,47.0
Annual,From 45 to 54 years,Females,Number,Cyprus,43.0
Annual,From 45 to 54 years,Females,Number,Czechia,42.0
Annual,From 45 to 54 years,Females,Number,Germany,62.0
Annual,From 45 to 54 years,Females,Number,Denmark,59.0
Annual,From 45 to 54 years,Females,Number,Estonia,38.0
Annual,From 45 to 54 years,Females,Number,Greece,72.0
Annual,From 45 to 54 years,Females,Number,Spain,92.0
Annual,From 45 to 54 years,Females,Number,European Union - 25 countries (2004-2006),57.0
Annual,From 45 to 54 years,Females,Number,Finland,50.0
Annual,From 45 to 54 years,Females,Number,France,69.0
Annual,From 45 to 54 years,Females,Number,Hungary,96.0
Annual,From 45 to 54 years,Females,Number,Ireland,37.0
Annual,From 45 to 54 years,Females,Number,Italy,46.0
Annual,From 45 to 54 years,Females,Number,Lithuania,53.0
Annual,From 45 to 54 years,Females,Number,Luxembourg,40.0
Annual,From 45 to 54 years,Females,Number,Latvia,75.0
Annual,From 45 to 54 years,Females,Number,Netherlands,60.0
Annual,From 45 to 54 years,Females,Number,Norway,31.0
Annual,From 45 to 54 years,Females,Number,Poland,34.0
Annual,From 45 to 54 years,Females,Number,Portugal,89.0
Annual,From 45 to 54 years,Females,Number,Sweden,46.0
Annual,From 45 to 54 years,Females,Number,Slovenia,36.0
Annual,From 45 to 54 years,Females,Number,Slovakia,29.0
Annual,From 45 to 54 years,Females,Number,United Kingdom,32.0
Annual,From 45 to 54 years,Males,Number,Austria,76.0
Annual,From 45 to 54 years,Males,Number,Belgium,57.0
Annual,From 45 to 54 years,Males,Number,Switzerland,48.0
Annual,From 45 to 54 years,Males,Number,Cyprus,43.0
Annual,From 45 to 54 years,Males,Number,Czechia,34.0
Annual,From 45 to 54 years,Males,Number,Germany,53.0
Annual,From 45 to 54 years,Males,Number,Denmark,58.0
