Time frequency,Survey answer - Yes/No,Sex,Geopolitical entity (reporting)\Time,2002.0
Annual,No response,Females,United Kingdom,: u
Annual,No response,Males,Greece,5.1 u
Annual,No response,Males,European Union - 15 countries (1995-2004),1.1
Annual,No response,Males,European Union - 25 countries (2004-2006),1.1
Annual,No response,Males,France,1.3
Annual,No response,Males,Hungary,34.6
Annual,No response,Males,Ireland,74.5
Annual,No response,Males,Luxembourg,: u
Annual,No response,Males,Malta,: u
Annual,No response,Males,Norway,29.0
Annual,No response,Males,Portugal,: u
Annual,No response,Males,Sweden,: u
Annual,No response,Males,United Kingdom,: u
Annual,No response,Total,Greece,5.1
Annual,No response,Total,European Union - 15 countries (1995-2004),1.1
Annual,No response,Total,European Union - 25 countries (2004-2006),1.1
Annual,No response,Total,France,1.6
Annual,No response,Total,Hungary,34.0
Annual,No response,Total,Ireland,73.8
Annual,No response,Total,Luxembourg,: u
Annual,No response,Total,Malta,: u
Annual,No response,Total,Norway,22.8
Annual,No response,Total,Portugal,: u
Annual,No response,Total,Sweden,: u
Annual,No response,Total,United Kingdom,: u
Annual,Unknown,Females,Austria,: u
Annual,Unknown,Females,Czechia,: u
Annual,Unknown,Females,Germany,7.1
Annual,Unknown,Females,Denmark,: u
Annual,Unknown,Females,Spain,7.3
Annual,Unknown,Females,European Union - 15 countries (1995-2004),0.7
Annual,Unknown,Females,European Union - 25 countries (2004-2006),1.8
Annual,Unknown,Females,Finland,: u
Annual,Unknown,Females,Hungary,: u
Annual,Unknown,Females,Ireland,19.3 u
Annual,Unknown,Females,Italy,: u
Annual,Unknown,Females,Lithuania,: u
Annual,Unknown,Females,Luxembourg,: u
Annual,Unknown,Females,Netherlands,: u
Annual,Unknown,Females,Portugal,: u
Annual,Unknown,Females,Sweden,2.4
Annual,Unknown,Females,Slovakia,: u
Annual,Unknown,Males,Austria,: u
Annual,Unknown,Males,Cyprus,: u
Annual,Unknown,Males,Czechia,: u
Annual,Unknown,Males,Germany,6.8
Annual,Unknown,Males,Spain,5.9
Annual,Unknown,Males,European Union - 15 countries (1995-2004),0.7
Annual,Unknown,Males,European Union - 25 countries (2004-2006),1.9
Annual,Unknown,Males,Finland,: u
Annual,Unknown,Males,France,: u
Annual,Unknown,Males,Hungary,: u
Annual,Unknown,Males,Ireland,17.2
Annual,Unknown,Males,Italy,: u
Annual,Unknown,Males,Lithuania,: u
Annual,Unknown,Males,Luxembourg,: u
Annual,Unknown,Males,Netherlands,: u
Annual,Unknown,Males,Portugal,: u
Annual,Unknown,Males,Sweden,2.5
Annual,Unknown,Males,Slovakia,: u
Annual,Unknown,Total,Austria,: u
Annual,Unknown,Total,Cyprus,: u
Annual,Unknown,Total,Czechia,0.3
Annual,Unknown,Total,Germany,6.9
Annual,Unknown,Total,Denmark,: u
Annual,Unknown,Total,Spain,6.4
Annual,Unknown,Total,European Union - 15 countries (1995-2004),0.7
Annual,Unknown,Total,European Union - 25 countries (2004-2006),1.8
Annual,Unknown,Total,Finland,: u
Annual,Unknown,Total,France,: u
Annual,Unknown,Total,Hungary,3.0 u
Annual,Unknown,Total,Ireland,18.0
Annual,Unknown,Total,Italy,0.8 u
Annual,Unknown,Total,Lithuania,: u
Annual,Unknown,Total,Luxembourg,: u
Annual,Unknown,Total,Netherlands,: u
Annual,Unknown,Total,Portugal,: u
Annual,Unknown,Total,Sweden,2.4
Annual,Unknown,Total,Slovakia,: u
Annual,Yes,Females,Austria,6.9
Annual,Yes,Females,Belgium,49.2
Annual,Yes,Females,Czechia,1.3
Annual,Yes,Females,Germany,13.7
Annual,Yes,Females,Denmark,18.5
Annual,Yes,Females,Greece,7.3 u
Annual,Yes,Females,Spain,8.1
Annual,Yes,Females,European Union - 15 countries (1995-2004),17.1
Annual,Yes,Females,European Union - 25 countries (2004-2006),16.2
Annual,Yes,Females,Finland,19.1
Annual,Yes,Females,France,20.8
Annual,Yes,Females,Hungary,38.3
Annual,Yes,Females,Ireland,: u
Annual,Yes,Females,Italy,15.9
Annual,Yes,Females,Lithuania,: u
Annual,Yes,Females,Luxembourg,: u
Annual,Yes,Females,Malta,: u
Annual,Yes,Females,Netherlands,41.8
Annual,Yes,Females,Norway,48.6
Annual,Yes,Females,Portugal,4.9 u
Annual,Yes,Females,Romania,6.3
Annual,Yes,Females,Sweden,11.9
Annual,Yes,Females,Slovenia,25.3
Annual,Yes,Females,Slovakia,14.7
Annual,Yes,Females,United Kingdom,8.6
Annual,Yes,Males,Austria,8.4
Annual,Yes,Males,Belgium,43.9
Annual,Yes,Males,Cyprus,6.3 u
Annual,Yes,Males,Czechia,0.8
Annual,Yes,Males,Germany,15.8
Annual,Yes,Males,Denmark,9.1
Annual,Yes,Males,Estonia,: u
Annual,Yes,Males,Greece,11.2
Annual,Yes,Males,Spain,10.7
Annual,Yes,Males,European Union - 15 countries (1995-2004),17.0
Annual,Yes,Males,European Union - 25 countries (2004-2006),16.4
Annual,Yes,Males,Finland,13.6
Annual,Yes,Males,France,22.8
Annual,Yes,Males,Hungary,36.0
Annual,Yes,Males,Ireland,: u
Annual,Yes,Males,Italy,14.0
Annual,Yes,Males,Lithuania,: u
Annual,Yes,Males,Luxembourg,: u
Annual,Yes,Males,Malta,: u
Annual,Yes,Males,Netherlands,45.5
Annual,Yes,Males,Norway,36.3
Annual,Yes,Males,Portugal,8.4
Annual,Yes,Males,Romania,10.2
Annual,Yes,Males,Sweden,10.1
Annual,Yes,Males,Slovenia,23.4
Annual,Yes,Males,Slovakia,13.2
Annual,Yes,Males,United Kingdom,6.0
Annual,Yes,Total,Austria,7.8
Annual,Yes,Total,Belgium,46.0
Annual,Yes,Total,Cyprus,4.1 u
Annual,Yes,Total,Czechia,1.0
Annual,Yes,Total,Germany,14.9
Annual,Yes,Total,Denmark,14.0
Annual,Yes,Total,Estonia,: u
Annual,Yes,Total,Greece,9.6
Annual,Yes,Total,Spain,9.7
Annual,Yes,Total,European Union - 15 countries (1995-2004),17.1
Annual,Yes,Total,European Union - 25 countries (2004-2006),16.3
Annual,Yes,Total,Finland,16.5
Annual,Yes,Total,France,21.9
Annual,Yes,Total,Hungary,37.2
Annual,Yes,Total,Ireland,4.8 u
Annual,Yes,Total,Italy,14.7
Annual,Yes,Total,Lithuania,: u
Annual,Yes,Total,Luxembourg,: u
Annual,Yes,Total,Malta,: u
Annual,Yes,Total,Netherlands,43.9
Annual,Yes,Total,Norway,42.7
Annual,Yes,Total,Portugal,6.7
Annual,Yes,Total,Romania,8.2
Annual,Yes,Total,Sweden,11.1
Annual,Yes,Total,Slovenia,24.3
Annual,Yes,Total,Slovakia,13.9
Annual,Yes,Total,United Kingdom,7.1
