Time frequency,Employment status in the second job,Activity and employment status,Unit of measure,Sex,Geopolitical entity (reporting),Age class\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Employed persons,Employed persons,Percentage,Females,Finland,From 15 to 64 years,5.0,5.0,5.2,5.7,6.0,6.2,6.5,7.1,6.5,7.6 b,7.9,7.8
Annual,Employed persons,Employed persons,Percentage,Females,France,From 15 to 64 years,4.5,7.5,6.8 b,6.6,6.4,6.4,6.8,6.5,6.2,5.8 bd,5.8 d,5.9 d
Annual,Employed persons,Employed persons,Percentage,Females,Croatia,From 15 to 64 years,1.3 bu,1.5,2.2,2.2,0.8 u,1.0 u,1.2 u,1.1 u,0.9 u,1.8 b,1.0 u,1.5
Annual,Employed persons,Employed persons,Percentage,Females,Hungary,From 15 to 64 years,1.8,2.4,1.5,0.9,1.1,1.3,1.2 b,1.2,1.0,1.0 b,1.1,1.1
Annual,Employed persons,Employed persons,Percentage,Females,Ireland,From 15 to 64 years,1.4,1.7,1.8,1.6,1.4,2.0 b,2.2,2.6,2.1,2.7 b,2.8,3.0
Annual,Employed persons,Employed persons,Percentage,Females,Iceland,From 15 to 64 years,10.4,10.4,10.8,12.5,13.2,12.4,12.0,11.6,10.0 b,11.2 b,11.4,11.8
Annual,Employed persons,Employed persons,Percentage,Females,Italy,From 15 to 64 years,1.6,1.4,1.6,1.5,1.6,1.6,1.6 b,1.7,1.6,1.7 b,1.5,1.4
Annual,Employed persons,Employed persons,Percentage,Females,Lithuania,From 15 to 64 years,5.7,6.1,6.5,5.6,5.4,5.1,5.1,5.2,4.9,5.4 b,6.1,5.6
Annual,Employed persons,Employed persons,Percentage,Females,Luxembourg,From 15 to 64 years,4.1,4.4,4.0,4.5 b,4.3,4.6,4.5,3.7,3.4,4.2 b,3.1,5.0
Annual,Employed persons,Employed persons,Percentage,Females,Latvia,From 15 to 64 years,5.8,5.5,5.3,6.5,6.6,5.0,4.5,4.9,4.4,5.0 b,4.8,5.6
Annual,Employed persons,Employed persons,Percentage,Females,Montenegro,From 15 to 64 years,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,:,:
Annual,Employed persons,Employed persons,Percentage,Females,North Macedonia,From 15 to 64 years,1.3,0.7,0.7,1.2,0.9,1.1,1.2,2.4,1.4,:,:,:
Annual,Employed persons,Employed persons,Percentage,Females,Malta,From 15 to 64 years,3.5,2.8,3.5,3.3,2.3,1.5,2.0,2.2,3.3,3.6 b,3.0,3.5
Annual,Employed persons,Employed persons,Percentage,Females,Netherlands,From 15 to 64 years,8.5,9.3,9.5,9.8,9.4,9.2,9.4,8.9,8.8,10.2 b,10.7,11.0
Annual,Employed persons,Employed persons,Percentage,Females,Norway,From 15 to 64 years,9.5,9.0,9.0,9.5,9.3,8.5,8.7,9.8,9.6,7.3 b,7.0,7.8
Annual,Employed persons,Employed persons,Percentage,Females,Poland,From 15 to 64 years,5.7,5.5,5.0,4.5,4.5,4.4,4.3,4.1 b,3.8,3.5 b,3.2,3.3
Annual,Employed persons,Employed persons,Percentage,Females,Portugal,From 15 to 64 years,4.3,3.9,4.0,4.1,4.0,3.9,4.0,4.2,3.6,4.6 b,4.9,5.3
Annual,Employed persons,Employed persons,Percentage,Females,Romania,From 15 to 64 years,2.0,1.9,1.8,1.3,1.3,1.3,1.4,1.5,1.2,0.6 b,0.5,0.5
Annual,Employed persons,Employed persons,Percentage,Females,Serbia,From 15 to 64 years,1.8,2.3,3.1 b,3.3,4.5,4.3,4.8,5.3,5.3,4.4 b,4.7,4.3
Annual,Employed persons,Employed persons,Percentage,Females,Sweden,From 15 to 64 years,8.2,8.4,8.8,8.8,8.3,8.3,8.5 b,9.2,8.0,5.6 b,6.0,6.3
Annual,Employed persons,Employed persons,Percentage,Females,Slovenia,From 15 to 64 years,2.5,2.3,3.0,2.6,2.3,2.7,2.8,1.8,1.5,3.0 b,3.6,3.1
Annual,Employed persons,Employed persons,Percentage,Females,Slovakia,From 15 to 64 years,1.1,1.2,0.9,0.9,1.1,1.2,1.4,1.2,0.9,1.0 b,1.5,1.3
Annual,Employed persons,Employed persons,Percentage,Females,Türkiye,From 15 to 64 years,1.0,0.9,1.2 b,1.3,1.4,1.4,1.6,1.5,1.5,1.1 b,1.1,1.5
Annual,Employed persons,Employed persons,Percentage,Females,United Kingdom,From 15 to 64 years,4.8,4.8,4.9,4.6,4.4,4.3,4.3,4.3,:,:,:,:
Annual,Employed persons,Employed persons,Percentage,Males,Austria,From 15 to 64 years,4.5,5.0,4.8,4.9,5.0,4.9,4.3,4.4,4.6,5.3 b,5.3,5.5
Annual,Employed persons,Employed persons,Percentage,Males,Bosnia and Herzegovina,From 15 to 64 years,:,:,:,:,:,:,:,:,:,0.8 b,0.9,0.5
Annual,Employed persons,Employed persons,Percentage,Males,Belgium,From 15 to 64 years,4.6,4.2,4.7,4.2,4.5,4.0 b,3.8,4.4,4.4,4.6 b,5.2,5.1
Annual,Employed persons,Employed persons,Percentage,Males,Bulgaria,From 15 to 64 years,0.3 u,0.5,0.6,0.4 u,0.4 u,0.4,0.4,0.4 bu,0.4 u,0.4 bu,0.4 u,0.5
Annual,Employed persons,Employed persons,Percentage,Males,Switzerland,From 15 to 64 years,4.7,4.8,5.0,5.2,5.5,5.4,5.5,5.8,5.4,5.5 b,5.5,5.7
Annual,Employed persons,Employed persons,Percentage,Males,Cyprus,From 15 to 64 years,3.3,3.9,5.0,4.0,4.8,3.8,2.9,3.3,2.7,3.6 b,2.9,2.4
Annual,Employed persons,Employed persons,Percentage,Males,Czechia,From 15 to 64 years,2.3,2.3,2.0,2.2,2.4,2.6,2.6,2.6,2.6,2.9 b,2.8,2.8
Annual,Employed persons,Employed persons,Percentage,Males,Germany,From 15 to 64 years,4.4 b,4.5,4.6,4.7,4.9,5.0,4.8,5.0,4.3 b,3.9 b,4.1,4.0
Annual,Employed persons,Employed persons,Percentage,Males,Denmark,From 15 to 64 years,8.3,7.8,7.8,7.4,9.4 b,8.9 b,7.0,8.1,7.3,7.5 b,7.5,7.5
Annual,Employed persons,Employed persons,Percentage,Males,Euro area – 20 countries (from 2023),From 15 to 64 years,3.1,3.5,3.6,3.6,3.7,3.7,3.6,3.7,3.5,3.5 b,3.5,3.6
Annual,Employed persons,Employed persons,Percentage,Males,Estonia,From 15 to 64 years,4.3,4.4,3.7,4.0,4.2,4.7,5.1,5.4,4.9,5.4 b,5.5,5.6
Annual,Employed persons,Employed persons,Percentage,Males,Greece,From 15 to 64 years,2.2,2.2,2.1,2.1,2.3,2.6,2.6,2.5,2.2,2.2 b,1.9,1.8
Annual,Employed persons,Employed persons,Percentage,Males,Spain,From 15 to 64 years,1.9,2.0,2.0,2.1,2.2,2.2,2.0,2.1,2.0,2.4 bd,2.4 d,2.4 d
Annual,Employed persons,Employed persons,Percentage,Males,European Union - 27 countries (from 2020),From 15 to 64 years,3.7,3.9,4.0,3.8,3.9,3.9,3.8,3.9,3.7,3.6 b,3.6,3.6
Annual,Employed persons,Employed persons,Percentage,Males,Finland,From 15 to 64 years,4.9,5.4,5.4,6.1,6.1,6.1,6.2,6.2,6.2,7.3 b,7.2,7.5
Annual,Employed persons,Employed persons,Percentage,Males,France,From 15 to 64 years,2.1,3.6,4.0 b,3.7,3.7,3.7,3.9,3.9,4.0,3.1 bd,3.0 d,3.0 d
Annual,Employed persons,Employed persons,Percentage,Males,Croatia,From 15 to 64 years,2.7 b,2.0,2.5,2.8,1.3,1.1 u,1.3,1.0 u,1.1 u,2.4 b,2.0,2.2
Annual,Employed persons,Employed persons,Percentage,Males,Hungary,From 15 to 64 years,2.3,2.7,1.8,1.3,1.4,1.7,1.6 b,1.6,1.4,1.4 b,1.4,1.5
Annual,Employed persons,Employed persons,Percentage,Males,Ireland,From 15 to 64 years,2.8,3.2,3.0,2.9,3.0,3.2 b,3.2,3.3,3.3,3.8 b,4.1,4.2
Annual,Employed persons,Employed persons,Percentage,Males,Iceland,From 15 to 64 years,8.9,9.4,10.4,10.5,11.8,11.8,9.9,9.2,7.8 b,8.0 b,9.2,10.0
Annual,Employed persons,Employed persons,Percentage,Males,Italy,From 15 to 64 years,1.3,1.2,1.1,1.2,1.3,1.4,1.3 b,1.3,1.3,1.4 b,1.0,1.1
Annual,Employed persons,Employed persons,Percentage,Males,Lithuania,From 15 to 64 years,5.7,6.4,6.5,4.8,4.7,4.7,4.5,4.5,4.8,4.9 b,5.4,6.4
Annual,Employed persons,Employed persons,Percentage,Males,Luxembourg,From 15 to 64 years,1.9,2.1,2.5,3.4 b,3.4,2.8,2.8,3.0,2.1,5.1 b,4.1,3.9
Annual,Employed persons,Employed persons,Percentage,Males,Latvia,From 15 to 64 years,4.1,3.8,3.9,4.5,4.8,3.4,4.0,4.3,3.5,3.0 b,3.5,4.6
Annual,Employed persons,Employed persons,Percentage,Males,Montenegro,From 15 to 64 years,1.2 u,1.3 u,2.1,1.9,1.5 u,1.3 u,: u,1.0 u,1.0 u,:,:,:
Annual,Employed persons,Employed persons,Percentage,Males,North Macedonia,From 15 to 64 years,2.6,1.3,1.6,1.4,1.8,2.1,2.6,3.8,3.4,:,:,:
Annual,Employed persons,Employed persons,Percentage,Males,Malta,From 15 to 64 years,6.0,5.8,5.7,5.3,4.5,4.2,4.4,4.2,4.1,5.2 b,5.6,5.4
Annual,Employed persons,Employed persons,Percentage,Males,Netherlands,From 15 to 64 years,6.3,7.4,7.3,7.7,7.5,7.3,7.2,7.4,7.4,9.6 b,9.8,9.8
Annual,Employed persons,Employed persons,Percentage,Males,Norway,From 15 to 64 years,8.5,8.4,8.7,9.3,8.8,8.5,9.0,9.2,8.7,6.1 b,6.1,5.9
Annual,Employed persons,Employed persons,Percentage,Males,Poland,From 15 to 64 years,8.1,7.9,7.5,6.8,6.5,6.4,6.3,5.9 b,5.5,5.7 b,5.1,4.9
Annual,Employed persons,Employed persons,Percentage,Males,Portugal,From 15 to 64 years,5.2,4.6,5.2,4.7,4.8,4.6,4.6,5.2,4.2,4.8 b,4.9,4.9
Annual,Employed persons,Employed persons,Percentage,Males,Romania,From 15 to 64 years,3.0,2.3,2.2,1.9,1.8,1.7,1.7,2.0,1.8,0.7 b,0.6,0.6
Annual,Employed persons,Employed persons,Percentage,Males,Serbia,From 15 to 64 years,4.4,3.9,6.6 b,6.9,9.3,9.4,9.0,9.8,9.6,8.2 b,8.5,8.2
Annual,Employed persons,Employed persons,Percentage,Males,Sweden,From 15 to 64 years,8.7,9.3,9.4,9.0,9.2,9.0,8.6 b,8.7,7.8,5.2 b,6.0,6.3
Annual,Employed persons,Employed persons,Percentage,Males,Slovenia,From 15 to 64 years,4.2,3.8,5.0,4.2,3.0,4.3,4.1,2.6,2.6,4.3 b,5.4,5.1
Annual,Employed persons,Employed persons,Percentage,Males,Slovakia,From 15 to 64 years,0.9,1.2,1.1,0.9,1.3,1.3,1.1,1.1,0.9,1.1 b,1.3,1.3
Annual,Employed persons,Employed persons,Percentage,Males,Türkiye,From 15 to 64 years,3.8,3.9,4.1 b,4.2,4.1,4.3,4.4,4.0,4.1,3.4 b,3.3,3.8
Annual,Employed persons,Employed persons,Percentage,Males,United Kingdom,From 15 to 64 years,2.9,2.9,3.1,3.1,2.9,2.8,2.7,2.7,:,:,:,:
Annual,Employed persons,Employed persons,Percentage,Total,Austria,From 15 to 64 years,4.2,4.5,4.5,4.5,4.8,4.8,4.3,4.4,4.4,5.3 b,5.3,5.6
Annual,Employed persons,Employed persons,Percentage,Total,Bosnia and Herzegovina,From 15 to 64 years,:,:,:,:,:,:,:,:,:,0.7 b,0.8,0.5
Annual,Employed persons,Employed persons,Percentage,Total,Belgium,From 15 to 64 years,4.2,4.1,4.3,4.1,4.4,3.9 b,3.8,4.3,4.3,4.5 b,5.2,5.2
Annual,Employed persons,Employed persons,Percentage,Total,Bulgaria,From 15 to 64 years,0.4,0.5,0.6,0.4,0.5,0.4,0.4,0.4 b,0.4,0.4 b,0.4,0.4
Annual,Employed persons,Employed persons,Percentage,Total,Switzerland,From 15 to 64 years,6.8,6.8,7.1,7.3,7.7,7.6,7.7,8.0,7.6,7.6 b,7.6,7.9
Annual,Employed persons,Employed persons,Percentage,Total,Cyprus,From 15 to 64 years,2.6,2.8,3.7,2.9,3.6,3.4,2.6,2.6,2.2,2.9 b,2.6,2.1
Annual,Employed persons,Employed persons,Percentage,Total,Czechia,From 15 to 64 years,2.2,2.2,2.2,2.3,2.3,2.6,2.6,2.6,2.5,2.6 b,2.8,2.8
Annual,Employed persons,Employed persons,Percentage,Total,Germany,From 15 to 64 years,4.7 b,4.9,5.0,5.1,5.4,5.4,5.3,5.5,4.8 b,4.5 b,4.6,4.6
Annual,Employed persons,Employed persons,Percentage,Total,Denmark,From 15 to 64 years,7.9,7.7,7.7,7.2,9.3 b,8.5 b,7.3,8.1,7.6,7.9 b,8.0,7.9
Annual,Employed persons,Employed persons,Percentage,Total,Euro area – 20 countries (from 2023),From 15 to 64 years,3.5,4.0,4.1,4.1,4.2,4.1,4.2,4.2,3.9,4.0 b,4.1,4.1
Annual,Employed persons,Employed persons,Percentage,Total,Estonia,From 15 to 64 years,5.0,5.3,4.7,4.8,5.3,5.3,6.1,6.2,5.7,6.3 b,7.1,6.9
Annual,Employed persons,Employed persons,Percentage,Total,Greece,From 15 to 64 years,1.9,1.7,1.7,1.6,1.8,2.1,2.1,2.1,1.9,1.7 b,1.6,1.4
Annual,Employed persons,Employed persons,Percentage,Total,Spain,From 15 to 64 years,2.0,2.2,2.2,2.3,2.3,2.4,2.3,2.4,2.2,2.5 bd,2.6 d,2.7 d
Annual,Employed persons,Employed persons,Percentage,Total,European Union - 27 countries (from 2020),From 15 to 64 years,3.8,4.2,4.2,4.1,4.2,4.2,4.1,4.2,3.9,3.9 b,3.9,3.9
Annual,Employed persons,Employed persons,Percentage,Total,Finland,From 15 to 64 years,4.9,5.2,5.3,5.9,6.0,6.1,6.3,6.6,6.3,7.4 b,7.5,7.7
Annual,Employed persons,Employed persons,Percentage,Total,France,From 15 to 64 years,3.2,5.5,5.3 b,5.1,5.0,5.0,5.3,5.2,5.1,4.4 bd,4.3 d,4.4 d
Annual,Employed persons,Employed persons,Percentage,Total,Croatia,From 15 to 64 years,2.1 b,1.8,2.4,2.5,1.1,1.0,1.3,1.0,1.0,2.1 b,1.6,1.9
Annual,Employed persons,Employed persons,Percentage,Total,Hungary,From 15 to 64 years,2.1,2.6,1.7,1.1,1.3,1.5,1.4 b,1.4,1.2,1.2 b,1.3,1.3
Annual,Employed persons,Employed persons,Percentage,Total,Ireland,From 15 to 64 years,2.1,2.5,2.4,2.3,2.2,2.6 b,2.7,3.0,2.7,3.3 b,3.5,3.6
Annual,Employed persons,Employed persons,Percentage,Total,Iceland,From 15 to 64 years,9.6,9.9,10.6,11.5,12.5,12.1,10.9,10.3,8.8 b,9.5 b,10.2,10.8
Annual,Employed persons,Employed persons,Percentage,Total,Italy,From 15 to 64 years,1.4,1.3,1.3,1.4,1.5,1.5,1.4 b,1.5,1.4,1.5 b,1.2,1.2
Annual,Employed persons,Employed persons,Percentage,Total,Lithuania,From 15 to 64 years,5.7,6.2,6.5,5.2,5.1,4.9,4.8,4.9,4.8,5.2 b,5.8,6.0
Annual,Employed persons,Employed persons,Percentage,Total,Luxembourg,From 15 to 64 years,2.9,3.1,3.1,3.9 b,3.8,3.6,3.6,3.3,2.7,4.7 b,3.7,4.4
Annual,Employed persons,Employed persons,Percentage,Total,Latvia,From 15 to 64 years,4.9,4.7,4.6,5.5,5.7,4.2,4.3,4.6,3.9,4.0 b,4.2,5.1
Annual,Employed persons,Employed persons,Percentage,Total,Montenegro,From 15 to 64 years,1.0,1.1,1.4,1.4,1.0,0.9,0.6 u,0.7 u,0.8 u,:,:,:
Annual,Employed persons,Employed persons,Percentage,Total,North Macedonia,From 15 to 64 years,2.1,1.0,1.2,1.3,1.4,1.7,2.1,3.2,2.6,:,:,:
Annual,Employed persons,Employed persons,Percentage,Total,Malta,From 15 to 64 years,5.0,4.6,4.8,4.5,3.6,3.1,3.4,3.4,3.8,4.6 b,4.5,4.6
Annual,Employed persons,Employed persons,Percentage,Total,Netherlands,From 15 to 64 years,7.3,8.3,8.3,8.7,8.4,8.2,8.2,8.1,8.1,9.9 b,10.2,10.4
Annual,Employed persons,Employed persons,Percentage,Total,Norway,From 15 to 64 years,9.0,8.7,8.8,9.4,9.0,8.5,8.9,9.5,9.1,6.7 b,6.5,6.8
Annual,Employed persons,Employed persons,Percentage,Total,Poland,From 15 to 64 years,7.0,6.8,6.4,5.7,5.6,5.5,5.4,5.1 b,4.7,4.7 b,4.2,4.2
Annual,Employed persons,Employed persons,Percentage,Total,Portugal,From 15 to 64 years,4.7,4.3,4.6,4.4,4.4,4.2,4.3,4.7,3.9,4.7 b,4.9,5.1
Annual,Employed persons,Employed persons,Percentage,Total,Romania,From 15 to 64 years,2.5,2.1,2.0,1.6,1.6,1.5,1.5,1.8,1.6,0.7 b,0.6,0.6
Annual,Employed persons,Employed persons,Percentage,Total,Serbia,From 15 to 64 years,3.3,3.2,5.1 b,5.3,7.2,7.1,7.1,7.8,7.7,6.5 b,6.8,6.5
Annual,Employed persons,Employed persons,Percentage,Total,Sweden,From 15 to 64 years,8.5,8.9,9.1,8.9,8.7,8.7,8.6 b,8.9,7.9,5.4 b,6.0,6.3
Annual,Employed persons,Employed persons,Percentage,Total,Slovenia,From 15 to 64 years,3.4,3.1,4.1,3.5,2.7,3.6,3.5,2.2,2.1,3.7 b,4.6,4.2
Annual,Employed persons,Employed persons,Percentage,Total,Slovakia,From 15 to 64 years,1.0,1.2,1.0,0.9,1.2,1.3,1.2,1.1,0.9,1.0 b,1.4,1.3
Annual,Employed persons,Employed persons,Percentage,Total,Türkiye,From 15 to 64 years,3.0,3.0,3.2 b,3.3,3.3,3.4,3.5,3.2,3.3,2.7 b,2.6,3.1
Annual,Employed persons,Employed persons,Percentage,Total,United Kingdom,From 15 to 64 years,3.8,3.8,3.9,3.8,3.6,3.5,3.5,3.5,:,:,:,:
