Time frequency,Income and living conditions indicator,Unit of measure,Sex,Age class,Tenure status,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Montenegro,:,15.6,13.1,15.0,16.0,15.4,15.1,15.2,15.6,13.8,14.3,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,North Macedonia,22.3,16.5,14.5,14.5,14.5,16.2,14.7,14.8,13.5,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Malta,15.9,14.1,16.0,20.0,22.8,22.7,24.4,26.7,24.9,26.4,27.9,28.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Netherlands,6.8,6.4,5.8,6.5,9.4 b,10.2,11.3,11.7,11.6,15.5,15.6,13.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Norway,7.7,8.3,8.7,7.3,7.5,6.9,6.6,7.4,6.9,5.9 b,6.4,6.0 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Poland,14.2,12.1,11.8,12.0,12.6,13.8,15.4,17.3,18.1,17.3,15.0,16.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Portugal,17.3,14.3,14.6,16.7,18.2,16.4,16.8,16.8,17.2,20.2,16.6,16.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Romania,14.4,14.6,15.7,19.4,19.1,20.0,22.8,25.1,24.5,21.9,19.5,15.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Serbia,:,19.5,20.4,20.9,20.4,21.3,21.0,21.2,22.1,22.8,22.7,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Sweden,13.5,12.8,11.2,12.7,14.0,12.7,11.6,11.7,11.9,9.5,13.2,12.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Slovenia,18.7,19.6,16.1,15.8,16.0,15.2,17.0,17.7,18.5,16.2,18.0,18.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Slovakia,7.8,6.1,6.3,5.6,5.7,7.0,6.1,8.6,9.0,9.3,7.8,9.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,Türkiye,21.0,18.9,19.9,19.5,17.0,17.2,16.4,15.4,18.1,12.2,14.0,16.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Owner,United Kingdom,17.9 b,18.0,19.1,17.2,17.6,17.4 b,19.9,:,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Albania,:,:,:,:,:,4.4 u,14.2 u,14.1 u,2.6 u,16.1 u,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Austria,15.7,15.6,15.5,14.0,15.1,15.8,19.9,18.2,17.5,21.8,21.6,25.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Belgium,24.9,24.0,18.5,21.9,24.4,22.0,23.0,20.6 b,26.7,19.0,24.6,20.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Bulgaria,42.3 u,41.0 u,40.3 u,: u,23.8 bu,35.1 u,35.8 u,37.6 u,38.5 u,38.4 u,46.5 u,38.5 u
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Switzerland,32.0,28.8,26.1 b,26.9,26.3,28.0,23.3,27.2,26.1,25.9,28.6,27.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Cyprus,28.4,19.9,25.1,20.8,15.9,20.0,18.2,16.8,22.7,23.0,26.0,25.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Czechia,7.3,6.5,7.9,10.2,13.7,19.8,24.5,29.5,24.7,18.7,25.8,25.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Germany,21.1,21.3,23.2,23.7,24.6,23.5,25.2,25.9,26.0 b,23.8,23.9,25.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Denmark,8.2,5.6,6.7,7.6,7.7,7.3,6.9,4.9,5.5 b,5.5,8.0,6.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Euro area - 19 countries  (2015-2022),17.8 e,17.8 e,18.5 e,18.9 e,20.4 e,20.2 e,22.2 e,23.0 e,23.4 b,23.2,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Euro area – 20 countries (from 2023),:,:,18.5,18.9,20.4,20.2,22.2,23.0,23.4,23.3,24.4,25.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Estonia,14.5,32.6,41.1 b,46.1,59.9,61.8 u,69.3,64.3,55.8,60.5,64.3 u,73.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Greece,16.5,17.1,17.3,20.0,15.3,13.9,11.1,11.5,9.3,11.1,17.1,21.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Spain,21.1,23.7,19.4,18.9,19.5,25.2,27.6,22.8,38.2,30.6,35.1,35.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,European Union - 27 countries (2007-2013),16.5 e,16.5 e,17.1 e,18.0 e,19.4 e,19.3 e,21.9 e,22.6 e,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,European Union - 27 countries (from 2020),17.4 e,17.4 e,18.0 e,18.6 e,20.1 e,19.9 e,21.8 e,22.6 e,23.0 b,22.8,23.9,24.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,European Union - 28 countries (2013-2020),16.5 e,16.5 e,17.1 e,18.0 e,19.4 e,19.3 e,21.9 e,22.6 e,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Finland,28.0,25.2,22.1,20.0,16.6,14.7,17.4,21.0,21.0,18.7,23.6,22.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,France,10.5,11.9,11.7,10.2,13.0,12.4,16.1,21.1,18.9 b,21.9,24.3 b,24.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Croatia,16.4 u,27.2 u,18.9 u,26.9 u,27.7,35.2,34.8,31.7,46.6,51.5,50.9,47.6 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Hungary,9.6,2.9,1.8,7.4,8.1,7.0,13.4,18.8,27.7,27.3,21.9,23.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Ireland,20.1,17.2,18.3,25.5,33.3,35.7,57.6,31.3 b,37.8 b,40.9,44.9,39.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Iceland,10.0,1.6,12.1,5.8,7.0,10.2,4.5,8.7,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Italy,21.8,19.5,19.8,23.6,24.9,26.6,27.6,25.5,27.9,27.4,26.5,29.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Lithuania,: u,: u,: u,40.6 u,31.4 u,83 u,54.8 u,41.6 u,59.5 u,53.3 u,68.9 u,57.2 u
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Luxembourg,15.3,11.6,13.7,16.2,16.3 b,23.5,22.8,15.1,21.8 b,27.7 b,20.1 b,19.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Latvia,20.6,27.8,38.7,46.3,58.2,57.1,53.3,61.3,53.2,60.9,56.3,56.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Montenegro,:,16.3 u,14.5 u,13.9 u,: u,: u,29.5 u,9.4 u,: u,16.6 u,: u,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,North Macedonia,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Malta,22.0,17.6,20.3,25.8,27.8,32.9,28.9,31.6,31.7,34.9,38.7,29.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Netherlands,3.9,4.5,6.1,4.4,8.4 b,9.8,10.2,11.9,11.5,17.9,19.6,11.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Norway,23.0,33.5,33.7,28.7,25.9,22.4,20.7,17.3,29.1,21.0 b,22.0,23.4 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Poland,9.1,18.3,8.2,14.9,22.4,11.7,22.3,19.3,21.8,26.4,20.4,23.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Portugal,18.1,15.9,17.8,18.8,18.7,20.2,22.6,20.6,19.5,19.9,19.4,20.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Romania,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Serbia,:,14.9 u,26.8 u,11.6 u,29.6 u,23.5 u,38.7 u,: u,: u,: u,: u,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Sweden,19.9,18.7,19.0,23.1,24.1,23.1,21.2,22.8,22.9,22.4,23.5,19.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Slovenia,44.6,45.2,43.6,48.5,55.2,44.7,49.5,41.6,39.7,38.1,41.5,44.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Slovakia,8.7,3.5 u,3.5,3.5,4.6,6.5,14.4,13.6,25.0,53.9,31.6,34.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,Türkiye,13.7,11.9,12.0,9.6,13.2,10.9,11.9,10.1,12.0,8.8,10.4,13.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Tenant,United Kingdom,10.6 b,10.7,11.6,13.9,15.0,14.9 b,22.7,:,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Albania,:,:,:,:,:,13.4,14.0,13.9,13.8,14.0,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Austria,15.1,15.4,14.2,13.2,13.2,12.9,13.9,13.9,14.1,14.8,14.9,17.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Belgium,19.4,18.4,16.1,15.2,15.3,15.8,16.6,15.7 b,18.7,14.8,17.9,15.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Bulgaria,28.2,27.9,22.6,31.7,24.3 b,32.0,29.2,34.6,38.3,34.6,35.6,22.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Switzerland,30.0,29.5,25.7 b,26.5,25.2,25.9,23.1,27.1,24.8,24.6,26.3,26.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Cyprus,29.3,20.1,22.4,17.3,19.5,21.6,21.4,24.6,21.9,19.5,20.8,23.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Czechia,6.0,5.8,7.0,7.4,8.1,10.7,14.2,16.6,14.7,10.5,16.0,14.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Germany,15.0,14.9,16.3,16.5,17.6,17.0,18.2,18.0,20.0 b,19.4,18.2,18.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Denmark,12.8,10.1,9.8,9.1,8.5,8.8,8.9,9.0,10.9 b,11.6,13.2,11.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Euro area - 19 countries  (2015-2022),14.2,13.3,13.3,13.5,14.2,14.3,14.9,15.2,16.3 b,16.3,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Euro area – 20 countries (from 2023),:,:,13.3,13.6,14.3,14.5,15.1,15.4,16.5,16.5,17.3,16.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Estonia,17.2,24.4,32.6 b,35.8,40.2,41.2,46.3,43.7,41.4,40.6,52.3,46.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Greece,17.2,15.1,14.9,13.7,12.4,12.4,11.6,12.2,13.0,13.5,15.8,17.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Spain,14.8,12.7,11.4,12.3,13.0,14.8,15.6,14.5,18.8,17.5,18.7,18.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,European Union - 27 countries (2007-2013),14.4,13.6,13.6,14.0,14.5,14.9,16.0,16.5 e,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,European Union - 27 countries (from 2020),14.2 e,13.3 e,13.2 e,13.7 e,14.3 e,14.7 e,15.5 e,16.1 e,17.1 b,16.8,17.3,16.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,European Union - 28 countries (2013-2020),14.5,13.7,13.7,14.1,14.6,15.0,16.1,16.6 e,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Finland,18.4,16.1,16.0,13.8,12.3,12.3,13.2,14.4,13.9,12.7,15.1,13.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,France,9.4,9.1,8.6,8.0,8.2,7.9,8.3,9.7,9.5 b,10.9,12.5 b,12.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Croatia,25.6,23.4,23.1,26.3,26.5,28.6,28.1,30.1,31.0,32.4,32.4,34.8 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Hungary,6.3,4.6,4.6,4.4,6.8,9.1,9.8,11.1,15.0,15.4,13.4,15.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Ireland,12.8,10.6,11.8,13.2,16.6,14.8,20.2,10.5 b,15.2 b,17.9,24.1,16.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Iceland,4.5,4.0,6.9,5.8,6.1,8.4,4.8,4.0,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Italy,16.1,15.0,14.2,14.7,15.3,15.6,15.3,16.2,16.8,15.6,17.8,16.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Lithuania,18.7,19.4,20.1,25.0,27.7,33.4,37.7,31.6,36.0,35.9,39.5,36.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Luxembourg,6.1,6.2,6.3,7.9,8.7 b,11.7,9.9,9.3,7.3 b,9.1 b,11.0 b,10.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Latvia,13.9,17.6,27.6,34.6,38.1,39.9,45.7,47.9,40.9,44.6,40.5,40.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Montenegro,:,15.6,13.1,14.9,16.1,15.4,15.3,15.1,15.5,13.8,14.3,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,North Macedonia,22.3,16.5,14.5,14.5,14.5,16.1,14.6,14.8,13.4,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Malta,17.3,14.9,17.0,21.3,23.9,24.9,25.4,27.7,26.3,28.1,30.0,29.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Netherlands,5.5,5.5,5.9,5.6,9.0 b,10.0,10.8,11.8,11.6,16.4,17.1,12.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Norway,8.9,9.7,9.8,8.9,9.1,8.2,7.7,8.1,8.5,7.1 b,7.7,7.3 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Poland,14.0,12.3,11.7,12.1,12.8,13.8,15.5,17.4,18.2,17.5,15.2,16.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Portugal,17.4,14.6,15.1,17.0,18.3,17.0,17.7,17.3,17.5,20.1,17.0,17.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Romania,14.4,14.5,15.7,19.4,19.1,20.0,22.8,25.1,24.5,22.0,19.5,15.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Serbia,:,19.4,20.4,20.8,20.5,21.3,21.1,21.1,22.0,22.7,22.6,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Sweden,15.4,14.6,13.4,15.8,16.9,15.7,14.4,15.0,15.1,12.9,15.9,14.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Slovenia,19.6,20.5,17.1,17.2,17.6,16.4,18.3,18.6,19.4,17.1,18.9,19.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Slovakia,7.8,6.0,6.2,5.6,5.7,6.9,6.4,8.7,9.5,10.3,8.1,9.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,Türkiye,20.5,18.4,19.3,18.7,16.7,16.6,16.0,14.9,17.5,11.9,13.6,16.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,65 years or over,Total,United Kingdom,16.4 b,16.6,17.7,16.5,17.1,16.9 b,20.4,:,:,:,:,:
