Time frequency,Unit of measure,Statistical classification of economic activities in the European Community (NACE Rev. 2),Labour costs structure,Geopolitical entity (reporting)\Time,2008.0,2012.0,2016.0,2020.0,2021.0,2022.0,2023.0
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Euro area - 19 countries  (2015-2022),25.1 d,28.3,29.4,32.4,32.6,34.2,35.9
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Euro area – 20 countries (from 2023),25.0 d,28.0,29.2,32.1,32.4,34.0,35.6
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Estonia,7.9,8.6,10.8,14.1,15.0,16.4,18.3
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Greece,16.8,15.7,15.2,13.8,13.9,14.7,15.7
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Spain,19.4,21.1,21.2,23.0,22.9,23.3,24.6
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),European Union - 27 countries (from 2020),21.6,24.4,25.6,28.4,28.8,30.2,31.8
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Finland,27.1,31.3,33.7,34.0,35.1 p,35.9 p,37.1 p
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),France,31.2 d,34.3,34.6,38.8,39.3,40.8,42.2
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Croatia,9.2,9.5,9.5,11.3,11.6,12.6,14.4
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Hungary,7.8,7.4,7.8,9.8,10.3,10.7,12.8
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Ireland,28.9,29.8,30.6,33.5,34.7,38.0,40.2
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Iceland,21.9 d,23.2 d,36.2 d,37.8 d,42.7 p,48.3 p,49.7 p
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Italy,25.2,27.7,27.6,29.2,28.7,29.4,29.8
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Lithuania,5.9,5.9,7.4,10.3,11.6,13.1,14.7
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Luxembourg,32.3,35.3,38.7,47.3,48.4,50.9,53.9
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Latvia,5.9,6.0,7.7,10.7,11.3,12.2,13.5
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Montenegro,:,5.8,5.6,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),North Macedonia,:,3.5,3.6,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Malta,11.4,11.8,14.2,16.9,17.2,17.7,18.2
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Netherlands,29.8,32.5,34.5,37.7,38.1,40.5,43.3
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Norway,:,56.4,49.3,49.1,53.1,54.5,51.9
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Poland,7.6,7.9,8.7,10.9,11.5,12.5,14.5
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Portugal,12.2,13.3,13.6,15.1,15.4,16.1,17.0
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Romania,4.2,4.1,5.3,8.2,8.5,9.5,11.0
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Serbia,:,5.1,4.9,6.8,7.6,8.8,10.0
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Sweden,31.6,37.3,37.7,38.0,40.8,40.2,38.9
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Slovenia,13.9,15.6,16.8,20.7,22.0,23.1,25.5
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Slovakia,7.0,8.9,10.2,13.7,14.4,15.6,17.2
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),Türkiye,:,6.3,6.6,4.2,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour cost for LCI (compensation of employees plus taxes minus subsidies),United Kingdom,23.7 d,25.0,27.9,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Albania,:,18.0,16.0,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Austria,25.9,26.3,26.6,26.4,26.8,26.9 p,26.7 p
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Bosnia and Herzegovina,:,8.3,8.4,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Belgium,27.3,27.8,24.2,23.1,23.1,23.1,23.0
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Bulgaria,18.4,15.7,15.8,14.0,13.6,13.6,13.3
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Switzerland,:,21.0,20.2,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Cyprus,15.7,16.6,17.6,18.9,18.9,19.2,19.1
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Czechia,26.8,26.8,26.9,26.6,24.4,24.5,24.5
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Germany,22.0,22.2,22.1,22.4,22.2,23.3,23.4
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Denmark,12.2,13.1,13.1,12.7,12.6,12.7,12.7
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Euro area - 19 countries  (2015-2022),25.8 d,26.4,25.6,25.0,24.9,25.5,25.5
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Euro area – 20 countries (from 2023),25.8 d,26.3,25.5,25.0,24.9,25.4,25.5
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Estonia,26.5,26.6,26.2,25.4,25.5,25.7,25.7
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Greece,19.6,22.0,20.4,20.2,19.9,19.7,19.9
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Spain,26.1,25.9,25.3,26.3,26.0,25.6,26.0
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),European Union - 27 countries (from 2020),25.5,26.0,25.3,24.4,24.3,24.7,24.7
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Finland,22.8,22.2,22.6,19.2,17.6 p,17.7 p,17.8 p
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),France,33.1 d,34.6,32.9,32.1,31.9,32.0,31.9
