Time frequency,Structure of earnings indicator,Unit of measure,Geopolitical entity (reporting)\Time,2014.0
Annual,Gross earnings,Euro,Crna Gora,8775.0
Annual,Gross earnings,Euro,Severna Makedonija,6585.0
Annual,Gross earnings,Euro,Malta,21794.0
Annual,Gross earnings,Euro,Noord-Nederland,36808.0
Annual,Gross earnings,Euro,Oost-Nederland,37966.0
Annual,Gross earnings,Euro,West-Nederland,46481.0
Annual,Gross earnings,Euro,Zuid-Nederland,40457.0
Annual,Gross earnings,Euro,Norway,58828.0
Annual,Gross earnings,Euro,Region Centralny (NUTS 2013),13852.0
Annual,Gross earnings,Euro,Makroregion południowy,11438.0
Annual,Gross earnings,Euro,Region Wschodni (NUTS 2013),9706.0
Annual,Gross earnings,Euro,Makroregion północno-zachodni,10397.0
Annual,Gross earnings,Euro,Makroregion południowo-zachodni,11743.0
Annual,Gross earnings,Euro,Makroregion północny,10593.0
Annual,Gross earnings,Euro,Continente,17365.0
Annual,Gross earnings,Euro,Região Autónoma dos Açores,14885.0
Annual,Gross earnings,Euro,Região Autónoma da Madeira,16322.0
Annual,Gross earnings,Euro,Macroregiunea Unu,5972.0
Annual,Gross earnings,Euro,Macroregiunea Doi,5431.0
Annual,Gross earnings,Euro,Macroregiunea Trei,8197.0
Annual,Gross earnings,Euro,Macroregiunea Patru,5736.0
Annual,Gross earnings,Euro,Östra Sverige,46629.0
Annual,Gross earnings,Euro,Södra Sverige,43441.0
Annual,Gross earnings,Euro,Norra Sverige,42110.0
Annual,Gross earnings,Euro,Slovenia,22508.0
Annual,Gross earnings,Euro,Slovakia,12155.0
Annual,Gross earnings,Euro,Extra-Regio level 1,10362.0
Annual,Gross earnings,Euro,North East (UK) (NUTS 2021),35761.0
Annual,Gross earnings,Euro,North West (UK) (NUTS 2021),35564.0
Annual,Gross earnings,Euro,Yorkshire and The Humber (NUTS 2021),34540.0
Annual,Gross earnings,Euro,East Midlands (UK) (NUTS 2021),35498.0
Annual,Gross earnings,Euro,West Midlands (UK) (NUTS 2021),35439.0
Annual,Gross earnings,Euro,East of England (NUTS 2021),37162.0
Annual,Gross earnings,Euro,London (NUTS 2021),55429.0
Annual,Gross earnings,Euro,South East (UK) (NUTS 2021),41232.0
Annual,Gross earnings,Euro,South West (UK) (NUTS 2021),35790.0
Annual,Gross earnings,Euro,Wales (NUTS 2021),33154.0
Annual,Gross earnings,Euro,Scotland (NUTS 2021),37278.0
Annual,Gross earnings,Euro,Northern Ireland (UK) (NUTS 2021),33952.0
Annual,Gross earnings,National currency,Ostösterreich,44090.0
Annual,Gross earnings,National currency,Südösterreich,40216.0
Annual,Gross earnings,National currency,Westösterreich,41722.0
Annual,Gross earnings,National currency,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,52317.0
Annual,Gross earnings,National currency,Vlaams Gewest,45003.0
Annual,Gross earnings,National currency,Région wallonne,42975.0
Annual,Gross earnings,National currency,Severna i Yugoiztochna Bulgaria,9638.0
Annual,Gross earnings,National currency,Yugozapadna i Yuzhna tsentralna Bulgaria,12385.0
Annual,Gross earnings,National currency,Schweiz/Suisse/Svizzera,87614.0
Annual,Gross earnings,National currency,Kýpros,25191.0
Annual,Gross earnings,National currency,Czechia,344807.0
Annual,Gross earnings,National currency,Baden-Württemberg,43835.0
Annual,Gross earnings,National currency,Bayern,43488.0
Annual,Gross earnings,National currency,Berlin,40223.0
Annual,Gross earnings,National currency,Brandenburg,32955.0
Annual,Gross earnings,National currency,Bremen,41934.0
Annual,Gross earnings,National currency,Hamburg,46942.0
Annual,Gross earnings,National currency,Hessen,45528.0
Annual,Gross earnings,National currency,Mecklenburg-Vorpommern,30979.0
Annual,Gross earnings,National currency,Niedersachsen,38073.0
Annual,Gross earnings,National currency,Nordrhein-Westfalen,41723.0
Annual,Gross earnings,National currency,Rheinland-Pfalz,39887.0
Annual,Gross earnings,National currency,Saarland,39117.0
Annual,Gross earnings,National currency,Sachsen,32366.0
Annual,Gross earnings,National currency,Sachsen-Anhalt,32181.0
Annual,Gross earnings,National currency,Schleswig-Holstein,36951.0
Annual,Gross earnings,National currency,Thüringen,31333.0
Annual,Gross earnings,National currency,Denmark,411779.0
Annual,Gross earnings,National currency,Eesti,13460.0
Annual,Gross earnings,National currency,Attiki,23828.0
Annual,Gross earnings,National currency,"Nisia Aigaiou, Kriti",19656.0
Annual,Gross earnings,National currency,Voreia Elláda,20489.0
Annual,Gross earnings,National currency,Kentriki Elláda,20626.0
Annual,Gross earnings,National currency,Noroeste,25020.0
Annual,Gross earnings,National currency,Noreste,30179.0
Annual,Gross earnings,National currency,Comunidad de Madrid,30590.0
Annual,Gross earnings,National currency,Centro (ES),24821.0
Annual,Gross earnings,National currency,Este,27037.0
Annual,Gross earnings,National currency,Sur,25493.0
Annual,Gross earnings,National currency,Canarias,23624.0
Annual,Gross earnings,National currency,Manner-Suomi,44715.0
Annual,Gross earnings,National currency,Åland,45762.0
Annual,Gross earnings,National currency,Ile de France,45019.0
Annual,Gross earnings,National currency,Bassin Parisien (NUTS 2013),32644.0
Annual,Gross earnings,National currency,Nord-Pas-de-Calais (NUTS 2013),32491.0
Annual,Gross earnings,National currency,Est (FR) (NUTS 2013),32651.0
Annual,Gross earnings,National currency,Ouest (FR) (NUTS 2013),31870.0
Annual,Gross earnings,National currency,Sud-Ouest (FR) (NUTS 2013),33082.0
Annual,Gross earnings,National currency,Centre-Est (FR) (NUTS 2013),34758.0
Annual,Gross earnings,National currency,Méditerranée (NUTS 2013),33847.0
Annual,Gross earnings,National currency,Départements d'outre-mer (NUTS 2013),36606.0
Annual,Gross earnings,National currency,Hrvatska,99685.0
Annual,Gross earnings,National currency,Közép-Magyarország,3818604.0
Annual,Gross earnings,National currency,Dunántúl,2879388.0
Annual,Gross earnings,National currency,Alföld és Észak,2671356.0
Annual,Gross earnings,National currency,Ireland,45990.0
Annual,Gross earnings,National currency,Ísland,6831696.0
Annual,Gross earnings,National currency,Nord-Ovest,36888.0
Annual,Gross earnings,National currency,Sud,30893.0
Annual,Gross earnings,National currency,Isole,31944.0
Annual,Gross earnings,National currency,Nord-Est,33797.0
Annual,Gross earnings,National currency,Centro (IT),34622.0
Annual,Gross earnings,National currency,Lithuania,30461.0
Annual,Gross earnings,National currency,Luxembourg,59009.0
Annual,Gross earnings,National currency,Latvia,10714.0
Annual,Gross earnings,National currency,Crna Gora,8775.0
Annual,Gross earnings,National currency,Severna Makedonija,405793.0
Annual,Gross earnings,National currency,Malta,21794.0
Annual,Gross earnings,National currency,Noord-Nederland,36808.0
Annual,Gross earnings,National currency,Oost-Nederland,37966.0
Annual,Gross earnings,National currency,West-Nederland,46481.0
Annual,Gross earnings,National currency,Zuid-Nederland,40457.0
Annual,Gross earnings,National currency,Norway,491469.0
Annual,Gross earnings,National currency,Region Centralny (NUTS 2013),57961.0
Annual,Gross earnings,National currency,Makroregion południowy,47858.0
Annual,Gross earnings,National currency,Region Wschodni (NUTS 2013),40615.0
Annual,Gross earnings,National currency,Makroregion północno-zachodni,43504.0
Annual,Gross earnings,National currency,Makroregion południowo-zachodni,49138.0
Annual,Gross earnings,National currency,Makroregion północny,44324.0
Annual,Gross earnings,National currency,Continente,17365.0
Annual,Gross earnings,National currency,Região Autónoma dos Açores,14885.0
Annual,Gross earnings,National currency,Região Autónoma da Madeira,16322.0
Annual,Gross earnings,National currency,Macroregiunea Unu,26537.0
Annual,Gross earnings,National currency,Macroregiunea Doi,24132.0
Annual,Gross earnings,National currency,Macroregiunea Trei,36423.0
Annual,Gross earnings,National currency,Macroregiunea Patru,25489.0
Annual,Gross earnings,National currency,Östra Sverige,424250.0
Annual,Gross earnings,National currency,Södra Sverige,395247.0
Annual,Gross earnings,National currency,Norra Sverige,383142.0
Annual,Gross earnings,National currency,Slovenia,22508.0
Annual,Gross earnings,National currency,Slovakia,12155.0
Annual,Gross earnings,National currency,Extra-Regio level 1,30118.0
Annual,Gross earnings,National currency,North East (UK) (NUTS 2021),28827.0
Annual,Gross earnings,National currency,North West (UK) (NUTS 2021),28669.0
Annual,Gross earnings,National currency,Yorkshire and The Humber (NUTS 2021),27844.0
Annual,Gross earnings,National currency,East Midlands (UK) (NUTS 2021),28616.0
Annual,Gross earnings,National currency,West Midlands (UK) (NUTS 2021),28568.0
Annual,Gross earnings,National currency,East of England (NUTS 2021),29957.0
Annual,Gross earnings,National currency,London (NUTS 2021),44682.0
Annual,Gross earnings,National currency,South East (UK) (NUTS 2021),33238.0
Annual,Gross earnings,National currency,South West (UK) (NUTS 2021),28851.0
Annual,Gross earnings,National currency,Wales (NUTS 2021),26726.0
Annual,Gross earnings,National currency,Scotland (NUTS 2021),30051.0
Annual,Gross earnings,National currency,Northern Ireland (UK) (NUTS 2021),27369.0
