Time frequency,Unit of measure,Age class,International Standard Classification of Education (ISCED 2011),Sex,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Percentage,From 25 to 64 years,Lower secondary education,Females,Egypt,3.2 d,3.3 bd,3.0 bd,3.3 d,6.7 d,7.5 d,3.5 d,3.8 p,3.8 dp,:,:,:,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Lower secondary education,Females,Israel,6.1,6.1,6.1,6.0,5.7,5.8,5.7,7.0 b,6.6,6.3,6.6,6.4,6.2,5.8,5.7,5.3,5.5
Annual,Percentage,From 25 to 64 years,Lower secondary education,Females,Lebanon,:,:,21.3 de,:,23.0 de,:,:,22.6 de,:,:,:,:,:,21.8 de,:,:,:
Annual,Percentage,From 25 to 64 years,Lower secondary education,Females,Morocco,7.3,7.6,7.8,7.8,8.0,8.4,8.8,9.1,9.5,9.9,10.0,10.2,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Lower secondary education,Females,Palestine*,14.6,22.4,19.2,19.1,16.7,17.2,17.8,18.2,18.8,19.7,20.3,20.4,20.8,20.3,21.3,20.8,21.1
Annual,Percentage,From 25 to 64 years,Lower secondary education,Males,Algeria,:,26.0,:,26.7,:,:,:,30.6,32.4,:,32.9,:,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Lower secondary education,Males,Egypt,4.9 d,4.8 bd,4.7 bd,5.1 d,10.5 d,11.1 d,4.9 d,5.1 p,5.4 dp,:,:,:,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Lower secondary education,Males,Israel,9.4,9.4,9.2,9.4,9.2,9.4,8.9,9.2 b,9.0,9.0,9.0,8.5,8.3,8.2,8.0,7.9,7.5
Annual,Percentage,From 25 to 64 years,Lower secondary education,Males,Lebanon,:,:,22.2 de,:,24.2 de,:,:,25.3 de,:,:,:,:,:,24.1 de,:,:,:
Annual,Percentage,From 25 to 64 years,Lower secondary education,Males,Morocco,12.5,12.3,13.0,12.7,13.0,14.0,14.8,15.4,16.0,16.7,16.9,16.8,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Lower secondary education,Males,Palestine*,15.8,23.2,18.9,19.3,17.6,18.3,18.0,19.1,20.2,21.9,22.5,22.5,22.6,22.9,23.9,22.9,23.8
Annual,Percentage,From 25 to 64 years,Lower secondary education,Total,Algeria,:,21.2,:,21.7,:,:,:,25.9,27.2,:,27.3,:,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Lower secondary education,Total,Egypt,4.1 d,4.1 bd,3.8 bd,4.1 d,8.5 d,9.3 d,4.2 d,4.4 p,4.6 dp,:,:,:,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Lower secondary education,Total,Israel,7.7,7.7,7.6,7.6,7.4,7.5,7.2,8.1 b,7.8,7.6,7.7,7.4,7.2,7.0,6.8,6.6,6.5
Annual,Percentage,From 25 to 64 years,Lower secondary education,Total,Lebanon,:,:,21.7 de,:,23.6 de,:,:,23.8 de,:,:,:,:,:,22.9 de,:,:,:
Annual,Percentage,From 25 to 64 years,Lower secondary education,Total,Morocco,9.8,9.9,10.3,10.2,10.4,11.1,11.7,12.1,12.6,13.1,13.3,13.4,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Lower secondary education,Total,Palestine*,15.2,22.8,19.1,19.2,17.2,17.7,17.9,18.7,19.5,20.8,21.4,21.5,21.7,21.6,22.6,21.9,22.5
Annual,Percentage,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,Algeria,:,13.7,:,15.2,:,:,:,16.9,16.6,:,18.3,:,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,Egypt,21.2,23.0 b,23.3 b,24.4,23.2,25.4,26.0,26.7 p,26.8 p,27.2 p,29.0 p,29.8 p,32.0 p,:,:,:,:
Annual,Percentage,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,Israel,32.1,32.4,32.5,33.2,32.3,31.9,32.5,32.7 b,32.0,31.1,31.3,31.2,30.6,30.9,31.0,32.3,32.6
Annual,Percentage,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,Lebanon,:,:,16.9 de,:,18.0 de,:,:,15.3 de,:,:,:,:,:,16.9 de,:,:,:
Annual,Percentage,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,Morocco,6.0,6.4,6.5,6.8,7.1,7.3,7.7,7.4,7.4,7.9,8.4,8.6,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,Palestine*,14.0,20.4,16.6,17.1,15.2,14.9,14.3,15.3,15.5,14.7,15.6,16.4,16.6,16.5,16.9,17.1,17.4
Annual,Percentage,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Males,Algeria,:,17.5,:,19.3,:,:,:,18.9,18.8,:,20.3,:,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Males,Egypt,29.2,31.7 b,30.6 b,32.9,29.8,32.9,33.3,33.8 p,33.7 p,33.9 p,36.1 p,36.6 p,39.4 p,:,:,:,:
Annual,Percentage,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Males,Israel,35.0,35.8,37.0,36.9,36.7,36.9,36.5,39.5 b,38.7,38.0,37.6,38.2,37.7,37.7,38.5,39.3,40.2
Annual,Percentage,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Males,Lebanon,:,:,15.5 de,:,16.2 de,:,:,16.3 de,:,:,:,:,:,16.3 de,:,:,:
Annual,Percentage,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Males,Morocco,10.3,10.6,10.8,11.3,11.8,12.0,12.3,12.3,12.1,12.7,12.7,12.8,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Males,Palestine*,15.8,19.9,16.3,16.7,16.3,15.6,15.9,16.4,16.5,15.7,15.4,15.5,16.1,17.0,16.9,17.0,16.5
Annual,Percentage,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Algeria,:,15.6,:,17.3,:,:,:,17.9,17.7,:,19.3,:,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Egypt,25.2,27.2 b,27.0 b,28.6,26.9,29.0,29.4,30.2 p,30.1 p,30.5 p,32.5 p,33.3 p,35.8 p,:,:,:,:
Annual,Percentage,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Israel,33.5,34.0,34.6,35.0,34.5,34.3,34.5,36.0 b,35.2,34.4,34.4,34.6,34.0,34.2,34.6,35.7,36.3
Annual,Percentage,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Lebanon,:,:,16.2 de,:,17.1 de,:,:,15.8 de,:,:,:,:,:,16.6 de,:,:,:
Annual,Percentage,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Morocco,8.1,8.4,8.6,9.0,9.3,9.6,9.9,9.7,9.7,10.1,10.5,10.6,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Palestine*,14.9,20.1,16.5,16.9,15.8,15.2,15.1,15.8,16.0,15.2,15.5,16.0,16.3,16.7,16.9,17.1,17.0
Annual,Percentage,From 25 to 64 years,Tertiary education (levels 5-8),Females,Algeria,:,6.0,:,7.3,:,:,:,9.5,10.9,:,13.0,:,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Tertiary education (levels 5-8),Females,Egypt,9.1,10.1 b,9.6 b,10.5,10.3,11.7,11.9,12.2 p,11.5 p,11.3 p,12.7 p,11.8 p,14.5 p,:,:,:,:
Annual,Percentage,From 25 to 64 years,Tertiary education (levels 5-8),Females,Israel,42.4,42.7,43.9,43.8,45.2,45.8,46.2,46.9 b,48.4,50.0,50.0,51.2,52.0,51.7,52.4,52.2,51.6
Annual,Percentage,From 25 to 64 years,Tertiary education (levels 5-8),Females,Lebanon,:,:,15.3 de,:,16.8 de,:,:,18.8 de,:,:,:,:,:,25.4 de,:,:,:
Annual,Percentage,From 25 to 64 years,Tertiary education (levels 5-8),Females,Morocco,4.6,5.3,5.1,5.0,5.7,5.7,5.9,5.9,6.1,6.0,6.2,6.6,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Tertiary education (levels 5-8),Females,Palestine*,12.6,10.7,9.1,10.1,16.9,17.1,18.9,20.4,21.3,21.8,22.6,23.2,24.6,26.7,28.5,30.0,30.8
Annual,Percentage,From 25 to 64 years,Tertiary education (levels 5-8),Males,Algeria,:,7.8,:,8.6,:,:,:,10.1,11.0,:,12.0,:,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Tertiary education (levels 5-8),Males,Egypt,16.0,16.0 b,15.9 b,16.4,17.7,17.0,17.0,17.4 p,16.5 p,16.3 p,16.8 p,16.6 p,18.5 p,:,:,:,:
Annual,Percentage,From 25 to 64 years,Tertiary education (levels 5-8),Males,Israel,38.9,38.5,38.9,39.6,40.2,40.5,41.9,41.0 b,42.2,43.4,44.0,44.7,45.4,45.2,45.0,45.1,44.5
Annual,Percentage,From 25 to 64 years,Tertiary education (levels 5-8),Males,Lebanon,:,:,15.6 de,:,16.5 de,:,:,20.2 de,:,:,:,:,:,25.5 de,:,:,:
Annual,Percentage,From 25 to 64 years,Tertiary education (levels 5-8),Males,Morocco,7.8,9.2,8.8,8.4,9.3,9.4,9.2,9.2,9.4,9.2,9.8,10.6,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Tertiary education (levels 5-8),Males,Palestine*,19.7,14.6,12.0,12.0,22.3,22.3,23.5,23.9,23.7,23.7,24.3,24.2,24.3,25.0,26.7,27.8,27.8
Annual,Percentage,From 25 to 64 years,Tertiary education (levels 5-8),Total,Algeria,:,:,:,8.0,:,:,:,9.8,11.0,:,12.5,:,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Tertiary education (levels 5-8),Total,Egypt,12.7,13.2 b,12.7 b,13.4,13.4,14.3,14.4,14.8 p,14.0 p,13.7 p,14.7 p,14.2 p,16.6 p,:,:,:,:
Annual,Percentage,From 25 to 64 years,Tertiary education (levels 5-8),Total,Israel,40.7,40.7,41.5,41.8,42.8,43.3,44.1,44.1 b,45.4,46.8,47.1,48.1,48.8,48.6,48.8,48.8,48.1
Annual,Percentage,From 25 to 64 years,Tertiary education (levels 5-8),Total,Lebanon,:,:,15.4 de,:,16.7 de,:,:,19.5 de,:,:,:,:,:,25.5 de,:,:,:
Annual,Percentage,From 25 to 64 years,Tertiary education (levels 5-8),Total,Morocco,6.1,7.2,6.9,6.6,7.5,7.5,7.4,7.5,7.7,7.5,7.9,8.5,:,:,:,:,:
Annual,Percentage,From 25 to 64 years,Tertiary education (levels 5-8),Total,Palestine*,16.2,12.7,10.6,11.0,19.6,19.7,21.2,22.2,22.5,22.7,23.5,23.7,24.4,25.9,27.6,28.9,29.3
