Time frequency,Type of violence,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Physical (including threats) or sexual,Percentage,Poland,11.2
Annual,Physical (including threats) or sexual,Percentage,Portugal,10.3
Annual,Physical (including threats) or sexual,Percentage,Romania,37.0
Annual,Physical (including threats) or sexual,Percentage,Serbia,10.0
Annual,Physical (including threats) or sexual,Percentage,Sweden,31.0
Annual,Physical (including threats) or sexual,Percentage,Slovenia,13.4
Annual,Physical (including threats) or sexual,Percentage,Slovakia,30.7
Annual,Physical (including threats) or sexual,Percentage,Kosovo*,6.3
Annual,Psychological,Percentage,Austria,36.9
Annual,Psychological,Percentage,Belgium,29.9
Annual,Psychological,Percentage,Bulgaria,19.4
Annual,Psychological,Percentage,Cyprus,42.6
Annual,Psychological,Percentage,Czechia,31.3
Annual,Psychological,Percentage,Germany,30.0
Annual,Psychological,Percentage,Denmark,41.9
Annual,Psychological,Percentage,Estonia,39.3
Annual,Psychological,Percentage,Greece,40.4
Annual,Psychological,Percentage,Spain,27.6
Annual,Psychological,Percentage,European Union (aggregate changing according to the context),29.9 e
Annual,Psychological,Percentage,Finland,50.2
Annual,Psychological,Percentage,France,27.9
Annual,Psychological,Percentage,Croatia,26.9
Annual,Psychological,Percentage,Hungary,52.1
Annual,Psychological,Percentage,Ireland,33.2
Annual,Psychological,Percentage,Italy,22.5 d
Annual,Psychological,Percentage,Lithuania,29.5
Annual,Psychological,Percentage,Luxembourg,45.3
Annual,Psychological,Percentage,Latvia,28.8
Annual,Psychological,Percentage,Montenegro,19.7
Annual,Psychological,Percentage,Malta,24.6
Annual,Psychological,Percentage,Netherlands,31.8
Annual,Psychological,Percentage,Poland,19.1
Annual,Psychological,Percentage,Portugal,21.8
Annual,Psychological,Percentage,Romania,45.5
Annual,Psychological,Percentage,Serbia,21.2
Annual,Psychological,Percentage,Sweden,44.9
Annual,Psychological,Percentage,Slovenia,26.3
Annual,Psychological,Percentage,Slovakia,48.9
Annual,Psychological,Percentage,Kosovo*,25.5
Annual,"Psychological, physical (including threats) or sexual",Percentage,Austria,37.8
Annual,"Psychological, physical (including threats) or sexual",Percentage,Belgium,31.3
Annual,"Psychological, physical (including threats) or sexual",Percentage,Bulgaria,20.5
Annual,"Psychological, physical (including threats) or sexual",Percentage,Cyprus,44.5
Annual,"Psychological, physical (including threats) or sexual",Percentage,Czechia,33.5
Annual,"Psychological, physical (including threats) or sexual",Percentage,Germany,31.9
Annual,"Psychological, physical (including threats) or sexual",Percentage,Denmark,45.0
Annual,"Psychological, physical (including threats) or sexual",Percentage,Estonia,41.2
Annual,"Psychological, physical (including threats) or sexual",Percentage,Greece,41.8
Annual,"Psychological, physical (including threats) or sexual",Percentage,Spain,28.6
Annual,"Psychological, physical (including threats) or sexual",Percentage,European Union (aggregate changing according to the context),31.8 e
Annual,"Psychological, physical (including threats) or sexual",Percentage,Finland,52.6
Annual,"Psychological, physical (including threats) or sexual",Percentage,France,30.2
Annual,"Psychological, physical (including threats) or sexual",Percentage,Croatia,28.1
Annual,"Psychological, physical (including threats) or sexual",Percentage,Hungary,54.6
Annual,"Psychological, physical (including threats) or sexual",Percentage,Ireland,35.0
Annual,"Psychological, physical (including threats) or sexual",Percentage,Italy,25.9 d
Annual,"Psychological, physical (including threats) or sexual",Percentage,Lithuania,30.7
Annual,"Psychological, physical (including threats) or sexual",Percentage,Luxembourg,47.4
Annual,"Psychological, physical (including threats) or sexual",Percentage,Latvia,30.1
Annual,"Psychological, physical (including threats) or sexual",Percentage,Montenegro,20.2
Annual,"Psychological, physical (including threats) or sexual",Percentage,Malta,26.0
Annual,"Psychological, physical (including threats) or sexual",Percentage,Netherlands,33.4
Annual,"Psychological, physical (including threats) or sexual",Percentage,Poland,19.6
Annual,"Psychological, physical (including threats) or sexual",Percentage,Portugal,22.5
Annual,"Psychological, physical (including threats) or sexual",Percentage,Romania,48.9
Annual,"Psychological, physical (including threats) or sexual",Percentage,Serbia,21.6
Annual,"Psychological, physical (including threats) or sexual",Percentage,Sweden,48.2
Annual,"Psychological, physical (including threats) or sexual",Percentage,Slovenia,27.9
Annual,"Psychological, physical (including threats) or sexual",Percentage,Slovakia,50.8
Annual,"Psychological, physical (including threats) or sexual",Percentage,Kosovo*,25.6
