Time frequency,Statistical information,Unit of measure,Age class,Geopolitical entity (reporting)\Time,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,European Union - 27 countries (from 2020),:,:,:,48.9,50.9,48.1,46.1,45.0,44.1,42.2,47.3,47.4,46.0,45.7,45.2,46.2,47.6,48.4,47.2,48.0,49.4,54.5,55.7,56.7,59.5
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Finland,33.5,21.9,26.0,54.6,34.7,19.6,18.0,25.1,34.4,23.8,37.9,36.4,30.2,40.3,26.8,64.8,25.5,25.1,58.8,25.0,62.6,38.9,58.5,209.5,:
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,France,20.1,18.9,20.0,21.6,24.3,25.3,25.2,21.5,17.5,23.0,21.4,25.4,23.2,18.8,21.1,28.8,31.9,23.9,20.7,25.5,28.1,29.0,33.2,31.5,48.7
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Croatia,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Hungary,11.8,8.3,8.6,8.7,8.1,10.5,9.7,9.7,9.1,10.5,5.7,14.0,10.2,10.1,12.7,12.2,8.5,12.5,10.1,12.2,6.9,6.0,9.2,19.9,24.1
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Ireland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Italy,20.7,22.7,24.1,25.6,28.1,23.5,26.6,26.2,26.1,26.4,25.6,25.0,25.5,24.9,24.2,24.6,24.6,25.2,25.7,25.1,26.8,26.1,27.5,29.6,30.2
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Lithuania,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Latvia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Malta,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Netherlands,13.4,9.2,10.7,5.5,11.8,7.5,10.1,9.2,9.9,8.1,15.3,12.8,7.1,10.9,16.3,13.4,13.1,11.7,15.0,15.2,15.3,10.7,13.5,20.5,19.1
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Poland,18.9,23.4,20.6,29.6,29.4,24.1,17.5,19.2,19.2,16.3,15.7,15.3,17.0,17.0,18.1,15.0,15.6,16.2,16.9,17.6,15.8,17.6,21.7,15.7,19.7
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Portugal,27.3,34.5,28.3,25.5,28.9,31.0,30.7,25.9,34.3,30.4,33.7,42.6,46.2,54.9,38.9,40.3,34.6,52.0,33.5,29.3,24.3,29.0,51.6,41.6,33.8
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Romania,31.2,28.5,33.6,35.0,22.7,21.0,32.5,37.0,38.4,33.4,29.1,19.9,19.5,24.9,23.7,25.4,20.0,18.7,16.5,17.0,18.5,21.6,26.0,29.3,27.1
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Sweden,88.8,56.4,30.6,35.8,51.9,27.0,20.7,21.9,12.7,17.4,20.4,17.7,26.1,25.8,17.6,26.0,22.2,40.4,29.2,42.0,31.9,25.5,30.8,23.6,35.1
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Slovenia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Dispersion at NUTS level 2,Percentage,From 20 to 64 years,United Kingdom,14.2,15.1,16.7,20.5,17.5,19.1,16.7,17.4,15.9,17.5,26.0,26.2,23.5,21.8,26.8,26.6,28.4,29.9,25.1,23.7,29.4,:,:,:,:
