Time frequency,Work intensity,At risk of poverty - Yes/No,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Croatia,28.0,28.2,30.7,28.4,30.2,28.4,28.9,27.2,26.5,28.6 b
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Hungary,:,22.1,20.7,18.8,24.4,32.9,26.9,32.6,22.2,30.9
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Ireland,:,19.5,19.0,19.6,20.4,16.9 b,17.4 b,16.3,23.4,17.7
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Iceland,:,22.7,16.7,18.8,17.0,23.6,:,:,:,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Italy,:,32.8,36.3,32.5,33.8,33.3,31.3,31.6,29.3,27.1
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Lithuania,:,29.4,32.0,34.0,33.5,31.7,25.9,24.5,26.5,30.9
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Luxembourg,:,19.2,20.5 b,23.5,25.1,24.1,18.0 b,20.0 b,17.3 b,17.3
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Latvia,:,33.7,30.8,31.0,33.9,34.4,32.9,29.1,29.3,32.7
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Montenegro,:,:,:,:,:,:,:,29.1,29.2,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,North Macedonia,:,33.9,31.7,36.6,37.5,32.2,36.2,:,:,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Malta,:,17.6,16.6,18.0,19.3,18.7,18.9,22.5,18.4,25.8
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Netherlands,:,18.7,19.3 b,20.9,20.9,19.1,19.2,21.2,22.7,18.8
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Norway,:,27.7,27.9,28.6,25.8,27.1,24.9,24.2 b,24.5,22.4 b
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Poland,:,24.1,25.6,25.8,26.5,24.6,23.0,23.0,23.9,23.1
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Portugal,:,32.2,29.3,30.2,26.4,24.6,26.8,29.0,22.5,27.4
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Romania,:,39.2,38.3,36.3,38.1,36.8,37.0,43.3,36.8,39.0
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Serbia,:,39.9,42.6,42.3,39.8,32.9,29.9,31.4,27.2,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Sweden,:,24.6,24.7,24.4,23.2,23.9,24.6,23.4,25.1,26.0
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Slovenia,:,21.5,22.0,21.3,19.2,19.9,18.5,18.7,20.1,20.4
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Slovakia,:,31.1,26.4,28.0,26.0,27.5,25.6,27.5,17.1,35.7
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Türkiye,:,25.8,25.0,24.1,24.1,26.3,26.4,26.4,24.1,24.1
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,United Kingdom,:,22.6,25.0,23.3 b,25.4,:,:,:,:,:
