Time frequency,Vehicles,Unit of measure,Geopolitical entity (reporting)\Time,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,"Motor coaches, buses and trolley buses",Percentage,Cyprus,16.0 e,15.2 e,15.4 e,15.5 e,15.3 e,15.0 e,14.5 e,14.7 e,14.5 e,14.3 e,14.0 e,13.6 e,11.5 e,11.1 e,12.0 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Czechia,15.1 e,14.4 e,16.7 e,14.9,14.6,14.6 e,16.2 e,14.0 e,13.4 e,13.4 e,13.1,12.5,9.8 e,8.0,9.3
Annual,"Motor coaches, buses and trolley buses",Percentage,Germany,5.7 e,5.6 e,5.5 e,6.7 b,6.5,6.5,6.6,6.7,6.6,6.5 e,6.4 e,6.5 e,4.7,4.7,5.5
Annual,"Motor coaches, buses and trolley buses",Percentage,Denmark,8.6,9.1 be,9.1 e,8.7 e,8.5 e,8.4 e,8.3 e,8.4 e,8.4 e,8.5 e,8.2 e,7.8 e,6.5 e,6.6 e,9.6 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Estonia,13.2 e,12.1 e,11.4 e,10.9 e,11.3 e,11.2 e,11.0 e,12.5 e,14.6 e,13.9 e,13.3 e,14.0 e,9.2 e,8.2 e,10.6 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Greece,14.7 e,14.1 e,14.2 e,14.5 e,14.5 e,14.6 e,14.3 e,14.0 e,13.8 e,13.1 e,12.7 e,12.2 e,11.3 e,10.5 e,11.0 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Spain,12.0,11.3,10.3,11.2,11.4,10.9,8.6,9.7,9.5 be,6.1 e,6.2 e,6.4 e,5.7 e,5.8 e,7.4 e
Annual,"Motor coaches, buses and trolley buses",Percentage,European Union - 27 countries (from 2020),8.9 be,8.5 be,8.8 be,9.0 be,9.1 be,9.1 e,8.8 be,8.7 e,8.6 be,8.2 e,8.1 be,8.1 e,7.0 e,6.9 e,7.4 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Finland,9.1,9.1,9.0,8.9,8.9,8.9,8.9,8.8,9.5 b,9.4,9.0,8.9,8.9,8.0,8.8
Annual,"Motor coaches, buses and trolley buses",Percentage,France,4.9,4.5,4.6 e,4.6 e,4.7,5.3,5.4,5.3,5.3,5.3,5.3,5.3,4.9,4.5,4.2
Annual,"Motor coaches, buses and trolley buses",Percentage,Croatia,9.1 e,7.8 e,7.6 e,7.3 e,7.3 e,7.8 e,8.0 e,7.3 e,8.1 e,8.4 e,7.6 e,7.7 e,7.1 e,6.6 e,6.6 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Hungary,21.4 e,18.3 e,18.7 e,18.5,18.8 e,17.9 e,17.7 e,17.2 e,17.8 e,17.4 e,15.6 e,15.0 e,14.2 e,12.9 e,13.0 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Ireland,12.6 e,13.3 e,12.9 e,12.9 e,12.6 e,12.3 e,12.8 e,11.9 e,11.9 e,12.5 e,13.1 e,12.9 e,12.0 e,12.4 e,14.1 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Italy,11.6 e,11.0 e,11.9 be,12.3 e,13.6,13.0 e,12.0,11.4,11.0,10.5,10.7,10.6,10.4,10.7,10.9
Annual,"Motor coaches, buses and trolley buses",Percentage,Lithuania,7.7,6.7,7.1,7.7,6.8,7.1,9.6,8.7,8.1,7.1,7.5,7.4 e,4.9 e,4.3 e,5.7 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Luxembourg,10.5 e,10.5 e,11.1 e,11.4 e,11.3 e,11.2 e,11.0 e,11.2 e,11.0 e,11.1 e,11.1 e,11.3 e,9.7 e,9.8 e,11.7 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Latvia,14.1,12.9,14.4,15.5,15.0,14.7,13.9,13.0,12.4,11.4,11.1,10.9,9.3,8.6,10.3
Annual,"Motor coaches, buses and trolley buses",Percentage,Malta,17.7 e,16.7 e,17.1 e,16.2 e,16.1 e,15.4 e,15.4 e,16.1 e,15.7 e,15.6 e,15.4 e,15.9 e,13.3 e,13.3 e,15.4 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Netherlands,2.8 e,2.7 e,3.2 e,3.3 e,2.9 e,2.5 e,2.5 e,2.8 e,2.8 e,2.6 e,2.9 e,2.9 e,2.0 e,2.2 e,2.6 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Norway,5.9,5.9,6.0,6.1,4.8,4.7,4.6,4.9 e,5.0 e,5.3 e,5.4 e,5.7 e,4.5 e,4.4 e,4.3 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Poland,7.8 be,12.0 e,15.4 e,14.3,14.4,13.7 e,13.9 e,13.1 e,12.2 e,11.5 e,10.7 e,10.9 e,7.2 e,7.5 e,8.3 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Portugal,5.8 e,5.6 e,5.8 e,4.5 e,4.7 e,4.6 e,4.2 e,5.0 e,4.5 e,5.1 e,5.3 e,5.1 e,3.9 e,5.3 e,6.5 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Romania,17.9 be,11.7 be,13.9 e,13.6 e,14.2 e,13.8 e,14.0 e,14.6 e,14.6 e,14.5 e,13.8 e,13.7 e,13.3 e,12.3 e,11.3 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Sweden,6.2,6.2,6.1,6.4 e,6.3 e,6.4 e,6.2 e,6.2 e,7.0 e,6.8 e,6.8 e,6.8 e,7.8 e,7.7 e,6.9 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Slovenia,9.8,9.7,9.7,9.9 e,9.8 e,10.0 e,10.2 e,10.3 e,10.4 e,10.1 e,9.9 e,9.7 e,8.0 e,8.6 e,9.6 e
Annual,"Motor coaches, buses and trolley buses",Percentage,Slovakia,18.2 e,14.5 e,13.8 e,13.8 e,13.1 e,12.8 e,13.0 e,13.7 e,13.8,12.2,11.7,11.3,11.1,9.6,10.4
Annual,Passenger cars,Percentage,Austria,64.9 e,65.9 e,65.1 e,64.1 e,63.9,63.4,63.2,63.0,63.2,62.3,59.1 be,57.3 e,74.3 e,70.6 e,59.8 e
Annual,Passenger cars,Percentage,Belgium,72.6,73.7,74.3,73.1,73.8 be,70.9 e,73.1 be,73.0 e,73.0 e,72.4 e,71.8 e,71.4 e,81.3 e,81.6 e,73.7 e
Annual,Passenger cars,Percentage,Bulgaria,63.6 e,67.5 e,66.6 e,66.3 e,65.5 e,65.7 e,64.9 e,65.4 e,66.4 e,66.4 e,64.9 e,63.5 e,80.2 e,75.6 e,64.4 e
Annual,Passenger cars,Percentage,Switzerland,70.2,70.4,70.2,66.9,66.9,66.7 e,66.0 e,65.5 e,65.0 e,64.7 e,64.5 e,63.6 e,74.4 e,72.8 e,64.8 e
Annual,Passenger cars,Percentage,Cyprus,69.4 e,71.0 e,69.7 e,69.4 e,66.6 e,65.9 e,65.3 e,64.0 e,63.2 e,61.0 e,60.0 e,59.9 e,79.3 e,76.3 e,64.8 e
Annual,Passenger cars,Percentage,Czechia,68.0 e,69.2 e,64.8 e,65.9,64.8,64.2 e,62.9 e,64.5 e,64.5 e,63.5 e,62.9,63.0,76.8 e,79.6,71.8
Annual,Passenger cars,Percentage,Germany,78.6 e,79.3 e,79.0 e,77.3 b,76.8,77.0,76.8,76.5,76.2,75.2 e,74.7 e,73.8 e,85.3,84.6,76.8
Annual,Passenger cars,Percentage,Denmark,72.4,70.2 be,69.1 e,69.3 e,69.2 e,68.9 e,69.2 e,69.6 e,69.8 e,69.6 e,69.7 e,70.5 e,82.5 e,82.0 e,71.6 e
Annual,Passenger cars,Percentage,Estonia,65.4 e,67.3 e,66.6 e,65.7 e,65.0 e,65.4 e,66.0 e,65.2 e,64.0 e,63.3 e,62.5 e,62.7 e,81.8 e,83.7 e,75.3 e
Annual,Passenger cars,Percentage,Greece,66.6 e,68.1 e,67.2 e,67.5 e,66.7 e,66.4 e,65.8 e,65.2 e,66.0 e,65.2 e,63.7 e,63.1 e,78.2 e,74.5 e,64.3 e
Annual,Passenger cars,Percentage,Spain,67.4,69.2,69.2,67.2,67.0,66.8,67.3,66.2,65.5 be,66.6 e,66.1 e,65.3 e,80.4 e,77.8 e,66.8 e
Annual,Passenger cars,Percentage,European Union - 27 countries (from 2020),73.7 be,75.1 be,74.0 be,73.1 be,72.3 be,72.0 e,72.0 be,71.8 e,71.6 be,71.1 e,70.4 be,69.8 e,81.8 e,80.3 e,72.2 e
Annual,Passenger cars,Percentage,Finland,76.9,77.7,77.7,77.5,77.0,77.0,77.0,77.0,76.7 b,75.9,75.4,74.9,84.0,85.2,78.6
Annual,Passenger cars,Percentage,France,72.1,74.6,74.4 e,73.5 e,73.6,71.4,71.2,70.8,70.2,69.3,68.9,68.2,80.8,78.8,71.6
Annual,Passenger cars,Percentage,Croatia,59.9 e,60.9 e,59.2 e,58.5 e,59.0 e,58.3 e,57.1 e,56.7 e,55.5 e,53.1 e,50.8 e,48.8 e,69.4 e,63.8 e,48.8 e
Annual,Passenger cars,Percentage,Hungary,58.0 e,61.0 e,59.4 e,58.6,57.0 e,57.2 e,57.0 e,57.3 e,57.4 e,57.5 e,58.1 e,58.6 e,73.0 e,71.1 e,63.1 e
Annual,Passenger cars,Percentage,Ireland,72.2 e,72.8 e,73.2 e,72.9 e,72.5 e,72.9 e,71.6 e,72.8 e,73.1 e,72.2 e,71.2 e,71.1 e,82.9 e,81.7 e,72.1 e
Annual,Passenger cars,Percentage,Italy,76.3 e,77.7 e,76.3 be,75.4 e,72.7,73.8 e,74.8,75.3,75.8,76.2,75.0,74.7,81.3,80.2,74.0
Annual,Passenger cars,Percentage,Lithuania,86.0,87.1,85.4,83.3,84.6,83.7,78.6,79.2,79.8,81.6,79.7,79.6 e,91.1 e,91.7 e,87.9 e
Annual,Passenger cars,Percentage,Luxembourg,77.5 e,78.0 e,76.8 e,76.1 e,75.4 e,75.1 e,75.5 e,74.7 e,74.8 e,74.3 e,74.1 e,73.9 e,83.6 e,82.8 e,75.7 e
Annual,Passenger cars,Percentage,Latvia,68.7,68.6,65.9,62.6,63.1,63.2,64.7,66.4,66.8,67.2,66.1,65.7,82.8,83.7,74.8
Annual,Passenger cars,Percentage,Malta,74.6 e,75.9 e,75.2 e,75.9 e,75.6 e,75.5 e,75.4 e,74.6 e,74.6 e,73.5 e,72.7 e,71.8 e,82.6 e,81.1 e,74.5 e
Annual,Passenger cars,Percentage,Netherlands,81.3 e,81.7 e,80.6 e,79.9 e,79.8 e,79.3 e,78.6 e,78.6 e,78.0 e,77.2 e,77.1 e,77.0 e,86.1 e,85.4 e,77.9 e
Annual,Passenger cars,Percentage,Norway,77.7,78.1,77.6,77.2,77.7,77.2,77.0,76.8 e,76.4 e,73.7 e,73.2 e,73.1 e,85.2 e,85.0 e,77.3 e
Annual,Passenger cars,Percentage,Poland,80.0 be,77.6 e,69.9 e,70.5,69.1,69.9 e,70.0 e,70.3 e,70.8 e,70.7 e,70.6 e,70.0 e,84.2 e,82.5 e,76.2 e
Annual,Passenger cars,Percentage,Portugal,79.6 e,80.1 e,79.3 e,79.2 e,79.1 e,78.8 e,78.5 e,77.2 e,77.2 e,75.7 e,75.6 e,75.4 e,87.3 e,84.6 e,75.5 e
Annual,Passenger cars,Percentage,Romania,62.4 be,69.1 be,66.5 e,65.8 e,64.5 e,65.0 e,64.8 e,64.5 e,65.1 e,63.8 e,64.0 e,64.0 e,76.8 e,74.5 e,68.8 e
Annual,Passenger cars,Percentage,Sweden,71.4,72.2,71.2,72.2 e,71.5 e,71.0 e,70.8 e,70.4 e,66.2 e,65.4 e,65.1 e,64.5 e,78.3 e,78.0 e,69.7 e
Annual,Passenger cars,Percentage,Slovenia,77.6,78.4,78.0,77.4 e,76.4 e,75.9 e,75.6 e,75.1 e,75.2 e,74.6 e,73.6 e,73.1 e,83.7 e,79.6 e,71.2 e
Annual,Passenger cars,Percentage,Slovakia,65.8 e,69.5 e,69.2 e,68.2 e,67.9 e,67.7 e,67.0 e,65.0 e,64.3,64.0,62.8,61.9,75.8,76.0,67.5
Annual,Seagoing vessels,Percentage,Austria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Seagoing vessels,Percentage,Belgium,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n
Annual,Seagoing vessels,Percentage,Bulgaria,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n
Annual,Seagoing vessels,Percentage,Switzerland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Seagoing vessels,Percentage,Cyprus,0.1 e,0.1 e,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.2 e,0.0 n,0.0 n,0.0 n,0.0 n,0.1 e,0.0 n,0.0 n
Annual,Seagoing vessels,Percentage,Czechia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Seagoing vessels,Percentage,Germany,0.1 e,0.1 e,0.1 e,0.1 b,0.1,0.1,0.1,0.1,0.1,0.1 e,0.1 e,0.1 e,0.0 n,0.0 n,0.1
Annual,Seagoing vessels,Percentage,Denmark,1.9,2.1 be,2.4 e,2.0 e,2.0 e,2.0 e,2.1 e,2.0 e,2.0 e,1.9 e,1.9 e,1.9 e,1.3 e,1.4 e,1.9 e
Annual,Seagoing vessels,Percentage,Estonia,3.8 e,4.1 e,3.7 e,3.7 e,3.6 e,3.6 e,3.5 e,3.4 e,3.3 e,3.2 e,3.2 e,3.0 e,2.0 e,1.5 e,2.3 e
Annual,Seagoing vessels,Percentage,Greece,2.4 e,2.4 e,2.3 e,2.2 e,1.9 e,1.9 e,2.0 e,1.9 e,1.8 e,1.9 e,1.9 e,1.9 e,1.3 e,1.6 e,1.8 e
Annual,Seagoing vessels,Percentage,Spain,0.7,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.4 be,0.5 e,0.5 e,0.5 e,0.3 e,0.4 e,0.5 e
Annual,Seagoing vessels,Percentage,European Union - 27 countries (from 2020),0.5 be,0.5 be,0.5 be,0.4 be,0.4 be,0.4 e,0.4 be,0.4 e,0.4 be,0.4 e,0.4 be,0.4 e,0.3 e,0.3 e,0.3 e
Annual,Seagoing vessels,Percentage,Finland,2.5,2.7,2.6,2.6,2.7,2.6,2.6,2.6,2.6 b,2.5,2.5,2.4,0.8,1.0,2.2
Annual,Seagoing vessels,Percentage,France,0.4,0.4,0.4 e,0.4 e,0.3,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Annual,Seagoing vessels,Percentage,Croatia,2.8 e,3.2 e,3.2 e,3.2 e,2.5 e,2.4 e,2.3 e,2.2 e,2.4 e,2.4 e,2.5 e,2.5 e,2.2 e,2.7 e,2.5 e
Annual,Seagoing vessels,Percentage,Hungary,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Seagoing vessels,Percentage,Ireland,0.2 e,0.3 e,0.3 e,0.3 e,0.3 e,0.3 e,0.3 e,0.2 e,0.2 e,0.2 e,0.2 e,0.2 e,0.1 e,0.1 e,0.2 e
Annual,Seagoing vessels,Percentage,Italy,0.5 e,0.6 e,0.5 be,0.4 e,0.4,0.4 e,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3
Annual,Seagoing vessels,Percentage,Lithuania,0.0 n,0.0 n,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1 e,0.1 e,0.1 e,0.1 e
Annual,Seagoing vessels,Percentage,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Seagoing vessels,Percentage,Latvia,0.4,0.7,0.8,0.9,0.9,0.9,0.8,0.5,0.6,0.9,0.9,0.9,0.3,0.1,0.2
Annual,Seagoing vessels,Percentage,Malta,1.2 e,1.2 e,0.7 e,0.8 e,1.1 e,1.5 e,1.6 e,1.7 e,1.9 e,2.1 e,2.2 e,2.2 e,1.0 e,1.4 e,1.9 e
Annual,Seagoing vessels,Percentage,Netherlands,0.2 e,0.2 e,0.2 e,0.2 e,0.2 e,0.2 e,0.2 e,0.2 e,0.2 e,0.2 e,0.2 e,0.2 e,0.1 e,0.1 e,0.2 e
Annual,Seagoing vessels,Percentage,Norway,1.0,0.8,0.8,0.8,0.8,0.8,0.9,0.9 e,0.9 e,1.0 e,1.0 e,1.0 e,0.4 e,0.4 e,0.9 e
Annual,Seagoing vessels,Percentage,Poland,0.1 be,0.0 n,0.1 e,0.1,0.1,0.1 e,0.1 e,0.1 e,0.1 e,0.1 e,0.1 e,0.1 e,0.1 e,0.1 e,0.1 e
Annual,Seagoing vessels,Percentage,Portugal,0.0 n,0.1 e,0.1 e,0.1 e,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n
Annual,Seagoing vessels,Percentage,Romania,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n
Annual,Seagoing vessels,Percentage,Sweden,1.6,1.6,2.4,1.6 e,1.5 e,1.5 e,1.6 e,1.6 e,1.8 e,1.9 e,1.9 e,1.8 e,1.0 e,1.1 e,1.5 e
Annual,Seagoing vessels,Percentage,Slovenia,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n
Annual,Seagoing vessels,Percentage,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Trains,Percentage,Austria,9.9 e,9.9 e,9.8 e,10.0 e,9.7,10.0,9.9,9.7,9.8,9.6,10.4 be,10.4 e,8.1 e,8.8 e,11.0 e
Annual,Trains,Percentage,Belgium,6.6,6.8,6.9,7.1,6.3 be,6.4 e,6.7 be,6.8 e,6.8 e,6.9 e,7.0 e,7.2 e,6.6 e,5.9 e,7.0 e
Annual,Trains,Percentage,Bulgaria,3.4 e,3.1 e,3.0 e,2.8 e,2.5 e,2.3 e,2.0 e,1.8 e,1.7 e,1.7 e,1.7 e,1.7 e,1.8 e,1.7 e,1.9 e
Annual,Trains,Percentage,Switzerland,15.4,15.8,16.0,17.5,17.2,17.1 e,17.4 e,17.3 e,17.3 e,17.0 e,16.6 e,17.2 e,14.8 e,14.7 e,17.0 e
Annual,Trains,Percentage,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Trains,Percentage,Czechia,6.4 e,6.2 e,6.7 e,6.7,7.3,7.5 e,7.3 e,7.5 e,7.8 e,8.0 e,8.2,8.4,7.4 e,6.1,7.4
Annual,Trains,Percentage,Germany,7.4 e,7.3 e,7.4 e,7.7 b,8.0,7.6,7.6,7.5,7.6,7.8 e,8.0 e,8.2 e,6.1,6.0,8.4
Annual,Trains,Percentage,Denmark,7.4,8.3 be,8.5 e,8.6 e,8.9 e,8.8 e,8.3 e,8.0 e,7.5 e,7.3 e,7.1 e,6.9 e,5.6 e,5.7 e,7.5 e
Annual,Trains,Percentage,Estonia,1.7 e,1.6 e,1.6 e,1.5 e,1.4 e,1.3 e,1.6 e,1.5 e,1.6 e,1.8 e,2.0 e,1.7 e,1.8 e,1.9 e,2.1 e
Annual,Trains,Percentage,Greece,1.1 e,1.0 e,0.9 e,0.7 e,0.6 e,0.7 e,0.7 e,0.8 e,0.8 e,0.7 e,0.7 e,0.8 e,0.5 e,0.5 e,0.7 e
Annual,Trains,Percentage,Spain,4.6,4.6,4.5,4.6,4.7,5.0,5.5,5.4,5.3 be,5.5 e,5.5 e,5.5 e,3.7 e,4.2 e,5.3 e
Annual,Trains,Percentage,European Union - 27 countries (from 2020),6.5 be,6.3 be,6.5 be,6.6 be,6.7 be,6.6 e,6.6 be,6.6 e,6.6 be,6.6 e,6.6 be,6.8 e,5.2 e,5.4 e,7.0 e
Annual,Trains,Percentage,Finland,4.9,4.7,4.7,4.6,4.8,4.8,4.6,4.8,4.4 b,4.9,5.1,5.5,3.7,3.9,5.9
