Time frequency,Size classes in number of persons employed,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0,2020.0
Annual,From 10 to 49 persons employed,Percentage,United Kingdom,46.2,15.3 b,26.6 b,:
Annual,From 50 to 249 persons employed,Percentage,Austria,55.7,61.6 b,58.9 b,58.5
Annual,From 50 to 249 persons employed,Percentage,Belgium,11.1,14.2 b,15.1 b,19.6
Annual,From 50 to 249 persons employed,Percentage,Bulgaria,8.3,11.5 b,9.2 b,5.6
Annual,From 50 to 249 persons employed,Percentage,Cyprus,9.2,6.8 b,15.9 b,20.6
Annual,From 50 to 249 persons employed,Percentage,Czechia,9.6,5.9 b,33.8 b,34.8
Annual,From 50 to 249 persons employed,Percentage,Germany,66.2,71.7 b,72.8 b,73.0
Annual,From 50 to 249 persons employed,Percentage,Denmark,56.0,61.1 b,53.9 b,56.8
Annual,From 50 to 249 persons employed,Percentage,Estonia,2.1,36.4 b,33.5 b,25.2
Annual,From 50 to 249 persons employed,Percentage,Greece,5.2,10.3 b,17.5 b,5.3
Annual,From 50 to 249 persons employed,Percentage,Spain,22.0,6.7 b,14.4 b,16.9
Annual,From 50 to 249 persons employed,Percentage,European Union - 27 countries (from 2020),34.5,31.5 b,40.1 b,43.6
Annual,From 50 to 249 persons employed,Percentage,European Union - 28 countries (2013-2020),38.9,30.7 b,40.7 b,:
Annual,From 50 to 249 persons employed,Percentage,Finland,18.3,30.0 b,23.1 b,22.8
Annual,From 50 to 249 persons employed,Percentage,France,49.6,21.5 b,49.1 b,67.0
Annual,From 50 to 249 persons employed,Percentage,Croatia,:,23.4 b,19.2 b,16.6
Annual,From 50 to 249 persons employed,Percentage,Hungary,11.6,12.9 b,18.5 b,16.4
Annual,From 50 to 249 persons employed,Percentage,Ireland,28.2,:,21.0 b,19.6
Annual,From 50 to 249 persons employed,Percentage,Italy,40.1,28.8 b,34.5 b,44.4
Annual,From 50 to 249 persons employed,Percentage,Lithuania,27.2,0.8 b,3.0 b,3.2
Annual,From 50 to 249 persons employed,Percentage,Luxembourg,32.5,30.7 b,33.8 b,35.4
Annual,From 50 to 249 persons employed,Percentage,Latvia,7.9,9.7 b,15.7 b,21.6
Annual,From 50 to 249 persons employed,Percentage,North Macedonia,:,:,13.7 b,12.4
Annual,From 50 to 249 persons employed,Percentage,Malta,17.9,22.2 b,24.8 b,29.1
Annual,From 50 to 249 persons employed,Percentage,Netherlands,44.8,43.9 b,62.0 b,53.4
Annual,From 50 to 249 persons employed,Percentage,Norway,47.0,44.3 b,39.1 b,40.2
Annual,From 50 to 249 persons employed,Percentage,Poland,10.9,5.4 b,7.8 b,8.4
Annual,From 50 to 249 persons employed,Percentage,Portugal,10.9,13.4 b,20.7 b,21.2
Annual,From 50 to 249 persons employed,Percentage,Romania,4.0,3.8 b,6.2 b,9.0
Annual,From 50 to 249 persons employed,Percentage,Serbia,:,:,:,15.7
Annual,From 50 to 249 persons employed,Percentage,Sweden,7.4,3.3 b,15.0 b,16.2 b
Annual,From 50 to 249 persons employed,Percentage,Slovenia,15.7,9.4 b,37.9 b,37.0
Annual,From 50 to 249 persons employed,Percentage,Slovakia,1.7,15.6 b,32.5 b,27.8
Annual,From 50 to 249 persons employed,Percentage,United Kingdom,63.9,25.0 b,45.0 b,:
Annual,250 persons employed or more,Percentage,Austria,83.0,77.0 b,80.5 b,75.6
Annual,250 persons employed or more,Percentage,Belgium,16.2,19.6 b,17.8 b,20.0
Annual,250 persons employed or more,Percentage,Bulgaria,13.1,32.8 b,16.2 b,13.6
Annual,250 persons employed or more,Percentage,Cyprus,6.2,21.4 b,23.9 b,35.4
Annual,250 persons employed or more,Percentage,Czechia,15.8,13.3 b,55.0 b,62.0
Annual,250 persons employed or more,Percentage,Germany,79.4,85.6 b,93.6 b,93.8
Annual,250 persons employed or more,Percentage,Denmark,78.1,87.4 b,70.6 b,79.1
Annual,250 persons employed or more,Percentage,Estonia,8.5,69.0 b,64.4 b,47.5
Annual,250 persons employed or more,Percentage,Greece,11.3,16.1 b,24.0 b,23.9
Annual,250 persons employed or more,Percentage,Spain,38.8,8.6 b,21.2 b,30.1
Annual,250 persons employed or more,Percentage,European Union - 27 countries (from 2020),48.4,44.4 b,57.2 b,58.5
Annual,250 persons employed or more,Percentage,European Union - 28 countries (2013-2020),52.3,44.2 b,58.8 b,:
Annual,250 persons employed or more,Percentage,Finland,43.7,56.5 b,46.5 b,48.9
Annual,250 persons employed or more,Percentage,France,78.1,42.1 b,80.9 b,90.5
Annual,250 persons employed or more,Percentage,Croatia,:,38.1 b,34.5 b,29.2
Annual,250 persons employed or more,Percentage,Hungary,15.8,26.2 b,32.3 b,31.8
Annual,250 persons employed or more,Percentage,Ireland,36.6,:,27.8 b,35.6
Annual,250 persons employed or more,Percentage,Italy,36.6,33.2 b,38.9 b,46.7
Annual,250 persons employed or more,Percentage,Lithuania,59.2,2.5 b,10.7 b,6.8
Annual,250 persons employed or more,Percentage,Luxembourg,39.8,33.4 b,40.1 b,34.3
Annual,250 persons employed or more,Percentage,Latvia,21.2,21.2 b,33.0 b,45.7
Annual,250 persons employed or more,Percentage,North Macedonia,:,:,21.2 b,29.8
Annual,250 persons employed or more,Percentage,Malta,49.1,47.2 b,45.5 b,50.0
Annual,250 persons employed or more,Percentage,Netherlands,43.9,59.8 b,70.5 b,70.0
Annual,250 persons employed or more,Percentage,Norway,77.3,63.0 b,61.5 b,61.6
Annual,250 persons employed or more,Percentage,Poland,9.9,8.9 b,10.6 b,10.4
Annual,250 persons employed or more,Percentage,Portugal,19.6,19.0 b,15.9 b,20.3
Annual,250 persons employed or more,Percentage,Romania,6.7,10.6 b,15.4 b,19.7
Annual,250 persons employed or more,Percentage,Serbia,:,:,:,24.8
Annual,250 persons employed or more,Percentage,Sweden,6.5,4.0 b,17.8 b,21.3 b
Annual,250 persons employed or more,Percentage,Slovenia,15.3,11.4 b,59.7 b,57.9
Annual,250 persons employed or more,Percentage,Slovakia,6.6,26.6 b,43.7 b,38.7
Annual,250 persons employed or more,Percentage,United Kingdom,67.0,43.2 b,68.8 b,:
Annual,Total,Percentage,Austria,48.8,47.4 b,44.5 b,43.9
Annual,Total,Percentage,Belgium,9.1,15.4 b,16.1 b,17.4
Annual,Total,Percentage,Bulgaria,4.4,6.4 b,7.6 b,3.8
Annual,Total,Percentage,Cyprus,2.0,5.0 b,9.5 b,15.3
Annual,Total,Percentage,Czechia,3.3,4.4 b,24.9 b,26.3
Annual,Total,Percentage,Germany,55.4,62.4 b,63.6 b,58.6
Annual,Total,Percentage,Denmark,45.2,51.3 b,38.6 b,38.8
Annual,Total,Percentage,Estonia,1.2,19.2 b,22.0 b,15.1
Annual,Total,Percentage,Greece,2.6,6.9 b,9.7 b,5.6
Annual,Total,Percentage,Spain,14.3,6.8 b,13.0 b,11.1
Annual,Total,Percentage,European Union - 27 countries (from 2020),28.1,25.1 b,30.5 b,32.4
Annual,Total,Percentage,European Union - 28 countries (2013-2020),30.8,24.2 b,30.5 b,:
Annual,Total,Percentage,Finland,17.2,21.2 b,16.6 b,17.9
Annual,Total,Percentage,France,37.0,22.6 b,32.9 b,48.8
Annual,Total,Percentage,Croatia,:,15.3 b,14.4 b,10.8
Annual,Total,Percentage,Hungary,6.2,9.5 b,13.5 b,9.9
Annual,Total,Percentage,Ireland,24.4,:,16.3 b,17.6
Annual,Total,Percentage,Italy,39.8,32.0 b,31.0 b,41.0
Annual,Total,Percentage,Lithuania,16.5,0.6 b,1.9 b,2.3
Annual,Total,Percentage,Luxembourg,27.5,24.1 b,23.6 b,23.8
Annual,Total,Percentage,Latvia,5.1,4.8 b,8.2 b,11.4
Annual,Total,Percentage,North Macedonia,:,:,10.6 b,10.4
Annual,Total,Percentage,Malta,12.1,16.0 b,16.1 b,17.1
Annual,Total,Percentage,Netherlands,41.3,33.7 b,50.9 b,41.6
Annual,Total,Percentage,Norway,24.9,31.9 b,27.2 b,34.0
Annual,Total,Percentage,Poland,8.9,4.6 b,7.5 b,6.4
Annual,Total,Percentage,Portugal,5.1,11.9 b,14.8 b,18.3
Annual,Total,Percentage,Romania,1.8,2.6 b,4.0 b,3.5
Annual,Total,Percentage,Serbia,:,:,:,11.3
Annual,Total,Percentage,Sweden,7.3,6.6 b,15.6 b,15.4 b
Annual,Total,Percentage,Slovenia,9.6,8.3 b,32.1 b,26.0
Annual,Total,Percentage,Slovakia,1.2,16.2 b,32.8 b,21.3
Annual,Total,Percentage,United Kingdom,50.9,17.6 b,30.5 b,:
