Time frequency,Income situation in relation to the risk of poverty threshold,Unit of measure,Type of household,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Percentage,Single person,Finland,19.5,19.6,19.9,20.1,20.3,20.6,21.5,22.6,23.2,24.4,25.4,25.8
Annual,Total,Percentage,Single person,France,15.6,15.9,16.0,16.4,16.1,16.4,16.5,18.1,15.7 b,17.4,17.7 b,18.0
Annual,Total,Percentage,Single person,Croatia,8.8,8.8,8.8,8.8,8.8,8.8,8.9,8.9,8.8,9.2,9.6,9.9
Annual,Total,Percentage,Single person,Hungary,12.8,13.4,13.6,14.1,14.5,14.5,14.3,14.3,13.7,13.7,13.9,13.8
Annual,Total,Percentage,Single person,Ireland,8.1,8.2,7.9,8.4,8.7,9.1,10.0,7.9 b,8.3 b,8.3,8.1,8.3
Annual,Total,Percentage,Single person,Iceland,12.8,11.9,11.8,12.7,12.7,15.6,15.5,10.4,:,:,:,:
Annual,Total,Percentage,Single person,Italy,13.3,13.7,14.0,13.6,13.8,13.8,14.0,14.3,14.0,14.4,16.1,16.0
Annual,Total,Percentage,Single person,Lithuania,15.1,16.1,15.8,16.8,17.6,17.7,17.3,17.7,17.4,19.5,22.7,24.6
Annual,Total,Percentage,Single person,Luxembourg,13.6,13.4,13.9,13.8,10.9 b,10.1,14.7,14.5,15.9 b,17.9 b,17.0 b,16.8
Annual,Total,Percentage,Single person,Latvia,12.7,12.7,13.7,12.9,13.0,14.2,15.3,15.7,15.3,15.7,16.6,17.3
Annual,Total,Percentage,Single person,Montenegro,:,5.2,5.4,5.6,5.8,8.5,6.0,5.9,6.0,6.4,6.4,:
Annual,Total,Percentage,Single person,North Macedonia,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,:,:,:
Annual,Total,Percentage,Single person,Malta,8.5,8.9,9.3,9.9,10.2,10.5,10.8,11.1,11.4,11.4,11.5,11.6
Annual,Total,Percentage,Single person,Netherlands,16.6,16.8,16.8,17.1 p,17.5 b,17.7,17.8,18.0,18.1,18.0,18.4,18.7
Annual,Total,Percentage,Single person,Norway,19.6,19.8,19.2,22.1,22.4,24.3,23.3,23.1,23.8,22.6 b,22.8,23.3
Annual,Total,Percentage,Single person,Poland,8.7,8.7,8.7,8.9,8.9,9.0,9.1,9.2,9.2,8.9,8.5,8.7
Annual,Total,Percentage,Single person,Portugal,7.4,7.7,8.4,8.6,8.6,9.0,9.3,9.3,8.4,10.0 b,9.9,9.8
Annual,Total,Percentage,Single person,Romania,9.3,9.7,10.0,10.5,11.0,11.0,11.2,11.5,11.9,12.4,12.9,12.9
Annual,Total,Percentage,Single person,Serbia,:,7.7,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,8.3,:
Annual,Total,Percentage,Single person,Sweden,19.8,20.5,20.4,20.4,20.5,20.0,20.8,23.6,22.3,22.7,23.5,24.1
Annual,Total,Percentage,Single person,Slovenia,11.5,11.9,11.7,11.8,12.3,12.0,12.0,12.1,11.6,11.5,12.6,12.7
Annual,Total,Percentage,Single person,Slovakia,8.7,8.1,9.1,8.2,7.8,7.9,6.9,6.3,5.6,5.5,3.1,3.8
Annual,Total,Percentage,Single person,Türkiye,2.4,2.5,3.9,4.1,4.3,4.5,4.7,5.0,5.4,5.8,6.1,6.1
Annual,Total,Percentage,Single person,United Kingdom,12.4 b,12.2,12.3,12.3,12.7,12.8 b,13.1,:,:,:,:,:
Annual,Total,Percentage,Two adults younger than 65 years,Albania,:,:,:,:,:,5.2,4.5,4.8,4.7,4.4,:,:
Annual,Total,Percentage,Two adults younger than 65 years,Austria,13.2,13.2,13.6,13.8,14.0,13.8,15.2,15.4,15.3,15.4,15.5,15.3
Annual,Total,Percentage,Two adults younger than 65 years,Belgium,13.9,13.1,13.0,13.2,13.1,12.9,12.5,13.1 b,13.1,12.7,12.2,12.0
Annual,Total,Percentage,Two adults younger than 65 years,Bulgaria,9.1,9.3,10.0,10.5,10.3 b,10.6,9.8,9.9,9.6,9.3,8.9,9.3
Annual,Total,Percentage,Two adults younger than 65 years,Switzerland,18.5,18.4,17.6 b,17.2,17.2,16.9,16.6,16.8,16.7,16.6,16.5,16.3
Annual,Total,Percentage,Two adults younger than 65 years,Cyprus,10.4,10.1,12.3,12.6,11.6,11.3,11.5,11.4,11.6,12.5,13.1,12.5
Annual,Total,Percentage,Two adults younger than 65 years,Czechia,13.9,13.7,13.5,13.8,13.8,13.6,12.6,12.4,12.2,12.4,12.6,12.7
Annual,Total,Percentage,Two adults younger than 65 years,Germany,16.5,16.3,16.6,16.7,17.1,17.0,16.8,16.9,17.1 b,16.5,16.2,16.2
Annual,Total,Percentage,Two adults younger than 65 years,Denmark,15.5,15.7,15.4,15.5,15.6,17.0,17.1,17.9,17.7,17.2,17.1,16.4
Annual,Total,Percentage,Two adults younger than 65 years,Euro area - 19 countries  (2015-2022),13.4,13.2,13.0,13.2,13.2,13.2,13.2,13.0,12.9,12.5,:,:
Annual,Total,Percentage,Two adults younger than 65 years,Euro area – 20 countries (from 2023),:,:,13.0,13.1,13.1,13.1,13.1,12.9,12.8,12.4,12.2,12.2
Annual,Total,Percentage,Two adults younger than 65 years,Estonia,13.7,13.6,13.5 b,13.2,12.9,13.3,13.1,13.6,13.9,13.0,12.8,12.5
Annual,Total,Percentage,Two adults younger than 65 years,Greece,7.9,9.6,9.6,9.6,9.2,9.1,9.0,8.9,8.8,8.4,8.6,9.3
Annual,Total,Percentage,Two adults younger than 65 years,Spain,11.8,11.9,11.6,11.6,11.6,11.2,11.6,11.4,11.0,11.0,11.1,10.5
Annual,Total,Percentage,Two adults younger than 65 years,European Union - 27 countries (2007-2013),13.4,13.4,13.2,13.3,13.2,13.1,13.1,13.0 e,:,:,:,:
Annual,Total,Percentage,Two adults younger than 65 years,European Union - 27 countries (from 2020),13.1 e,12.9 e,12.7 e,12.8 e,12.8 e,12.8 e,12.8 e,12.6 e,12.5,12.2,12.0,12.0
Annual,Total,Percentage,Two adults younger than 65 years,European Union - 28 countries (2013-2020),13.4,13.3,13.1,13.2,13.1,13.1,13.0,12.9 e,:,:,:,:
Annual,Total,Percentage,Two adults younger than 65 years,Finland,19.6,19.5,19.2,18.9,18.2,18.1,17.4,16.7,17.0,16.8,16.7,16.8
Annual,Total,Percentage,Two adults younger than 65 years,France,16.1,15.4,14.4,15.1,14.4,14.8,14.5,13.7,12.6 b,12.0,11.5 b,11.9
Annual,Total,Percentage,Two adults younger than 65 years,Croatia,8.0,7.7,7.7,7.5,7.1,7.0,6.7,7.0,6.9,6.9,6.8,6.9
Annual,Total,Percentage,Two adults younger than 65 years,Hungary,13.6,13.7,13.7,13.7,13.5,13.8,12.8,13.3,13.5,13.7,13.5,13.3
Annual,Total,Percentage,Two adults younger than 65 years,Ireland,11.3,11.5,10.7,10.5,9.8,10.4,10.3,10.1 b,10.2 b,9.8,10.1,10.3
Annual,Total,Percentage,Two adults younger than 65 years,Iceland,12.4,13.3,12.3,11.5,11.6,12.3,12.9,10.3,:,:,:,:
Annual,Total,Percentage,Two adults younger than 65 years,Italy,8.8,8.4,8.1,8.2,8.4,8.3,8.4,8.4,9.0,8.4,8.1,8.0
Annual,Total,Percentage,Two adults younger than 65 years,Lithuania,10.3,10.6,11.9,11.9,12.7,12.5,12.7,12.8,12.4,13.3,12.7,13.5
Annual,Total,Percentage,Two adults younger than 65 years,Luxembourg,12.4,11.5,11.5,12.5,11.6 b,12.1,14.0,15.4,13.6 b,14.3 b,13.4 b,13.4
Annual,Total,Percentage,Two adults younger than 65 years,Latvia,11.7,12.8,12.6,12.5,12.2,12.7,12.1,13.0,11.5,11.8,11.4,11.9
Annual,Total,Percentage,Two adults younger than 65 years,Montenegro,:,5.6,5.5,5.0,5.1,5.2,4.7,4.8,4.7,4.9,4.3,:
Annual,Total,Percentage,Two adults younger than 65 years,North Macedonia,4.6,4.8,4.3,4.3,4.4,4.7,4.7,4.8,4.8,:,:,:
Annual,Total,Percentage,Two adults younger than 65 years,Malta,11.1,10.3,10.4,10.6,10.8,10.6,11.7,12.9,12.7,12.7,12.9,13.6
Annual,Total,Percentage,Two adults younger than 65 years,Netherlands,15.5,15.3,15.0,14.6 p,15.0 b,15.0,15.0,14.8,14.8,14.7,14.6,14.0
Annual,Total,Percentage,Two adults younger than 65 years,Norway,15.3,15.4,15.2,14.8,14.7,15.0,15.1,15.1,14.1,15.2 b,14.1,14.5
Annual,Total,Percentage,Two adults younger than 65 years,Poland,10.6,10.7,10.5,10.4,10.4,10.5,10.3,10.3,10.0,9.7,9.8,9.7
Annual,Total,Percentage,Two adults younger than 65 years,Portugal,10.0,10.3,10.8,10.3,10.1,10.2,10.6,10.6,9.6,9.8 b,9.4,9.7
Annual,Total,Percentage,Two adults younger than 65 years,Romania,10.8,10.8,10.5,10.0,9.9,9.9,10.2,9.9,9.8,9.7,9.6,9.3
Annual,Total,Percentage,Two adults younger than 65 years,Serbia,:,8.6,7.9,7.5,7.4,7.1,6.6,6.1,5.9,6.0,5.8,:
Annual,Total,Percentage,Two adults younger than 65 years,Sweden,16.2,16.1,16.1,15.8,15.4,15.5,14.6,13.7,14.4,13.8,13.8,13.7
Annual,Total,Percentage,Two adults younger than 65 years,Slovenia,9.7,9.7,9.7,9.6,9.1,9.2,9.3,9.2,9.6,9.6,10.0,9.6
Annual,Total,Percentage,Two adults younger than 65 years,Slovakia,7.5,6.7,7.6,8.6,8.7,8.8,9.4,9.7,9.2,9.2,10.9,10.9
Annual,Total,Percentage,Two adults younger than 65 years,Türkiye,6.8,7.0,7.1,7.3,7.4,7.4,7.4,7.4,7.2,7.2,7.6,7.5
Annual,Total,Percentage,Two adults younger than 65 years,United Kingdom,15.6 b,16.2,15.8,15.8,15.1,14.7 b,14.7,:,:,:,:,:
Annual,Total,Percentage,Three or more adults,Albania,:,:,:,:,:,16.7,18.5,19.6,18.8,17.1,:,:
Annual,Total,Percentage,Three or more adults,Austria,12.5,12.1,11.2,11.2,10.9,11.5,10.6,11.6,11.1,10.9,10.3,9.3
Annual,Total,Percentage,Three or more adults,Belgium,7.6,7.6,8.0,7.8,7.6,7.3,7.6,6.5 b,6.8,6.6,4.9,5.1
Annual,Total,Percentage,Three or more adults,Bulgaria,18.6,19.8,19.4,17.2,15.9 b,15.2,14.0,14.1,14.0,13.1,13.0,11.9
Annual,Total,Percentage,Three or more adults,Switzerland,8.6,8.0,8.1 b,7.6,7.3,8.1,6.8,7.5,7.9,7.4,7.1,7.7
Annual,Total,Percentage,Three or more adults,Cyprus,14.2,14.5,11.0,9.9,10.4,9.7,11.3,12.2,11.4,8.8,6.2,6.6
Annual,Total,Percentage,Three or more adults,Czechia,13.4,12.7,13.0,12.5,12.0,11.9,12.0,11.1,10.7,9.7,8.8,8.3
Annual,Total,Percentage,Three or more adults,Germany,6.9,6.5,6.6,6.6,6.5,6.6,6.3,5.8,7.4 b,6.5,6.8,6.8
Annual,Total,Percentage,Three or more adults,Denmark,2.9,2.2,2.4,2.7,2.5,2.8,3.4,3.9,4.6,4.4,4.7,4.4
Annual,Total,Percentage,Three or more adults,Euro area - 19 countries  (2015-2022),11.3,10.6,10.6,10.6,10.6,10.6,10.5,10.4,11.0,9.8,:,:
Annual,Total,Percentage,Three or more adults,Euro area – 20 countries (from 2023),:,:,10.7,10.7,10.7,10.7,10.6,10.5,11.1,9.9,9.9,9.9
Annual,Total,Percentage,Three or more adults,Estonia,9.8,9.2,9.8 b,10.3,10.2,9.8,8.9,8.1,7.4,6.9,6.2,6.5
Annual,Total,Percentage,Three or more adults,Greece,23.7,20.7,19.3,20.1,20.3,20.6,20.0,19.9,20.1,18.6,20.2,16.8
Annual,Total,Percentage,Three or more adults,Spain,17.7,16.9,16.7,17.1,16.4,16.7,16.5,17.5,16.8,15.8,15.3,15.3
Annual,Total,Percentage,Three or more adults,European Union - 27 countries (2007-2013),11.5,11.1,11.3,11.2,11.2,11.0,10.9,10.8 e,:,:,:,:
Annual,Total,Percentage,Three or more adults,European Union - 27 countries (from 2020),11.7 e,11.2 e,11.4 e,11.3 e,11.3 e,11.3 e,11.1 e,11.0 e,11.4,10.5,10.4,10.4
Annual,Total,Percentage,Three or more adults,European Union - 28 countries (2013-2020),11.6,11.1,11.3,11.3,11.2,11.1,11.0,10.9 e,:,:,:,:
Annual,Total,Percentage,Three or more adults,Finland,3.1,3.0,3.3,3.4,3.3,3.5,3.3,3.3,2.7,2.4,1.8,1.9
Annual,Total,Percentage,Three or more adults,France,5.8,4.8,4.7,5.1,5.4,4.9,5.3,4.5,6.0 b,4.8,5.0 b,5.5
Annual,Total,Percentage,Three or more adults,Croatia,19.0,19.2,19.2,19.9,20.2,20.5,20.6,20.7,20.4,19.5,20.4,20.6
Annual,Total,Percentage,Three or more adults,Hungary,12.0,12.3,12.2,12.8,12.7,12.2,11.5,11.3,12.0,11.2,10.7,11.1
Annual,Total,Percentage,Three or more adults,Ireland,10.6,9.5,11.2,9.8,10.0,9.8,9.2,16.3 b,13.4 b,12.6,13.2,14.1
Annual,Total,Percentage,Three or more adults,Iceland,5.4,6.2,6.5,7.0,7.6,6.8,7.0,10.0,:,:,:,:
Annual,Total,Percentage,Three or more adults,Italy,16.8,16.2,16.6,16.3,16.7,16.9,16.9,17.2,17.1,15.0,15.0,14.8
Annual,Total,Percentage,Three or more adults,Lithuania,11.5,10.8,11.3,11.0,9.7,10.1,9.4,10.1,11.4,8.8,7.9,6.1
Annual,Total,Percentage,Three or more adults,Luxembourg,9.5,8.3,9.8,10.5,10.6 b,10.1,7.5,7.4,6.9 b,5.8 b,6.8 b,7.4
Annual,Total,Percentage,Three or more adults,Latvia,13.9,13.7,14.3,13.6,13.4,12.4,11.9,10.7,11.2,10.0,9.8,8.7
Annual,Total,Percentage,Three or more adults,Montenegro,:,16.7,15.7,17.7,18.8,16.8,16.8,19.0,19.2,16.8,17.1,:
Annual,Total,Percentage,Three or more adults,North Macedonia,19.6,19.9,21.2,21.0,22.5,23.2,23.1,24.0,25.3,:,:,:
Annual,Total,Percentage,Three or more adults,Malta,25.8,19.6,19.0,17.3,16.7,16.2,14.9,14.8,15.9,15.5,15.7,22.0
Annual,Total,Percentage,Three or more adults,Netherlands,5.7,5.9,5.4,5.6 p,5.5 b,5.5,5.1,5.1,5.2,5.0,5.0,5.1
Annual,Total,Percentage,Three or more adults,Norway,2.5,2.6,2.8,3.3,3.2,2.8,2.9,2.9,3.0,3.4 b,4.0,4.1
Annual,Total,Percentage,Three or more adults,Poland,16.2,16.0,17.4,16.5,17.0,17.3,17.5,17.6,17.1,18.0,18.3,19.1
Annual,Total,Percentage,Three or more adults,Portugal,19.2,18.0,17.3,16.7,16.9,16.2,15.6,15.6,17.8,15.7 b,16.2,16.2
Annual,Total,Percentage,Three or more adults,Romania,13.6,14.0,14.6,15.4,15.7,14.8,14.6,13.7,13.3,12.0,11.6,11.5
Annual,Total,Percentage,Three or more adults,Serbia,:,19.4,19.8,19.7,19.6,20.6,20.3,21.1,21.3,19.4,28.5,:
Annual,Total,Percentage,Three or more adults,Sweden,3.4,3.5,3.4,3.5,3.5,3.7,3.3,3.1,3.3,2.8,2.8,2.7
Annual,Total,Percentage,Three or more adults,Slovenia,13.8,13.7,14.1,13.5,13.8,14.2,13.7,14.1,13.8,12.8,12.6,12.1
Annual,Total,Percentage,Three or more adults,Slovakia,19.8,18.4,21.4,19.4,19.7,20.7,19.4,19.4,21.0,18.7,18.2,19.5
Annual,Total,Percentage,Three or more adults,Türkiye,11.3,11.6,11.2,11.5,11.9,12.2,12.5,12.8,12.5,10.8,11.9,12.9
Annual,Total,Percentage,Three or more adults,United Kingdom,10.6 b,10.6,11.0,11.2,10.6,9.6 b,10.1,:,:,:,:,:
