Time frequency,Unit of measure,International Standard Classification of Education (ISCED 2011),Sex,Age class,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Greece,9.3,9.4,9.7,10.6,10.8,10.9,10.6,10.6,10.2 b,9.9
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Spain,16.7,15.7 b,15.6,15.1,15.6,16.2,16.4,16.9,20.4 b,21.2
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,European Union - 27 countries (from 2020),16.1 b,16.3,16.2,16.3,16.4,16.6,16.9,15.4,17.0 b,17.9
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Finland,29.8,29.9,29.8,30.7,31.6,32.6,33.1,31.3,34.7 b,30.0
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,France,23.9 b,24.5 b,24.3,24.5,24.4,24.2,25.4,19.6,17.7 b,19.8
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Croatia,9.8,9.2,9.8,8.8,8.2,9.1,9.3,9.0,11.0 b,10.6
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Hungary,10.1,9.9,13.5 b,12.2,11.7,11.5 b,11.2,10.2,11.3 b,13.2
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Ireland,13.0,12.6,12.0,12.0,15.0 b,18.4,19.0,17.6,20.5 b,18.6
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Iceland,32.4,32.3,34.0,30.1,29.2,26.7,27.8,26.8 b,30.2 b,32.1
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Italy,11.4,13.1,12.6,13.5,13.2,13.4 b,13.5,12.5,15.1 b,15.2
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Lithuania,14.5,13.5,13.7,13.8,13.6,14.0,13.8,13.7,13.9 b,14.1
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Luxembourg,21.9,21.6,25.4 b,23.0,23.2,23.6,24.7,22.8,23.9 b,24.9 u
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Latvia,13.8,12.1,11.5,12.8,12.6,11.5,13.0,12.0,13.9 b,14.8
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Montenegro,11.3,11.2,11.2,11.3,10.7,11.0,9.9,10.0,:,:
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,North Macedonia,10.9,10.6,9.3,9.4,8.6,8.5,8.9,8.7,:,:
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Malta,13.1,13.0,12.5,13.1,15.6 b,15.7,16.4,15.6,18.3 b,16.8
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Netherlands,25.1 b,25.6,26.3,26.3,26.7,26.7,27.0,26.6,33.7 b,33.4
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Norway,27.1,26.3,26.6,26.3,26.8,26.3,26.0,23.2,26.1 b,27.4
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Poland,12.1 b,11.2,10.6,10.4,10.3,11.7 b,10.9 b,10.0,11.5 b,13.7
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Portugal,15.5,15.5,15.7,15.6,15.7,16.3,16.5,16.3,19.1 b,20.0
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Romania,8.5,7.6,6.6,7.0,6.8,6.8,7.0,6.7,10.3 b,11.2
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Serbia,10.6,10.8 b,11.2,11.4,10.4,10.0,10.2,9.7,10.1 b,11.0
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Sweden,33.4,34.1,34.2,34.1,34.6,35.4 b,38.6,33.2,38.9 b,39.9
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Slovenia,20.1,19.3,18.4,18.1,18.2,17.5,17.1,14.7,25.5 b,28.5
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Slovakia,10.8,10.5,10.0,9.5,9.4,10.1,9.9,9.0,10.9 b,18.5 b
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,Türkiye,10.2,11.3 b,11.2,11.5,11.4,11.5,10.8,10.7,11.7 b,11.3
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 64 years,United Kingdom,20.9,20.7,20.1,18.8,18.8,18.9,19.0,:,:,:
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Austria,17.2,17.5,17.7,18.1,18.9,18.1,17.3,14.7,16.9 b,17.7
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,6.9,6.9
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Belgium,12.3,12.8,12.2,12.6,13.9 b,14.0,13.6,13.0,15.6 b,15.9
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Bulgaria,7.0,7.0,6.7,6.8,6.6,6.9,5.9 b,5.5,6.1 b,6.2
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Switzerland,31.1,32.1,32.4,32.6,32.4,32.8,33.3,29.1,24.4 b,23.2
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Cyprus,11.0,10.7,11.2,10.8,10.4,10.1,8.5,7.1,11.2 b,12.0
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Czechia,15.3 b,14.6,13.3,13.4,14.0,12.9,12.5,10.3,10.2 b,12.6
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Germany,12.6,12.6,12.8,13.1,13.1,12.9,12.9,12.5 b,12.2 b,12.4
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Denmark,35.0,35.3,34.7,31.9 b,29.9 b,26.5,28.4,23.9,25.7 b,30.5
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Euro area – 20 countries (from 2023),14.7 b,15.0,14.8,15.1,15.2,15.3,15.5,14.0,15.3 b,15.9
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Estonia,17.0,15.7,15.4,18.4,18.7,21.0,21.2,18.7,19.9 b,22.3
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Greece,8.0,8.1,8.3,9.1,9.3,9.3,9.1,9.0,8.6 b,8.4
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Spain,15.2,14.1 b,13.9,13.5,13.8,14.4,14.6,14.9,17.9 b,18.6
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,European Union - 27 countries (from 2020),14.4 b,14.5,14.3,14.4,14.5,14.6,14.8,13.3,14.7 b,15.6
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Finland,26.7,26.8,26.6,27.3,28.0,28.7,29.0,27.0,29.8 b,26.0
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,France,21.5 b,21.9 b,21.6,21.7,21.6,21.3,22.1,16.8,15.5 b,17.4
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Croatia,8.5,8.0,8.5,7.5,7.0,7.7,7.8,7.5,9.1 b,8.8
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Hungary,8.8,8.6,11.7 b,10.5,10.1,9.9 b,9.6,8.7,9.5 b,11.2
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Ireland,11.8,11.4,10.9,10.9,13.7 b,16.9,17.4,16.0,18.6 b,16.9
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Iceland,30.0,29.7,31.2,27.5,26.7,24.4,25.3,24.4 b,27.5 b,29.3
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Italy,9.9,11.5,11.0,11.8,11.5,11.6 b,11.7,10.7,12.9 b,13.0
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Lithuania,12.7,11.8,12.0,12.1,12.0,12.4,12.3,12.0,12.2 b,12.3
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Luxembourg,19.7,19.4,23.2 b,21.1,21.0,21.5,22.4,20.7,23.9 bu,23.9 u
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Latvia,12.1,10.5,10.0,11.1,10.9,10.0,11.2,10.4,11.9 b,12.7
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Montenegro,10.1,10.0,10.0,10.1,9.6,9.9,8.9,8.9,:,:
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,North Macedonia,9.8,9.5,8.3,8.4,7.6,7.5,7.8,7.6,:,:
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Malta,11.7,11.6,10.9,11.5,13.7 b,13.7,14.4,13.6,16.0 b,14.9
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Netherlands,22.2 b,22.6,23.2,23.1,23.4,23.3,23.6,23.1,29.6 b,29.4
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Norway,25.3,24.5,24.8,24.5,25.0,24.6,24.2,21.5,22.9 b,24.1
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Poland,10.8 b,10.0,9.4,9.1,9.0,10.2 b,9.4 b,8.5,9.7 b,11.5
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Portugal,13.7,13.6,13.8,13.7,13.7,14.1,14.3,13.8,16.2 b,17.0
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Romania,7.5,6.7,5.8,6.1,5.9,5.9,6.0,5.7,8.7 b,9.5
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Serbia,9.0,9.4 b,9.6,9.8,8.9,8.4,8.6,8.0,8.2 b,9.0
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Sweden,30.6,31.3,31.4,31.0,31.6,32.6 b,35.6,30.2,34.7 b,36.2
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Slovenia,18.3,17.4,16.4,16.1,16.2,15.6,15.1,12.8,22.2 b,24.9
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Slovakia,9.8,9.5,8.9,8.5,8.3,8.9,8.6,7.8,9.5 b,15.9 b
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,Türkiye,9.5,10.5 b,10.4,10.7,10.5,10.6,9.9,9.8,10.6 b,10.3
Annual,Percentage,All ISCED 2011 levels,Total,From 18 to 74 years,United Kingdom,18.9,18.8,18.2,16.9,16.8,16.9,17.0,:,:,:
