Time frequency,Household composition,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Two adults,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,76.7 i,71.5 i
Annual,Two adults,Percentage of disposable income,Euro area – 20 countries (from 2023),:,76.8 i,71.6 i
Annual,Two adults,Percentage of disposable income,Estonia,68 i,62.8 i,51.5 i
Annual,Two adults,Percentage of disposable income,Greece,97 i,98.2 i,78.5 i
Annual,Two adults,Percentage of disposable income,Spain,80 i,78.8 i,61.9 i
Annual,Two adults,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,77.5 i,70.2 i
Annual,Two adults,Percentage of disposable income,European Union - 27 countries (from 2020),:,75.8 i,70.2 i
Annual,Two adults,Percentage of disposable income,Finland,73.9 i,76.6 i,:
Annual,Two adults,Percentage of disposable income,France,67.3 i,64.9 i,69.8 i
Annual,Two adults,Percentage of disposable income,Croatia,90.1 i,91.9 i,81.9 i
Annual,Two adults,Percentage of disposable income,Hungary,79.4 i,82.5 i,76.2 i
Annual,Two adults,Percentage of disposable income,Ireland,76.3 i,73 i,:
Annual,Two adults,Percentage of disposable income,Italy,73.9 i,:,:
Annual,Two adults,Percentage of disposable income,Lithuania,71 i,61.2 i,50 i
Annual,Two adults,Percentage of disposable income,Luxembourg,70.3 i,77.9 i,66.8 i
Annual,Two adults,Percentage of disposable income,Latvia,86.2 i,76.3 i,70.5 i
Annual,Two adults,Percentage of disposable income,Malta,91.4 i,82.8 i,68.7 i
Annual,Two adults,Percentage of disposable income,Netherlands,:,79.2 i,71.5 i
Annual,Two adults,Percentage of disposable income,Poland,75.6 i,66 i,50.9 i
Annual,Two adults,Percentage of disposable income,Portugal,85 i,82.7 i,:
Annual,Two adults,Percentage of disposable income,Romania,88.4 i,88.3 i,87.5 i
Annual,Two adults,Percentage of disposable income,Sweden,75.4 i,65.6 i,:
Annual,Two adults,Percentage of disposable income,Slovenia,82.4 i,73 i,75.1 i
Annual,Two adults,Percentage of disposable income,Slovakia,72.6 i,76.5 i,71.9 i
Annual,Two adults,Percentage of disposable income,United Kingdom,77.4 e,86.4 i,:
Annual,Two adults with dependent children,Percentage of disposable income,Austria,87.3 i,82 i,78.2 i
Annual,Two adults with dependent children,Percentage of disposable income,Belgium,85.6 i,75.4 i,59.2 i
Annual,Two adults with dependent children,Percentage of disposable income,Bulgaria,61 e,79.6 i,66.4 i
Annual,Two adults with dependent children,Percentage of disposable income,Cyprus,100.6 i,95.1 i,82.9 i
Annual,Two adults with dependent children,Percentage of disposable income,Czechia,74.2 e,69.2 i,73.7 i
Annual,Two adults with dependent children,Percentage of disposable income,Germany,75.7 i,76.4 i,72.8 i
Annual,Two adults with dependent children,Percentage of disposable income,Denmark,89.3 i,56.2 i,55.2 i
Annual,Two adults with dependent children,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,78.8 i,70.5 i
Annual,Two adults with dependent children,Percentage of disposable income,Euro area – 20 countries (from 2023),:,79.1 i,70.7 i
Annual,Two adults with dependent children,Percentage of disposable income,Estonia,66.4 i,71.1 i,55.3 i
Annual,Two adults with dependent children,Percentage of disposable income,Greece,134 i,124.5 i,104.6 i
Annual,Two adults with dependent children,Percentage of disposable income,Spain,88.6 i,84.5 i,72 i
Annual,Two adults with dependent children,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,78.8 i,69.4 i
Annual,Two adults with dependent children,Percentage of disposable income,European Union - 27 countries (from 2020),:,78.4 i,69.4 i
Annual,Two adults with dependent children,Percentage of disposable income,Finland,80.4 i,83.7 i,:
Annual,Two adults with dependent children,Percentage of disposable income,France,73.1 i,71.3 i,64.5 i
Annual,Two adults with dependent children,Percentage of disposable income,Croatia,96.5 i,102.6 i,84.7 i
Annual,Two adults with dependent children,Percentage of disposable income,Hungary,83.8 i,82.3 i,72.7 i
Annual,Two adults with dependent children,Percentage of disposable income,Ireland,81.8 i,70.6 i,:
Annual,Two adults with dependent children,Percentage of disposable income,Italy,82.3 i,:,:
Annual,Two adults with dependent children,Percentage of disposable income,Lithuania,70.7 i,62.5 i,52 i
Annual,Two adults with dependent children,Percentage of disposable income,Luxembourg,72.2 i,77.1 i,67.6 i
Annual,Two adults with dependent children,Percentage of disposable income,Latvia,86.7 i,73.9 i,72.7 i
Annual,Two adults with dependent children,Percentage of disposable income,Malta,99.2 i,88.2 i,72.3 i
Annual,Two adults with dependent children,Percentage of disposable income,Netherlands,:,69.2 i,60.7 i
Annual,Two adults with dependent children,Percentage of disposable income,Poland,78.3 i,72.1 i,51.9 i
Annual,Two adults with dependent children,Percentage of disposable income,Portugal,110.6 i,88.3 i,:
Annual,Two adults with dependent children,Percentage of disposable income,Romania,104.4 i,97.4 i,80.3 i
Annual,Two adults with dependent children,Percentage of disposable income,Sweden,74.4 i,62.8 i,:
Annual,Two adults with dependent children,Percentage of disposable income,Slovenia,85.3 i,82.1 i,82.2 i
Annual,Two adults with dependent children,Percentage of disposable income,Slovakia,76.9 i,92.8 i,85.2 i
Annual,Two adults with dependent children,Percentage of disposable income,United Kingdom,72.3 e,81.6 i,:
Annual,Three or more adults,Percentage of disposable income,Austria,65.8 i,68.6 i,56.2 i
Annual,Three or more adults,Percentage of disposable income,Belgium,66.8 i,64.9 i,54.9 i
Annual,Three or more adults,Percentage of disposable income,Bulgaria,47.7 e,57.7 i,47.9 i
Annual,Three or more adults,Percentage of disposable income,Cyprus,73.8 i,70.9 i,62.3 i
Annual,Three or more adults,Percentage of disposable income,Czechia,67.5 e,60.7 i,51.3 i
Annual,Three or more adults,Percentage of disposable income,Germany,77.2 i,75.3 i,67.7 i
Annual,Three or more adults,Percentage of disposable income,Denmark,68.2 i,53.8 i,: u
Annual,Three or more adults,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,70.4 i,58.7 i
Annual,Three or more adults,Percentage of disposable income,Euro area – 20 countries (from 2023),:,70.6 i,58.9 i
Annual,Three or more adults,Percentage of disposable income,Estonia,58 i,48.6 i,39 i
Annual,Three or more adults,Percentage of disposable income,Greece,101.5 i,97.4 i,73.1 i
Annual,Three or more adults,Percentage of disposable income,Spain,73 i,69.5 i,55.3 i
Annual,Three or more adults,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,70.3 i,56.4 i
Annual,Three or more adults,Percentage of disposable income,European Union - 27 countries (from 2020),:,69.4 i,56.4 i
Annual,Three or more adults,Percentage of disposable income,Finland,62.2 i,66.6 i,:
Annual,Three or more adults,Percentage of disposable income,France,56.7 i,56.4 i,49.6 i
Annual,Three or more adults,Percentage of disposable income,Croatia,80.1 i,77.1 i,63.9 i
Annual,Three or more adults,Percentage of disposable income,Hungary,70 i,77.6 i,70.2 i
Annual,Three or more adults,Percentage of disposable income,Ireland,83 i,74.4 i,:
Annual,Three or more adults,Percentage of disposable income,Italy,60 i,:,:
Annual,Three or more adults,Percentage of disposable income,Lithuania,58 i,47.2 i,37.8 i
Annual,Three or more adults,Percentage of disposable income,Luxembourg,60.5 i,58.3 i,53.3 i
Annual,Three or more adults,Percentage of disposable income,Latvia,70.9 i,56.5 i,50 i
Annual,Three or more adults,Percentage of disposable income,Malta,73.9 i,73.8 i,61 i
Annual,Three or more adults,Percentage of disposable income,Netherlands,:,69.9 i,55.5 i
Annual,Three or more adults,Percentage of disposable income,Poland,62.2 i,62.8 i,40.2 i
Annual,Three or more adults,Percentage of disposable income,Portugal,75.7 i,70.6 i,:
Annual,Three or more adults,Percentage of disposable income,Romania,75.6 i,78.2 i,73.3 i
Annual,Three or more adults,Percentage of disposable income,Sweden,72.1 i,59.6 i,:
Annual,Three or more adults,Percentage of disposable income,Slovenia,66.6 i,65.6 i,66.4 i
Annual,Three or more adults,Percentage of disposable income,Slovakia,56.9 i,64.5 i,55.1 i
Annual,Three or more adults,Percentage of disposable income,United Kingdom,71.6 e,75.5 i,:
Annual,Three or more adults with dependent children,Percentage of disposable income,Austria,74.3 i,67.7 i,65.1 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Belgium,84 i,66.3 i,59.6 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Bulgaria,59.7 e,69.3 i,54.7 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Cyprus,89.3 i,94.1 i,83.7 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Czechia,78.9 e,62.8 i,57.6 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Germany,79.8 i,67.4 i,78.2 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Denmark,77.6 i,57.5 i,: u
Annual,Three or more adults with dependent children,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,75.1 i,69.5 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Euro area – 20 countries (from 2023),:,75.7 i,69.7 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Estonia,61.8 i,54.7 i,46.1 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Greece,133.6 i,105.2 i,93.8 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Spain,77.4 i,84.4 i,69.1 i
Annual,Three or more adults with dependent children,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,74.9 i,62.9 i
Annual,Three or more adults with dependent children,Percentage of disposable income,European Union - 27 countries (from 2020),:,73.3 i,62.9 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Finland,73.9 i,69.4 u,:
Annual,Three or more adults with dependent children,Percentage of disposable income,France,67.2 i,60.9 i,60.4 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Croatia,89.9 i,87.8 i,73 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Hungary,72.5 i,77.1 i,66.9 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Ireland,96 i,71.4 i,:
Annual,Three or more adults with dependent children,Percentage of disposable income,Italy,75.3 i,:,:
Annual,Three or more adults with dependent children,Percentage of disposable income,Lithuania,59.2 i,59.4 i,34.1 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Luxembourg,64.3 i,66.5 i,64.5 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Latvia,72.4 i,60 i,58 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Malta,86.9 i,81.7 i,69.1 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Netherlands,:,69.2 i,70.4 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Poland,65.8 i,62.5 i,44.4 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Portugal,102.4 i,92.7 i,:
Annual,Three or more adults with dependent children,Percentage of disposable income,Romania,91.1 i,90.3 i,77.5 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Sweden,64.9 i,59.6 i,:
Annual,Three or more adults with dependent children,Percentage of disposable income,Slovenia,66.6 i,72.6 i,66.1 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Slovakia,68.6 i,71 i,59.2 i
Annual,Three or more adults with dependent children,Percentage of disposable income,United Kingdom,77.9 e,86.4 i,:
Annual,Total,Percentage of disposable income,Austria,89.1 i,80.1 i,76.9 i
Annual,Total,Percentage of disposable income,Belgium,89.3 i,81.8 i,67 i
Annual,Total,Percentage of disposable income,Bulgaria,54.9 e,72.6 i,59.2 i
Annual,Total,Percentage of disposable income,Cyprus,93 i,88.1 i,76.9 i
Annual,Total,Percentage of disposable income,Czechia,: u,66.9 i,70.1 i
Annual,Total,Percentage of disposable income,Germany,82.9 i,81.2 i,77.7 i
Annual,Total,Percentage of disposable income,Denmark,95.1 i,70.5 i,63.9 i
Annual,Total,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,78.4 i,73.2 i
Annual,Total,Percentage of disposable income,Euro area – 20 countries (from 2023),:,78.6 i,73.3 i
Annual,Total,Percentage of disposable income,Estonia,67.2 i,66.6 i,58 i
Annual,Total,Percentage of disposable income,Greece,116.5 i,110.2 i,90.7 i
Annual,Total,Percentage of disposable income,Spain,84.4 i,80.4 i,67.2 i
Annual,Total,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,79.2 i,71.6 i
Annual,Total,Percentage of disposable income,European Union - 27 countries (from 2020),:,78 i,71.6 i
Annual,Total,Percentage of disposable income,Finland,79.3 i,81.3 i,:
Annual,Total,Percentage of disposable income,France,71.1 i,67.5 i,70.2 i
Annual,Total,Percentage of disposable income,Croatia,91.9 i,93.9 i,79.2 i
Annual,Total,Percentage of disposable income,Hungary,82 i,84.6 i,77.5 i
Annual,Total,Percentage of disposable income,Ireland,82.5 i,74.5 i,:
Annual,Total,Percentage of disposable income,Italy,77.4 i,:,:
Annual,Total,Percentage of disposable income,Lithuania,75.3 i,62.6 i,53.7 i
Annual,Total,Percentage of disposable income,Luxembourg,70.5 i,73.3 i,68.6 i
Annual,Total,Percentage of disposable income,Latvia,87.8 i,72.4 i,69.3 i
Annual,Total,Percentage of disposable income,Malta,92.9 i,85.3 i,72.9 i
Annual,Total,Percentage of disposable income,Netherlands,:,79.4 i,73 i
Annual,Total,Percentage of disposable income,Poland,73.5 i,68.5 i,49.8 i
Annual,Total,Percentage of disposable income,Portugal,91.8 i,84.1 i,:
Annual,Total,Percentage of disposable income,Romania,98.5 i,95 i,88.5 i
Annual,Total,Percentage of disposable income,Sweden,82.5 i,74.9 i,:
Annual,Total,Percentage of disposable income,Slovenia,82.7 i,80.4 i,78.5 i
Annual,Total,Percentage of disposable income,Slovakia,70.8 i,81.3 i,71.7 i
Annual,Total,Percentage of disposable income,United Kingdom,: u,86.1 i,:
