Time frequency,Unit of measure,Sex,Country of citizenship,Age class,Activity and employment status,Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,France,41598.4,41678.7,41812.2,41997.3,42146.9,42384.2,42674.8,42844.5,43390.5 b,43642.1,44021.7 b,44250.1 b,44431.4,44588.0,44721.0,44865.9,45039.0,45205.3,45426.3,46943.5 b,47165.5,47403.4,47609.7,47775.8,47907.6,48054.6,48007.7 bd,48293.2 d,48423.5 d
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Croatia,:,:,:,:,:,:,:,3250.1,3288.3,3289.6,3301.1 b,3291.8,3326.8,3324.7,3312.5,3297.7,3283.5,3244.9 b,3219.9,3189.0,3150.3,3106.9,3055.3,3011.9,2984.2,2962.8,2940.4 b,2924.6,2926.2
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Hungary,:,7768.9,7768.8,7737.9,7700.6,7662.4,7773.4 b,7763.1,7747.6,7719.1,7722.3 b,7717.1,7703.5,7689.9,7676.1,7662.7,7649.3,7635.8,7609.7,7573.3,7537.9,7507.5,7460.4,7394.6 b,7370.8,7339.8,7304.0 b,7275.6,7254.2
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Ireland,2503.1,2550.1,2606.7,2687.0 b,2729.0,2777.4,2833.2,2899.3,2951.1,3003.0,3090.0 b,3179.7,3300.2 b,3363.4,3379.1,3374.2,3369.5,3372.1,3383.4,3404.5,3436.5,3479.2,3523.0 b,3570.4,3625.0,3669.8,3760.8 b,3846.0,3929.6
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Italy,44263.3,44363.6,44425.2,44459.2,44398.2,44432.4,44461.5,44538.3,44544.1,44076.6 b,44374.8 b,44493.6,44590.1,44868.8,45074.8,45175.5,45260.8,45382.1,45556.5,45626.4,45520.1,45371.6,45277.5,44756.2 b,44671.5,44570.4,44390.7 b,44127.3,44006.9
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Lithuania,:,:,:,2647.5,2635.8,2626.8,2605.8,2604.4 b,2605.5,2592.3,2566.1 b,2523.1,2501.1,2479.8,2461.0,2426.4,2327.6,2290.7,2261.9,2237.5,2211.5,2175.2,2129.1,2102.3,2090.7,2094.6,2094.7 b,2139.7,2186.3
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Luxembourg,309.3,314.2,319.3,321.3,323.7,324.6,329.0,329.8,335.8 b,339.3,342.8 b,346.8,353.5 b,357.5,372.6 b,378.1,389.6,399.5,403.3,410.3,425.1 b,436.2,452.9,458.2,467.6,477.7,484.4 b,490.6,503.1
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Latvia,:,:,:,1835.4,1832.8,1827.2,1789.0,1773.8 b,1764.7,1755.3,1740.7 b,1728.2,1715.6,1702.5,1674.3,1635.3,1595.3,1560.0,1536.1,1495.8,1472.6,1450.3,1423.4,1410.8,1399.5,1390.1,1381.4 b,1386.0,1377.7
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Malta,:,:,:,:,:,289.2,296.4,301.6,302.4,302.4,307.9 b,310.4,312.6,315.5,318.8,321.0,322.1,326.1,331.0,338.5,347.4,355.6,367.0,382.2,399.5,405.8,406.3 b,417.7,436.4
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Netherlands,11628.6,11668.5,11714.9,11767.9,11817.5,11888.3,11980.7,12058.9,12127.2,12183.4,12188.4 b,12220.5 b,12257.0,12315.2,12371.5,12412.4,12452.2,12540.7,12637.6,12664.6,12685.2,12768.0,12870.1,12936.5,13015.4,13094.3,13146.6 b,13227.8,13325.6
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Poland,:,:,27971.7,28239.3,28401.6,28775.0 b,28978.2,29173.1,29139.5 b,29138.1 b,29188.6 b,29283.4,29212.4,29090.9,29104.7,28609.4 b,28605.0,28577.3,28526.6,28451.9,28410.3,28081.6,27982.8,27851.9,28335.6 b,28415.7,28311.7 b,28131.4,27939.2
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Portugal,7639.5,7703.8,7743.2,7792.2 b,7845.8,7902.3,7954.8,7995.5,8014.0,8027.3,8036.4 b,8040.6,8046.4,8047.1,8044.0,8036.6,7999.3 b,7952.4,7903.7,7859.6,7834.0,7824.1,7812.8,7808.4,7819.0,7837.4,7849.8 b,7900.1,7961.3
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Romania,:,:,17096.8,17162.3,17172.5,17208.1,17277.0,17335.1,16922.4 b,16954.3,17019.7 b,17003.1,16983.7,16934.5,16885.5,15607.0 b,15522.8,15437.5,15370.1,15304.4,15225.7,15142.7,15026.5,14927.1,14821.6,14733.2,14561.2 b,14453.6,14380.3
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Sweden,6435.9,6431.9,6428.3,6428.9,6429.9,6439.0,6474.6 b,6508.5,6550.3,6596.1,6659.3 b,6724.3,6797.7,6873.6,6950.9,7017.8,7073.3,7114.5,7155.7,7205.2,7257.0,7322.4,7402.4,7459.8 b,7508.4,7534.8,7520.6 b,7553.4,7588.6
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Slovenia,:,1548.5,1553.1,1550.6,1560.1,1575.7,1577.6,1579.1,1583.3,1592.8,1591.4 b,1594.2,1601.7,1612.9,1607.3,1610.8,1606.7,1602.1,1595.7,1589.6,1585.6,1580.4,1577.2,1568.2,1576.6,1594.2,1575.6 b,1573.3,1579.2
Annual,Thousand persons,Total,Total,From 15 to 74 years,Population,Slovakia,:,:,:,4009.5,4039.7 b,4072.6,4098.2,4106.6,4111.5,4143.8,4189.1 b,4228.3,4239.7,4260.8,4289.5,4305.4,4271.5 b,4279.6,4285.6,4286.4,4285.5,4281.9,4274.8,4266.1,4258.1,4249.6,4207.8 b,4184.3,4163.6
