Time frequency,Unit of measure,Sex,Age class,Country of citizenship,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Lithuania,71.9 bu,: u,70.2 u,: u,59.9 u,59.7 u,57.0 u,63.6 u,68.5,72.4,70.6,70.6,70.2,74.6,81.6,80.0,71.6 b,77.4,79.7
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Luxembourg,62.0 b,57.6,63.0 b,49.7,61.9 b,64.9,63.4,63.3,64.9,61.3,59.2 b,59.1,60.9,58.4,64.6,63.5,66.4 b,72.2,69.7
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Latvia,60.2 b,79.6,68.2,71.8 b,58.8,54.8,59.3,59.1,60.2,62.8,64.1,63.9,65.3,66.5,69.3,70.0,66.6 b,69.4,72.0
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Montenegro,:,:,:,:,:,:,51.3,41.4,44.7,48.0,54.1,48.7,57.2,62.4,67.5,49.9,:,:,:
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,North Macedonia,:,24.1 u,16.8 u,: u,: u,: u,: u,17.0 u,: u,: u,: u,: u,: u,: u,31.3 u,34.3 u,:,:,:
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Malta,54.4 b,49.3,51.3,57.5,56.9,57.5,61.0,80.1,78.7,71.0,69.0,70.9,74.5,73.0,69.9,69.5,74.3 b,79.4,85.8
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Netherlands,43.9 b,48.4 b,52.1,59.2,57.3,54.9,54.5,55.6,52.0 b,52.7,52.7,52.7,53.5,56.6,60.2,56.9,56.7 b,62.5,62.1
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Norway,55.6 b,60.2 b,68.4,70.6,63.6,61.0,64.8,63.5,64.2,62.5,60.9,60.3,59.4,59.7,61.4,60.2,65.7 b,68.4,65.1
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Poland,53.0 bu,55.0,66.1,67.0,65.1,64.1 b,60.5,65.3,62.6,69.7,62.4,63.1,70.8,76.2,79.6 b,78.1,84.6 b,81.0,81.5
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Portugal,76.8 b,76.3,76.5,78.0,71.2,69.1,65.9 b,61.4,58.5,64.0,63.0,67.0,72.0,72.8,74.5,70.4,71.1 b,73.9,76.3
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Romania,: bu,73.5,68.4,63.2,66.8 u,: bu,: u,: u,: u,: u,: u,: u,: u,78.5 u,: u,: u,72.2 bu,70.7 u,65.9
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Serbia,:,:,:,:,:,41.7 u,42.5 u,45.3 u,30.6 u,36.8 b,44.5,35.2 u,38.2 u,50.6 u,42.1 u,32.1 u,39.2 bu,67.6 u,65.8
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Sweden,49.6 b,53.7,56.0,55.2,52.0,50.3,49.4,50.0,52.1,53.4,52.2,53.0,54.2,52.7 b,55.5,50.9,53.0 b,61.3,64.0
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Slovenia,50.9 bu,54.7 u,62.8,69.7,56.0,61.2,68.2,63.2,60.2,57.8,71.3,70.7,72.7,72.7,73.0,76.0,73.0 b,76.6,79.0
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,Slovakia,: bu,: u,: u,: u,: u,61.2 u,: bu,: u,: u,: u,80.4 u,66.8 u,74.3 u,71.7 u,67.7 u,64.3 u,: bu,85.2 u,81.2 u
Annual,Percentage,Total,From 20 to 64 years,Non-EU27 countries (from 2020) nor reporting country,United Kingdom,61.6 b,64.8,63.6 b,64.9 b,63.0,63.4,62.3,61.6,61.9,62.7,63.9,64.1,64.0,65.5,67.9,:,:,:,:
