Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Estonia,27.5,26.3,27.1,25.5,21.8 b,17.1,17.3,16.7,15.4,12.7,10.0,9.0,11.1,13.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Greece,56.6,62.0,75.6,80.5,80.4,79.7,78.6,78.8,75.9,71.9,71.6,72.6,70.4,68.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Spain,31.4,25.4,31.9,35.8,37.6,34.6,33.5,23.0,25.8,20.5,23.3,21.3,22.5,23.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,European Union - 27 countries (from 2020),25.8,25.4,27.0,28.0,26.9,25.3,22.9,20.7,19.6,17.2,18.6,17.1,18.1,18.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Finland,7.3,8.3,8.3,8.2,8.2,7.8,7.3,7.2,7.0,6.5,7.7,7.0,7.4,8.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,France,18.9,18.9,19.2,21.1,21.2,20.8,19.2,18.2,18.5,17.5,19.2 b,17.6,22.4 b,22.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Croatia,50.5,50.2,53.8,61.3,59.1,53.0,50.8,42.8,42.1,34.4,32.9,26.6,25.8,21.0 b
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Hungary,55.6,57.1,56.9,53.3,48.5,46.1,42.4,38.8,32.9,25.3,25.1,23.2,19.4,20.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Ireland,30.6,29.3,34.9,36.0,37.4,32.1,28.3,24.4,22.3,20.8 b,18.3 b,15.8,20.3,19.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Iceland,22.7,23.4,20.7,20.1,19.4,18.9,12.8,9.9,9.6,10.1,:,:,:,:
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Italy,30.8,31.6,34.8,37.0,35.3,32.8,27.1,22.5,23.4,17.8,18.4,19.3,18.2,15.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Lithuania,40.1,37.0,38.5,35.0,32.4,32.0,32.3,31.7,26.2,21.7,18.0,16.0,16.6,17.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Luxembourg,4.9,6.3,7.5,10.0,9.0,8.7,8.9 b,9.8,10.9,10.5,12.3 b,9.7 b,6.7 b,6.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Latvia,58.2,59.3,53.0,57.0,50.7,45.2,41.4,43.7,36.4,29.2,28.3,23.7,28.4,28.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Montenegro,:,:,:,62.2,66.9,64.8,63.0,63.0,68.7,60.2,59.3,61.8,49.4,:
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,North Macedonia,64.2,66.1,67.6,62.4,60.4,54.9,56.4,53.3,51.7,44.9,43.4,:,:,:
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Malta,39.2,30.7,33.2,27.7,25.4,14.2,12.8,11.3,10.1,9.4,11.7,10.8,20.2,14.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Netherlands,11.6,12.6,12.4,15.3,15.0,13.7,13.2 b,12.2,11.1,10.9,7.9,5.7,7.4,7.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Norway,4.5,5.0,5.6,5.0,4.1,4.3,4.3,4.2,4.3,5.4,5.1,6.2,6.1,7.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Poland,35.7 b,33.5,35.2,33.8,31.4,30.9,26.9,24.7,20.3,17.4,17.5,15.7,16.8,17.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Portugal,35.6,33.0,31.4,39.7,38.0,34.2,32.2,30.1,25.7,23.3,18.4,18.9 b,22.4,22.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Romania,45.9,46.5,47.2,47.9,45.2,43.1,40.1,33.4,32.3,28.2,32.0,25.5,21.4,24.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Serbia,:,:,:,65.8,69.1,65.4,65.0,62.5,59.1,46.7,42.0,45.6,40.2,:
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Sweden,7.6,8.4,7.6,6.8,6.0,5.7,6.4,6.1,5.2,5.8,4.8,5.0,5.8,7.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Slovenia,28.4,29.9,28.5,34.1,32.1,30.5,27.3,23.7,22.0,18.9,18.7,12.7,16.0,15.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Slovakia,31.3,29.9,32.9,37.1,34.5,33.3,29.8,26.2,24.5,27.2,28.6,26.0,26.9,29.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Türkiye,49.6,48.1,50.6,48.7,35.6,39.2,27.1,12.0,10.5,13.0,19.1,26.0,31.9,30.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,United Kingdom,16.1,17.8,21.7,22.1,18.8,15.8,16.4,14.9 b,13.0,:,:,:,:,:
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Kosovo*,:,:,:,:,:,:,:,:,43.4,42.4,:,:,:,:
Annual,Tertiary education (levels 5-8),Percentage,Albania,:,:,:,:,:,:,:,42.6,42.1,39.9,35.6,28.3,:,:
Annual,Tertiary education (levels 5-8),Percentage,Austria,7.2,7.8,6.1,6.7,8.1,8.1,7.9,7.2,6.6,6.1,4.9,4.9,7.0,8.2
Annual,Tertiary education (levels 5-8),Percentage,Belgium,9.0,10.8,11.7,10.4,9.3,9.3,9.4,8.4,8.2,8.6 b,7.2,7.7,8.3,7.4
Annual,Tertiary education (levels 5-8),Percentage,Bulgaria,44.1,39.5,46.4,43.7,41.4 b,40.9,37.6 b,35.9,34.1,27.7,22.1,18.3,20.2,16.6
Annual,Tertiary education (levels 5-8),Percentage,Switzerland,5.6,5.6,5.1,5.4,6.0 b,5.9,6.4,5.8,6.2,6.2,6.0,4.7,4.7,4.9
