Time frequency,Level of activity limitation,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,None,Percentage,Slovakia,45.9
Annual,None,Percentage,Kosovo*,23.9
Annual,Severe,Percentage,Austria,47.4
Annual,Severe,Percentage,Belgium,47.5
Annual,Severe,Percentage,Bulgaria,61.6
Annual,Severe,Percentage,Cyprus,58.7
Annual,Severe,Percentage,Czechia,42.4 u
Annual,Severe,Percentage,Germany,64.1 u
Annual,Severe,Percentage,Denmark,67.1
Annual,Severe,Percentage,Estonia,49.7
Annual,Severe,Percentage,Greece,54.8
Annual,Severe,Percentage,Spain,50.6
Annual,Severe,Percentage,European Union (aggregate changing according to the context),48.1 e
Annual,Severe,Percentage,Finland,82.1
Annual,Severe,Percentage,France,33.9
Annual,Severe,Percentage,Croatia,32.3 u
Annual,Severe,Percentage,Hungary,: u
Annual,Severe,Percentage,Ireland,: u
Annual,Severe,Percentage,Lithuania,43.0 u
Annual,Severe,Percentage,Luxembourg,53.5 u
Annual,Severe,Percentage,Latvia,48.3
Annual,Severe,Percentage,Montenegro,26.8 u
Annual,Severe,Percentage,Malta,52.4 u
Annual,Severe,Percentage,Netherlands,45.0 u
Annual,Severe,Percentage,Poland,25.8 u
Annual,Severe,Percentage,Portugal,29.2
Annual,Severe,Percentage,Romania,60.2
Annual,Severe,Percentage,Serbia,27.0 u
Annual,Severe,Percentage,Sweden,67.4
Annual,Severe,Percentage,Slovenia,: u
Annual,Severe,Percentage,Slovakia,64.6
Annual,Severe,Percentage,Kosovo*,29.9 u
Annual,Some or severe,Percentage,Austria,43.1
Annual,Some or severe,Percentage,Belgium,46.2
Annual,Some or severe,Percentage,Bulgaria,35.3
Annual,Some or severe,Percentage,Cyprus,54.8
Annual,Some or severe,Percentage,Czechia,38.6
Annual,Some or severe,Percentage,Germany,46.7
Annual,Some or severe,Percentage,Denmark,57.4
Annual,Some or severe,Percentage,Estonia,47.4
Annual,Some or severe,Percentage,Greece,52.7
Annual,Some or severe,Percentage,Spain,40.9
Annual,Some or severe,Percentage,European Union (aggregate changing according to the context),43.0 e
Annual,Some or severe,Percentage,Finland,64.5
Annual,Some or severe,Percentage,France,33.1
Annual,Some or severe,Percentage,Croatia,29.1
Annual,Some or severe,Percentage,Hungary,58.6
Annual,Some or severe,Percentage,Ireland,48.6
Annual,Some or severe,Percentage,Lithuania,42.7
Annual,Some or severe,Percentage,Luxembourg,59.8
Annual,Some or severe,Percentage,Latvia,38.8
Annual,Some or severe,Percentage,Montenegro,31.3
Annual,Some or severe,Percentage,Malta,34.5
Annual,Some or severe,Percentage,Netherlands,40.5
Annual,Some or severe,Percentage,Poland,25.5
Annual,Some or severe,Percentage,Portugal,30.1
Annual,Some or severe,Percentage,Romania,60.9
Annual,Some or severe,Percentage,Serbia,30.8
Annual,Some or severe,Percentage,Sweden,59.5
Annual,Some or severe,Percentage,Slovenia,36.5
Annual,Some or severe,Percentage,Slovakia,61.4
Annual,Some or severe,Percentage,Kosovo*,41.5
Annual,Some,Percentage,Austria,42.3
Annual,Some,Percentage,Belgium,45.6
Annual,Some,Percentage,Bulgaria,25.0
Annual,Some,Percentage,Cyprus,52.5
Annual,Some,Percentage,Czechia,37.0
Annual,Some,Percentage,Germany,43.2
Annual,Some,Percentage,Denmark,56.1
Annual,Some,Percentage,Estonia,46.5
Annual,Some,Percentage,Greece,52.2
Annual,Some,Percentage,Spain,38.9
Annual,Some,Percentage,European Union (aggregate changing according to the context),41.8 e
Annual,Some,Percentage,Finland,61.7
Annual,Some,Percentage,France,32.8
Annual,Some,Percentage,Croatia,28.4
Annual,Some,Percentage,Hungary,61.4
Annual,Some,Percentage,Ireland,47.2
Annual,Some,Percentage,Lithuania,42.6
Annual,Some,Percentage,Luxembourg,61.3
Annual,Some,Percentage,Latvia,36.7
Annual,Some,Percentage,Montenegro,33.2
Annual,Some,Percentage,Malta,31.1
Annual,Some,Percentage,Netherlands,39.9
Annual,Some,Percentage,Poland,25.4
Annual,Some,Percentage,Portugal,30.3
Annual,Some,Percentage,Romania,61.2
Annual,Some,Percentage,Serbia,32.1
Annual,Some,Percentage,Sweden,58.0
Annual,Some,Percentage,Slovenia,37.2 u
Annual,Some,Percentage,Slovakia,60.4
Annual,Some,Percentage,Kosovo*,45.0
Annual,Total,Percentage,Austria,37.8
Annual,Total,Percentage,Belgium,31.3
Annual,Total,Percentage,Bulgaria,20.5
Annual,Total,Percentage,Cyprus,44.5
Annual,Total,Percentage,Czechia,33.5
Annual,Total,Percentage,Germany,31.9
Annual,Total,Percentage,Denmark,45.0
Annual,Total,Percentage,Estonia,41.2
Annual,Total,Percentage,Greece,41.8
Annual,Total,Percentage,Spain,28.6
Annual,Total,Percentage,European Union (aggregate changing according to the context),32.7 e
Annual,Total,Percentage,Finland,52.6
Annual,Total,Percentage,France,30.2
Annual,Total,Percentage,Croatia,28.1
Annual,Total,Percentage,Hungary,54.6
Annual,Total,Percentage,Ireland,35.0
Annual,Total,Percentage,Lithuania,30.7
Annual,Total,Percentage,Luxembourg,47.4
Annual,Total,Percentage,Latvia,30.1
Annual,Total,Percentage,Montenegro,20.2
Annual,Total,Percentage,Malta,26.0
Annual,Total,Percentage,Netherlands,33.4
Annual,Total,Percentage,Poland,19.6
Annual,Total,Percentage,Portugal,22.5
Annual,Total,Percentage,Romania,48.9
Annual,Total,Percentage,Serbia,21.6
Annual,Total,Percentage,Sweden,48.2
Annual,Total,Percentage,Slovenia,27.9
Annual,Total,Percentage,Slovakia,50.8
Annual,Total,Percentage,Kosovo*,25.6
