Time frequency,Degree of urbanisation,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Rural areas,Percentage,Netherlands,5.2,5.0,3.9 b,3.9,5.0,3.1,2.1,2.3,3.3,2.8
Annual,Rural areas,Percentage,Norway,3.1,2.4,:,3.7,3.3,5.0,4.0,4.3 b,4.7,5.2
Annual,Rural areas,Percentage,Poland,22.4,17.5,13.1,12.3,10.2,9.0,6.8,6.6,6.4,6.8
Annual,Rural areas,Percentage,Portugal,25.0,21.0,16.9,15.9,13.7,13.2,14.5,14.3,11.7,11.7
Annual,Rural areas,Percentage,Romania,62.9,59.3,61.6,57.7,52.6,48.6,51.1,45.5,46.4,38.4
Annual,Rural areas,Percentage,Serbia,52.3,46.4,:,41.6,35.2,28.5,28.4,26.4,25.6,:
Annual,Rural areas,Percentage,Sweden,2.6,2.9 b,2.6,1.8,3.6,4.7,3.0,2.7,4.8,4.9
Annual,Rural areas,Percentage,Slovenia,16.0,12.3,9.9,11.4,9.7,6.3,6.2,5.3,4.2,5.4
Annual,Rural areas,Percentage,Slovakia,19.7,19.0,16.6,15.1,12.7,12.2,10.9,11.7,11.6,15.8
Annual,Rural areas,Percentage,United Kingdom,10.5,10.8,8.6,6.4 b,6.6,:,:,:,:,:
Annual,Total,Percentage,Albania,:,:,:,65.4,63.5,61.3,56.5,56.5,:,:
Annual,Total,Percentage,Austria,9.1,7.0,7.3,6.9,5.7,5.6,5.6,4.4,5.2,7.6
Annual,Total,Percentage,Belgium,12.8,12.7,13.7,12.2,11.7,11.0 b,11.0,10.2,9.5,10.4
Annual,Total,Percentage,Bulgaria,53.2,51.2,48.4 b,45.0,35.9,33.6,33.7,30.4,30.4,29.4
Annual,Total,Percentage,Switzerland,5.3,5.3,5.5,5.1,5.7,5.9,5.0,5.2,4.9,5.5
Annual,Total,Percentage,Cyprus,27.8,22.8,21.1,17.5,15.5,13.3,11.4,11.2,11.0,9.9
Annual,Total,Percentage,Czechia,12.5,10.7,8.9,7.9,6.0,5.3,5.0,4.8,4.8,6.3
Annual,Total,Percentage,Germany,12.3,11.2,9.6,8.3,7.6,6.5,9.1 b,9.0,11.7,12.7
Annual,Total,Percentage,Denmark,6.7,7.7,6.3,7.5,8.1,7.1,6.6,5.9,6.8,9.4
Annual,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",17.2,15.5,14.3,12.4,12.1,11.3,11.5,11.0,:,:
Annual,Total,Percentage,Euro area - 18 countries (2014),17.2,15.4,14.1,12.3,11.9,11.2,11.5,:,:,:
Annual,Total,Percentage,Euro area - 19 countries  (2015-2022),17.2 e,15.5,14.3,12.4,12.1,11.3,11.6,11.0,:,:
Annual,Total,Percentage,Euro area – 20 countries (from 2023),17.3,15.3,14.1,12.2,11.9,11.3,11.5,11.0,11.8,12.6
Annual,Total,Percentage,Estonia,13.4,9.9,7.8,10.0,8.4,7.7,6.6,5.1,7.5,6.5
Annual,Total,Percentage,Greece,37.6,38.0,35.8,35.4,34.2,31.1,30.7,29.2,29.7,28.2
Annual,Total,Percentage,Spain,20.5,16.3,17.6,15.0,15.3,14.0,15.4,15.4,15.4,17.2
Annual,Total,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",19.7,17.5,16.0,14.0,13.1,12.5,:,:,:,:
Annual,Total,Percentage,European Union - 27 countries (2007-2013),19.6,17.4,16.0,14.0,13.1,12.5,:,:,:,:
Annual,Total,Percentage,European Union - 27 countries (from 2020),20.0,17.9,16.4,14.5,13.5,12.5,12.5,11.8,12.5,13.1
Annual,Total,Percentage,European Union - 28 countries (2013-2020),19.7,17.5,16.0,14.0,13.1,12.5,:,:,:,:
Annual,Total,Percentage,Finland,4.4,3.5,4.3,5.4,5.3,4.8,4.6,3.6,4.7,6.3
Annual,Total,Percentage,France,14.1,12.7,13.0,12.4,12.8,13.1,12.2 b,10.5,13.3 b,13.5
Annual,Total,Percentage,Croatia,22.3,19.2,16.1,14.7,12.3,10.3,9.4,8.4,8.4,6.2
Annual,Total,Percentage,Hungary,41.3,37.4,32.2,25.6,20.3,20.3,18.5,17.7,16.5,17.1
Annual,Total,Percentage,Ireland,20.5,20.2,17.0,14.5,12.4,12.5 b,12.3 b,9.4,11.2,10.6
Annual,Total,Percentage,Iceland,5.9,4.9,4.2,3.7,2.9,2.9,:,:,:,:
Annual,Total,Percentage,Italy,23.2,22.0 b,17.5,12.7,12.7,11.9,11.0,11.3,9.0,9.8
Annual,Total,Percentage,Lithuania,30.0,28.5,29.3,26.6,24.4,20.1,17.1,13.6,12.7,15.2
Annual,Total,Percentage,Luxembourg,6.0,5.9,4.9 b,4.0,4.6,3.4,4.7 b,5.3 b,3.7 b,5.7
Annual,Total,Percentage,Latvia,34.6,28.9,25.0,25.7,20.8,15.5,14.8,11.1,14.1,13.5
Annual,Total,Percentage,North Macedonia,:,:,43.0,40.0,38.7,38.4,33.6,:,:,:
Annual,Total,Percentage,Malta,23.5,16.0,11.2,8.5,9.6,9.9,9.4,9.8,9.6,9.2
Annual,Total,Percentage,Netherlands,8.5,7.3,6.6 b,6.4,6.3,6.9,5.8,4.6,5.6,5.9
Annual,Total,Percentage,Norway,2.8,3.4,:,4.4,3.8,4.5,4.3,5.0 b,4.6,5.8
Annual,Total,Percentage,Poland,20.9,16.2,12.2,11.6,9.8,8.3,6.4,6.3,6.4,6.8
Annual,Total,Percentage,Portugal,27.0,22.2,19.0,17.0,14.6,13.2,12.7,13.5,11.9,11.9
Annual,Total,Percentage,Romania,55.2,50.3,51.5,48.4,43.5,38.7,38.9,34.5,36.4,31.4
Annual,Total,Percentage,Serbia,44.3,40.1,:,36.4,29.9,24.4,22.6,21.4,21.5,:
Annual,Total,Percentage,Sweden,4.0,3.1 b,3.0,2.9,3.4,4.0,3.9,3.5,4.7,5.5
Annual,Total,Percentage,Slovenia,15.1,12.1,10.1,10.6,8.8,6.1,6.1,4.8,4.4,4.9
Annual,Total,Percentage,Slovakia,18.8,16.8,15.5,13.5,12.3,11.4,9.7,9.2,10.5,14.0
Annual,Total,Percentage,United Kingdom,16.9,14.4,13.2,10.9 b,9.9,:,:,:,:,:
