Time frequency,Size of accommodation by number of bedplaces,Unit of measure,Geopolitical entity (reporting)\Time,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Less than 10 bedplaces,Number,Finland,2288414.0,2704160.0,1840934.0,2216695.0,3106642.0,4014698.0
Annual,Less than 10 bedplaces,Number,France,76423491.0,88596484.0,65876603.0,88063875.0,123043813.0,143382277.0
Annual,Less than 10 bedplaces,Number,Croatia,21925446.0,23899859.0,9610070.0,18345369.0,28572204.0,31742900.0
Annual,Less than 10 bedplaces,Number,Hungary,7126675.0,8390835.0,2900550.0,3025198.0,6892780.0,8920393.0
Annual,Less than 10 bedplaces,Number,Ireland,5844217.0,6272485.0,2574546.0,3200414.0,4964625.0,5816869.0
Annual,Less than 10 bedplaces,Number,Iceland,2568370.0,2057021.0,519005.0,837099.0,1701053.0,2295504.0
Annual,Less than 10 bedplaces,Number,Italy,61792282.0,71226296.0,28380235.0,42145110.0,79082194.0,101347185.0
Annual,Less than 10 bedplaces,Number,Liechtenstein,13119.0,16527.0,12307.0,12267.0,18196.0,22486.0
Annual,Less than 10 bedplaces,Number,Lithuania,1270824.0,1541966.0,966065.0,1106217.0,1641182.0,2002283.0
Annual,Less than 10 bedplaces,Number,Luxembourg,210492.0,275017.0,184244.0,222955.0,316154.0,420228.0
Annual,Less than 10 bedplaces,Number,Latvia,959973.0,1248601.0,701964.0,655174.0,1093745.0,1427643.0
Annual,Less than 10 bedplaces,Number,Malta,2508097.0,2934170.0,797684.0,1156354.0,2526364.0,3734722.0
Annual,Less than 10 bedplaces,Number,Netherlands,8058530.0,8910340.0,5547560.0,6109523.0,8225889.0,9367268.0
Annual,Less than 10 bedplaces,Number,Norway,3045234.0,3562735.0,2121480.0,2385310.0,4163674.0,5688508.0
Annual,Less than 10 bedplaces,Number,Poland,14961747.0,18778696.0,12272250.0,14224257.0,24943054.0,30916843.0
Annual,Less than 10 bedplaces,Number,Portugal,25160601.0,28242156.0,11330727.0,15231458.0,30284062.0,36321996.0
Annual,Less than 10 bedplaces,Number,Romania,2779947.0,3894548.0,2143273.0,3327266.0,5333194.0,7080357.0
Annual,Less than 10 bedplaces,Number,Sweden,2642198.0,3338392.0,2340774.0,3255931.0,4539025.0,5778143.0
Annual,Less than 10 bedplaces,Number,Slovenia,2086423.0,2461201.0,835669.0,1147490.0,2610669.0,3304841.0
Annual,Less than 10 bedplaces,Number,Slovakia,1510148.0,2013044.0,1261534.0,968334.0,1991812.0,2715288.0
Annual,Total,Number,Austria,13374052.0,15571981.0,9142884.0,6806282.0,16246029.0,20903913.0
Annual,Total,Number,Belgium,5551040.0,6987262.0,4467372.0,6519961.0,9483632.0,11074324.0
Annual,Total,Number,Bulgaria,2842634.0,3047122.0,1628825.0,2207631.0,3230486.0,3882287.0
Annual,Total,Number,Switzerland,5388623.0,6383396.0,5240081.0,6333802.0,7789160.0,8886633.0
Annual,Total,Number,Cyprus,3682375.0,4241271.0,1352070.0,2684616.0,4135742.0,5355054.0
Annual,Total,Number,Czechia,8399505.0,9400553.0,3639099.0,3031699.0,6705580.0,8876511.0
Annual,Total,Number,Germany,29975596.0,37235826.0,29583155.0,27597881.0,42481655.0,49278441.0
Annual,Total,Number,Denmark,4330697.0,4681072.0,2953530.0,3220839.0,4776532.0,6118000.0
Annual,Total,Number,Estonia,1280301.0,1523338.0,806091.0,847516.0,1286201.0,1482227.0
Annual,Total,Number,Greece,20340361.0,24302149.0,8936293.0,17577701.0,31621497.0,38446318.0
Annual,Total,Number,Spain,94388752.0,105601983.0,44206909.0,69272291.0,117954021.0,141056225.0
Annual,Total,Number,European Union - 27 countries (from 2020),441914699.0,511938537.0,271698055.0,363917652.0,596546896.0,718984723.0
Annual,Total,Number,Finland,2458021.0,2915510.0,1998884.0,2412650.0,3356748.0,4327709.0
Annual,Total,Number,France,85483414.0,99453335.0,74605618.0,98811074.0,137166518.0,159111370.0
Annual,Total,Number,Croatia,23248278.0,25630322.0,10499858.0,19846615.0,30831251.0,34499004.0
Annual,Total,Number,Hungary,7777578.0,9172522.0,3185564.0,3347489.0,7578355.0,9754503.0
Annual,Total,Number,Ireland,6357930.0,6911663.0,2919843.0,3671867.0,5554213.0,6474664.0
Annual,Total,Number,Iceland,2714397.0,2185916.0,548542.0,882414.0,1797046.0,2427638.0
Annual,Total,Number,Italy,65861505.0,76044409.0,30283865.0,44892223.0,84105950.0,107273361.0
Annual,Total,Number,Liechtenstein,13874.0,17060.0,12307.0,12267.0,18196.0,22486.0
Annual,Total,Number,Lithuania,1298769.0,1578049.0,991731.0,1135233.0,1685167.0,2063077.0
Annual,Total,Number,Luxembourg,215019.0,280879.0,187396.0,229148.0,322201.0,428157.0
Annual,Total,Number,Latvia,1020762.0,1337604.0,747592.0,700947.0,1179187.0,1537643.0
Annual,Total,Number,Malta,2742074.0,3212455.0,897345.0,1287012.0,2822783.0,4144261.0
Annual,Total,Number,Netherlands,8434745.0,9395956.0,5900678.0,6525519.0,8786873.0,10043743.0
Annual,Total,Number,Norway,3333071.0,3970205.0,2465418.0,2770666.0,4719221.0,6426851.0
Annual,Total,Number,Poland,15590007.0,19685360.0,12968650.0,15030363.0,26348453.0,32740350.0
Annual,Total,Number,Portugal,27546953.0,31063617.0,12576572.0,16767037.0,33195011.0,39523891.0
Annual,Total,Number,Romania,2992968.0,4191792.0,2312171.0,3601903.0,5732807.0,7607941.0
Annual,Total,Number,Sweden,2860720.0,3650427.0,2594109.0,3613678.0,4989256.0,6380298.0
Annual,Total,Number,Slovenia,2189343.0,2583803.0,877111.0,1204371.0,2740963.0,3482560.0
Annual,Total,Number,Slovakia,1671300.0,2238277.0,1434840.0,1074106.0,2229785.0,3118891.0
