Time frequency,Activity and employment status,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Not employed persons,Percentage of households,Lithuania,:,41.7 i,37.9 i
Annual,Not employed persons,Percentage of households,Luxembourg,:,38.2 i,34.8 i
Annual,Not employed persons,Percentage of households,Latvia,:,41 i,39.6 i
Annual,Not employed persons,Percentage of households,Malta,:,42.7 i,40.2 i
Annual,Not employed persons,Percentage of households,Netherlands,:,40.9 i,41.5 i
Annual,Not employed persons,Percentage of households,Poland,:,42.1 i,41.4 i
Annual,Not employed persons,Percentage of households,Portugal,:,45.1 i,:
Annual,Not employed persons,Percentage of households,Romania,:,41.6 i,41.5 i
Annual,Not employed persons,Percentage of households,Sweden,:,41.6 i,:
Annual,Not employed persons,Percentage of households,Slovenia,:,45.4 i,43.9 i
Annual,Not employed persons,Percentage of households,Slovakia,:,38.9 i,37.6 i
Annual,Not employed persons,Percentage of households,United Kingdom,:,37.2 i,:
Annual,Retired persons,Percentage of households,Austria,34.7,34.7 i,34.6 i
Annual,Retired persons,Percentage of households,Belgium,30.4,31.3 i,32.7 i
Annual,Retired persons,Percentage of households,Bulgaria,:,38.2 i,36.7 i
Annual,Retired persons,Percentage of households,Cyprus,25.8,25.7 i,26.4 i
Annual,Retired persons,Percentage of households,Czechia,33.7,34 i,32.6 i
Annual,Retired persons,Percentage of households,Germany,30.9,30.2 i,31.1 i
Annual,Retired persons,Percentage of households,Denmark,25.2,26.8 i,26.3 i
Annual,Retired persons,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,31.1 i,32.2 i
Annual,Retired persons,Percentage of households,Euro area – 20 countries (from 2023),:,31.2 i,32.3 i
Annual,Retired persons,Percentage of households,Estonia,27.8,26.4 i,27.9 i
Annual,Retired persons,Percentage of households,Greece,36.9,37.9 i,36.5 i
Annual,Retired persons,Percentage of households,Spain,24.5,25.4 i,28.1 i
Annual,Retired persons,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,31.6 i,32.8 i
Annual,Retired persons,Percentage of households,European Union - 27 countries (from 2020),:,30.8 i,32.8 i
Annual,Retired persons,Percentage of households,Finland,29.1,30.4 i,:
Annual,Retired persons,Percentage of households,France,35.5,37.2 i,37.5 i
Annual,Retired persons,Percentage of households,Croatia,46.8,45 i,44.1 i
Annual,Retired persons,Percentage of households,Hungary,35.4,35 i,32.8 i
Annual,Retired persons,Percentage of households,Ireland,16.0,19 i,:
Annual,Retired persons,Percentage of households,Italy,32.2,:,:
Annual,Retired persons,Percentage of households,Lithuania,30.8,30.8 i,28.6 i
Annual,Retired persons,Percentage of households,Luxembourg,25.0,28 i,25.4 i
Annual,Retired persons,Percentage of households,Latvia,34.4,32.7 i,29.9 i
Annual,Retired persons,Percentage of households,Malta,26.6,27.7 i,26.6 i
Annual,Retired persons,Percentage of households,Netherlands,:,20.1 i,25.3 i
Annual,Retired persons,Percentage of households,Poland,29.3,30.2 i,34.7 i
Annual,Retired persons,Percentage of households,Portugal,34.9,35.4 i,:
Annual,Retired persons,Percentage of households,Romania,39.8,37.8 i,38.2 i
Annual,Retired persons,Percentage of households,Sweden,25.6,27.6 i,:
Annual,Retired persons,Percentage of households,Slovenia,39.8,38.5 i,39 i
Annual,Retired persons,Percentage of households,Slovakia,33.6,33.5 i,32.8 i
Annual,Retired persons,Percentage of households,United Kingdom,26.9,26.3 i,:
Annual,Employees,Percentage of households,Austria,48.7,49.1 i,50.8 i
Annual,Employees,Percentage of households,Belgium,50.4,48.8 i,55.4 i
Annual,Employees,Percentage of households,Bulgaria,:,47.2 i,49.9 i
Annual,Employees,Percentage of households,Cyprus,57.7,55 i,66.2 i
Annual,Employees,Percentage of households,Czechia,47.9,48.4 i,51.5 i
Annual,Employees,Percentage of households,Germany,52.9,54.4 i,55.2 i
Annual,Employees,Percentage of households,Denmark,52.0,52.1 i,54.2 i
Annual,Employees,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,49.7 i,54.5 i
Annual,Employees,Percentage of households,Euro area – 20 countries (from 2023),:,49.6 i,54.4 i
Annual,Employees,Percentage of households,Estonia,56.9,60.4 i,63 i
Annual,Employees,Percentage of households,Greece,32.1,32.4 i,49.5 i
Annual,Employees,Percentage of households,Spain,46.2,45.5 i,54.8 i
Annual,Employees,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,49.3 i,54.9 i
Annual,Employees,Percentage of households,European Union - 27 countries (from 2020),:,50 i,54.9 i
Annual,Employees,Percentage of households,Finland,48.9,47.2 i,:
Annual,Employees,Percentage of households,France,49.0,48.6 i,52.2 i
Annual,Employees,Percentage of households,Croatia,39.5,41.1 i,43 i
Annual,Employees,Percentage of households,Hungary,45.1,50.3 i,60.2 i
Annual,Employees,Percentage of households,Ireland,45.9,50.4 i,:
Annual,Employees,Percentage of households,Italy,38.8,:,:
Annual,Employees,Percentage of households,Lithuania,50.8,52.1 i,62.1 i
Annual,Employees,Percentage of households,Luxembourg,59.3,58.5 i,65.2 i
Annual,Employees,Percentage of households,Latvia,49.5,54 i,54.8 i
Annual,Employees,Percentage of households,Malta,42.4,49.2 i,59.8 i
Annual,Employees,Percentage of households,Netherlands,:,49.7 i,58.5 i
Annual,Employees,Percentage of households,Poland,46.7,47.3 i,58.6 i
Annual,Employees,Percentage of households,Portugal,48.9,48.8 i,:
Annual,Employees,Percentage of households,Romania,43.8,44.9 i,58.5 i
Annual,Employees,Percentage of households,Sweden,58.9,52.7 i,:
Annual,Employees,Percentage of households,Slovenia,48.9,50.5 i,50.9 i
Annual,Employees,Percentage of households,Slovakia,51.4,50.6 i,62.4 i
Annual,Employees,Percentage of households,United Kingdom,53.4,53.9 i,:
Annual,Self-employed persons,Percentage of households,Austria,7.4,6.8 i,6.3 i
Annual,Self-employed persons,Percentage of households,Belgium,5.2,5.7 i,:
Annual,Self-employed persons,Percentage of households,Bulgaria,:,5.5 i,5.5 i
Annual,Self-employed persons,Percentage of households,Cyprus,9.4,8 i,:
Annual,Self-employed persons,Percentage of households,Czechia,11.4,10.8 i,11.2 i
Annual,Self-employed persons,Percentage of households,Germany,3.9,3.9 i,3.5 i
Annual,Self-employed persons,Percentage of households,Denmark,5.3,4.3 i,:
Annual,Self-employed persons,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,6.5 i,1.5 i
Annual,Self-employed persons,Percentage of households,Euro area – 20 countries (from 2023),:,6.5 i,1.6 i
Annual,Self-employed persons,Percentage of households,Estonia,5.0,5.8 i,:
Annual,Self-employed persons,Percentage of households,Greece,15.7,15 i,:
Annual,Self-employed persons,Percentage of households,Spain,7.9,9.2 i,:
Annual,Self-employed persons,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,7.2 i,1.6 i
Annual,Self-employed persons,Percentage of households,European Union - 27 countries (from 2020),:,7.4 i,1.6 i
Annual,Self-employed persons,Percentage of households,Finland,6.5,6.2 i,:
Annual,Self-employed persons,Percentage of households,France,6.2,6.3 i,:
Annual,Self-employed persons,Percentage of households,Croatia,5.0,5.6 i,6.5 i
Annual,Self-employed persons,Percentage of households,Hungary,7.1,5.9 i,:
Annual,Self-employed persons,Percentage of households,Ireland,8.5,9.2 i,:
Annual,Self-employed persons,Percentage of households,Italy,12.4,:,:
Annual,Self-employed persons,Percentage of households,Lithuania,6.6,6.2 i,:
Annual,Self-employed persons,Percentage of households,Luxembourg,4.1,3.3 i,:
Annual,Self-employed persons,Percentage of households,Latvia,3.6,5 i,5.6 i
Annual,Self-employed persons,Percentage of households,Malta,9.7,8.1 i,:
Annual,Self-employed persons,Percentage of households,Netherlands,:,9.4 i,:
Annual,Self-employed persons,Percentage of households,Poland,11.0,10.7 i,:
Annual,Self-employed persons,Percentage of households,Portugal,7.6,6.2 i,:
Annual,Self-employed persons,Percentage of households,Romania,13.0,13.4 i,:
Annual,Self-employed persons,Percentage of households,Sweden,2.6,5.7 i,:
Annual,Self-employed persons,Percentage of households,Slovenia,4.1,4 i,5.3 i
Annual,Self-employed persons,Percentage of households,Slovakia,7.5,10.5 i,:
Annual,Self-employed persons,Percentage of households,United Kingdom,7.8,8.8 i,:
Annual,Unemployed persons,Percentage of households,Austria,5.3,5.1 i,5.4 i
Annual,Unemployed persons,Percentage of households,Belgium,6.6,5.7 i,4.2 i
Annual,Unemployed persons,Percentage of households,Bulgaria,:,5.3 i,4.6 i
Annual,Unemployed persons,Percentage of households,Cyprus,3.6,7.5 i,3.8 i
Annual,Unemployed persons,Percentage of households,Czechia,3.3,3.6 i,1.6 i
Annual,Unemployed persons,Percentage of households,Germany,6.7,5.5 i,3.7 i
Annual,Unemployed persons,Percentage of households,Denmark,5.6,3.5 i,4.3 i
Annual,Unemployed persons,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,5.6 i,4.7 i
Annual,Unemployed persons,Percentage of households,Euro area – 20 countries (from 2023),:,5.6 i,4.7 i
Annual,Unemployed persons,Percentage of households,Estonia,4.6,3.1 i,3.9 i
Annual,Unemployed persons,Percentage of households,Greece,7.2,5.9 i,5.3 i
Annual,Unemployed persons,Percentage of households,Spain,10.0,9 i,6.9 i
Annual,Unemployed persons,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,4.9 i,4 i
Annual,Unemployed persons,Percentage of households,European Union - 27 countries (from 2020),:,4.5 i,4 i
Annual,Unemployed persons,Percentage of households,Finland,5.3,6.3 i,:
Annual,Unemployed persons,Percentage of households,France,4.2,4.2 i,5.3 i
Annual,Unemployed persons,Percentage of households,Croatia,6.1,6.2 i,4.5 i
Annual,Unemployed persons,Percentage of households,Hungary,5.6,3.7 i,2.7 i
Annual,Unemployed persons,Percentage of households,Ireland,10.5,5.3 i,:
Annual,Unemployed persons,Percentage of households,Italy,4.0,:,:
Annual,Unemployed persons,Percentage of households,Lithuania,6.4,5 i,4.5 i
Annual,Unemployed persons,Percentage of households,Luxembourg,3.6,2.9 i,2.1 i
Annual,Unemployed persons,Percentage of households,Latvia,7.7,4.2 i,4.8 i
Annual,Unemployed persons,Percentage of households,Malta,3.2,1.4 u,1 u
Annual,Unemployed persons,Percentage of households,Netherlands,:,3.5 i,2.8 i
Annual,Unemployed persons,Percentage of households,Poland,2.9,2.1 i,1.5 i
Annual,Unemployed persons,Percentage of households,Portugal,4.7,5.5 i,:
Annual,Unemployed persons,Percentage of households,Romania,1.4,1.1 i,0.4 u
Annual,Unemployed persons,Percentage of households,Sweden,3.7,4.8 i,:
Annual,Unemployed persons,Percentage of households,Slovenia,5.7,5.4 i,3.7 i
Annual,Unemployed persons,Percentage of households,Slovakia,4.0,3.7 i,2.3 i
Annual,Unemployed persons,Percentage of households,United Kingdom,2.6,1.7 i,:
