Time frequency,National accounts indicator (ESA 2010),Seasonal adjustment,Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Netherlands,58367.6,58721.1,59750.1,60952.3,62329.5,63767.1,65044.4,67034.3,68146.0,69628.2,70931.7,72356.9
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Norway,24959.9,25627.8,25694.9,25958.0,25392.4,24603.5,23660.4,24824.1,25050.3,25570.4,25571.0,:
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Poland,28153.2,28647.0,29816.2,30440.2,30751.7,32347.2,34574.1,36463.2,38648.8,40910.7,42865.1,43947.2
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Portugal,10226.2,10429.9,10510.7,10657.5,10858.3,10956.1 e,11109.7 e,11308.5 e,11479.0 e,11635.8 e,11821.5 e,12005.9 e
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Romania,11194.5,11353.5,11632.1,12141.6,12029.4,13246.9 p,13518.9 p,14241.9 p,14575.8 p,14836.7 p,16290.5 p,16616.8 p
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Serbia,2738.5,2883.9,2875.0,2905.9,2978.3,2998.5,3106.6,3256.7,3510.5,3486.2,3621.0,3694.0
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Sweden,35513.1,34447.7,35351.0,35654.9,35338.0,35422.2,35372.3,34867.4,36131.3,37333.3,36727.5,37321.5
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Slovenia,2742.8,2675.3,2712.7,2791.9,2858.1,2941.3,3033.9,3104.4,3203.9,3270.4,3512.1,3475.2
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Slovakia,5589.9,5697.2,5777.8,5912.7,5971.6,6073.2,6158.3,6303.9,6447.7,6589.4,6756.1,6878.7
Quarterly,Final consumption expenditure of general government,Seasonally and calendar adjusted data,Million euro (SCA),Türkiye,19919.0,22728.9,23842.9,25873.1,27553.5,32093.2,34327.7,32290.9,35758.0,39796.6,43183.8,44685.7
