Time frequency,Level of difficulty,Degree of urbanisation,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Belgium,9.2
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Bulgaria,6.2
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Switzerland,6.1
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Cyprus,5.7
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Czechia,8.5
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Germany,: u
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Denmark,15.0
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Euro area – 20 countries (from 2023),10.3 e
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Estonia,12.9
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Greece,6.5
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Spain,10.9
Annual,Severe,Towns and suburbs,Total,Total,Percentage,European Union - 27 countries (from 2020),9.9 e
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Finland,14.3
Annual,Severe,Towns and suburbs,Total,Total,Percentage,France,12.3
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Croatia,6.8
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Hungary,8.7
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Ireland,5.3
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Italy,7.3
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Lithuania,8.0
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Luxembourg,8.5
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Latvia,10.2
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Malta,3.9
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Netherlands,14.0
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Norway,8.5
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Poland,8.3
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Portugal,11.6
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Romania,6.2
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Serbia,4.1
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Sweden,12.1
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Slovenia,14.6
Annual,Severe,Towns and suburbs,Total,Total,Percentage,Slovakia,7.5
Annual,Severe,Rural areas,Total,Total,Percentage,Austria,8.1
Annual,Severe,Rural areas,Total,Total,Percentage,Belgium,9.0
Annual,Severe,Rural areas,Total,Total,Percentage,Bulgaria,7.9
Annual,Severe,Rural areas,Total,Total,Percentage,Switzerland,5.9
Annual,Severe,Rural areas,Total,Total,Percentage,Cyprus,9.2
Annual,Severe,Rural areas,Total,Total,Percentage,Czechia,8.5
Annual,Severe,Rural areas,Total,Total,Percentage,Germany,: u
Annual,Severe,Rural areas,Total,Total,Percentage,Denmark,16.7
Annual,Severe,Rural areas,Total,Total,Percentage,Euro area – 20 countries (from 2023),10.2 e
Annual,Severe,Rural areas,Total,Total,Percentage,Estonia,12.7
Annual,Severe,Rural areas,Total,Total,Percentage,Greece,9.0
Annual,Severe,Rural areas,Total,Total,Percentage,Spain,12.7
Annual,Severe,Rural areas,Total,Total,Percentage,European Union - 27 countries (from 2020),9.6 e
Annual,Severe,Rural areas,Total,Total,Percentage,Finland,16.2
Annual,Severe,Rural areas,Total,Total,Percentage,France,10.9
Annual,Severe,Rural areas,Total,Total,Percentage,Croatia,8.8
Annual,Severe,Rural areas,Total,Total,Percentage,Hungary,9.2
Annual,Severe,Rural areas,Total,Total,Percentage,Ireland,8.1
Annual,Severe,Rural areas,Total,Total,Percentage,Italy,6.4
Annual,Severe,Rural areas,Total,Total,Percentage,Lithuania,8.5
Annual,Severe,Rural areas,Total,Total,Percentage,Luxembourg,6.5
Annual,Severe,Rural areas,Total,Total,Percentage,Latvia,10.3
Annual,Severe,Rural areas,Total,Total,Percentage,Malta,2.9
Annual,Severe,Rural areas,Total,Total,Percentage,Netherlands,10.2
Annual,Severe,Rural areas,Total,Total,Percentage,Norway,10.8
Annual,Severe,Rural areas,Total,Total,Percentage,Poland,7.4
Annual,Severe,Rural areas,Total,Total,Percentage,Portugal,13.8
Annual,Severe,Rural areas,Total,Total,Percentage,Romania,7.3
Annual,Severe,Rural areas,Total,Total,Percentage,Serbia,5.8
Annual,Severe,Rural areas,Total,Total,Percentage,Sweden,10.8
Annual,Severe,Rural areas,Total,Total,Percentage,Slovenia,14.1
Annual,Severe,Rural areas,Total,Total,Percentage,Slovakia,7.5
Annual,Severe,Total,Total,Total,Percentage,Austria,8.3
Annual,Severe,Total,Total,Total,Percentage,Belgium,8.7
Annual,Severe,Total,Total,Total,Percentage,Bulgaria,6.1
Annual,Severe,Total,Total,Total,Percentage,Switzerland,6.4
Annual,Severe,Total,Total,Total,Percentage,Cyprus,6.7
Annual,Severe,Total,Total,Total,Percentage,Czechia,8.4
Annual,Severe,Total,Total,Total,Percentage,Germany,: u
Annual,Severe,Total,Total,Total,Percentage,Denmark,14.5
Annual,Severe,Total,Total,Total,Percentage,Euro area – 20 countries (from 2023),10.1 e
Annual,Severe,Total,Total,Total,Percentage,Estonia,12.3
Annual,Severe,Total,Total,Total,Percentage,Greece,7.2
Annual,Severe,Total,Total,Total,Percentage,Spain,11.3
Annual,Severe,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),9.7 e
Annual,Severe,Total,Total,Total,Percentage,Finland,14.6
Annual,Severe,Total,Total,Total,Percentage,France,10.7
Annual,Severe,Total,Total,Total,Percentage,Croatia,7.5
Annual,Severe,Total,Total,Total,Percentage,Hungary,8.7
Annual,Severe,Total,Total,Total,Percentage,Ireland,6.9
Annual,Severe,Total,Total,Total,Percentage,Italy,6.8
Annual,Severe,Total,Total,Total,Percentage,Lithuania,8.5
Annual,Severe,Total,Total,Total,Percentage,Luxembourg,7.7
Annual,Severe,Total,Total,Total,Percentage,Latvia,10.2
Annual,Severe,Total,Total,Total,Percentage,Malta,5.1
Annual,Severe,Total,Total,Total,Percentage,Netherlands,12.8
Annual,Severe,Total,Total,Total,Percentage,Norway,9.0
Annual,Severe,Total,Total,Total,Percentage,Poland,8.5
Annual,Severe,Total,Total,Total,Percentage,Portugal,11.7
Annual,Severe,Total,Total,Total,Percentage,Romania,6.6
Annual,Severe,Total,Total,Total,Percentage,Serbia,4.9
Annual,Severe,Total,Total,Total,Percentage,Sweden,10.9
Annual,Severe,Total,Total,Total,Percentage,Slovenia,14.4
Annual,Severe,Total,Total,Total,Percentage,Slovakia,7.4
