Annual,Thousand tonnes,Semi-trailers,Total,Finland,:,:,6.0,4.0,3.0,5.0,14.0,17.0,22.0,27.0,41.0,11.0,10.0,17.0,26.0,33.0,35.0,39.0,42.0,48.0,46.0,14.0,15.0,34.0,32.0
Annual,Thousand tonnes,Semi-trailers,Total,France,455.0,517.0,476.0,410.0,314.0,247.0,289.0,377.0,375.0,363.0,492.0,542.0,559.0,579.0,538.0,448.0,475.0,503.0,523.0,649.0,711.0,367.0,:,:,:
Annual,Thousand tonnes,Semi-trailers,Total,Croatia,:,:,:,:,:,:,:,1438.0,1466.0,172.0,12.0,9.0,14.0,19.0,28.0,29.0,25.0,21.0,27.0,29.0,33.0,14.0,13.0,13.0,14.0
Annual,Thousand tonnes,Semi-trailers,Total,Hungary,:,:,:,:,7.0,3.0,1.0,1.0,1.0,4.0,21.0,29.0,28.0,201.0,271.0,33.0,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Semi-trailers,Total,Iceland,:,:,:,:,:,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,3 e,7 e,:,:,:,:,:,:,:
Annual,Thousand tonnes,Semi-trailers,Total,Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:,584.0,1360.0,1176.0,619.0,742.0,:,553.0,919.0,1294.0,468.0,516.0,:,:
Annual,Thousand tonnes,Semi-trailers,Total,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,481.0,358.0,346.0,393.0,561.0,925.0,583.0,367.0,1319.0,240.0,:
Annual,Thousand tonnes,Semi-trailers,Total,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11275.0,12715.0,12188.0,15845.0,16.0,16.0,17.0,:,:,:,:
Annual,Thousand tonnes,Semi-trailers,Total,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,171.0,256.0,267.0,304.0,30.0,539.0,8296.0,10466.0,5726.0,1749.0,3083.0,7703.0,8203.0
Annual,Thousand tonnes,Semi-trailers,Total,Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,11.0,12.0,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Semi-trailers,Total,Norway,:,4.0,3.0,5.0,5.0,5.0,:,17.0,19.0,:,:,:,:,:,:,:,23.0,31.0,35.0,52.0,48.0,18.0,19.0,24.0,34.0
Annual,Thousand tonnes,Semi-trailers,Total,Poland,:,:,:,:,:,:,:,:,133.0,1735.0,223.0,192.0,3005.0,187.0,2237.0,316 e,338 e,352.0,429.0,787.0,703.0,330.0,328.0,395.0,448.0
Annual,Thousand tonnes,Semi-trailers,Total,Sweden,:,32.0,28.0,19.0,18.0,14.0,31.0,60.0,47.0,49.0,64.0,40.0,64.0,65.0,75.0,70.0,82.0,99.0,133.0,148.0,123.0,40.0,:,96.0,:
Annual,Thousand tonnes,Semi-trailers,Total,Slovenia,:,:,:,:,:,:,:,:,:,84.0,10957.0,95.0,87.0,147.0,13.0,:,:,25844.0,31224.0,43188.0,38644.0,4171.0,6627.0,14512.0,14035.0
Annual,Thousand tonnes,Trailers,Hire or reward,Austria,:,:,:,:,29.0,31.0,38.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Trailers,Hire or reward,Bulgaria,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Trailers,Hire or reward,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Thousand tonnes,Trailers,Hire or reward,Germany,:,:,:,:,:,:,:,69.0,46.0,54.0,65.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Trailers,Hire or reward,Greece,:,:,:,:,8.0,8.0,9.0,7.0,7.0,7.0,6.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Trailers,Hire or reward,Finland,:,:,26.0,13.0,5.0,3.0,6.0,9.0,8.0,9.0,11.0,12.0,10.0,10.0,11.0,12.0,14.0,12.0,13.0,13.0,14.0,8.0,9.0,8.0,7.0
Annual,Thousand tonnes,Trailers,Hire or reward,France,:,:,:,:,:,:,:,17.0,18.0,16.0,18.0,20.0,21.0,18.0,19.0,17.0,16.0,18.0,17.0,19.0,24.0,13.0,:,:,:
Annual,Thousand tonnes,Trailers,Hire or reward,Iceland,:,:,:,:,:,0.0,0.0,1.0,:,0.0,:,1.0,1.0,1.0,1.0,1.0,1 e,2 e,:,:,:,:,:,:,:
Annual,Thousand tonnes,Trailers,Hire or reward,Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,:,: m,: m,: m,: m,: m,:,:
Annual,Thousand tonnes,Trailers,Hire or reward,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,31.0,35.0,41.0,47.0,42.0,27.0,29.0,32.0,40.0
Annual,Thousand tonnes,Trailers,Hire or reward,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,30 e
Annual,Thousand tonnes,Trailers,Own account,Austria,:,:,:,:,31.0,32.0,35.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Trailers,Own account,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,27.0,51.0,75.0,88.0,69.0,71.0,:,:
Annual,Thousand tonnes,Trailers,Own account,Germany,:,:,:,:,:,:,:,133.0,110.0,116.0,132.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Trailers,Own account,Greece,:,:,:,:,2.0,3.0,3.0,2.0,2.0,3.0,2.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Trailers,Own account,Finland,:,:,:,:,:,:,:,16.0,16.0,19.0,24.0,23.0,26.0,24.0,24.0,26.0,28.0,27.0,32.0,28.0,26.0,22.0,31.0,32.0,30.0
Annual,Thousand tonnes,Trailers,Own account,France,:,:,:,:,:,:,:,20.0,21.0,16.0,17.0,17.0,21.0,21.0,21.0,20.0,19.0,22.0,23.0,22.0,23.0,18.0,:,:,:
Annual,Thousand tonnes,Trailers,Own account,Iceland,:,:,:,:,:,0.0,0.0,3.0,1.0,0.0,:,0.0,:,:,:,:,0 e,0 e,:,:,:,:,:,:,:
Annual,Thousand tonnes,Trailers,Own account,Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,:,: m,: m,: m,: m,: m,:,:
